01.Hokkaido, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08242  0.07783  0.28  100000    7783   94426  5469190  54.69
  1947           1     0.03515  0.03455  0.50   92217    3186   90624  5374764  58.28
  1947           2     0.02314  0.02287  0.50   89031    2036   88013  5284140  59.35
  1947           3     0.01358  0.01349  0.50   86995    1174   86408  5196127  59.73
  1947           4     0.00709  0.00707  0.50   85821     607   85518  5109719  59.54
  1947           5     0.00354  0.00354  0.50   85214     301   85064  5024201  58.96
  1947           6     0.00200  0.00200  0.50   84913     170   84828  4939137  58.17
  1947           7     0.00142  0.00142  0.50   84743     120   84683  4854309  57.28
  1947           8     0.00125  0.00125  0.50   84623     106   84570  4769626  56.36
  1947           9     0.00129  0.00129  0.50   84518     109   84463  4685055  55.43
  1947          10     0.00141  0.00141  0.50   84409     119   84349  4600592  54.50
  1947          11     0.00157  0.00157  0.50   84290     132   84224  4516243  53.58
  1947          12     0.00178  0.00178  0.50   84158     150   84083  4432019  52.66
  1947          13     0.00209  0.00209  0.50   84008     175   83920  4347936  51.76
  1947          14     0.00251  0.00251  0.50   83832     210   83727  4264016  50.86
  1947          15     0.00307  0.00306  0.50   83622     256   83494  4180289  49.99
  1947          16     0.00370  0.00369  0.50   83366     308   83212  4096795  49.14
  1947          17     0.00437  0.00436  0.50   83058     362   82877  4013583  48.32
  1947          18     0.00502  0.00501  0.50   82696     415   82489  3930706  47.53
  1947          19     0.00563  0.00562  0.50   82282     462   82051  3848217  46.77
  1947          20     0.00616  0.00614  0.50   81820     502   81568  3766167  46.03
  1947          21     0.00658  0.00656  0.50   81317     534   81051  3684598  45.31
  1947          22     0.00691  0.00688  0.50   80784     556   80506  3603547  44.61
  1947          23     0.00712  0.00710  0.50   80228     570   79943  3523041  43.91
  1947          24     0.00723  0.00720  0.50   79658     574   79371  3443098  43.22
  1947          25     0.00720  0.00717  0.50   79084     567   78801  3363727  42.53
  1947          26     0.00709  0.00707  0.50   78517     555   78240  3284926  41.84
  1947          27     0.00700  0.00698  0.50   77962     544   77690  3206686  41.13
  1947          28     0.00694  0.00691  0.50   77418     535   77151  3128996  40.42
  1947          29     0.00690  0.00688  0.50   76883     529   76619  3051845  39.69
  1947          30     0.00688  0.00686  0.50   76354     524   76093  2975227  38.97
  1947          31     0.00685  0.00682  0.50   75831     517   75572  2899134  38.23
  1947          32     0.00678  0.00676  0.50   75313     509   75059  2823562  37.49
  1947          33     0.00672  0.00670  0.50   74804     501   74554  2748503  36.74
  1947          34     0.00671  0.00668  0.50   74303     497   74055  2673949  35.99
  1947          35     0.00675  0.00673  0.50   73806     497   73558  2599895  35.23
  1947          36     0.00684  0.00682  0.50   73310     500   73060  2526337  34.46
  1947          37     0.00690  0.00688  0.50   72810     501   72560  2453277  33.69
  1947          38     0.00698  0.00695  0.50   72309     503   72058  2380717  32.92
  1947          39     0.00712  0.00710  0.50   71806     510   71552  2308659  32.15
  1947          40     0.00735  0.00733  0.50   71297     522   71036  2237107  31.38
  1947          41     0.00763  0.00760  0.50   70775     538   70506  2166071  30.61
  1947          42     0.00776  0.00773  0.50   70237     543   69965  2095566  29.84
  1947          43     0.00775  0.00772  0.50   69694     538   69424  2025601  29.06
  1947          44     0.00769  0.00766  0.50   69155     530   68890  1956176  28.29
  1947          45     0.00772  0.00769  0.50   68626     528   68362  1887286  27.50
  1947          46     0.00802  0.00799  0.50   68098     544   67825  1818924  26.71
  1947          47     0.00862  0.00859  0.50   67553     580   67263  1751099  25.92
  1947          48     0.00944  0.00939  0.50   66973     629   66659  1683836  25.14
  1947          49     0.01035  0.01030  0.50   66344     683   66003  1617177  24.38
  1947          50     0.01114  0.01108  0.50   65661     728   65297  1551174  23.62
  1947          51     0.01166  0.01159  0.50   64933     753   64557  1485877  22.88
  1947          52     0.01209  0.01202  0.50   64181     771   63795  1421320  22.15
  1947          53     0.01267  0.01259  0.50   63409     798   63010  1357525  21.41
  1947          54     0.01347  0.01338  0.50   62611     838   62192  1294515  20.68
  1947          55     0.01439  0.01429  0.50   61773     882   61332  1232323  19.95
  1947          56     0.01533  0.01521  0.50   60891     926   60428  1170991  19.23
  1947          57     0.01634  0.01621  0.50   59965     972   59479  1110563  18.52
