10.Gumma.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07059  0.06704  0.25  100000    6704   94976  5365716  53.66
  1947           1     0.02842  0.02802  0.50   93296    2614   91989  5270740  56.49
  1947           2     0.02130  0.02107  0.50   90682    1911   89727  5178750  57.11
  1947           3     0.01500  0.01489  0.50   88771    1322   88110  5089024  57.33
  1947           4     0.00994  0.00990  0.50   87449     865   87017  5000914  57.19
  1947           5     0.00632  0.00630  0.50   86584     545   86311  4913897  56.75
  1947           6     0.00395  0.00395  0.50   86039     339   85869  4827586  56.11
  1947           7     0.00257  0.00256  0.50   85699     220   85589  4741717  55.33
  1947           8     0.00183  0.00183  0.50   85480     157   85401  4656127  54.47
  1947           9     0.00153  0.00152  0.50   85323     130   85258  4570726  53.57
  1947          10     0.00147  0.00147  0.50   85193     125   85130  4485468  52.65
  1947          11     0.00158  0.00158  0.50   85068     134   85001  4400338  51.73
  1947          12     0.00180  0.00180  0.50   84934     153   84857  4315337  50.81
  1947          13     0.00214  0.00214  0.50   84781     181   84690  4230480  49.90
  1947          14     0.00257  0.00256  0.50   84600     217   84491  4145789  49.00
  1947          15     0.00305  0.00304  0.50   84383     257   84254  4061298  48.13
  1947          16     0.00359  0.00359  0.50   84126     302   83975  3977044  47.27
  1947          17     0.00421  0.00420  0.50   83824     352   83648  3893069  46.44
  1947          18     0.00486  0.00485  0.50   83472     405   83270  3809421  45.64
  1947          19     0.00551  0.00549  0.50   83067     456   82839  3726151  44.86
  1947          20     0.00610  0.00608  0.50   82611     502   82360  3643312  44.10
  1947          21     0.00659  0.00656  0.50   82109     539   81840  3560952  43.37
  1947          22     0.00696  0.00694  0.50   81570     566   81287  3479112  42.65
  1947          23     0.00726  0.00723  0.50   81004     586   80711  3397825  41.95
  1947          24     0.00752  0.00750  0.50   80419     603   80117  3317114  41.25
  1947          25     0.00776  0.00773  0.50   79816     617   79507  3236997  40.56
  1947          26     0.00795  0.00791  0.50   79199     627   78886  3157489  39.87
  1947          27     0.00809  0.00806  0.50   78572     633   78256  3078604  39.18
  1947          28     0.00817  0.00814  0.50   77939     634   77622  3000348  38.50
  1947          29     0.00818  0.00815  0.50   77305     630   76990  2922726  37.81
  1947          30     0.00810  0.00807  0.50   76675     619   76366  2845736  37.11
  1947          31     0.00792  0.00789  0.50   76056     600   75756  2769371  36.41
  1947          32     0.00765  0.00762  0.50   75457     575   75169  2693614  35.70
  1947          33     0.00742  0.00739  0.50   74882     554   74605  2618445  34.97
  1947          34     0.00735  0.00732  0.50   74328     544   74056  2543840  34.22
  1947          35     0.00740  0.00737  0.50   73784     544   73512  2469784  33.47
  1947          36     0.00750  0.00747  0.50   73240     547   72966  2396273  32.72
  1947          37     0.00764  0.00762  0.50   72692     554   72415  2323307  31.96
  1947          38     0.00777  0.00774  0.50   72139     559   71859  2250891  31.20
  1947          39     0.00784  0.00781  0.50   71580     559   71300  2179032  30.44
  1947          40     0.00787  0.00784  0.50   71021     557   70742  2107732  29.68
  1947          41     0.00787  0.00784  0.50   70464     553   70188  2036989  28.91
  1947          42     0.00781  0.00778  0.50   69911     544   69639  1966802  28.13
  1947          43     0.00779  0.00776  0.50   69368     538   69098  1897162  27.35
  1947          44     0.00795  0.00792  0.50   68829     545   68556  1828064  26.56
  1947          45     0.00826  0.00822  0.50   68284     561   68003  1759507  25.77
  1947          46     0.00864  0.00860  0.50   67722     582   67431  1691504  24.98
  1947          47     0.00909  0.00905  0.50   67140     608   66836  1624073  24.19
  1947          48     0.00966  0.00961  0.50   66532     639   66213  1557237  23.41
  1947          49     0.01034  0.01028  0.50   65893     678   65554  1491024  22.63
  1947          50     0.01103  0.01097  0.50   65215     715   64858  1425470  21.86
  1947          51     0.01165  0.01159  0.50   64500     747   64126  1360612  21.09
