11.Saitama.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08128  0.07679  0.28  100000    7679   94476  5307166  53.07
  1947           1     0.03227  0.03176  0.50   92321    2932   90855  5212690  56.46
  1947           2     0.02236  0.02212  0.50   89389    1977   88401  5121835  57.30
  1947           3     0.01452  0.01441  0.50   87412    1260   86782  5033435  57.58
  1947           4     0.00906  0.00902  0.50   86153     777   85764  4946652  57.42
  1947           5     0.00574  0.00573  0.50   85376     489   85131  4860888  56.94
  1947           6     0.00391  0.00390  0.50   84887     331   84721  4775757  56.26
  1947           7     0.00287  0.00286  0.50   84555     242   84434  4691036  55.48
  1947           8     0.00227  0.00227  0.50   84313     191   84217  4606602  54.64
  1947           9     0.00193  0.00192  0.50   84122     162   84041  4522384  53.76
  1947          10     0.00169  0.00169  0.50   83960     142   83889  4438344  52.86
  1947          11     0.00154  0.00154  0.50   83818     129   83754  4354454  51.95
  1947          12     0.00151  0.00151  0.50   83689     127   83626  4270701  51.03
  1947          13     0.00170  0.00170  0.50   83563     142   83492  4187075  50.11
  1947          14     0.00218  0.00218  0.50   83421     182   83330  4103583  49.19
  1947          15     0.00297  0.00296  0.50   83239     247   83116  4020254  48.30
  1947          16     0.00392  0.00391  0.50   82992     325   82830  3937138  47.44
  1947          17     0.00487  0.00486  0.50   82667     402   82467  3854308  46.62
  1947          18     0.00569  0.00567  0.50   82266     466   82033  3771842  45.85
  1947          19     0.00631  0.00629  0.50   81799     515   81542  3689809  45.11
  1947          20     0.00685  0.00683  0.50   81284     555   81007  3608267  44.39
  1947          21     0.00730  0.00727  0.50   80730     587   80436  3527260  43.69
  1947          22     0.00760  0.00757  0.50   80143     606   79839  3446824  43.01
  1947          23     0.00765  0.00762  0.50   79536     606   79233  3366985  42.33
  1947          24     0.00743  0.00740  0.50   78930     584   78638  3287752  41.65
  1947          25     0.00722  0.00720  0.50   78346     564   78064  3209114  40.96
  1947          26     0.00706  0.00704  0.50   77782     547   77509  3131050  40.25
  1947          27     0.00692  0.00689  0.50   77235     532   76969  3053541  39.54
  1947          28     0.00681  0.00679  0.50   76703     521   76442  2976572  38.81
  1947          29     0.00679  0.00677  0.50   76182     515   75924  2900130  38.07
  1947          30     0.00686  0.00684  0.50   75666     517   75408  2824206  37.32
  1947          31     0.00698  0.00696  0.50   75149     523   74887  2748799  36.58
  1947          32     0.00711  0.00709  0.50   74626     529   74362  2673911  35.83
  1947          33     0.00718  0.00716  0.50   74097     530   73832  2599550  35.08
  1947          34     0.00716  0.00714  0.50   73567     525   73304  2525718  34.33
  1947          35     0.00711  0.00709  0.50   73042     518   72783  2452414  33.58
  1947          36     0.00710  0.00708  0.50   72524     513   72267  2379631  32.81
  1947          37     0.00716  0.00714  0.50   72011     514   71754  2307363  32.04
  1947          38     0.00731  0.00728  0.50   71497     521   71237  2235609  31.27
  1947          39     0.00755  0.00752  0.50   70976     534   70709  2164373  30.49
  1947          40     0.00776  0.00773  0.50   70443     544   70170  2093664  29.72
  1947          41     0.00783  0.00780  0.50   69898     545   69625  2023493  28.95
  1947          42     0.00782  0.00779  0.50   69353     540   69083  1953868  28.17
  1947          43     0.00792  0.00789  0.50   68812     543   68541  1884785  27.39
  1947          44     0.00831  0.00828  0.50   68270     565   67987  1816244  26.60
  1947          45     0.00904  0.00900  0.50   67704     609   67400  1748257  25.82
  1947          46     0.00996  0.00991  0.50   67095     665   66763  1680857  25.05
  1947          47     0.01063  0.01057  0.50   66430     702   66079  1614094  24.30
  1947          48     0.01108  0.01102  0.50   65728     725   65366  1548015  23.55
  1947          49     0.01150  0.01143  0.50   65004     743   64632  1482649  22.81
  1947          50     0.01196  0.01189  0.50   64260     764   63878  1418017  22.07
  1947          51     0.01255  0.01247  0.50   63496     792   63100  1354139  21.33
  1947          52     0.01331  0.01323  0.50   62704     829   62290  1291039  20.59
  1947          53     0.01417  0.01407  0.50   61875     871   61440  1228749  19.86
  1947          54     0.01471  0.01460  0.50   61004     891   60559  1167309  19.13
  1947          55     0.01514  0.01502  0.50   60114     903   59662  1106750  18.41
  1947          56     0.01581  0.01569  0.50   59211     929   58746  1047088  17.68
  1947          57     0.01692  0.01677  0.50   58282     978   57793   988342  16.96
  1947          58     0.01855  0.01838  0.50   57304    1053   56778   930549  16.24
  1947          59     0.02059  0.02038  0.50   56251    1147   55678   873771  15.53
  1947          60     0.02290  0.02264  0.50   55105    1248   54481   818093  14.85
  1947          61     0.02533  0.02502  0.50   53857    1347   53183   763613  14.18
  1947          62     0.02788  0.02750  0.50   52510    1444   51788   710429  13.53
  1947          63     0.03057  0.03011  0.50   51066    1538   50297   658642  12.90
  1947          64     0.03347  0.03292  0.50   49528    1630   48713   608345  12.28
  1947          65     0.03656  0.03591  0.50   47898    1720   47038   559632  11.68
  1947          66     0.03967  0.03890  0.50   46178    1796   45280   512594  11.10
  1947          67     0.04285  0.04195  0.50   44382    1862   43451   467315  10.53
  1947          68     0.04636  0.04531  0.50   42520    1927   41556   423864   9.97
  1947          69     0.05076  0.04950  0.50   40593    2009   39588   382308   9.42
  1947          70     0.05658  0.05502  0.50   38584    2123   37522   342719   8.88
  1947          71     0.06387  0.06189  0.50   36461    2257   35332   305197   8.37
  1947          72     0.07187  0.06938  0.50   34204    2373   33018   269865   7.89
  1947          73     0.07976  0.07670  0.50   31831    2442   30610   236847   7.44
  1947          74     0.08705  0.08342  0.50   29390    2452   28164   206237   7.02
  1947          75     0.09385  0.08965  0.50   26938    2415   25730   178073   6.61
  1947          76     0.10177  0.09684  0.50   24523    2375   23336   152342   6.21
  1947          77     0.11100  0.10516  0.50   22148    2329   20984   129007   5.82
  1947          78     0.12135  0.11441  0.50   19819    2267   18685   108023   5.45
  1947          79     0.13299  0.12470  0.50   17552    2189   16457    89338   5.09
  1947          80     0.14620  0.13624  0.50   15363    2093   14316    72881   4.74
  1947          81     0.16149  0.14942  0.50   13270    1983   12278    58564   4.41
  1947          82     0.17916  0.16443  0.50   11287    1856   10359    46286   4.10
  1947          83     0.19879  0.18082  0.50    9431    1705    8578    35927   3.81
  1947          84     0.22012  0.19830  0.50    7726    1532    6960    27349   3.54
  1947          85     0.24303  0.21669  0.50    6194    1342    5523    20389   3.29
  1947          86     0.26744  0.23590  0.50    4852    1144    4279    14866   3.06
  1947          87     0.29332  0.25580  0.50    3707     948    3233    10587   2.86
  1947          88     0.32058  0.27629  0.50    2759     762    2378     7354   2.67
  1947          89     0.34912  0.29723  0.50    1997     593    1700     4976   2.49
  1947          90     0.37878  0.31847  0.50    1403     447    1180     3276   2.34
  1947          91     0.40938  0.33982  0.50     956     325     794     2097   2.19
  1947          92     0.44069  0.36112  0.50     631     228     517     1303   2.06
  1947          93     0.47249  0.38220  0.50     403     154     326      786   1.95
  1947          94     0.50451  0.40288  0.50     249     100     199      459   1.84
  1947          95     0.53649  0.42302  0.50     149      63     117      260   1.75
