12.Chiba.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08443  0.07965  0.29  100000    7965   94340  5532041  55.32
  1947           1     0.02192  0.02168  0.50   92035    1995   91037  5437701  59.08
  1947           2     0.01725  0.01710  0.50   90039    1540   89270  5346664  59.38
  1947           3     0.01294  0.01286  0.50   88500    1138   87931  5257395  59.41
  1947           4     0.00925  0.00920  0.50   87362     804   86960  5169464  59.17
  1947           5     0.00635  0.00633  0.50   86558     548   86284  5082504  58.72
  1947           6     0.00423  0.00422  0.50   86010     363   85829  4996219  58.09
  1947           7     0.00281  0.00281  0.50   85647     241   85527  4910391  57.33
  1947           8     0.00193  0.00192  0.50   85406     164   85324  4824864  56.49
  1947           9     0.00144  0.00144  0.50   85242     123   85181  4739540  55.60
  1947          10     0.00125  0.00125  0.50   85119     106   85066  4654359  54.68
  1947          11     0.00129  0.00129  0.50   85013     110   84958  4569293  53.75
  1947          12     0.00153  0.00152  0.50   84903     129   84838  4484334  52.82
  1947          13     0.00191  0.00191  0.50   84774     162   84693  4399496  51.90
  1947          14     0.00240  0.00240  0.50   84612     203   84511  4314803  51.00
  1947          15     0.00295  0.00294  0.50   84409     248   84285  4230292  50.12
  1947          16     0.00352  0.00352  0.50   84161     296   84013  4146007  49.26
  1947          17     0.00410  0.00409  0.50   83865     343   83694  4061994  48.43
  1947          18     0.00466  0.00465  0.50   83522     388   83328  3978300  47.63
  1947          19     0.00518  0.00517  0.50   83134     429   82919  3894972  46.85
  1947          20     0.00563  0.00561  0.50   82705     464   82473  3812053  46.09
  1947          21     0.00598  0.00596  0.50   82241     490   81996  3729580  45.35
  1947          22     0.00623  0.00621  0.50   81751     508   81497  3647584  44.62
  1947          23     0.00640  0.00638  0.50   81243     518   80983  3566088  43.89
  1947          24     0.00650  0.00648  0.50   80724     523   80463  3485104  43.17
  1947          25     0.00656  0.00654  0.50   80201     525   79939  3404642  42.45
  1947          26     0.00663  0.00661  0.50   79677     526   79413  3324703  41.73
  1947          27     0.00672  0.00669  0.50   79150     530   78885  3245289  41.00
  1947          28     0.00681  0.00679  0.50   78620     534   78354  3166404  40.27
  1947          29     0.00688  0.00685  0.50   78087     535   77819  3088050  39.55
  1947          30     0.00688  0.00686  0.50   77552     532   77286  3010231  38.82
  1947          31     0.00684  0.00682  0.50   77020     525   76757  2932946  38.08
  1947          32     0.00677  0.00675  0.50   76494     516   76236  2856188  37.34
  1947          33     0.00668  0.00666  0.50   75978     506   75725  2779952  36.59
