13.Tokyo.to, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.05733  0.05486  0.21  100000    5486   95685  5893465  58.93
  1947           1     0.02851  0.02811  0.50   94514    2657   93186  5797779  61.34
  1947           2     0.01679  0.01665  0.50   91857    1529   91093  5704594  62.10
  1947           3     0.00944  0.00940  0.50   90328     849   89903  5613501  62.15
  1947           4     0.00573  0.00572  0.50   89479     512   89223  5523598  61.73
  1947           5     0.00387  0.00386  0.50   88967     343   88796  5434374  61.08
  1947           6     0.00286  0.00285  0.50   88624     253   88498  5345579  60.32
  1947           7     0.00211  0.00211  0.50   88371     186   88278  5257081  59.49
  1947           8     0.00163  0.00163  0.50   88185     144   88113  5168803  58.61
  1947           9     0.00139  0.00139  0.50   88041     122   87980  5080690  57.71
  1947          10     0.00128  0.00128  0.50   87919     112   87863  4992710  56.79
  1947          11     0.00120  0.00120  0.50   87807     105   87754  4904847  55.86
  1947          12     0.00114  0.00114  0.50   87701     100   87652  4817093  54.93
  1947          13     0.00137  0.00137  0.50   87602     120   87542  4729441  53.99
  1947          14     0.00189  0.00189  0.50   87481     165   87399  4641900  53.06
  1947          15     0.00255  0.00255  0.50   87316     222   87205  4554501  52.16
  1947          16     0.00321  0.00321  0.50   87094     279   86954  4467296  51.29
  1947          17     0.00375  0.00374  0.50   86815     325   86652  4380341  50.46
  1947          18     0.00425  0.00424  0.50   86490     367   86307  4293689  49.64
  1947          19     0.00479  0.00478  0.50   86123     412   85918  4207382  48.85
  1947          20     0.00531  0.00530  0.50   85712     454   85485  4121465  48.09
  1947          21     0.00567  0.00566  0.50   85258     482   85016  4035980  47.34
  1947          22     0.00576  0.00575  0.50   84775     487   84532  3950964  46.61
  1947          23     0.00567  0.00566  0.50   84288     477   84050  3866432  45.87
  1947          24     0.00548  0.00547  0.50   83811     458   83582  3782382  45.13
  1947          25     0.00517  0.00515  0.50   83353     429   83138  3698800  44.38
  1947          26     0.00490  0.00489  0.50   82924     405   82721  3615662  43.60
  1947          27     0.00488  0.00487  0.50   82518     402   82317  3532941  42.81
  1947          28     0.00506  0.00505  0.50   82116     415   81909  3450624  42.02
  1947          29     0.00528  0.00527  0.50   81702     431   81486  3368715  41.23
  1947          30     0.00523  0.00521  0.50   81271     424   81059  3287228  40.45
  1947          31     0.00505  0.00503  0.50   80847     407   80644  3206169  39.66
  1947          32     0.00497  0.00495  0.50   80440     398   80241  3125526  38.86
  1947          33     0.00497  0.00496  0.50   80042     397   79843  3045284  38.05
  1947          34     0.00502  0.00501  0.50   79645     399   79445  2965441  37.23
  1947          35     0.00510  0.00509  0.50   79246     403   79044  2885996  36.42
  1947          36     0.00519  0.00517  0.50   78843     408   78639  2806952  35.60
  1947          37     0.00514  0.00513  0.50   78435     402   78234  2728313  34.78
  1947          38     0.00518  0.00517  0.50   78032     403   77831  2650079  33.96
  1947          39     0.00550  0.00548  0.50   77629     425   77416  2572249  33.14
  1947          40     0.00585  0.00583  0.50   77204     450   76979  2494832  32.31
  1947          41     0.00597  0.00595  0.50   76753     457   76525  2417854  31.50
