14.Kanagawa.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.06102  0.05827  0.22  100000    5827   95478  5760361  57.60
  1947           1     0.02411  0.02383  0.50   94173    2244   93052  5664883  60.15
  1947           2     0.01755  0.01739  0.50   91930    1599   91130  5571831  60.61
  1947           3     0.01187  0.01180  0.50   90331    1066   89798  5480701  60.67
  1947           4     0.00747  0.00744  0.50   89265     664   88933  5390903  60.39
  1947           5     0.00450  0.00449  0.50   88601     397   88402  5301970  59.84
  1947           6     0.00269  0.00269  0.50   88203     237   88085  5213568  59.11
  1947           7     0.00171  0.00171  0.50   87966     151   87891  5125483  58.27
  1947           8     0.00127  0.00127  0.50   87815     112   87760  5037593  57.37
  1947           9     0.00115  0.00115  0.50   87704     100   87654  4949833  56.44
  1947          10     0.00117  0.00117  0.50   87603     102   87552  4862180  55.50
  1947          11     0.00128  0.00128  0.50   87501     112   87445  4774627  54.57
  1947          12     0.00146  0.00146  0.50   87389     127   87326  4687182  53.64
  1947          13     0.00173  0.00172  0.50   87262     150   87187  4599857  52.71
  1947          14     0.00210  0.00210  0.50   87111     183   87020  4512670  51.80
  1947          15     0.00261  0.00261  0.50   86928     227   86815  4425650  50.91
  1947          16     0.00324  0.00323  0.50   86702     280   86562  4338835  50.04
  1947          17     0.00397  0.00396  0.50   86422     343   86250  4252273  49.20
  1947          18     0.00478  0.00477  0.50   86079     410   85874  4166023  48.40
  1947          19     0.00559  0.00557  0.50   85669     477   85430  4080149  47.63
  1947          20     0.00622  0.00620  0.50   85192     529   84927  3994719  46.89
  1947          21     0.00661  0.00659  0.50   84663     558   84384  3909792  46.18
  1947          22     0.00672  0.00670  0.50   84105     563   83824  3825407  45.48
  1947          23     0.00664  0.00661  0.50   83542     553   83266  3741584  44.79
  1947          24     0.00645  0.00643  0.50   82990     534   82723  3658318  44.08
  1947          25     0.00621  0.00619  0.50   82456     510   82201  3575595  43.36
  1947          26     0.00598  0.00596  0.50   81946     489   81702  3493394  42.63
  1947          27     0.00584  0.00582  0.50   81457     474   81220  3411692  41.88
  1947          28     0.00578  0.00576  0.50   80983     466   80750  3330472  41.13
  1947          29     0.00575  0.00574  0.50   80516     462   80285  3249723  40.36
  1947          30     0.00574  0.00573  0.50   80054     458   79825  3169437  39.59
  1947          31     0.00573  0.00572  0.50   79596     455   79368  3089612  38.82
  1947          32     0.00572  0.00570  0.50   79141     451   78915  3010244  38.04
  1947          33     0.00566  0.00565  0.50   78690     445   78468  2931328  37.25
  1947          34     0.00557  0.00556  0.50   78245     435   78028  2852861  36.46
  1947          35     0.00553  0.00552  0.50   77811     429   77596  2774833  35.66
  1947          36     0.00564  0.00563  0.50   77381     435   77164  2697237  34.86
  1947          37     0.00586  0.00584  0.50   76946     450   76721  2620074  34.05
  1947          38     0.00613  0.00611  0.50   76496     467   76262  2543353  33.25
  1947          39     0.00638  0.00636  0.50   76029     483   75787  2467090  32.45
  1947          40     0.00658  0.00656  0.50   75545     496   75298  2391303  31.65
  1947          41     0.00670  0.00668  0.50   75050     501   74799  2316005  30.86
  1947          42     0.00668  0.00666  0.50   74549     496   74301  2241206  30.06
  1947          43     0.00659  0.00657  0.50   74052     487   73809  2166906  29.26
  1947          44     0.00654  0.00652  0.50   73566     480   73326  2093097  28.45
  1947          45     0.00662  0.00659  0.50   73086     482   72845  2019771  27.64
  1947          46     0.00688  0.00686  0.50   72604     498   72355  1946925  26.82
  1947          47     0.00741  0.00738  0.50   72106     532   71840  1874570  26.00
  1947          48     0.00816  0.00813  0.50   71574     582   71283  1802730  25.19
  1947          49     0.00905  0.00901  0.50   70992     640   70672  1731448  24.39
  1947          50     0.00986  0.00981  0.50   70352     690   70007  1660775  23.61
  1947          51     0.01044  0.01038  0.50   69662     723   69300  1590768  22.84
  1947          52     0.01093  0.01087  0.50   68939     749   68564  1521468  22.07
  1947          53     0.01153  0.01146  0.50   68190     781   67799  1452904  21.31
  1947          54     0.01226  0.01218  0.50   67408     821   66998  1385105  20.55
  1947          55     0.01317  0.01308  0.50   66587     871   66151  1318107  19.80
  1947          56     0.01429  0.01419  0.50   65716     933   65250  1251956  19.05
  1947          57     0.01559  0.01547  0.50   64783    1002   64282  1186706  18.32
  1947          58     0.01697  0.01682  0.50   63781    1073   63244  1122424  17.60
  1947          59     0.01831  0.01815  0.50   62708    1138   62139  1059180  16.89
  1947          60     0.01973  0.01954  0.50   61570    1203   60969   997040  16.19
  1947          61     0.02137  0.02114  0.50   60367    1276   59729   936072  15.51
  1947          62     0.02322  0.02295  0.50   59091    1356   58412   876343  14.83
  1947          63     0.02526  0.02494  0.50   57734    1440   57014   817931  14.17
  1947          64     0.02751  0.02714  0.50   56294    1528   55530   760916  13.52
  1947          65     0.03009  0.02964  0.50   54767    1623   53955   705386  12.88
  1947          66     0.03331  0.03277  0.50   53143    1741   52273   651431  12.26
  1947          67     0.03712  0.03644  0.50   51402    1873   50466   599158  11.66
  1947          68     0.04130  0.04047  0.50   49529    2004   48527   548693  11.08
  1947          69     0.04559  0.04457  0.50   47525    2118   46466   500166  10.52
  1947          70     0.04974  0.04853  0.50   45406    2204   44305   453700   9.99
  1947          71     0.05386  0.05244  0.50   43203    2266   42070   409396   9.48
  1947          72     0.05812  0.05647  0.50   40937    2312   39781   367326   8.97
  1947          73     0.06271  0.06081  0.50   38625    2349   37451   327545   8.48
  1947          74     0.06789  0.06566  0.50   36276    2382   35085   290094   8.00
  1947          75     0.07404  0.07140  0.50   33894    2420   32684   255009   7.52
  1947          76     0.08198  0.07876  0.50   31474    2479   30235   222324   7.06
  1947          77     0.09184  0.08781  0.50   28996    2546   27723   192089   6.62
  1947          78     0.10338  0.09830  0.50   26449    2600   25149   164367   6.21
  1947          79     0.11575  0.10942  0.50   23849    2610   22545   139218   5.84
  1947          80     0.12813  0.12042  0.50   21240    2558   19961   116673   5.49
  1947          81     0.14051  0.13128  0.50   18682    2453   17456    96712   5.18
  1947          82     0.15303  0.14215  0.50   16230    2307   15076    79256   4.88
  1947          83     0.16588  0.15318  0.50   13923    2133   12856    64180   4.61
  1947          84     0.17926  0.16451  0.50   11790    1940   10820    51323   4.35
  1947          85     0.19334  0.17630  0.50    9850    1737    8982    40503   4.11
  1947          86     0.20823  0.18859  0.50    8114    1530    7349    31521   3.88
  1947          87     0.22397  0.20142  0.50    6584    1326    5921    24173   3.67
  1947          88     0.24058  0.21475  0.50    5258    1129    4693    18252   3.47
  1947          89     0.25805  0.22856  0.50    4128     944    3657    13559   3.28
  1947          90     0.27635  0.24280  0.50    3185     773    2798     9902   3.11
  1947          91     0.29543  0.25741  0.50    2412     621    2101     7104   2.95
  1947          92     0.31527  0.27234  0.50    1791     488    1547     5003   2.79
  1947          93     0.33580  0.28752  0.50    1303     375    1116     3456   2.65
  1947          94     0.35697  0.30290  0.50     928     281     788     2340   2.52
  1947          95     0.37871  0.31841  0.50     647     206     544     1552   2.40
  1947          96     0.40095  0.33399  0.50     441     147     367     1008   2.29
  1947          97     0.42360  0.34956  0.50     294     103     242      641   2.18
  1947          98     0.44658  0.36506  0.50     191      70     156      398   2.08
  1947          99     0.46979  0.38043  0.50     121      46      98      242   1.99
  1947         100     0.49312  0.39559  0.50      75      30      60      144   1.91
  1947         101     0.51649  0.41048  0.50      45      19      36       83   1.84
  1947         102     0.53976  0.42505  0.50      27      11      21       47   1.77
  1947         103     0.56285  0.43924  0.50      15       7      12       26   1.70
  1947         104     0.58563  0.45299  0.50       9       4       7       14   1.64
  1947         105     0.60802  0.46627  0.50       5       2       4        7   1.59
  1947         106     0.62994  0.47905  0.50       3       1       2        4   1.54
  1947         107     0.65138  0.49135  0.50       1       1       1        2   1.49
  1947         108     0.67238  0.50321  0.50       1       0       1        1   1.45
  1947         109     0.69304  0.51469  0.50       0       0       0        0   1.41
  1947         110+    0.72769  1.00000  1.37       0       0       0        0   1.37
  1948           0     0.03890  0.03772  0.19  100000    3772   96952  6202689  62.03
  1948           1     0.01059  0.01054  0.50   96228    1014   95721  6105737  63.45
  1948           2     0.00741  0.00738  0.50   95214     703   94863  6010015  63.12
  1948           3     0.00503  0.00502  0.50   94511     475   94274  5915152  62.59
  1948           4     0.00349  0.00348  0.50   94037     327   93873  5820878  61.90
  1948           5     0.00257  0.00256  0.50   93710     240   93589  5727005  61.11
  1948           6     0.00203  0.00203  0.50   93469     190   93374  5633416  60.27
  1948           7     0.00165  0.00165  0.50   93280     154   93203  5540041  59.39
  1948           8     0.00139  0.00139  0.50   93126     129   93061  5446839  58.49
  1948           9     0.00126  0.00126  0.50   92996     118   92938  5353778  57.57
  1948          10     0.00128  0.00128  0.50   92879     119   92819  5260840  56.64
  1948          11     0.00137  0.00137  0.50   92760     127   92696  5168021  55.71
  1948          12     0.00146  0.00146  0.50   92632     135   92565  5075325  54.79
  1948          13     0.00155  0.00155  0.50   92497     143   92426  4982760  53.87
  1948          14     0.00178  0.00178  0.50   92354     164   92272  4890335  52.95
  1948          15     0.00223  0.00223  0.50   92190     206   92087  4798063  52.05
  1948          16     0.00278  0.00277  0.50   91984     255   91856  4705976  51.16
  1948          17     0.00329  0.00328  0.50   91729     301   91578  4614120  50.30
  1948          18     0.00386  0.00385  0.50   91428     352   91252  4522542  49.47
  1948          19     0.00462  0.00461  0.50   91076     420   90866  4431290  48.65
  1948          20     0.00555  0.00554  0.50   90656     502   90405  4340424  47.88
  1948          21     0.00639  0.00637  0.50   90154     574   89866  4250019  47.14
  1948          22     0.00688  0.00685  0.50   89579     614   89272  4160153  46.44
  1948          23     0.00685  0.00683  0.50   88965     607   88662  4070881  45.76
  1948          24     0.00637  0.00635  0.50   88358     561   88077  3982219  45.07
  1948          25     0.00607  0.00605  0.50   87797     531   87531  3894142  44.35
  1948          26     0.00590  0.00589  0.50   87266     514   87009  3806611  43.62
  1948          27     0.00571  0.00569  0.50   86752     494   86505  3719602  42.88
  1948          28     0.00553  0.00551  0.50   86258     475   86020  3633097  42.12
  1948          29     0.00541  0.00540  0.50   85782     463   85551  3547077  41.35
  1948          30     0.00530  0.00529  0.50   85319     451   85094  3461526  40.57
  1948          31     0.00521  0.00520  0.50   84868     441   84647  3376432  39.78
  1948          32     0.00516  0.00514  0.50   84427     434   84209  3291785  38.99
  1948          33     0.00507  0.00506  0.50   83992     425   83780  3207576  38.19
  1948          34     0.00492  0.00491  0.50   83567     410   83362  3123796  37.38
  1948          35     0.00481  0.00480  0.50   83157     399   82958  3040433  36.56
  1948          36     0.00488  0.00487  0.50   82758     403   82557  2957476  35.74
  1948          37     0.00513  0.00511  0.50   82355     421   82145  2874919  34.91
  1948          38     0.00546  0.00545  0.50   81934     446   81711  2792775  34.09
  1948          39     0.00578  0.00577  0.50   81488     470   81253  2711063  33.27
  1948          40     0.00608  0.00606  0.50   81018     491   80773  2629810  32.46
  1948          41     0.00630  0.00628  0.50   80527     506   80274  2549038  31.65
  1948          42     0.00631  0.00629  0.50   80022     503   79770  2468763  30.85
  1948          43     0.00621  0.00619  0.50   79518     492   79272  2388993  30.04
  1948          44     0.00618  0.00616  0.50   79026     487   78782  2309721  29.23
  1948          45     0.00644  0.00641  0.50   78539     504   78287  2230939  28.41
  1948          46     0.00696  0.00694  0.50   78035     542   77764  2152652  27.59
  1948          47     0.00718  0.00715  0.50   77494     554   77216  2074887  26.77
  1948          48     0.00747  0.00744  0.50   76939     572   76653  1997671  25.96
  1948          49     0.00831  0.00828  0.50   76367     632   76051  1921018  25.16
  1948          50     0.00940  0.00936  0.50   75735     709   75380  1844967  24.36
  1948          51     0.01036  0.01030  0.50   75026     773   74639  1769587  23.59
  1948          52     0.01133  0.01126  0.50   74253     836   73835  1694947  22.83
  1948          53     0.01238  0.01230  0.50   73417     903   72965  1621113  22.08
  1948          54     0.01294  0.01285  0.50   72513     932   72047  1548148  21.35
  1948          55     0.01320  0.01312  0.50   71581     939   71112  1476100  20.62
  1948          56     0.01356  0.01347  0.50   70642     952   70167  1404988  19.89
  1948          57     0.01405  0.01395  0.50   69691     972   69205  1334822  19.15
  1948          58     0.01471  0.01460  0.50   68718    1004   68217  1265617  18.42
