15.Niigata.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08192  0.07737  0.28  100000    7737   94448  5257089  52.57
  1947           1     0.03353  0.03298  0.50   92263    3043   90742  5162642  55.96
  1947           2     0.01927  0.01909  0.50   89220    1703   88369  5071900  56.85
  1947           3     0.01046  0.01041  0.50   87517     911   87062  4983532  56.94
  1947           4     0.00618  0.00616  0.50   86606     533   86340  4896470  56.54
  1947           5     0.00420  0.00419  0.50   86073     361   85893  4810130  55.88
  1947           6     0.00344  0.00343  0.50   85712     294   85565  4724238  55.12
  1947           7     0.00307  0.00306  0.50   85418     262   85287  4638673  54.31
  1947           8     0.00252  0.00251  0.50   85156     214   85049  4553386  53.47
  1947           9     0.00201  0.00201  0.50   84942     171   84857  4468337  52.60
  1947          10     0.00187  0.00187  0.50   84772     158   84693  4383480  51.71
  1947          11     0.00196  0.00196  0.50   84613     166   84530  4298787  50.81
  1947          12     0.00211  0.00210  0.50   84447     178   84358  4214257  49.90
  1947          13     0.00231  0.00231  0.50   84270     195   84172  4129898  49.01
  1947          14     0.00282  0.00282  0.50   84075     237   83956  4045726  48.12
  1947          15     0.00379  0.00378  0.50   83838     317   83679  3961770  47.26
  1947          16     0.00483  0.00482  0.50   83521     402   83320  3878090  46.43
  1947          17     0.00556  0.00554  0.50   83119     461   82888  3794771  45.65
  1947          18     0.00612  0.00610  0.50   82658     505   82406  3711882  44.91
  1947          19     0.00672  0.00669  0.50   82153     550   81878  3629477  44.18
  1947          20     0.00725  0.00722  0.50   81604     589   81309  3547598  43.47
  1947          21     0.00777  0.00774  0.50   81014     627   80701  3466289  42.79
  1947          22     0.00832  0.00828  0.50   80387     666   80054  3385589  42.12
  1947          23     0.00874  0.00870  0.50   79721     693   79375  3305535  41.46
  1947          24     0.00877  0.00873  0.50   79028     690   78683  3226160  40.82
  1947          25     0.00825  0.00822  0.50   78338     644   78016  3147477  40.18
  1947          26     0.00775  0.00772  0.50   77694     599   77394  3069462  39.51
  1947          27     0.00780  0.00777  0.50   77094     599   76795  2992068  38.81
  1947          28     0.00814  0.00811  0.50   76495     620   76185  2915273  38.11
  1947          29     0.00830  0.00826  0.50   75875     627   75562  2839088  37.42
  1947          30     0.00810  0.00807  0.50   75248     607   74945  2763526  36.73
  1947          31     0.00774  0.00771  0.50   74641     576   74353  2688582  36.02
  1947          32     0.00746  0.00743  0.50   74065     550   73790  2614228  35.30
  1947          33     0.00731  0.00728  0.50   73515     535   73247  2540438  34.56
  1947          34     0.00731  0.00728  0.50   72980     531   72714  2467191  33.81
  1947          35     0.00747  0.00744  0.50   72448     539   72179  2394477  33.05
  1947          36     0.00768  0.00765  0.50   71909     550   71634  2322298  32.29
  1947          37     0.00753  0.00750  0.50   71359     535   71091  2250664  31.54
  1947          38     0.00731  0.00729  0.50   70824     516   70566  2179572  30.77
  1947          39     0.00745  0.00742  0.50   70308     522   70047  2109007  30.00
  1947          40     0.00806  0.00802  0.50   69786     560   69506  2038960  29.22
  1947          41     0.00884  0.00880  0.50   69226     609   68922  1969453  28.45
  1947          42     0.00867  0.00864  0.50   68617     593   68320  1900532  27.70
  1947          43     0.00825  0.00821  0.50   68024     559   67745  1832211  26.93
  1947          44     0.00848  0.00845  0.50   67465     570   67180  1764467  26.15
  1947          45     0.00903  0.00899  0.50   66895     602   66595  1697286  25.37
  1947          46     0.00939  0.00935  0.50   66294     620   65984  1630692  24.60
  1947          47     0.00967  0.00963  0.50   65674     632   65358  1564708  23.83
  1947          48     0.00999  0.00994  0.50   65042     646   64719  1499350  23.05
  1947          49     0.01043  0.01038  0.50   64396     668   64062  1434631  22.28
