16.Toyama.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11592  0.10779  0.35  100000   10779   92993  5025401  50.25
  1947           1     0.05118  0.04990  0.50   89221    4452   86994  4932407  55.28
  1947           2     0.02523  0.02491  0.50   84768    2112   83712  4845413  57.16
  1947           3     0.01175  0.01168  0.50   82656     966   82173  4761701  57.61
  1947           4     0.00726  0.00723  0.50   81690     591   81395  4679528  57.28
  1947           5     0.00536  0.00535  0.50   81100     434   80883  4598132  56.70
  1947           6     0.00415  0.00414  0.50   80666     334   80499  4517249  56.00
  1947           7     0.00303  0.00303  0.50   80332     243   80210  4436750  55.23
  1947           8     0.00220  0.00220  0.50   80089     176   80000  4356540  54.40
  1947           9     0.00177  0.00177  0.50   79912     141   79842  4276539  53.52
  1947          10     0.00169  0.00169  0.50   79771     135   79703  4196698  52.61
  1947          11     0.00161  0.00161  0.50   79636     128   79572  4116994  51.70
  1947          12     0.00135  0.00135  0.50   79508     108   79454  4037422  50.78
  1947          13     0.00160  0.00159  0.50   79400     127   79337  3957968  49.85
  1947          14     0.00226  0.00225  0.50   79274     179   79184  3878631  48.93
  1947          15     0.00303  0.00303  0.50   79095     239   78975  3799447  48.04
  1947          16     0.00375  0.00374  0.50   78855     295   78708  3720472  47.18
  1947          17     0.00439  0.00438  0.50   78560     344   78388  3641764  46.36
  1947          18     0.00539  0.00538  0.50   78216     421   78006  3563376  45.56
  1947          19     0.00697  0.00694  0.50   77796     540   77526  3485370  44.80
  1947          20     0.00817  0.00814  0.50   77255     629   76941  3407844  44.11
  1947          21     0.00901  0.00897  0.50   76626     688   76283  3330903  43.47
  1947          22     0.00969  0.00964  0.50   75939     732   75573  3254621  42.86
  1947          23     0.00993  0.00988  0.50   75207     743   74835  3179048  42.27
  1947          24     0.00940  0.00936  0.50   74464     697   74116  3104212  41.69
  1947          25     0.00828  0.00824  0.50   73767     608   73463  3030097  41.08
  1947          26     0.00763  0.00761  0.50   73159     556   72881  2956634  40.41
