17.Ishikawa.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10218  0.09572  0.34  100000    9572   93674  5192027  51.92
  1947           1     0.03717  0.03649  0.50   90428    3300   88778  5098353  56.38
  1947           2     0.02283  0.02257  0.50   87129    1966   86145  5009575  57.50
  1947           3     0.01279  0.01271  0.50   85162    1083   84621  4923429  57.81
  1947           4     0.00701  0.00699  0.50   84080     587   83786  4838809  57.55
  1947           5     0.00427  0.00426  0.50   83492     356   83314  4755023  56.95
  1947           6     0.00336  0.00336  0.50   83136     279   82997  4671709  56.19
  1947           7     0.00308  0.00307  0.50   82857     255   82730  4588712  55.38
  1947           8     0.00256  0.00256  0.50   82602     211   82497  4505983  54.55
  1947           9     0.00198  0.00198  0.50   82391     163   82309  4423486  53.69
  1947          10     0.00168  0.00167  0.50   82228     138   82159  4341177  52.79
  1947          11     0.00168  0.00167  0.50   82090     137   82021  4259018  51.88
  1947          12     0.00191  0.00191  0.50   81953     157   81874  4176997  50.97
  1947          13     0.00229  0.00229  0.50   81796     187   81702  4095123  50.07
  1947          14     0.00290  0.00289  0.50   81608     236   81490  4013420  49.18
  1947          15     0.00377  0.00376  0.50   81372     306   81219  3931930  48.32
  1947          16     0.00462  0.00461  0.50   81066     373   80880  3850711  47.50
  1947          17     0.00517  0.00516  0.50   80693     416   80485  3769831  46.72
  1947          18     0.00552  0.00551  0.50   80277     442   80056  3689346  45.96
  1947          19     0.00597  0.00595  0.50   79835     475   79597  3609290  45.21
  1947          20     0.00698  0.00696  0.50   79360     552   79084  3529693  44.48
  1947          21     0.00811  0.00808  0.50   78807     636   78489  3450609  43.79
  1947          22     0.00878  0.00874  0.50   78171     683   77829  3372120  43.14
  1947          23     0.00898  0.00894  0.50   77488     693   77141  3294291  42.51
  1947          24     0.00885  0.00881  0.50   76795     677   76457  3217149  41.89
  1947          25     0.00854  0.00850  0.50   76118     647   75795  3140693  41.26
  1947          26     0.00825  0.00821  0.50   75471     620   75161  3064898  40.61
  1947          27     0.00811  0.00808  0.50   74851     605   74549  2989737  39.94
  1947          28     0.00802  0.00799  0.50   74246     593   73950  2915188  39.26
  1947          29     0.00782  0.00779  0.50   73653     574   73366  2841238  38.58
  1947          30     0.00749  0.00747  0.50   73080     546   72807  2767872  37.87
  1947          31     0.00730  0.00728  0.50   72534     528   72270  2695065  37.16
  1947          32     0.00741  0.00738  0.50   72006     531   71741  2622795  36.42
  1947          33     0.00745  0.00742  0.50   71475     530   71210  2551054  35.69
  1947          34     0.00710  0.00708  0.50   70944     502   70693  2479844  34.95
  1947          35     0.00670  0.00668  0.50   70442     470   70207  2409151  34.20
  1947          36     0.00660  0.00658  0.50   69972     460   69742  2338944  33.43
  1947          37     0.00667  0.00664  0.50   69512     462   69281  2269202  32.64
  1947          38     0.00710  0.00707  0.50   69050     488   68806  2199921  31.86
  1947          39     0.00805  0.00802  0.50   68561     550   68287  2131116  31.08
  1947          40     0.00899  0.00895  0.50   68012     609   67707  2062829  30.33
  1947          41     0.00936  0.00932  0.50   67403     628   67089  1995122  29.60
  1947          42     0.00926  0.00922  0.50   66775     616   66467  1928033  28.87
  1947          43     0.00895  0.00891  0.50   66159     589   65865  1861566  28.14
  1947          44     0.00871  0.00867  0.50   65570     568   65286  1795701  27.39
  1947          45     0.00883  0.00879  0.50   65001     571   64716  1730415  26.62
  1947          46     0.00945  0.00940  0.50   64430     606   64127  1665700  25.85
  1947          47     0.01020  0.01015  0.50   63824     648   63500  1601572  25.09
  1947          48     0.01093  0.01087  0.50   63176     687   62833  1538072  24.35
  1947          49     0.01157  0.01150  0.50   62490     719   62130  1475239  23.61
  1947          50     0.01212  0.01205  0.50   61771     744   61399  1413109  22.88
  1947          51     0.01249  0.01241  0.50   61027     757   60648  1351710  22.15
  1947          52     0.01221  0.01213  0.50   60269     731   59904  1291062  21.42
  1947          53     0.01126  0.01119  0.50   59538     666   59205  1231158  20.68
  1947          54     0.01129  0.01122  0.50   58872     661   58541  1171953  19.91
  1947          55     0.01259  0.01251  0.50   58211     728   57847  1113412  19.13
  1947          56     0.01484  0.01473  0.50   57483     847   57059  1055565  18.36
  1947          57     0.01709  0.01694  0.50   56636     960   56156   998506  17.63
  1947          58     0.01849  0.01832  0.50   55676    1020   55166   942350  16.93
  1947          59     0.01935  0.01916  0.50   54656    1047   54132   887184  16.23
  1947          60     0.02030  0.02010  0.50   53608    1077   53070   833052  15.54
  1947          61     0.02191  0.02168  0.50   52531    1139   51962   779983  14.85
  1947          62     0.02438  0.02408  0.50   51392    1238   50773   728021  14.17
  1947          63     0.02760  0.02722  0.50   50155    1365   49472   677248  13.50
  1947          64     0.03071  0.03025  0.50   48789    1476   48052   627776  12.87
  1947          65     0.03321  0.03267  0.50   47314    1546   46541   579724  12.25
  1947          66     0.03635  0.03570  0.50   45768    1634   44951   533183  11.65
  1947          67     0.04059  0.03978  0.50   44134    1756   43256   488232  11.06
  1947          68     0.04571  0.04468  0.50   42378    1894   41432   444976  10.50
  1947          69     0.04997  0.04875  0.50   40485    1974   39498   403544   9.97
  1947          70     0.05247  0.05113  0.50   38511    1969   37527   364046   9.45
  1947          71     0.05610  0.05457  0.50   36542    1994   35545   326519   8.94
  1947          72     0.06127  0.05945  0.50   34548    2054   33521   290974   8.42
  1947          73     0.06739  0.06519  0.50   32494    2118   31435   257453   7.92
  1947          74     0.07354  0.07094  0.50   30376    2155   29298   226018   7.44
  1947          75     0.07992  0.07685  0.50   28221    2169   27137   196720   6.97
  1947          76     0.09021  0.08631  0.50   26052    2249   24928   169583   6.51
  1947          77     0.10440  0.09922  0.50   23804    2362   22623   144655   6.08
  1947          78     0.12085  0.11397  0.50   21442    2444   20220   122032   5.69
  1947          79     0.13636  0.12765  0.50   18998    2425   17786   101812   5.36
  1947          80     0.14843  0.13817  0.50   16573    2290   15428    84026   5.07
  1947          81     0.15912  0.14740  0.50   14283    2105   13231    68598   4.80
  1947          82     0.17095  0.15749  0.50   12178    1918   11219    55367   4.55
  1947          83     0.18378  0.16831  0.50   10260    1727    9397    44149   4.30
  1947          84     0.19747  0.17972  0.50    8533    1534    7766    34752   4.07
  1947          85     0.21201  0.19169  0.50    6999    1342    6329    26986   3.86
  1947          86     0.22736  0.20415  0.50    5658    1155    5080    20657   3.65
  1947          87     0.24345  0.21703  0.50    4503     977    4014    15577   3.46
  1947          88     0.26028  0.23031  0.50    3525     812    3119    11563   3.28
  1947          89     0.27785  0.24395  0.50    2714     662    2383     8443   3.11
  1947          90     0.29612  0.25793  0.50    2052     529    1787     6061   2.95
  1947          91     0.31507  0.27219  0.50    1522     414    1315     4274   2.81
  1947          92     0.33466  0.28669  0.50    1108     318     949     2959   2.67
  1947          93     0.35484  0.30137  0.50     790     238     671     2010   2.54
  1947          94     0.37554  0.31617  0.50     552     175     465     1338   2.42
  1947          95     0.39671  0.33105  0.50     378     125     315      873   2.31
  1947          96     0.41828  0.34593  0.50     253      87     209      558   2.21
  1947          97     0.44016  0.36076  0.50     165      60     135      349   2.12
  1947          98     0.46228  0.37549  0.50     106      40      86      214   2.03
  1947          99     0.48454  0.39005  0.50      66      26      53      128   1.95
  1947         100     0.50687  0.40439  0.50      40      16      32       75   1.87
