18.Fukui.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10119  0.09482  0.34  100000    9482   93707  5031817  50.32
  1947           1     0.05505  0.05357  0.50   90518    4849   88093  4938110  54.55
  1947           2     0.02925  0.02883  0.50   85669    2470   84433  4850017  56.61
  1947           3     0.01411  0.01401  0.50   83198    1165   82616  4765584  57.28
  1947           4     0.00746  0.00743  0.50   82033     609   81728  4682968  57.09
  1947           5     0.00470  0.00469  0.50   81424     382   81233  4601239  56.51
  1947           6     0.00370  0.00369  0.50   81042     299   80892  4520007  55.77
  1947           7     0.00312  0.00311  0.50   80743     251   80617  4439114  54.98
  1947           8     0.00248  0.00248  0.50   80491     200   80391  4358498  54.15
  1947           9     0.00203  0.00203  0.50   80291     163   80210  4278106  53.28
  1947          10     0.00195  0.00195  0.50   80129     156   80051  4197896  52.39
  1947          11     0.00181  0.00181  0.50   79972     145   79900  4117846  51.49
  1947          12     0.00141  0.00141  0.50   79827     113   79771  4037946  50.58
  1947          13     0.00172  0.00171  0.50   79715     137   79646  3958175  49.65
  1947          14     0.00235  0.00235  0.50   79578     187   79484  3878529  48.74
  1947          15     0.00280  0.00279  0.50   79391     222   79280  3799044  47.85
  1947          16     0.00365  0.00364  0.50   79169     289   79025  3719764  46.98
  1947          17     0.00543  0.00542  0.50   78881     427   78667  3640739  46.15
  1947          18     0.00725  0.00722  0.50   78453     567   78170  3562072  45.40
  1947          19     0.00826  0.00822  0.50   77887     641   77567  3483902  44.73
  1947          20     0.00893  0.00889  0.50   77246     687   76903  3406335  44.10
  1947          21     0.00905  0.00901  0.50   76559     689   76215  3329432  43.49
  1947          22     0.00836  0.00832  0.50   75870     632   75554  3253218  42.88
  1947          23     0.00767  0.00764  0.50   75238     575   74951  3177664  42.23
  1947          24     0.00778  0.00775  0.50   74663     579   74374  3102713  41.56
  1947          25     0.00841  0.00838  0.50   74084     621   73774  3028339  40.88
  1947          26     0.00895  0.00891  0.50   73464     654   73137  2954565  40.22
  1947          27     0.00888  0.00884  0.50   72810     643   72488  2881428  39.57
  1947          28     0.00815  0.00812  0.50   72166     586   71873  2808940  38.92
  1947          29     0.00727  0.00724  0.50   71580     518   71321  2737067  38.24
  1947          30     0.00767  0.00764  0.50   71062     543   70790  2665746  37.51
  1947          31     0.00842  0.00838  0.50   70519     591   70223  2594955  36.80
  1947          32     0.00826  0.00822  0.50   69928     575   69640  2524732  36.10
  1947          33     0.00766  0.00763  0.50   69353     529   69088  2455092  35.40
  1947          34     0.00737  0.00734  0.50   68824     505   68571  2386004  34.67
  1947          35     0.00750  0.00747  0.50   68318     511   68063  2317433  33.92
  1947          36     0.00792  0.00789  0.50   67808     535   67540  2249370  33.17
  1947          37     0.00818  0.00814  0.50   67273     548   66999  2181830  32.43
  1947          38     0.00833  0.00829  0.50   66725     553   66448  2114831  31.69
  1947          39     0.00854  0.00850  0.50   66172     563   65890  2048382  30.96
  1947          40     0.00880  0.00876  0.50   65609     575   65322  1982492  30.22
  1947          41     0.00877  0.00873  0.50   65034     568   64750  1917170  29.48
  1947          42     0.00761  0.00758  0.50   64466     488   64222  1852420  28.73
  1947          43     0.00620  0.00619  0.50   63978     396   63780  1788198  27.95
  1947          44     0.00576  0.00575  0.50   63582     365   63400  1724418  27.12
  1947          45     0.00659  0.00657  0.50   63217     415   63009  1661018  26.27
  1947          46     0.00859  0.00855  0.50   62802     537   62533  1598009  25.45
  1947          47     0.01091  0.01085  0.50   62265     676   61927  1535476  24.66
  1947          48     0.01264  0.01256  0.50   61589     773   61202  1473549  23.93
  1947          49     0.01321  0.01312  0.50   60816     798   60417  1412347  23.22
  1947          50     0.01335  0.01326  0.50   60018     796   59620  1351930  22.53
  1947          51     0.01389  0.01380  0.50   59222     817   58813  1292310  21.82
  1947          52     0.01483  0.01472  0.50   58405     860   57975  1233497  21.12
  1947          53     0.01546  0.01535  0.50   57545     883   57104  1175522  20.43
  1947          54     0.01430  0.01420  0.50   56662     804   56260  1118418  19.74
  1947          55     0.01328  0.01319  0.50   55858     737   55489  1062158  19.02
  1947          56     0.01440  0.01430  0.50   55121     788   54727  1006669  18.26
  1947          57     0.01600  0.01588  0.50   54333     863   53902   951942  17.52
  1947          58     0.01653  0.01640  0.50   53470     877   53032   898040  16.80
  1947          59     0.01795  0.01779  0.50   52594     936   52126   845008  16.07
  1947          60     0.02092  0.02071  0.50   51658    1070   51123   792882  15.35
  1947          61     0.02524  0.02493  0.50   50588    1261   49958   741759  14.66
  1947          62     0.02958  0.02915  0.50   49327    1438   48608   691802  14.02
  1947          63     0.03265  0.03213  0.50   47889    1539   47120   643194  13.43
  1947          64     0.03463  0.03404  0.50   46351    1578   45562   596074  12.86
  1947          65     0.03612  0.03548  0.50   44773    1589   43979   550512  12.30
  1947          66     0.03805  0.03734  0.50   43184    1613   42378   506533  11.73
  1947          67     0.04090  0.04008  0.50   41572    1666   40739   464155  11.17
  1947          68     0.04438  0.04342  0.50   39906    1733   39039   423416  10.61
  1947          69     0.04584  0.04482  0.50   38173    1711   37318   384377  10.07
  1947          70     0.04612  0.04508  0.50   36462    1644   35640   347059   9.52
  1947          71     0.05618  0.05464  0.50   34818    1903   33867   311419   8.94
  1947          72     0.06577  0.06367  0.50   32916    2096   31868   277552   8.43
  1947          73     0.06427  0.06227  0.50   30820    1919   29861   245684   7.97
  1947          74     0.06479  0.06276  0.50   28901    1814   27994   215823   7.47
  1947          75     0.07745  0.07457  0.50   27087    2020   26077   187829   6.93
  1947          76     0.08496  0.08150  0.50   25067    2043   24046   161752   6.45
  1947          77     0.09425  0.09001  0.50   23024    2072   21988   137706   5.98
  1947          78     0.11525  0.10897  0.50   20952    2283   19810   115717   5.52
  1947          79     0.13672  0.12797  0.50   18669    2389   17474    95907   5.14
  1947          80     0.14744  0.13732  0.50   16280    2236   15162    78433   4.82
  1947          81     0.15741  0.14592  0.50   14044    2049   13019    63271   4.51
  1947          82     0.17637  0.16208  0.50   11995    1944   11023    50252   4.19
  1947          83     0.19546  0.17806  0.50   10051    1790    9156    39229   3.90
  1947          84     0.21440  0.19364  0.50    8261    1600    7461    30073   3.64
  1947          85     0.23565  0.21081  0.50    6661    1404    5959    22612   3.39
  1947          86     0.25863  0.22902  0.50    5257    1204    4655    16653   3.17
  1947          87     0.28244  0.24749  0.50    4053    1003    3552    11997   2.96
  1947          88     0.30768  0.26666  0.50    3050     813    2643     8446   2.77
  1947          89     0.33426  0.28639  0.50    2237     641    1916     5802   2.59
  1947          90     0.36185  0.30641  0.50    1596     489    1352     3886   2.43
  1947          91     0.39035  0.32661  0.50    1107     362     926     2534   2.29
  1947          92     0.41967  0.34688  0.50     745     259     616     1608   2.16
  1947          93     0.44956  0.36705  0.50     487     179     398      992   2.04
  1947          94     0.47980  0.38697  0.50     308     119     249      594   1.93
  1947          95     0.51020  0.40650  0.50     189      77     151      346   1.83
  1947          96     0.54053  0.42552  0.50     112      48      88      195   1.74
  1947          97     0.57055  0.44391  0.50      64      29      50      107   1.66
  1947          98     0.60007  0.46158  0.50      36      17      28       57   1.59
  1947          99     0.62887  0.47844  0.50      19       9      15       29   1.53
  1947         100     0.65679  0.49443  0.50      10       5       8       15   1.47
  1947         101     0.68367  0.50950  0.50       5       3       4        7   1.42
  1947         102     0.70937  0.52364  0.50       2       1       2        3   1.37
  1947         103     0.73380  0.53683  0.50       1       1       1        2   1.33
  1947         104     0.75688  0.54909  0.50       1       0       0        1   1.29
  1947         105     0.77855  0.56040  0.50       0       0       0        0   1.26
  1947         106     0.79881  0.57082  0.50       0       0       0        0   1.23
  1947         107     0.81768  0.58039  0.50       0       0       0        0   1.21
  1947         108     0.83511  0.58912  0.50       0       0       0        0   1.18
  1947         109     0.85110  0.59703  0.50       0       0       0        0   1.16
  1947         110+    0.87400  1.00000  1.14       0       0       0        0   1.14
  1948           0     0.09544  0.08963  0.32  100000    8963   93908  4636098  46.36
  1948           1     0.04080  0.03998  0.50   91037    3640   89218  4542190  49.89
  1948           2     0.02854  0.02814  0.50   87398    2459   86168  4452973  50.95
  1948           3     0.01979  0.01960  0.50   84938    1665   84106  4366805  51.41
  1948           4     0.01434  0.01424  0.50   83274    1186   82681  4282699  51.43
  1948           5     0.01102  0.01096  0.50   82088     900   81638  4200018  51.16
  1948           6     0.00880  0.00876  0.50   81188     711   80832  4118380  50.73
  1948           7     0.00703  0.00701  0.50   80477     564   80195  4037548  50.17
  1948           8     0.00613  0.00611  0.50   79913     488   79669  3957353  49.52
  1948           9     0.00569  0.00568  0.50   79425     451   79199  3877684  48.82
  1948          10     0.00520  0.00519  0.50   78974     410   78769  3798485  48.10
  1948          11     0.00474  0.00473  0.50   78564     372   78378  3719716  47.35
  1948          12     0.00464  0.00463  0.50   78192     362   78011  3641338  46.57
  1948          13     0.00525  0.00523  0.50   77831     407   77627  3563326  45.78
  1948          14     0.00598  0.00596  0.50   77423     461   77193  3485699  45.02
  1948          15     0.00621  0.00619  0.50   76962     477   76724  3408507  44.29
  1948          16     0.00632  0.00630  0.50   76485     482   76244  3331783  43.56
  1948          17     0.00682  0.00680  0.50   76003     517   75745  3255539  42.83
  1948          18     0.00780  0.00777  0.50   75486     587   75193  3179794  42.12
  1948          19     0.00918  0.00914  0.50   74900     685   74557  3104601  41.45
  1948          20     0.01062  0.01057  0.50   74215     784   73823  3030043  40.83
  1948          21     0.01154  0.01147  0.50   73431     843   73010  2956221  40.26
  1948          22     0.01156  0.01149  0.50   72588     834   72171  2883211  39.72
  1948          23     0.01121  0.01114  0.50   71754     800   71354  2811040  39.18
  1948          24     0.01112  0.01106  0.50   70955     785   70562  2739685  38.61
  1948          25     0.01129  0.01123  0.50   70170     788   69776  2669123  38.04
  1948          26     0.01123  0.01117  0.50   69382     775   68995  2599347  37.46
  1948          27     0.01063  0.01057  0.50   68607     725   68245  2530352  36.88
  1948          28     0.01026  0.01021  0.50   67882     693   67535  2462108  36.27
  1948          29     0.01077  0.01071  0.50   67189     720   66829  2394572  35.64
  1948          30     0.01129  0.01123  0.50   66469     746   66096  2327743  35.02
  1948          31     0.01155  0.01149  0.50   65723     755   65345  2261647  34.41
  1948          32     0.01154  0.01147  0.50   64968     745   64595  2196302  33.81
  1948          33     0.01132  0.01126  0.50   64223     723   63861  2131707  33.19
  1948          34     0.01104  0.01098  0.50   63500     697   63151  2067846  32.56
  1948          35     0.01104  0.01098  0.50   62803     690   62458  2004694  31.92
  1948          36     0.01140  0.01133  0.50   62113     704   61761  1942237  31.27
  1948          37     0.01121  0.01115  0.50   61409     685   61067  1880476  30.62
  1948          38     0.01085  0.01079  0.50   60724     655   60397  1819409  29.96
  1948          39     0.01085  0.01079  0.50   60069     648   59745  1759012  29.28
  1948          40     0.01101  0.01095  0.50   59421     651   59096  1699267  28.60
  1948          41     0.01110  0.01104  0.50   58771     649   58446  1640171  27.91
  1948          42     0.01135  0.01128  0.50   58122     656   57794  1581725  27.21
  1948          43     0.01158  0.01152  0.50   57466     662   57135  1523931  26.52
  1948          44     0.01152  0.01145  0.50   56804     651   56479  1466796  25.82
  1948          45     0.01103  0.01097  0.50   56154     616   55846  1410317  25.12
  1948          46     0.01039  0.01034  0.50   55538     574   55251  1354471  24.39
  1948          47     0.01094  0.01088  0.50   54964     598   54665  1299221  23.64
  1948          48     0.01237  0.01230  0.50   54366     669   54031  1244556  22.89
  1948          49     0.01397  0.01387  0.50   53697     745   53325  1190525  22.17
  1948          50     0.01524  0.01513  0.50   52952     801   52552  1137200  21.48
  1948          51     0.01592  0.01580  0.50   52151     824   51739  1084648  20.80
  1948          52     0.01626  0.01613  0.50   51327     828   50913  1032909  20.12
  1948          53     0.01665  0.01651  0.50   50499     834   50082   981996  19.45
  1948          54     0.01744  0.01729  0.50   49666     859   49236   931913  18.76
  1948          55     0.01871  0.01854  0.50   48807     905   48355   882677  18.09
  1948          56     0.02038  0.02018  0.50   47902     967   47419   834323  17.42
  1948          57     0.02219  0.02194  0.50   46936    1030   46421   786904  16.77
  1948          58     0.02402  0.02374  0.50   45906    1090   45361   740483  16.13
  1948          59     0.02632  0.02598  0.50   44816    1164   44234   695122  15.51
  1948          60     0.02823  0.02784  0.50   43652    1215   43044   650888  14.91
  1948          61     0.02907  0.02865  0.50   42436    1216   41829   607844  14.32
  1948          62     0.03015  0.02971  0.50   41221    1224   40608   566016  13.73
  1948          63     0.03286  0.03233  0.50   39996    1293   39350   525407  13.14
  1948          64     0.03671  0.03604  0.50   38703    1395   38005   486058  12.56
  1948          65     0.04065  0.03984  0.50   37308    1486   36565   448052  12.01
  1948          66     0.04368  0.04275  0.50   35822    1531   35056   411488  11.49
  1948          67     0.04568  0.04466  0.50   34290    1532   33524   376432  10.98
  1948          68     0.04710  0.04602  0.50   32759    1508   32005   342907  10.47
  1948          69     0.04964  0.04844  0.50   31251    1514   30494   310903   9.95
  1948          70     0.05444  0.05299  0.50   29737    1576   28949   280408   9.43
  1948          71     0.05975  0.05801  0.50   28161    1634   27345   251459   8.93
  1948          72     0.06567  0.06358  0.50   26528    1687   25684   224114   8.45
  1948          73     0.07283  0.07027  0.50   24841    1746   23968   198430   7.99
  1948          74     0.08129  0.07811  0.50   23095    1804   22193   174462   7.55
  1948          75     0.08988  0.08602  0.50   21291    1831   20376   152269   7.15
  1948          76     0.09490  0.09060  0.50   19460    1763   18578   131893   6.78
  1948          77     0.09851  0.09388  0.50   17697    1661   16866   113314   6.40
  1948          78     0.10430  0.09913  0.50   16035    1590   15241    96448   6.01
  1948          79     0.11456  0.10835  0.50   14446    1565   13663    81208   5.62
  1948          80     0.13008  0.12214  0.50   12881    1573   12094    67544   5.24
  1948          81     0.14715  0.13707  0.50   11307    1550   10532    55450   4.90
  1948          82     0.16225  0.15007  0.50    9758    1464    9025    44918   4.60
  1948          83     0.17688  0.16251  0.50    8293    1348    7619    35892   4.33
  1948          84     0.19207  0.17524  0.50    6945    1217    6337    28273   4.07
  1948          85     0.20827  0.18862  0.50    5728    1080    5188    21936   3.83
  1948          86     0.22556  0.20270  0.50    4648     942    4177    16748   3.60
  1948          87     0.24392  0.21741  0.50    3706     806    3303    12571   3.39
  1948          88     0.26330  0.23267  0.50    2900     675    2563     9268   3.20
  1948          89     0.28364  0.24841  0.50    2225     553    1949     6706   3.01
  1948          90     0.30489  0.26456  0.50    1673     442    1451     4757   2.84
  1948          91     0.32701  0.28106  0.50    1230     346    1057     3306   2.69
  1948          92     0.34992  0.29782  0.50     884     263     753     2248   2.54
  1948          93     0.37355  0.31476  0.50     621     195     523     1496   2.41
