19.Yamanashi.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07154  0.06792  0.25  100000    6792   94929  5492955  54.93
  1947           1     0.02277  0.02251  0.50   93208    2098   92159  5398026  57.91
  1947           2     0.01735  0.01720  0.50   91110    1567   90327  5305867  58.24
  1947           3     0.01254  0.01246  0.50   89543    1116   88985  5215540  58.25
  1947           4     0.00862  0.00858  0.50   88427     759   88048  5126555  57.97
  1947           5     0.00573  0.00572  0.50   87668     501   87417  5038508  57.47
  1947           6     0.00374  0.00373  0.50   87167     325   87004  4951090  56.80
  1947           7     0.00243  0.00243  0.50   86842     211   86736  4864086  56.01
  1947           8     0.00167  0.00167  0.50   86631     144   86559  4777350  55.15
  1947           9     0.00129  0.00129  0.50   86486     111   86431  4690791  54.24
  1947          10     0.00116  0.00116  0.50   86375     100   86325  4604361  53.31
  1947          11     0.00118  0.00118  0.50   86275     102   86224  4518036  52.37
  1947          12     0.00128  0.00128  0.50   86173     111   86117  4431812  51.43
  1947          13     0.00143  0.00143  0.50   86062     123   86000  4345695  50.49
  1947          14     0.00166  0.00166  0.50   85939     142   85868  4259695  49.57
  1947          15     0.00200  0.00200  0.50   85796     171   85711  4173827  48.65
  1947          16     0.00250  0.00250  0.50   85625     214   85518  4088116  47.74
  1947          17     0.00320  0.00319  0.50   85411     273   85275  4002598  46.86
  1947          18     0.00401  0.00400  0.50   85139     341   84968  3917323  46.01
  1947          19     0.00484  0.00483  0.50   84798     410   84593  3832355  45.19
  1947          20     0.00560  0.00558  0.50   84388     471   84153  3747762  44.41
  1947          21     0.00620  0.00618  0.50   83917     518   83658  3663609  43.66
  1947          22     0.00661  0.00659  0.50   83399     549   83124  3579951  42.93
  1947          23     0.00688  0.00685  0.50   82850     568   82566  3496827  42.21
  1947          24     0.00706  0.00704  0.50   82282     579   81992  3414261  41.49
  1947          25     0.00718  0.00715  0.50   81703     584   81411  3332269  40.79
  1947          26     0.00721  0.00719  0.50   81119     583   80827  3250858  40.08
  1947          27     0.00717  0.00715  0.50   80536     576   80248  3170030  39.36
  1947          28     0.00713  0.00710  0.50   79960     568   79676  3089782  38.64
  1947          29     0.00715  0.00712  0.50   79392     565   79110  3010106  37.91
  1947          30     0.00725  0.00722  0.50   78827     569   78542  2930997  37.18
  1947          31     0.00736  0.00734  0.50   78258     574   77971  2852454  36.45
  1947          32     0.00742  0.00740  0.50   77684     575   77396  2774484  35.72
  1947          33     0.00743  0.00740  0.50   77109     571   76824  2697087  34.98
  1947          34     0.00742  0.00739  0.50   76538     565   76255  2620263  34.23
  1947          35     0.00748  0.00745  0.50   75973     566   75690  2544008  33.49
  1947          36     0.00768  0.00765  0.50   75407     577   75118  2468318  32.73
  1947          37     0.00790  0.00787  0.50   74830     589   74536  2393200  31.98
  1947          38     0.00812  0.00809  0.50   74242     601   73941  2318664  31.23
  1947          39     0.00838  0.00835  0.50   73641     615   73334  2244723  30.48
  1947          40     0.00867  0.00864  0.50   73026     631   72711  2171389  29.73
  1947          41     0.00895  0.00891  0.50   72395     645   72073  2098678  28.99
  1947          42     0.00901  0.00897  0.50   71751     644   71429  2026605  28.25
  1947          43     0.00885  0.00882  0.50   71107     627   70794  1955176  27.50
  1947          44     0.00856  0.00852  0.50   70480     600   70180  1884383  26.74
  1947          45     0.00831  0.00827  0.50   69880     578   69591  1814203  25.96
  1947          46     0.00829  0.00826  0.50   69302     572   69016  1744612  25.17
  1947          47     0.00858  0.00854  0.50   68729     587   68436  1675596  24.38
  1947          48     0.00916  0.00912  0.50   68142     621   67832  1607160  23.59
  1947          49     0.01000  0.00995  0.50   67521     672   67185  1539329  22.80
  1947          50     0.01093  0.01087  0.50   66849     727   66486  1472144  22.02
  1947          51     0.01178  0.01171  0.50   66123     774   65735  1405658  21.26
  1947          52     0.01259  0.01251  0.50   65348     818   64940  1339922  20.50
  1947          53     0.01341  0.01332  0.50   64531     859   64101  1274983  19.76
  1947          54     0.01420  0.01410  0.50   63671     898   63223  1210882  19.02
  1947          55     0.01512  0.01501  0.50   62774     942   62303  1147659  18.28
  1947          56     0.01636  0.01622  0.50   61832    1003   61330  1085356  17.55
  1947          57     0.01797  0.01781  0.50   60829    1084   60287  1024026  16.83
  1947          58     0.01995  0.01975  0.50   59745    1180   59155   963740  16.13
  1947          59     0.02209  0.02185  0.50   58565    1280   57925   904585  15.45
  1947          60     0.02447  0.02417  0.50   57285    1385   56593   846660  14.78
  1947          61     0.02713  0.02676  0.50   55901    1496   55153   790067  14.13
  1947          62     0.02991  0.02947  0.50   54404    1603   53603   734914  13.51
  1947          63     0.03261  0.03209  0.50   52801    1694   51954   681311  12.90
  1947          64     0.03514  0.03453  0.50   51107    1765   50224   629357  12.31
  1947          65     0.03749  0.03680  0.50   49342    1816   48434   579133  11.74
  1947          66     0.04001  0.03923  0.50   47526    1864   46594   530699  11.17
  1947          67     0.04311  0.04220  0.50   45662    1927   44698   484105  10.60
  1947          68     0.04708  0.04600  0.50   43735    2012   42729   439406  10.05
  1947          69     0.05191  0.05059  0.50   41723    2111   40668   396677   9.51
  1947          70     0.05730  0.05571  0.50   39612    2207   38509   356009   8.99
  1947          71     0.06246  0.06057  0.50   37406    2266   36273   317500   8.49
