02.Aomori.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11498  0.10698  0.35  100000   10698   93046  5071472  50.71
  1947           1     0.04970  0.04849  0.50   89302    4330   87137  4978426  55.75
  1947           2     0.02340  0.02313  0.50   84971    1966   83989  4891289  57.56
  1947           3     0.01031  0.01026  0.50   83006     852   82580  4807300  57.92
  1947           4     0.00646  0.00643  0.50   82154     529   81890  4724720  57.51
  1947           5     0.00529  0.00527  0.50   81626     430   81410  4642830  56.88
  1947           6     0.00450  0.00449  0.50   81195     364   81013  4561420  56.18
  1947           7     0.00328  0.00328  0.50   80831     265   80699  4480407  55.43
  1947           8     0.00238  0.00237  0.50   80566     191   80471  4399708  54.61
  1947           9     0.00192  0.00192  0.50   80375     154   80298  4319237  53.74
  1947          10     0.00178  0.00178  0.50   80221     143   80149  4238939  52.84
  1947          11     0.00170  0.00170  0.50   80078     136   80010  4158790  51.93
  1947          12     0.00161  0.00161  0.50   79942     128   79878  4078780  51.02
  1947          13     0.00207  0.00206  0.50   79814     165   79731  3998902  50.10
  1947          14     0.00283  0.00282  0.50   79649     225   79537  3919171  49.21
  1947          15     0.00349  0.00349  0.50   79424     277   79286  3839634  48.34
  1947          16     0.00406  0.00405  0.50   79147     321   78987  3760349  47.51
  1947          17     0.00461  0.00460  0.50   78826     363   78645  3681362  46.70
  1947          18     0.00526  0.00524  0.50   78464     412   78258  3602717  45.92
  1947          19     0.00610  0.00608  0.50   78052     475   77815  3524459  45.16
  1947          20     0.00713  0.00710  0.50   77577     551   77302  3446644  44.43
  1947          21     0.00791  0.00788  0.50   77027     607   76723  3369342  43.74
  1947          22     0.00810  0.00807  0.50   76420     617   76111  3292619  43.09
  1947          23     0.00795  0.00792  0.50   75803     600   75503  3216508  42.43
  1947          24     0.00780  0.00777  0.50   75203     585   74911  3141005  41.77
  1947          25     0.00779  0.00776  0.50   74618     579   74329  3066095  41.09
  1947          26     0.00789  0.00786  0.50   74039     582   73748  2991766  40.41
  1947          27     0.00804  0.00801  0.50   73457     588   73163  2918018  39.72
  1947          28     0.00796  0.00793  0.50   72869     578   72580  2844855  39.04
  1947          29     0.00756  0.00753  0.50   72291     545   72018  2772275  38.35
  1947          30     0.00738  0.00735  0.50   71746     528   71482  2700257  37.64
  1947          31     0.00751  0.00748  0.50   71218     533   70952  2628775  36.91
  1947          32     0.00786  0.00783  0.50   70685     553   70409  2557823  36.19
  1947          33     0.00821  0.00817  0.50   70132     573   69846  2487414  35.47
  1947          34     0.00830  0.00826  0.50   69559     575   69272  2417568  34.76
  1947          35     0.00777  0.00774  0.50   68984     534   68717  2348296  34.04
  1947          36     0.00696  0.00694  0.50   68451     475   68213  2279579  33.30
  1947          37     0.00805  0.00802  0.50   67976     545   67703  2211366  32.53
  1947          38     0.00924  0.00920  0.50   67430     620   67120  2143663  31.79
  1947          39     0.00842  0.00838  0.50   66810     560   66530  2076542  31.08
  1947          40     0.00692  0.00689  0.50   66250     457   66022  2010012  30.34
  1947          41     0.00659  0.00656  0.50   65794     432   65578  1943990  29.55
  1947          42     0.00762  0.00759  0.50   65362     496   65114  1878413  28.74
  1947          43     0.00876  0.00873  0.50   64865     566   64582  1813299  27.95
  1947          44     0.00894  0.00890  0.50   64299     573   64013  1748717  27.20
  1947          45     0.00904  0.00900  0.50   63727     574   63440  1684704  26.44
  1947          46     0.00982  0.00978  0.50   63153     617   62844  1621264  25.67
  1947          47     0.01011  0.01006  0.50   62536     629   62221  1558420  24.92
  1947          48     0.00987  0.00982  0.50   61907     608   61603  1496198  24.17
  1947          49     0.00958  0.00953  0.50   61298     584   61006  1434596  23.40
  1947          50     0.00987  0.00982  0.50   60714     596   60416  1373590  22.62
  1947          51     0.01123  0.01117  0.50   60118     672   59782  1313173  21.84
  1947          52     0.01334  0.01325  0.50   59447     788   59053  1253391  21.08
  1947          53     0.01497  0.01485  0.50   58659     871   58223  1194338  20.36
  1947          54     0.01369  0.01359  0.50   57787     785   57395  1136115  19.66
  1947          55     0.01238  0.01231  0.50   57002     702   56651  1078720  18.92
  1947          56     0.01392  0.01382  0.50   56300     778   55911  1022069  18.15
  1947          57     0.01508  0.01496  0.50   55522     831   55107   966158  17.40
  1947          58     0.01406  0.01396  0.50   54691     764   54310   911051  16.66
  1947          59     0.01767  0.01751  0.50   53928     944   53456   856741  15.89
  1947          60     0.02281  0.02255  0.50   52983    1195   52386   803285  15.16
  1947          61     0.02492  0.02461  0.50   51789    1275   51151   750899  14.50
  1947          62     0.02635  0.02600  0.50   50514    1314   49857   699748  13.85
  1947          63     0.03008  0.02964  0.50   49200    1458   48471   649891  13.21
  1947          64     0.03477  0.03418  0.50   47742    1632   46926   601420  12.60
  1947          65     0.03776  0.03706  0.50   46111    1709   45256   554493  12.03
  1947          66     0.03723  0.03655  0.50   44401    1623   43590   509237  11.47
  1947          67     0.03808  0.03736  0.50   42778    1598   41979   465647  10.89
  1947          68     0.04464  0.04366  0.50   41180    1798   40281   423668  10.29
  1947          69     0.05216  0.05083  0.50   39382    2002   38381   383387   9.74
  1947          70     0.05692  0.05535  0.50   37380    2069   36346   345006   9.23
  1947          71     0.06495  0.06291  0.50   35311    2221   34201   308660   8.74
  1947          72     0.07130  0.06884  0.50   33090    2278   31951   274460   8.29
  1947          73     0.07166  0.06918  0.50   30812    2132   29746   242509   7.87
  1947          74     0.07854  0.07558  0.50   28680    2168   27596   212763   7.42
  1947          75     0.09599  0.09159  0.50   26513    2428   25298   185166   6.98
  1947          76     0.09332  0.08916  0.50   24084    2147   23011   159868   6.64
  1947          77     0.09073  0.08680  0.50   21937    1904   20985   136857   6.24
  1947          78     0.11323  0.10717  0.50   20033    2147   18959   115872   5.78
  1947          79     0.14152  0.13216  0.50   17886    2364   16704    96913   5.42
  1947          80     0.15329  0.14238  0.50   15522    2210   14417    80209   5.17
  1947          81     0.15858  0.14693  0.50   13312    1956   12334    65792   4.94
  1947          82     0.17003  0.15671  0.50   11356    1780   10466    53458   4.71
  1947          83     0.18126  0.16620  0.50    9577    1592    8781    42991   4.49
  1947          84     0.19183  0.17504  0.50    7985    1398    7286    34211   4.28
  1947          85     0.20358  0.18477  0.50    6587    1217    5979    26924   4.09
  1947          86     0.21610  0.19503  0.50    5370    1047    4847    20946   3.90
