20.Nagano.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.06775  0.06444  0.24  100000    6444   95120  5558192  55.58
  1947           1     0.02025  0.02005  0.50   93556    1875   92618  5463072  58.39
  1947           2     0.01586  0.01573  0.50   91680    1442   90959  5370454  58.58
  1947           3     0.01181  0.01174  0.50   90238    1059   89708  5279495  58.51
  1947           4     0.00834  0.00831  0.50   89178     741   88808  5189787  58.20
  1947           5     0.00562  0.00560  0.50   88438     495   88190  5100979  57.68
  1947           6     0.00362  0.00362  0.50   87943     318   87783  5012789  57.00
  1947           7     0.00230  0.00229  0.50   87624     201   87524  4925006  56.21
  1947           8     0.00151  0.00151  0.50   87423     132   87357  4837482  55.33
  1947           9     0.00115  0.00114  0.50   87291     100   87241  4750124  54.42
  1947          10     0.00108  0.00108  0.50   87191      94   87144  4662883  53.48
  1947          11     0.00121  0.00121  0.50   87097     106   87045  4575739  52.54
  1947          12     0.00148  0.00148  0.50   86992     129   86928  4488694  51.60
  1947          13     0.00183  0.00183  0.50   86863     159   86784  4401767  50.67
  1947          14     0.00226  0.00225  0.50   86705     195   86607  4314983  49.77
  1947          15     0.00276  0.00276  0.50   86509     238   86390  4228376  48.88
  1947          16     0.00332  0.00332  0.50   86271     286   86128  4141986  48.01
  1947          17     0.00394  0.00393  0.50   85984     338   85816  4055858  47.17
  1947          18     0.00456  0.00455  0.50   85647     390   85452  3970043  46.35
  1947          19     0.00517  0.00515  0.50   85256     439   85037  3884591  45.56
  1947          20     0.00570  0.00568  0.50   84817     482   84576  3799554  44.80
  1947          21     0.00612  0.00611  0.50   84335     515   84078  3714978  44.05
  1947          22     0.00644  0.00642  0.50   83820     538   83551  3630900  43.32
  1947          23     0.00666  0.00664  0.50   83282     553   83006  3547349  42.59
  1947          24     0.00683  0.00681  0.50   82729     563   82448  3464343  41.88
  1947          25     0.00696  0.00694  0.50   82166     570   81881  3381895  41.16
  1947          26     0.00706  0.00704  0.50   81596     574   81309  3300014  40.44
  1947          27     0.00712  0.00710  0.50   81022     575   80734  3218705  39.73
  1947          28     0.00717  0.00715  0.50   80447     575   80159  3137971  39.01
  1947          29     0.00723  0.00721  0.50   79872     576   79584  3057812  38.28
  1947          30     0.00728  0.00725  0.50   79296     575   79008  2978228  37.56
  1947          31     0.00731  0.00728  0.50   78721     573   78434  2899220  36.83
  1947          32     0.00730  0.00728  0.50   78148     569   77863  2820786  36.10
  1947          33     0.00727  0.00725  0.50   77579     562   77298  2742923  35.36
  1947          34     0.00723  0.00720  0.50   77017     555   76740  2665625  34.61
  1947          35     0.00719  0.00716  0.50   76462     548   76188  2588885  33.86
  1947          36     0.00715  0.00712  0.50   75915     541   75644  2512697  33.10
  1947          37     0.00711  0.00708  0.50   75374     534   75107  2437052  32.33
  1947          38     0.00708  0.00705  0.50   74840     528   74576  2361946  31.56
  1947          39     0.00710  0.00708  0.50   74312     526   74049  2287369  30.78
  1947          40     0.00719  0.00716  0.50   73786     528   73522  2213320  30.00
