21.Gifu.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08716  0.08213  0.30  100000    8213   94227  5246426  52.46
  1947           1     0.03135  0.03086  0.50   91787    2833   90371  5152199  56.13
  1947           2     0.02272  0.02247  0.50   88954    1998   87955  5061829  56.90
  1947           3     0.01532  0.01520  0.50   86956    1322   86295  4973874  57.20
  1947           4     0.00960  0.00955  0.50   85634     818   85225  4887579  57.08
  1947           5     0.00568  0.00566  0.50   84816     480   84576  4802354  56.62
  1947           6     0.00329  0.00328  0.50   84335     277   84197  4717779  55.94
  1947           7     0.00202  0.00202  0.50   84059     170   83974  4633582  55.12
  1947           8     0.00148  0.00148  0.50   83889     124   83827  4549608  54.23
  1947           9     0.00133  0.00133  0.50   83765     111   83709  4465781  53.31
  1947          10     0.00133  0.00133  0.50   83653     111   83598  4382072  52.38
  1947          11     0.00145  0.00145  0.50   83542     121   83481  4298474  51.45
  1947          12     0.00170  0.00170  0.50   83421     142   83350  4214993  50.53
  1947          13     0.00210  0.00209  0.50   83279     174   83192  4131643  49.61
  1947          14     0.00265  0.00265  0.50   83105     220   82995  4048451  48.72
  1947          15     0.00337  0.00336  0.50   82885     279   82745  3965457  47.84
  1947          16     0.00425  0.00424  0.50   82606     350   82431  3882711  47.00
  1947          17     0.00526  0.00524  0.50   82256     431   82040  3800281  46.20
  1947          18     0.00632  0.00630  0.50   81825     515   81567  3718240  45.44
  1947          19     0.00732  0.00729  0.50   81310     593   81013  3636673  44.73
  1947          20     0.00813  0.00809  0.50   80717     653   80390  3555660  44.05
  1947          21     0.00871  0.00868  0.50   80063     695   79716  3475270  43.41
  1947          22     0.00910  0.00905  0.50   79369     719   79009  3395554  42.78
  1947          23     0.00924  0.00920  0.50   78650     724   78288  3316545  42.17
  1947          24     0.00914  0.00910  0.50   77926     709   77572  3238256  41.56
  1947          25     0.00886  0.00882  0.50   77217     681   76877  3160684  40.93
  1947          26     0.00850  0.00846  0.50   76536     648   76213  3083808  40.29
  1947          27     0.00815  0.00812  0.50   75889     616   75581  3007595  39.63
  1947          28     0.00787  0.00784  0.50   75273     590   74978  2932014  38.95
  1947          29     0.00771  0.00768  0.50   74683     574   74396  2857036  38.26
  1947          30     0.00769  0.00766  0.50   74109     568   73825  2782641  37.55
  1947          31     0.00771  0.00768  0.50   73541     565   73259  2708816  36.83
  1947          32     0.00766  0.00763  0.50   72976     557   72698  2635557  36.12
  1947          33     0.00757  0.00754  0.50   72420     546   72147  2562859  35.39
  1947          34     0.00751  0.00748  0.50   71873     538   71604  2490713  34.65
  1947          35     0.00748  0.00745  0.50   71335     532   71070  2419108  33.91
  1947          36     0.00746  0.00743  0.50   70804     526   70541  2348039  33.16
  1947          37     0.00744  0.00741  0.50   70278     521   70017  2277498  32.41
  1947          38     0.00746  0.00743  0.50   69757     519   69498  2207481  31.65
  1947          39     0.00757  0.00754  0.50   69238     522   68977  2137983  30.88
  1947          40     0.00776  0.00773  0.50   68716     531   68451  2069006  30.11
  1947          41     0.00800  0.00797  0.50   68185     544   67914  2000555  29.34
  1947          42     0.00818  0.00814  0.50   67642     551   67366  1932641  28.57
  1947          43     0.00828  0.00824  0.50   67091     553   66815  1865275  27.80
  1947          44     0.00835  0.00831  0.50   66538     553   66261  1798460  27.03
  1947          45     0.00841  0.00838  0.50   65985     553   65708  1732199  26.25
  1947          46     0.00852  0.00849  0.50   65432     555   65154  1666490  25.47
  1947          47     0.00883  0.00879  0.50   64877     570   64592  1601336  24.68
  1947          48     0.00941  0.00936  0.50   64307     602   64006  1536744  23.90
  1947          49     0.01028  0.01023  0.50   63704     651   63379  1472739  23.12
  1947          50     0.01131  0.01125  0.50   63053     709   62698  1409360  22.35
  1947          51     0.01236  0.01228  0.50   62344     766   61961  1346661  21.60
  1947          52     0.01327  0.01318  0.50   61578     811   61172  1284701  20.86
  1947          53     0.01394  0.01384  0.50   60767     841   60346  1223528  20.13
  1947          54     0.01445  0.01435  0.50   59925     860   59496  1163182  19.41
  1947          55     0.01506  0.01494  0.50   59066     883   58624  1103687  18.69
  1947          56     0.01601  0.01589  0.50   58183     924   57721  1045062  17.96
  1947          57     0.01752  0.01737  0.50   57259     995   56761   987342  17.24
  1947          58     0.01960  0.01941  0.50   56264    1092   55718   930580  16.54
  1947          59     0.02172  0.02149  0.50   55172    1186   54579   874862  15.86
  1947          60     0.02374  0.02346  0.50   53986    1267   53353   820283  15.19
  1947          61     0.02565  0.02532  0.50   52720    1335   52052   766930  14.55
  1947          62     0.02759  0.02722  0.50   51385    1399   50685   714878  13.91
  1947          63     0.02973  0.02930  0.50   49986    1464   49254   664192  13.29
  1947          64     0.03212  0.03161  0.50   48522    1534   47755   614938  12.67
  1947          65     0.03481  0.03422  0.50   46988    1608   46184   567184  12.07
  1947          66     0.03806  0.03735  0.50   45380    1695   44533   521000  11.48
  1947          67     0.04198  0.04112  0.50   43685    1796   42787   476467  10.91
  1947          68     0.04659  0.04553  0.50   41889    1907   40936   433679  10.35
  1947          69     0.05158  0.05028  0.50   39982    2010   38977   392744   9.82
  1947          70     0.05654  0.05499  0.50   37972    2088   36928   353767   9.32
  1947          71     0.06126  0.05944  0.50   35884    2133   34817   316840   8.83
  1947          72     0.06602  0.06391  0.50   33751    2157   32672   282023   8.36
  1947          73     0.07121  0.06876  0.50   31594    2172   30507   249350   7.89
  1947          74     0.07725  0.07438  0.50   29421    2188   28327   218843   7.44
  1947          75     0.08443  0.08101  0.50   27233    2206   26130   190516   7.00
  1947          76     0.09255  0.08846  0.50   25027    2214   23920   164386   6.57
  1947          77     0.10183  0.09690  0.50   22813    2211   21708   140466   6.16
  1947          78     0.11256  0.10656  0.50   20602    2195   19505   118759   5.76
  1947          79     0.12464  0.11733  0.50   18407    2160   17327    99254   5.39
  1947          80     0.13792  0.12902  0.50   16247    2096   15199    81927   5.04
  1947          81     0.15228  0.14150  0.50   14151    2002   13150    66727   4.72
  1947          82     0.16766  0.15469  0.50   12149    1879   11209    53577   4.41
  1947          83     0.18411  0.16859  0.50   10269    1731    9404    42368   4.13
  1947          84     0.20168  0.18320  0.50    8538    1564    7756    32965   3.86
  1947          85     0.22041  0.19853  0.50    6974    1385    6282    25209   3.61
  1947          86     0.24033  0.21455  0.50    5589    1199    4990    18927   3.39
  1947          87     0.26144  0.23122  0.50    4390    1015    3883    13937   3.17
  1947          88     0.28372  0.24847  0.50    3375     839    2956    10055   2.98
  1947          89     0.30711  0.26623  0.50    2536     675    2199     7099   2.80
  1947          90     0.33154  0.28439  0.50    1861     529    1597     4900   2.63
  1947          91     0.35690  0.30286  0.50    1332     403    1130     3303   2.48
  1947          92     0.38310  0.32151  0.50     929     299     779     2173   2.34
  1947          93     0.40999  0.34024  0.50     630     214     523     1394   2.21
  1947          94     0.43743  0.35893  0.50     416     149     341      871   2.10
  1947          95     0.46525  0.37745  0.50     266     101     216      530   1.99
  1947          96     0.49329  0.39570  0.50     166      66     133      314   1.89
  1947          97     0.52138  0.41357  0.50     100      41      80      181   1.80
  1947          98     0.54934  0.43096  0.50      59      25      46      101   1.72
  1947          99     0.57699  0.44780  0.50      33      15      26       55   1.65
  1947         100     0.60416  0.46400  0.50      18       9      14       29   1.59
  1947         101     0.63070  0.47949  0.50      10       5       8       15   1.53
  1947         102     0.65645  0.49423  0.50       5       3       4        8   1.47
  1947         103     0.68128  0.50818  0.50       3       1       2        4   1.43
