22.Shizuoka.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07558  0.07160  0.26  100000    7160   94735  5617609  56.18
  1947           1     0.02748  0.02711  0.50   92840    2517   91581  5522874  59.49
  1947           2     0.01871  0.01854  0.50   90323    1674   89486  5431293  60.13
  1947           3     0.01180  0.01173  0.50   88649    1040   88129  5341807  60.26
  1947           4     0.00705  0.00703  0.50   87609     616   87301  5253678  59.97
  1947           5     0.00427  0.00426  0.50   86993     371   86808  5166376  59.39
  1947           6     0.00284  0.00284  0.50   86622     246   86500  5079568  58.64
  1947           7     0.00209  0.00209  0.50   86377     181   86287  4993069  57.81
  1947           8     0.00167  0.00167  0.50   86196     144   86124  4906782  56.93
  1947           9     0.00144  0.00144  0.50   86052     124   85990  4820658  56.02
  1947          10     0.00133  0.00133  0.50   85929     114   85872  4734667  55.10
  1947          11     0.00131  0.00131  0.50   85815     113   85758  4648796  54.17
  1947          12     0.00139  0.00139  0.50   85702     119   85643  4563037  53.24
  1947          13     0.00155  0.00155  0.50   85583     133   85517  4477395  52.32
  1947          14     0.00184  0.00184  0.50   85450     157   85372  4391878  51.40
  1947          15     0.00227  0.00227  0.50   85293     194   85196  4306506  50.49
  1947          16     0.00286  0.00285  0.50   85100     243   84978  4221309  49.60
  1947          17     0.00357  0.00356  0.50   84857     302   84706  4136331  48.74
  1947          18     0.00434  0.00433  0.50   84555     366   84372  4051626  47.92
  1947          19     0.00507  0.00506  0.50   84189     426   83976  3967254  47.12
  1947          20     0.00563  0.00561  0.50   83763     470   83528  3883278  46.36
  1947          21     0.00601  0.00599  0.50   83292     499   83043  3799751  45.62
  1947          22     0.00627  0.00625  0.50   82793     518   82535  3716708  44.89
  1947          23     0.00648  0.00646  0.50   82276     531   82010  3634173  44.17
  1947          24     0.00667  0.00665  0.50   81744     543   81473  3552163  43.45
  1947          25     0.00681  0.00679  0.50   81201     551   80925  3470691  42.74
  1947          26     0.00686  0.00683  0.50   80649     551   80374  3389766  42.03
  1947          27     0.00676  0.00674  0.50   80098     540   79828  3309392  41.32
  1947          28     0.00660  0.00658  0.50   79558     523   79297  3229563  40.59
  1947          29     0.00644  0.00642  0.50   79035     507   78781  3150267  39.86
  1947          30     0.00631  0.00629  0.50   78528     494   78280  3071486  39.11
  1947          31     0.00619  0.00617  0.50   78033     482   77792  2993205  38.36
  1947          32     0.00606  0.00604  0.50   77552     468   77317  2915413  37.59
  1947          33     0.00595  0.00593  0.50   77083     457   76855  2838095  36.82
  1947          34     0.00590  0.00589  0.50   76626     451   76401  2761241  36.04
  1947          35     0.00596  0.00594  0.50   76175     452   75949  2684840  35.25
  1947          36     0.00607  0.00605  0.50   75723     458   75494  2608891  34.45
  1947          37     0.00611  0.00609  0.50   75264     458   75035  2533397  33.66
  1947          38     0.00611  0.00609  0.50   74806     456   74578  2458362  32.86
  1947          39     0.00616  0.00614  0.50   74350     456   74122  2383784  32.06
  1947          40     0.00620  0.00619  0.50   73894     457   73665  2309662  31.26
  1947          41     0.00624  0.00622  0.50   73437     457   73208  2235997  30.45
  1947          42     0.00645  0.00643  0.50   72980     469   72745  2162788  29.64
  1947          43     0.00684  0.00682  0.50   72510     494   72263  2090044  28.82
  1947          44     0.00737  0.00734  0.50   72016     529   71752  2017780  28.02
  1947          45     0.00792  0.00789  0.50   71487     564   71205  1946029  27.22
  1947          46     0.00840  0.00837  0.50   70923     594   70626  1874824  26.43
  1947          47     0.00881  0.00877  0.50   70330     617   70021  1804197  25.65
  1947          48     0.00908  0.00903  0.50   69713     630   69398  1734176  24.88
  1947          49     0.00917  0.00913  0.50   69083     631   68768  1664778  24.10
  1947          50     0.00935  0.00931  0.50   68452     637   68134  1596011  23.32
  1947          51     0.00986  0.00981  0.50   67815     665   67482  1527877  22.53
  1947          52     0.01065  0.01060  0.50   67150     711   66794  1460395  21.75
  1947          53     0.01157  0.01150  0.50   66438     764   66056  1393601  20.98
  1947          54     0.01242  0.01234  0.50   65674     811   65268  1327545  20.21
  1947          55     0.01322  0.01313  0.50   64863     852   64437  1262277  19.46
  1947          56     0.01408  0.01398  0.50   64011     895   63564  1197839  18.71
  1947          57     0.01521  0.01509  0.50   63117     953   62640  1134275  17.97
  1947          58     0.01680  0.01666  0.50   62164    1036   61646  1071635  17.24
  1947          59     0.01879  0.01862  0.50   61128    1138   60559  1009989  16.52
  1947          60     0.02096  0.02074  0.50   59990    1244   59368   949429  15.83
  1947          61     0.02310  0.02283  0.50   58746    1341   58075   890061  15.15
  1947          62     0.02528  0.02496  0.50   57405    1433   56688   831986  14.49
  1947          63     0.02756  0.02718  0.50   55972    1521   55211   775297  13.85
  1947          64     0.02975  0.02932  0.50   54450    1596   53652   720086  13.22
  1947          65     0.03178  0.03128  0.50   52854    1653   52027   666434  12.61
  1947          66     0.03407  0.03350  0.50   51201    1715   50343   614407  12.00
  1947          67     0.03674  0.03608  0.50   49485    1785   48593   564064  11.40
  1947          68     0.03981  0.03904  0.50   47700    1862   46769   515471  10.81
  1947          69     0.04348  0.04255  0.50   45838    1951   44863   468702  10.23
  1947          70     0.04793  0.04681  0.50   43887    2054   42860   423839   9.66
  1947          71     0.05322  0.05184  0.50   41833    2169   40749   380979   9.11
  1947          72     0.05942  0.05770  0.50   39664    2289   38520   340230   8.58
  1947          73     0.06649  0.06435  0.50   37375    2405   36173   301711   8.07
  1947          74     0.07398  0.07134  0.50   34970    2495   33723   265538   7.59
  1947          75     0.08141  0.07823  0.50   32476    2540   31205   231815   7.14
  1947          76     0.08887  0.08509  0.50   29935    2547   28662   200609   6.70
  1947          77     0.09745  0.09293  0.50   27388    2545   26115   171948   6.28
  1947          78     0.10815  0.10260  0.50   24843    2549   23568   145832   5.87
  1947          79     0.12075  0.11387  0.50   22294    2539   21025   122264   5.48
  1947          80     0.13469  0.12619  0.50   19755    2493   18509   101240   5.12
  1947          81     0.14939  0.13901  0.50   17262    2400   16062    82731   4.79
  1947          82     0.16447  0.15197  0.50   14863    2259   13733    66668   4.49
  1947          83     0.18036  0.16544  0.50   12604    2085   11561    52935   4.20
  1947          84     0.19730  0.17958  0.50   10519    1889    9574    41374   3.93
  1947          85     0.21541  0.19447  0.50    8630    1678    7791    31799   3.68
  1947          86     0.23472  0.21007  0.50    6952    1460    6221    24008   3.45
  1947          87     0.25524  0.22635  0.50    5491    1243    4870    17787   3.24
  1947          88     0.27692  0.24324  0.50    4248    1033    3732    12917   3.04
  1947          89     0.29971  0.26065  0.50    3215     838    2796     9186   2.86
  1947          90     0.32354  0.27849  0.50    2377     662    2046     6390   2.69
  1947          91     0.34832  0.29665  0.50    1715     509    1461     4344   2.53
  1947          92     0.37394  0.31504  0.50    1206     380    1016     2883   2.39
  1947          93     0.40029  0.33353  0.50     826     276     688     1867   2.26
  1947          94     0.42722  0.35203  0.50     551     194     454     1178   2.14
  1947          95     0.45460  0.37041  0.50     357     132     291      725   2.03
  1947          96     0.48225  0.38856  0.50     225      87     181      434   1.93
  1947          97     0.51001  0.40638  0.50     137      56     109      253   1.84
  1947          98     0.53771  0.42377  0.50      82      35      64      143   1.76
  1947          99     0.56518  0.44065  0.50      47      21      37       79   1.68
  1947         100     0.59225  0.45694  0.50      26      12      20       42   1.62
  1947         101     0.61879  0.47258  0.50      14       7      11       22   1.55
  1947         102     0.64463  0.48750  0.50       8       4       6       11   1.50
