23.Aichi.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07861  0.07436  0.27  100000    7436   94595  5534950  55.35
  1947           1     0.02745  0.02708  0.50   92564    2506   91311  5440355  58.77
  1947           2     0.01845  0.01828  0.50   90057    1646   89234  5349044  59.40
  1947           3     0.01151  0.01144  0.50   88411    1012   87905  5259810  59.49
  1947           4     0.00690  0.00688  0.50   87399     601   87099  5171905  59.18
  1947           5     0.00433  0.00432  0.50   86798     375   86611  5084806  58.58
  1947           6     0.00306  0.00306  0.50   86423     264   86291  4998195  57.83
  1947           7     0.00236  0.00235  0.50   86159     203   86058  4911904  57.01
  1947           8     0.00192  0.00192  0.50   85956     165   85874  4825847  56.14
  1947           9     0.00166  0.00166  0.50   85791     142   85720  4739973  55.25
  1947          10     0.00150  0.00150  0.50   85649     129   85584  4654253  54.34
  1947          11     0.00140  0.00140  0.50   85520     120   85460  4568669  53.42
  1947          12     0.00136  0.00136  0.50   85400     116   85342  4483209  52.50
  1947          13     0.00153  0.00153  0.50   85284     130   85219  4397867  51.57
  1947          14     0.00191  0.00191  0.50   85154     162   85072  4312648  50.65
  1947          15     0.00248  0.00247  0.50   84991     210   84886  4227575  49.74
  1947          16     0.00319  0.00318  0.50   84781     270   84646  4142689  48.86
  1947          17     0.00399  0.00398  0.50   84511     337   84343  4058043  48.02
  1947          18     0.00485  0.00484  0.50   84175     407   83971  3973700  47.21
  1947          19     0.00569  0.00568  0.50   83768     476   83530  3889728  46.43
  1947          20     0.00640  0.00638  0.50   83292     531   83027  3806198  45.70
  1947          21     0.00690  0.00687  0.50   82761     569   82477  3723172  44.99
  1947          22     0.00716  0.00714  0.50   82192     587   81899  3640695  44.29
  1947          23     0.00727  0.00724  0.50   81605     591   81310  3558796  43.61
  1947          24     0.00727  0.00724  0.50   81014     587   80721  3477487  42.92
  1947          25     0.00709  0.00707  0.50   80428     568   80144  3396766  42.23
  1947          26     0.00678  0.00675  0.50   79859     539   79590  3316622  41.53
  1947          27     0.00641  0.00639  0.50   79320     507   79067  3237032  40.81
  1947          28     0.00614  0.00612  0.50   78813     482   78572  3157966  40.07
  1947          29     0.00611  0.00609  0.50   78331     477   78092  3079394  39.31
  1947          30     0.00631  0.00629  0.50   77854     490   77609  3001301  38.55
  1947          31     0.00657  0.00655  0.50   77364     507   77110  2923693  37.79
  1947          32     0.00672  0.00669  0.50   76857     514   76600  2846582  37.04
  1947          33     0.00672  0.00669  0.50   76343     511   76087  2769983  36.28
  1947          34     0.00660  0.00657  0.50   75832     499   75582  2693896  35.52
  1947          35     0.00648  0.00646  0.50   75333     487   75090  2618313  34.76
  1947          36     0.00646  0.00644  0.50   74846     482   74605  2543224  33.98
  1947          37     0.00637  0.00635  0.50   74364     472   74128  2468618  33.20
  1947          38     0.00632  0.00630  0.50   73892     465   73660  2394490  32.41
  1947          39     0.00647  0.00645  0.50   73427     473   73190  2320830  31.61
  1947          40     0.00684  0.00681  0.50   72954     497   72705  2247640  30.81
  1947          41     0.00734  0.00731  0.50   72457     530   72192  2174935  30.02
  1947          42     0.00768  0.00765  0.50   71927     550   71652  2102743  29.23
  1947          43     0.00777  0.00774  0.50   71377     552   71101  2031092  28.46
  1947          44     0.00764  0.00761  0.50   70825     539   70555  1959991  27.67
  1947          45     0.00759  0.00756  0.50   70286     531   70020  1889436  26.88
  1947          46     0.00790  0.00787  0.50   69755     549   69480  1819416  26.08
  1947          47     0.00852  0.00849  0.50   69206     587   68912  1749935  25.29
  1947          48     0.00933  0.00928  0.50   68618     637   68300  1681023  24.50
  1947          49     0.01018  0.01013  0.50   67981     689   67637  1612724  23.72
  1947          50     0.01102  0.01096  0.50   67293     737   66924  1545087  22.96
  1947          51     0.01175  0.01168  0.50   66555     778   66166  1478163  22.21
  1947          52     0.01215  0.01208  0.50   65778     795   65380  1411996  21.47
  1947          53     0.01215  0.01208  0.50   64983     785   64590  1346616  20.72
  1947          54     0.01229  0.01222  0.50   64198     784   63806  1282026  19.97
  1947          55     0.01292  0.01283  0.50   63414     814   63007  1218220  19.21
  1947          56     0.01416  0.01406  0.50   62600     880   62160  1155213  18.45
  1947          57     0.01571  0.01559  0.50   61719     962   61238  1093053  17.71
  1947          58     0.01719  0.01705  0.50   60757    1036   60239  1031815  16.98
  1947          59     0.01860  0.01843  0.50   59722    1100   59171   971576  16.27
  1947          60     0.02014  0.01994  0.50   58621    1169   58037   912404  15.56
  1947          61     0.02205  0.02181  0.50   57452    1253   56826   854368  14.87
  1947          62     0.02434  0.02404  0.50   56199    1351   55524   797542  14.19
  1947          63     0.02697  0.02662  0.50   54848    1460   54118   742018  13.53
  1947          64     0.02985  0.02941  0.50   53388    1570   52603   687900  12.88
  1947          65     0.03277  0.03224  0.50   51818    1671   50983   635297  12.26
  1947          66     0.03547  0.03485  0.50   50148    1748   49274   584314  11.65
  1947          67     0.03824  0.03752  0.50   48400    1816   47492   535041  11.05
  1947          68     0.04150  0.04066  0.50   46584    1894   45637   487549  10.47
  1947          69     0.04573  0.04470  0.50   44690    1998   43691   441912   9.89
  1947          70     0.05130  0.05001  0.50   42692    2135   41624   398221   9.33
  1947          71     0.05807  0.05643  0.50   40557    2289   39412   356597   8.79
