24.Mie.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10032  0.09404  0.33  100000    9404   93736  5224899  52.25
  1947           1     0.03217  0.03166  0.50   90596    2868   89162  5131162  56.64
  1947           2     0.02148  0.02125  0.50   87728    1864   86796  5042000  57.47
  1947           3     0.01320  0.01311  0.50   85864    1126   85301  4955204  57.71
  1947           4     0.00766  0.00763  0.50   84738     646   84415  4869903  57.47
  1947           5     0.00451  0.00450  0.50   84092     379   83902  4785488  56.91
  1947           6     0.00299  0.00298  0.50   83713     250   83588  4701586  56.16
  1947           7     0.00230  0.00230  0.50   83463     192   83368  4617997  55.33
  1947           8     0.00206  0.00206  0.50   83272     171   83186  4534630  54.46
  1947           9     0.00199  0.00199  0.50   83100     165   83018  4451444  53.57
  1947          10     0.00188  0.00187  0.50   82935     155   82857  4368426  52.67
  1947          11     0.00180  0.00180  0.50   82780     149   82705  4285569  51.77
  1947          12     0.00189  0.00188  0.50   82631     156   82553  4202864  50.86
  1947          13     0.00212  0.00211  0.50   82475     174   82388  4120311  49.96
  1947          14     0.00252  0.00252  0.50   82301     207   82197  4037923  49.06
  1947          15     0.00314  0.00313  0.50   82094     257   81965  3955726  48.19
  1947          16     0.00401  0.00401  0.50   81836     328   81672  3873761  47.34
  1947          17     0.00513  0.00511  0.50   81509     417   81300  3792088  46.52
  1947          18     0.00624  0.00622  0.50   81092     505   80839  3710788  45.76
  1947          19     0.00711  0.00708  0.50   80587     571   80302  3629949  45.04
  1947          20     0.00764  0.00761  0.50   80016     609   79712  3549647  44.36
  1947          21     0.00793  0.00790  0.50   79407     627   79094  3469936  43.70
  1947          22     0.00809  0.00806  0.50   78780     635   78462  3390842  43.04
  1947          23     0.00828  0.00825  0.50   78145     644   77823  3312380  42.39
  1947          24     0.00856  0.00853  0.50   77500     661   77170  3234557  41.74
  1947          25     0.00879  0.00875  0.50   76840     672   76504  3157387  41.09
  1947          26     0.00886  0.00882  0.50   76167     672   75831  3080883  40.45
  1947          27     0.00873  0.00869  0.50   75496     656   75168  3005052  39.80
  1947          28     0.00834  0.00830  0.50   74840     622   74529  2929884  39.15
  1947          29     0.00775  0.00772  0.50   74218     573   73932  2855356  38.47
  1947          30     0.00730  0.00727  0.50   73645     535   73377  2781424  37.77
  1947          31     0.00705  0.00702  0.50   73110     513   72853  2708047  37.04
  1947          32     0.00697  0.00695  0.50   72596     504   72344  2635194  36.30
  1947          33     0.00703  0.00701  0.50   72092     505   71840  2562849  35.55
  1947          34     0.00716  0.00713  0.50   71587     511   71332  2491010  34.80
  1947          35     0.00721  0.00718  0.50   71076     511   70821  2419678  34.04
  1947          36     0.00710  0.00708  0.50   70566     499   70316  2348857  33.29
  1947          37     0.00708  0.00705  0.50   70066     494   69819  2278541  32.52
  1947          38     0.00717  0.00715  0.50   69572     497   69323  2208722  31.75
  1947          39     0.00733  0.00730  0.50   69075     505   68822  2139398  30.97
  1947          40     0.00745  0.00742  0.50   68570     509   68316  2070576  30.20
  1947          41     0.00750  0.00747  0.50   68061     509   67807  2002260  29.42
  1947          42     0.00767  0.00764  0.50   67553     516   67294  1934453  28.64
  1947          43     0.00790  0.00787  0.50   67036     528   66773  1867159  27.85
  1947          44     0.00807  0.00804  0.50   66509     535   66241  1800386  27.07
  1947          45     0.00828  0.00824  0.50   65974     544   65702  1734145  26.29
  1947          46     0.00868  0.00864  0.50   65430     565   65148  1668443  25.50
  1947          47     0.00946  0.00942  0.50   64865     611   64560  1603295  24.72
  1947          48     0.01048  0.01043  0.50   64254     670   63919  1538735  23.95
  1947          49     0.01149  0.01143  0.50   63584     727   63221  1474816  23.19
  1947          50     0.01224  0.01217  0.50   62858     765   62475  1411595  22.46
  1947          51     0.01254  0.01246  0.50   62093     774   61706  1349120  21.73
  1947          52     0.01249  0.01242  0.50   61319     761   60939  1287414  21.00
  1947          53     0.01232  0.01224  0.50   60558     741   60187  1226475  20.25
  1947          54     0.01239  0.01231  0.50   59817     736   59448  1166288  19.50
  1947          55     0.01299  0.01291  0.50   59080     763   58699  1106840  18.73
  1947          56     0.01429  0.01419  0.50   58318     827   57904  1048141  17.97
  1947          57     0.01599  0.01586  0.50   57490     912   57034   990237  17.22
