25.Shiga.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09918  0.09301  0.33  100000    9301   93775  4978729  49.79
  1947           1     0.04434  0.04338  0.50   90699    3934   88732  4884954  53.86
  1947           2     0.02766  0.02729  0.50   86765    2367   85581  4796222  55.28
  1947           3     0.01537  0.01525  0.50   84398    1287   83754  4710641  55.81
  1947           4     0.00788  0.00785  0.50   83110     652   82784  4626887  55.67
  1947           5     0.00437  0.00436  0.50   82458     360   82278  4544102  55.11
  1947           6     0.00316  0.00315  0.50   82098     259   81969  4461824  54.35
  1947           7     0.00262  0.00262  0.50   81839     214   81732  4379856  53.52
  1947           8     0.00232  0.00232  0.50   81625     189   81530  4298124  52.66
  1947           9     0.00209  0.00208  0.50   81436     170   81351  4216594  51.78
  1947          10     0.00181  0.00181  0.50   81266     147   81192  4135243  50.89
  1947          11     0.00164  0.00163  0.50   81119     133   81052  4054050  49.98
  1947          12     0.00167  0.00167  0.50   80986     135   80919  3972998  49.06
  1947          13     0.00183  0.00183  0.50   80851     148   80777  3892079  48.14
  1947          14     0.00215  0.00215  0.50   80703     173   80617  3811302  47.23
  1947          15     0.00275  0.00274  0.50   80530     221   80420  3730685  46.33
  1947          16     0.00380  0.00380  0.50   80309     305   80157  3650265  45.45
  1947          17     0.00540  0.00539  0.50   80004     431   79789  3570109  44.62
  1947          18     0.00709  0.00706  0.50   79574     562   79293  3490320  43.86
  1947          19     0.00827  0.00824  0.50   79012     651   78686  3411027  43.17
  1947          20     0.00858  0.00854  0.50   78361     669   78026  3332340  42.53
  1947          21     0.00863  0.00860  0.50   77692     668   77358  3254314  41.89
  1947          22     0.00909  0.00905  0.50   77024     697   76675  3176957  41.25
  1947          23     0.00969  0.00965  0.50   76326     736   75958  3100282  40.62
  1947          24     0.00991  0.00986  0.50   75590     745   75217  3024324  40.01
  1947          25     0.00936  0.00931  0.50   74845     697   74496  2949106  39.40
  1947          26     0.00853  0.00849  0.50   74147     630   73833  2874610  38.77
  1947          27     0.00803  0.00800  0.50   73518     588   73224  2800778  38.10
  1947          28     0.00804  0.00801  0.50   72929     584   72637  2727554  37.40
  1947          29     0.00845  0.00841  0.50   72345     609   72041  2654917  36.70
  1947          30     0.00868  0.00864  0.50   71737     620   71426  2582876  36.01
  1947          31     0.00863  0.00860  0.50   71116     611   70811  2511449  35.31
  1947          32     0.00838  0.00834  0.50   70505     588   70211  2440639  34.62
  1947          33     0.00803  0.00800  0.50   69917     559   69637  2370428  33.90
  1947          34     0.00777  0.00774  0.50   69357     537   69089  2300791  33.17
  1947          35     0.00796  0.00792  0.50   68820     545   68548  2231702  32.43
  1947          36     0.00871  0.00868  0.50   68275     592   67979  2163154  31.68
  1947          37     0.00931  0.00927  0.50   67683     627   67369  2095175  30.96
  1947          38     0.00942  0.00938  0.50   67055     629   66741  2027806  30.24
  1947          39     0.00902  0.00898  0.50   66426     596   66128  1961065  29.52
  1947          40     0.00858  0.00854  0.50   65830     562   65549  1894937  28.79
  1947          41     0.00854  0.00851  0.50   65268     555   64990  1829388  28.03
  1947          42     0.00878  0.00874  0.50   64713     566   64430  1764398  27.27
  1947          43     0.00930  0.00926  0.50   64147     594   63850  1699968  26.50
  1947          44     0.01012  0.01006  0.50   63553     640   63233  1636118  25.74
  1947          45     0.01078  0.01072  0.50   62913     675   62576  1572885  25.00
  1947          46     0.01100  0.01094  0.50   62239     681   61898  1510309  24.27
  1947          47     0.01126  0.01120  0.50   61557     689   61213  1448411  23.53
  1947          48     0.01150  0.01144  0.50   60868     696   60520  1387198  22.79
  1947          49     0.01156  0.01149  0.50   60172     692   59826  1326678  22.05
  1947          50     0.01153  0.01146  0.50   59480     682   59139  1266852  21.30
  1947          51     0.01165  0.01158  0.50   58799     681   58458  1207713  20.54
  1947          52     0.01251  0.01244  0.50   58118     723   57756  1149255  19.77
  1947          53     0.01441  0.01431  0.50   57395     821   56984  1091498  19.02
  1947          54     0.01623  0.01610  0.50   56574     911   56118  1034514  18.29
  1947          55     0.01734  0.01719  0.50   55663     957   55185   978395  17.58
  1947          56     0.01763  0.01748  0.50   54706     956   54228   923211  16.88
  1947          57     0.01810  0.01794  0.50   53750     964   53268   868982  16.17
  1947          58     0.01982  0.01962  0.50   52786    1036   52268   815715  15.45
  1947          59     0.02290  0.02264  0.50   51750    1172   51164   763447  14.75
  1947          60     0.02647  0.02613  0.50   50578    1321   49917   712283  14.08
  1947          61     0.02966  0.02923  0.50   49256    1440   48537   662366  13.45
  1947          62     0.03241  0.03190  0.50   47817    1525   47054   613829  12.84
  1947          63     0.03489  0.03429  0.50   46292    1587   45498   566775  12.24
  1947          64     0.03723  0.03655  0.50   44704    1634   43888   521277  11.66
  1947          65     0.03975  0.03898  0.50   43071    1679   42231   477389  11.08
  1947          66     0.04323  0.04232  0.50   41392    1752   40516   435158  10.51
  1947          67     0.04761  0.04650  0.50   39640    1843   38719   394642   9.96
  1947          68     0.05261  0.05126  0.50   37797    1937   36828   355923   9.42
  1947          69     0.05808  0.05644  0.50   35859    2024   34847   319095   8.90
