26.Kyoto.fu, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07473  0.07083  0.26  100000    7083   94775  5323176  53.23
  1947           1     0.03604  0.03540  0.50   92917    3289   91273  5228402  56.27
  1947           2     0.02084  0.02062  0.50   89628    1848   88704  5137129  57.32
  1947           3     0.01125  0.01119  0.50   87780     982   87289  5048425  57.51
  1947           4     0.00641  0.00639  0.50   86798     554   86520  4961136  57.16
  1947           5     0.00411  0.00410  0.50   86243     353   86066  4874616  56.52
  1947           6     0.00308  0.00308  0.50   85890     264   85757  4788550  55.75
  1947           7     0.00249  0.00249  0.50   85625     213   85519  4702792  54.92
  1947           8     0.00218  0.00218  0.50   85412     186   85319  4617273  54.06
  1947           9     0.00205  0.00205  0.50   85226     174   85139  4531954  53.18
  1947          10     0.00197  0.00197  0.50   85052     167   84968  4446816  52.28
  1947          11     0.00196  0.00195  0.50   84884     166   84801  4361848  51.39
  1947          12     0.00199  0.00199  0.50   84718     169   84634  4277047  50.49
  1947          13     0.00194  0.00194  0.50   84550     164   84468  4192413  49.59
  1947          14     0.00209  0.00209  0.50   84385     176   84297  4107945  48.68
  1947          15     0.00274  0.00273  0.50   84209     230   84094  4023648  47.78
  1947          16     0.00378  0.00377  0.50   83979     317   83820  3939554  46.91
  1947          17     0.00506  0.00504  0.50   83662     422   83451  3855733  46.09
  1947          18     0.00654  0.00652  0.50   83240     542   82969  3772282  45.32
  1947          19     0.00798  0.00795  0.50   82698     658   82369  3689313  44.61
  1947          20     0.00855  0.00852  0.50   82040     699   81691  3606945  43.97
  1947          21     0.00859  0.00856  0.50   81341     696   80993  3525254  43.34
  1947          22     0.00867  0.00864  0.50   80645     697   80297  3444260  42.71
  1947          23     0.00881  0.00877  0.50   79949     701   79598  3363963  42.08
  1947          24     0.00876  0.00872  0.50   79248     691   78902  3284365  41.44
  1947          25     0.00819  0.00816  0.50   78557     641   78236  3205463  40.80
  1947          26     0.00762  0.00759  0.50   77916     591   77620  3127227  40.14
  1947          27     0.00761  0.00758  0.50   77324     586   77031  3049607  39.44
  1947          28     0.00790  0.00787  0.50   76738     604   76436  2972576  38.74
  1947          29     0.00815  0.00811  0.50   76134     618   75825  2896139  38.04
  1947          30     0.00834  0.00830  0.50   75516     627   75203  2820314  37.35
  1947          31     0.00842  0.00838  0.50   74889     628   74575  2745111  36.66
  1947          32     0.00831  0.00828  0.50   74262     615   73954  2670536  35.96
  1947          33     0.00800  0.00797  0.50   73647     587   73354  2596581  35.26
  1947          34     0.00754  0.00751  0.50   73060     549   72786  2523228  34.54
  1947          35     0.00725  0.00722  0.50   72512     524   72250  2450442  33.79
  1947          36     0.00731  0.00728  0.50   71988     524   71726  2378192  33.04
  1947          37     0.00726  0.00724  0.50   71464     517   71205  2306466  32.27
  1947          38     0.00703  0.00701  0.50   70947     497   70698  2235261  31.51
  1947          39     0.00678  0.00675  0.50   70449     476   70212  2164563  30.73
  1947          40     0.00701  0.00699  0.50   69974     489   69729  2094351  29.93
  1947          41     0.00795  0.00792  0.50   69485     551   69210  2024622  29.14
  1947          42     0.00856  0.00852  0.50   68934     587   68641  1955412  28.37
  1947          43     0.00866  0.00862  0.50   68347     589   68052  1886772  27.61
  1947          44     0.00846  0.00842  0.50   67758     571   67473  1818719  26.84
  1947          45     0.00821  0.00817  0.50   67187     549   66913  1751247  26.07
  1947          46     0.00819  0.00815  0.50   66638     543   66366  1684334  25.28
  1947          47     0.00862  0.00859  0.50   66095     567   65811  1617968  24.48
  1947          48     0.00959  0.00955  0.50   65527     626   65214  1552157  23.69
  1947          49     0.01102  0.01096  0.50   64902     711   64546  1486942  22.91
  1947          50     0.01227  0.01220  0.50   64190     783   63799  1422396  22.16
  1947          51     0.01286  0.01278  0.50   63407     810   63002  1358597  21.43
  1947          52     0.01329  0.01320  0.50   62597     827   62184  1295595  20.70
  1947          53     0.01396  0.01387  0.50   61770     857   61342  1233411  19.97
  1947          54     0.01423  0.01413  0.50   60914     860   60484  1172069  19.24
  1947          55     0.01473  0.01463  0.50   60053     878   59614  1111586  18.51
  1947          56     0.01631  0.01617  0.50   59175     957   58696  1051971  17.78
  1947          57     0.01874  0.01857  0.50   58218    1081   57677   993275  17.06
  1947          58     0.02120  0.02097  0.50   57137    1198   56538   935597  16.37
  1947          59     0.02209  0.02185  0.50   55939    1222   55328   879060  15.71
  1947          60     0.02265  0.02240  0.50   54717    1226   54104   823732  15.05
  1947          61     0.02441  0.02412  0.50   53491    1290   52846   769628  14.39
  1947          62     0.02678  0.02643  0.50   52201    1380   51511   716782  13.73
  1947          63     0.02910  0.02869  0.50   50821    1458   50092   665271  13.09
  1947          64     0.03252  0.03200  0.50   49363    1580   48574   615179  12.46
  1947          65     0.03735  0.03666  0.50   47784    1752   46908   566605  11.86
  1947          66     0.04019  0.03940  0.50   46032    1814   45125   519697  11.29
  1947          67     0.04233  0.04145  0.50   44218    1833   43302   474572  10.73
  1947          68     0.04611  0.04507  0.50   42385    1910   41430   431270  10.17
  1947          69     0.05231  0.05098  0.50   40475    2063   39443   389840   9.63
  1947          70     0.05989  0.05815  0.50   38412    2234   37295   350397   9.12
  1947          71     0.06411  0.06212  0.50   36178    2247   35054   313102   8.65
  1947          72     0.06643  0.06430  0.50   33931    2182   32840   278047   8.19
  1947          73     0.07016  0.06778  0.50   31749    2152   30673   245207   7.72
  1947          74     0.07818  0.07524  0.50   29597    2227   28484   214534   7.25
  1947          75     0.09043  0.08652  0.50   27370    2368   26186   186051   6.80
  1947          76     0.09879  0.09414  0.50   25002    2354   23825   159864   6.39
  1947          77     0.10543  0.10015  0.50   22649    2268   21515   136039   6.01
  1947          78     0.11484  0.10861  0.50   20380    2213   19274   114524   5.62
  1947          79     0.12762  0.11996  0.50   18167    2179   17077    95251   5.24
  1947          80     0.14311  0.13355  0.50   15988    2135   14920    78173   4.89
  1947          81     0.15957  0.14778  0.50   13852    2047   12829    63253   4.57
  1947          82     0.17568  0.16149  0.50   11805    1906   10852    50425   4.27
  1947          83     0.19247  0.17558  0.50    9899    1738    9030    39573   4.00
  1947          84     0.21043  0.19040  0.50    8161    1554    7384    30543   3.74
  1947          85     0.22965  0.20600  0.50    6607    1361    5926    23159   3.51
  1947          86     0.25012  0.22232  0.50    5246    1166    4663    17232   3.28
  1947          87     0.27178  0.23926  0.50    4080     976    3592    12570   3.08
  1947          88     0.29457  0.25676  0.50    3104     797    2705     8978   2.89
  1947          89     0.31844  0.27470  0.50    2307     634    1990     6273   2.72
  1947          90     0.34330  0.29300  0.50    1673     490    1428     4283   2.56
  1947          91     0.36905  0.31156  0.50    1183     369     999     2855   2.41
  1947          92     0.39556  0.33025  0.50     814     269     680     1856   2.28
  1947          93     0.42271  0.34895  0.50     545     190     450     1177   2.16
  1947          94     0.45033  0.36756  0.50     355     131     290      726   2.05
  1947          95     0.47826  0.38596  0.50     225      87     181      436   1.94
  1947          96     0.50632  0.40404  0.50     138      56     110      255   1.85
  1947          97     0.53435  0.42168  0.50      82      35      65      145   1.77
  1947          98     0.56216  0.43882  0.50      48      21      37       80   1.69
  1947          99     0.58958  0.45535  0.50      27      12      21       43   1.62
  1947         100     0.61646  0.47122  0.50      15       7      11       23   1.56
  1947         101     0.64265  0.48637  0.50       8       4       6       12   1.50
  1947         102     0.66801  0.50076  0.50       4       2       3        6   1.45
  1947         103     0.69244  0.51436  0.50       2       1       1        3   1.40
  1947         104     0.71583  0.52715  0.50       1       1       1        1   1.36
  1947         105     0.73812  0.53914  0.50       0       0       0        1   1.33
  1947         106     0.75924  0.55032  0.50       0       0       0        0   1.29
