27.Osaka.fu, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08151  0.07700  0.28  100000    7700   94465  5343437  53.43
  1947           1     0.03011  0.02967  0.50   92300    2738   90931  5248972  56.87
  1947           2     0.02169  0.02145  0.50   89562    1921   88601  5158041  57.59
  1947           3     0.01452  0.01441  0.50   87640    1263   87009  5069440  57.84
  1947           4     0.00906  0.00902  0.50   86377     779   85988  4982431  57.68
  1947           5     0.00544  0.00542  0.50   85598     464   85366  4896443  57.20
  1947           6     0.00329  0.00329  0.50   85134     280   84994  4811077  56.51
  1947           7     0.00217  0.00217  0.50   84854     184   84762  4726084  55.70
  1947           8     0.00168  0.00168  0.50   84670     142   84598  4641322  54.82
  1947           9     0.00155  0.00155  0.50   84527     131   84462  4556724  53.91
  1947          10     0.00157  0.00157  0.50   84396     133   84330  4472262  52.99
  1947          11     0.00168  0.00168  0.50   84263     141   84193  4387932  52.07
  1947          12     0.00186  0.00186  0.50   84122     156   84044  4303740  51.16
  1947          13     0.00215  0.00214  0.50   83966     180   83876  4219696  50.26
  1947          14     0.00258  0.00258  0.50   83786     216   83678  4135820  49.36
  1947          15     0.00320  0.00319  0.50   83569     267   83436  4052143  48.49
  1947          16     0.00398  0.00397  0.50   83303     331   83137  3968707  47.64
  1947          17     0.00490  0.00489  0.50   82972     406   82769  3885569  46.83
  1947          18     0.00583  0.00582  0.50   82567     480   82326  3802800  46.06
  1947          19     0.00664  0.00662  0.50   82086     544   81814  3720473  45.32
  1947          20     0.00722  0.00719  0.50   81543     587   81249  3638659  44.62
  1947          21     0.00755  0.00752  0.50   80956     609   80652  3557409  43.94
  1947          22     0.00765  0.00762  0.50   80347     612   80041  3476758  43.27
  1947          23     0.00756  0.00753  0.50   79735     600   79435  3396716  42.60
  1947          24     0.00734  0.00731  0.50   79135     578   78846  3317281  41.92
  1947          25     0.00708  0.00706  0.50   78556     555   78279  3238436  41.22
  1947          26     0.00685  0.00683  0.50   78002     533   77735  3160157  40.51
  1947          27     0.00667  0.00665  0.50   77469     515   77211  3082421  39.79
  1947          28     0.00655  0.00653  0.50   76954     503   76702  3005210  39.05
  1947          29     0.00649  0.00647  0.50   76451     494   76204  2928508  38.31
  1947          30     0.00646  0.00644  0.50   75957     489   75712  2852304  37.55
  1947          31     0.00646  0.00644  0.50   75468     486   75225  2776591  36.79
  1947          32     0.00650  0.00648  0.50   74982     486   74739  2701367  36.03
  1947          33     0.00656  0.00653  0.50   74496     487   74253  2626628  35.26
  1947          34     0.00664  0.00662  0.50   74009     490   73764  2552375  34.49
  1947          35     0.00674  0.00671  0.50   73519     494   73273  2478611  33.71
  1947          36     0.00684  0.00682  0.50   73026     498   72777  2405338  32.94
  1947          37     0.00698  0.00696  0.50   72528     505   72275  2332562  32.16
  1947          38     0.00720  0.00717  0.50   72023     517   71765  2260286  31.38
  1947          39     0.00750  0.00747  0.50   71506     534   71239  2188522  30.61
  1947          40     0.00782  0.00779  0.50   70972     553   70696  2117282  29.83
  1947          41     0.00807  0.00803  0.50   70419     566   70137  2046587  29.06
  1947          42     0.00818  0.00815  0.50   69854     569   69569  1976450  28.29
  1947          43     0.00823  0.00820  0.50   69285     568   69000  1906881  27.52
  1947          44     0.00832  0.00829  0.50   68716     569   68432  1837880  26.75
  1947          45     0.00853  0.00849  0.50   68147     579   67858  1769449  25.97
  1947          46     0.00893  0.00889  0.50   67568     600   67268  1701591  25.18
  1947          47     0.00949  0.00945  0.50   66968     633   66652  1634323  24.40
  1947          48     0.01017  0.01012  0.50   66335     671   66000  1567671  23.63
