28.Hyogo.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07690  0.07280  0.27  100000    7280   94673  5371386  53.71
  1947           1     0.03059  0.03013  0.50   92720    2793   91323  5276713  56.91
  1947           2     0.02205  0.02181  0.50   89927    1961   88946  5185390  57.66
  1947           3     0.01480  0.01469  0.50   87966    1292   87320  5096444  57.94
  1947           4     0.00928  0.00924  0.50   86673     801   86273  5009124  57.79
  1947           5     0.00560  0.00558  0.50   85872     480   85633  4922851  57.33
  1947           6     0.00340  0.00340  0.50   85393     290   85248  4837219  56.65
  1947           7     0.00224  0.00224  0.50   85103     190   85008  4751971  55.84
  1947           8     0.00172  0.00172  0.50   84913     146   84840  4666963  54.96
  1947           9     0.00157  0.00157  0.50   84767     133   84700  4582124  54.06
  1947          10     0.00159  0.00159  0.50   84633     134   84566  4497424  53.14
  1947          11     0.00171  0.00171  0.50   84499     144   84427  4412858  52.22
  1947          12     0.00193  0.00193  0.50   84355     163   84274  4328430  51.31
  1947          13     0.00229  0.00228  0.50   84192     192   84096  4244157  50.41
  1947          14     0.00278  0.00278  0.50   84000     234   83883  4160061  49.52
  1947          15     0.00343  0.00343  0.50   83766     287   83623  4076178  48.66
  1947          16     0.00422  0.00421  0.50   83479     351   83304  3992555  47.83
  1947          17     0.00511  0.00510  0.50   83128     424   82916  3909251  47.03
  1947          18     0.00604  0.00603  0.50   82704     498   82455  3826335  46.27
  1947          19     0.00691  0.00689  0.50   82206     566   81923  3743880  45.54
  1947          20     0.00759  0.00756  0.50   81640     618   81331  3661957  44.86
  1947          21     0.00805  0.00802  0.50   81022     650   80697  3580626  44.19
  1947          22     0.00828  0.00825  0.50   80372     663   80041  3499929  43.55
  1947          23     0.00827  0.00824  0.50   79709     656   79381  3419888  42.90
  1947          24     0.00805  0.00802  0.50   79053     634   78736  3340507  42.26
  1947          25     0.00771  0.00768  0.50   78419     603   78118  3261771  41.59
  1947          26     0.00738  0.00736  0.50   77817     572   77531  3183653  40.91
  1947          27     0.00716  0.00713  0.50   77244     551   76969  3106122  40.21
  1947          28     0.00703  0.00700  0.50   76694     537   76425  3029154  39.50
  1947          29     0.00696  0.00694  0.50   76157     528   75892  2952728  38.77
  1947          30     0.00688  0.00685  0.50   75628     518   75369  2876836  38.04
  1947          31     0.00677  0.00674  0.50   75110     506   74857  2801467  37.30
  1947          32     0.00664  0.00662  0.50   74604     494   74357  2726610  36.55
  1947          33     0.00653  0.00651  0.50   74110     483   73869  2652253  35.79
  1947          34     0.00648  0.00646  0.50   73627     476   73389  2578385  35.02
  1947          35     0.00650  0.00648  0.50   73151     474   72914  2504995  34.24
  1947          36     0.00661  0.00658  0.50   72677     478   72438  2432081  33.46
  1947          37     0.00680  0.00677  0.50   72198     489   71954  2359644  32.68
  1947          38     0.00707  0.00704  0.50   71710     505   71457  2287690  31.90
  1947          39     0.00740  0.00737  0.50   71204     525   70942  2216233  31.12
  1947          40     0.00772  0.00769  0.50   70680     543   70408  2145291  30.35
  1947          41     0.00796  0.00793  0.50   70136     556   69858  2074883  29.58
  1947          42     0.00814  0.00811  0.50   69580     564   69298  2005025  28.82
  1947          43     0.00827  0.00824  0.50   69015     568   68731  1935727  28.05
  1947          44     0.00836  0.00833  0.50   68447     570   68162  1866996  27.28
  1947          45     0.00846  0.00842  0.50   67877     572   67591  1798834  26.50
  1947          46     0.00861  0.00857  0.50   67305     577   67017  1731243  25.72
  1947          47     0.00891  0.00887  0.50   66728     592   66432  1664227  24.94
  1947          48     0.00940  0.00935  0.50   66136     619   65827  1597794  24.16
  1947          49     0.01008  0.01003  0.50   65518     657   65189  1531967  23.38
  1947          50     0.01087  0.01081  0.50   64861     701   64510  1466778  22.61
  1947          51     0.01169  0.01162  0.50   64159     746   63786  1402268  21.86
  1947          52     0.01248  0.01241  0.50   63414     787   63020  1338482  21.11
  1947          53     0.01324  0.01316  0.50   62627     824   62215  1275462  20.37
  1947          54     0.01403  0.01393  0.50   61803     861   61372  1213247  19.63
  1947          55     0.01490  0.01479  0.50   60942     901   60491  1151875  18.90
  1947          56     0.01591  0.01579  0.50   60040     948   59566  1091384  18.18
  1947          57     0.01715  0.01701  0.50   59092    1005   58590  1031818  17.46
  1947          58     0.01869  0.01852  0.50   58087    1076   57549   973228  16.75
  1947          59     0.02049  0.02028  0.50   57011    1156   56433   915679  16.06
  1947          60     0.02240  0.02215  0.50   55855    1237   55237   859245  15.38
  1947          61     0.02432  0.02403  0.50   54618    1312   53962   804009  14.72
  1947          62     0.02627  0.02593  0.50   53306    1382   52614   750047  14.07
  1947          63     0.02833  0.02794  0.50   51923    1451   51198   697432  13.43
  1947          64     0.03074  0.03028  0.50   50473    1528   49709   646234  12.80
  1947          65     0.03370  0.03314  0.50   48945    1622   48134   596526  12.19
  1947          66     0.03715  0.03647  0.50   47323    1726   46460   548392  11.59
  1947          67     0.04101  0.04019  0.50   45597    1832   44681   501932  11.01
  1947          68     0.04520  0.04420  0.50   43765    1934   42797   457252  10.45
  1947          69     0.04956  0.04836  0.50   41830    2023   40819   414454   9.91
  1947          70     0.05400  0.05258  0.50   39807    2093   38761   373636   9.39
