29.Nara.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10718  0.10020  0.35  100000   10020   93487  5094476  50.94
  1947           1     0.03262  0.03209  0.50   89980    2888   88536  5000989  55.58
  1947           2     0.02020  0.01999  0.50   87092    1741   86221  4912453  56.41
  1947           3     0.01142  0.01136  0.50   85351     969   84866  4826232  56.55
  1947           4     0.00637  0.00635  0.50   84381     536   84114  4741366  56.19
  1947           5     0.00412  0.00411  0.50   83846     344   83674  4657252  55.55
  1947           6     0.00345  0.00344  0.50   83501     287   83358  4573579  54.77
  1947           7     0.00318  0.00318  0.50   83214     265   83082  4490221  53.96
  1947           8     0.00271  0.00271  0.50   82949     224   82837  4407139  53.13
  1947           9     0.00218  0.00218  0.50   82725     180   82635  4324302  52.27
  1947          10     0.00186  0.00186  0.50   82544     154   82468  4241667  51.39
  1947          11     0.00172  0.00171  0.50   82391     141   82320  4159200  50.48
  1947          12     0.00164  0.00164  0.50   82250     135   82182  4076880  49.57
  1947          13     0.00163  0.00163  0.50   82115     134   82048  3994697  48.65
  1947          14     0.00195  0.00195  0.50   81981     160   81901  3912650  47.73
  1947          15     0.00284  0.00283  0.50   81821     232   81705  3830749  46.82
  1947          16     0.00411  0.00410  0.50   81589     334   81422  3749043  45.95
  1947          17     0.00549  0.00547  0.50   81255     445   81033  3667621  45.14
  1947          18     0.00678  0.00675  0.50   80810     546   80537  3586589  44.38
  1947          19     0.00778  0.00775  0.50   80264     622   79954  3506051  43.68
  1947          20     0.00832  0.00829  0.50   79643     660   79313  3426098  43.02
  1947          21     0.00869  0.00866  0.50   78983     684   78641  3346785  42.37
  1947          22     0.00914  0.00910  0.50   78299     713   77943  3268144  41.74
  1947          23     0.00939  0.00935  0.50   77586     725   77224  3190202  41.12
  1947          24     0.00919  0.00914  0.50   76861     703   76510  3112978  40.50
  1947          25     0.00895  0.00891  0.50   76158     678   75819  3036468  39.87
  1947          26     0.00914  0.00910  0.50   75480     687   75137  2960649  39.22
  1947          27     0.00992  0.00987  0.50   74793     738   74424  2885513  38.58
  1947          28     0.01025  0.01020  0.50   74055     755   73678  2811088  37.96
  1947          29     0.00928  0.00924  0.50   73300     677   72961  2737411  37.35
  1947          30     0.00792  0.00789  0.50   72623     573   72336  2664449  36.69
  1947          31     0.00710  0.00708  0.50   72050     510   71795  2592113  35.98
  1947          32     0.00735  0.00733  0.50   71540     524   71278  2520318  35.23
  1947          33     0.00804  0.00801  0.50   71016     569   70732  2449040  34.49
  1947          34     0.00844  0.00840  0.50   70447     592   70151  2378308  33.76
  1947          35     0.00852  0.00848  0.50   69855     593   69559  2308157  33.04
  1947          36     0.00847  0.00843  0.50   69263     584   68971  2238598  32.32
  1947          37     0.00843  0.00839  0.50   68679     576   68390  2169627  31.59
  1947          38     0.00851  0.00847  0.50   68102     577   67814  2101237  30.85
  1947          39     0.00874  0.00870  0.50   67525     588   67232  2033423  30.11
  1947          40     0.00895  0.00891  0.50   66938     597   66639  1966191  29.37
  1947          41     0.00893  0.00889  0.50   66341     590   66046  1899552  28.63
  1947          42     0.00863  0.00859  0.50   65751     565   65469  1833506  27.89
  1947          43     0.00847  0.00843  0.50   65187     550   64912  1768037  27.12
  1947          44     0.00886  0.00882  0.50   64637     570   64352  1703125  26.35
  1947          45     0.00967  0.00962  0.50   64067     616   63759  1638773  25.58
  1947          46     0.01054  0.01048  0.50   63451     665   63118  1575014  24.82
  1947          47     0.01101  0.01095  0.50   62786     687   62442  1511896  24.08
  1947          48     0.01148  0.01141  0.50   62098     709   61744  1449454  23.34
  1947          49     0.01237  0.01229  0.50   61390     755   61012  1387710  22.61
  1947          50     0.01326  0.01318  0.50   60635     799   60235  1326698  21.88
  1947          51     0.01371  0.01361  0.50   59836     815   59429  1266462  21.17
  1947          52     0.01389  0.01380  0.50   59021     814   58614  1207034  20.45
  1947          53     0.01410  0.01400  0.50   58207     815   57800  1148419  19.73
  1947          54     0.01437  0.01427  0.50   57392     819   56983  1090620  19.00
  1947          55     0.01513  0.01502  0.50   56573     850   56149  1033637  18.27
