03.Iwate.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10784  0.10078  0.35  100000   10078   93449  5083582  50.84
  1947           1     0.03285  0.03232  0.50   89922    2906   88469  4990132  55.49
  1947           2     0.02313  0.02286  0.50   87016    1990   86021  4901663  56.33
  1947           3     0.01493  0.01482  0.50   85027    1260   84397  4815642  56.64
  1947           4     0.00883  0.00879  0.50   83767     737   83399  4731245  56.48
  1947           5     0.00501  0.00500  0.50   83030     415   82823  4647846  55.98
  1947           6     0.00294  0.00294  0.50   82615     243   82494  4565023  55.26
  1947           7     0.00199  0.00199  0.50   82372     164   82291  4482530  54.42
  1947           8     0.00172  0.00172  0.50   82209     141   82138  4400239  53.53
  1947           9     0.00179  0.00179  0.50   82067     147   81994  4318101  52.62
  1947          10     0.00194  0.00193  0.50   81921     159   81841  4236107  51.71
  1947          11     0.00214  0.00213  0.50   81762     174   81675  4154266  50.81
  1947          12     0.00240  0.00240  0.50   81588     196   81490  4072591  49.92
  1947          13     0.00267  0.00267  0.50   81392     217   81284  3991101  49.04
  1947          14     0.00300  0.00299  0.50   81175     243   81054  3909817  48.17
  1947          15     0.00346  0.00345  0.50   80932     280   80792  3828763  47.31
  1947          16     0.00410  0.00409  0.50   80653     330   80488  3747971  46.47
  1947          17     0.00493  0.00492  0.50   80323     395   80125  3667483  45.66
  1947          18     0.00583  0.00581  0.50   79928     465   79695  3587358  44.88
  1947          19     0.00670  0.00667  0.50   79463     530   79198  3507663  44.14
  1947          20     0.00747  0.00744  0.50   78933     587   78639  3428465  43.44
  1947          21     0.00807  0.00803  0.50   78345     629   78031  3349826  42.76
  1947          22     0.00842  0.00839  0.50   77716     652   77390  3271795  42.10
  1947          23     0.00856  0.00852  0.50   77064     656   76736  3194405  41.45
  1947          24     0.00851  0.00847  0.50   76408     647   76084  3117669  40.80
  1947          25     0.00837  0.00833  0.50   75760     631   75444  3041586  40.15
  1947          26     0.00820  0.00816  0.50   75129     613   74822  2966141  39.48
  1947          27     0.00804  0.00801  0.50   74515     597   74217  2891319  38.80
  1947          28     0.00787  0.00784  0.50   73919     580   73629  2817102  38.11
  1947          29     0.00767  0.00764  0.50   73339     561   73059  2743473  37.41
  1947          30     0.00747  0.00744  0.50   72778     542   72508  2670414  36.69
  1947          31     0.00733  0.00730  0.50   72237     527   71973  2597907  35.96
  1947          32     0.00731  0.00728  0.50   71709     522   71448  2525934  35.22
  1947          33     0.00741  0.00739  0.50   71187     526   70925  2454485  34.48
  1947          34     0.00761  0.00758  0.50   70662     536   70394  2383561  33.73
  1947          35     0.00773  0.00770  0.50   70126     540   69856  2313167  32.99
  1947          36     0.00766  0.00764  0.50   69586     531   69320  2243311  32.24
  1947          37     0.00753  0.00750  0.50   69055     518   68796  2173990  31.48
