30.Wakayama.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08884  0.08365  0.30  100000    8365   94159  5468131  54.68
  1947           1     0.02164  0.02141  0.50   91635    1962   90654  5373971  58.65
  1947           2     0.01613  0.01600  0.50   89673    1435   88956  5283317  58.92
  1947           3     0.01131  0.01125  0.50   88239     992   87742  5194361  58.87
  1947           4     0.00750  0.00747  0.50   87246     652   86920  5106619  58.53
  1947           5     0.00482  0.00481  0.50   86594     417   86386  5019699  57.97
  1947           6     0.00314  0.00313  0.50   86177     270   86043  4933313  57.25
  1947           7     0.00221  0.00221  0.50   85908     190   85813  4847271  56.42
  1947           8     0.00181  0.00181  0.50   85718     155   85640  4761458  55.55
  1947           9     0.00173  0.00173  0.50   85562     148   85488  4675818  54.65
  1947          10     0.00180  0.00180  0.50   85414     154   85337  4590329  53.74
  1947          11     0.00195  0.00195  0.50   85260     166   85177  4504992  52.84
  1947          12     0.00214  0.00214  0.50   85094     182   85003  4419815  51.94
  1947          13     0.00242  0.00241  0.50   84912     205   84809  4334812  51.05
  1947          14     0.00281  0.00281  0.50   84707     238   84588  4250003  50.17
  1947          15     0.00336  0.00335  0.50   84469     283   84327  4165415  49.31
  1947          16     0.00401  0.00400  0.50   84186     337   84017  4081088  48.48
  1947          17     0.00469  0.00468  0.50   83849     393   83653  3997071  47.67
  1947          18     0.00537  0.00535  0.50   83456     447   83233  3913418  46.89
  1947          19     0.00600  0.00598  0.50   83009     497   82761  3830185  46.14
  1947          20     0.00658  0.00656  0.50   82513     541   82242  3747424  45.42
  1947          21     0.00707  0.00704  0.50   81972     577   81683  3665182  44.71
  1947          22     0.00742  0.00739  0.50   81395     602   81094  3583499  44.03
  1947          23     0.00765  0.00762  0.50   80793     616   80485  3502405  43.35
  1947          24     0.00774  0.00771  0.50   80177     618   79868  3421920  42.68
  1947          25     0.00765  0.00762  0.50   79558     606   79255  3342053  42.01
  1947          26     0.00746  0.00743  0.50   78952     586   78659  3262797  41.33
  1947          27     0.00727  0.00725  0.50   78366     568   78082  3184139  40.63
  1947          28     0.00715  0.00712  0.50   77798     554   77521  3106057  39.92
  1947          29     0.00708  0.00705  0.50   77244     545   76971  3028536  39.21
  1947          30     0.00698  0.00696  0.50   76699     534   76432  2951565  38.48
  1947          31     0.00685  0.00683  0.50   76165     520   75905  2875133  37.75
  1947          32     0.00672  0.00670  0.50   75645     506   75392  2799228  37.00
  1947          33     0.00660  0.00658  0.50   75138     495   74891  2723836  36.25
  1947          34     0.00655  0.00653  0.50   74644     487   74400  2648945  35.49
  1947          35     0.00657  0.00654  0.50   74157     485   73914  2574545  34.72
  1947          36     0.00667  0.00665  0.50   73671     490   73426  2500631  33.94
  1947          37     0.00690  0.00688  0.50   73181     503   72930  2427204  33.17
  1947          38     0.00721  0.00719  0.50   72678     522   72417  2354275  32.39
  1947          39     0.00755  0.00752  0.50   72155     543   71884  2281858  31.62
  1947          40     0.00782  0.00779  0.50   71613     558   71334  2209974  30.86
  1947          41     0.00797  0.00794  0.50   71055     564   70773  2138640  30.10
  1947          42     0.00803  0.00800  0.50   70491     564   70209  2067867  29.34
  1947          43     0.00808  0.00805  0.50   69927     563   69646  1997658  28.57
  1947          44     0.00818  0.00815  0.50   69365     565   69082  1928012  27.80
  1947          45     0.00836  0.00832  0.50   68799     573   68513  1858930  27.02
  1947          46     0.00862  0.00859  0.50   68227     586   67934  1790417  26.24
  1947          47     0.00901  0.00897  0.50   67641     607   67338  1722483  25.47
  1947          48     0.00952  0.00947  0.50   67034     635   66717  1655145  24.69
  1947          49     0.01013  0.01008  0.50   66399     669   66065  1588428  23.92
  1947          50     0.01072  0.01067  0.50   65730     701   65380  1522364  23.16
  1947          51     0.01120  0.01114  0.50   65029     725   64667  1456984  22.41
