31.Tottori.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09037  0.08504  0.31  100000    8504   94099  5293254  52.93
  1947           1     0.03093  0.03046  0.50   91496    2787   90103  5199155  56.82
  1947           2     0.02072  0.02050  0.50   88709    1819   87800  5109052  57.59
  1947           3     0.01266  0.01258  0.50   86890    1093   86344  5021252  57.79
  1947           4     0.00718  0.00715  0.50   85797     614   85490  4934908  57.52
  1947           5     0.00408  0.00407  0.50   85184     346   85010  4849418  56.93
  1947           6     0.00260  0.00260  0.50   84837     220   84727  4764408  56.16
  1947           7     0.00195  0.00195  0.50   84617     165   84534  4679681  55.30
  1947           8     0.00172  0.00172  0.50   84452     145   84379  4595147  54.41
  1947           9     0.00177  0.00176  0.50   84306     149   84232  4510768  53.50
  1947          10     0.00196  0.00196  0.50   84157     165   84075  4426536  52.60
  1947          11     0.00212  0.00211  0.50   83993     178   83904  4342461  51.70
  1947          12     0.00216  0.00215  0.50   83815     181   83725  4258557  50.81
  1947          13     0.00237  0.00237  0.50   83635     198   83536  4174832  49.92
  1947          14     0.00281  0.00281  0.50   83437     234   83320  4091296  49.03
  1947          15     0.00345  0.00344  0.50   83202     287   83059  4007976  48.17
  1947          16     0.00420  0.00419  0.50   82916     348   82742  3924917  47.34
  1947          17     0.00501  0.00499  0.50   82568     412   82362  3842175  46.53
  1947          18     0.00585  0.00583  0.50   82156     479   81916  3759814  45.76
  1947          19     0.00671  0.00669  0.50   81677     546   81404  3677897  45.03
  1947          20     0.00749  0.00746  0.50   81131     605   80828  3596494  44.33
  1947          21     0.00800  0.00796  0.50   80525     641   80205  3515666  43.66
  1947          22     0.00814  0.00810  0.50   79884     647   79560  3435461  43.01
  1947          23     0.00817  0.00813  0.50   79237     644   78915  3355901  42.35
  1947          24     0.00837  0.00834  0.50   78592     655   78265  3276986  41.70
  1947          25     0.00874  0.00871  0.50   77937     679   77598  3198721  41.04
  1947          26     0.00924  0.00920  0.50   77259     711   76903  3121123  40.40
  1947          27     0.00977  0.00973  0.50   76548     745   76176  3044220  39.77
  1947          28     0.01007  0.01002  0.50   75803     760   75424  2968045  39.15
  1947          29     0.00989  0.00984  0.50   75044     739   74674  2892621  38.55
  1947          30     0.00935  0.00931  0.50   74305     692   73959  2817947  37.92
  1947          31     0.00873  0.00869  0.50   73613     640   73293  2743987  37.28
  1947          32     0.00825  0.00821  0.50   72973     599   72674  2670694  36.60
  1947          33     0.00779  0.00776  0.50   72374     561   72093  2598020  35.90
  1947          34     0.00726  0.00723  0.50   71813     519   71553  2525927  35.17
  1947          35     0.00693  0.00691  0.50   71294     492   71047  2454373  34.43
  1947          36     0.00706  0.00703  0.50   70801     498   70552  2383326  33.66
  1947          37     0.00741  0.00738  0.50   70303     519   70044  2312774  32.90
  1947          38     0.00774  0.00771  0.50   69784     538   69515  2242730  32.14
  1947          39     0.00791  0.00788  0.50   69246     545   68973  2173216  31.38
  1947          40     0.00812  0.00809  0.50   68700     556   68423  2104242  30.63
  1947          41     0.00857  0.00854  0.50   68145     582   67854  2035820  29.87
  1947          42     0.00907  0.00903  0.50   67563     610   67258  1967966  29.13
  1947          43     0.00937  0.00932  0.50   66953     624   66641  1900708  28.39
  1947          44     0.00934  0.00930  0.50   66329     617   66021  1834067  27.65
  1947          45     0.00922  0.00918  0.50   65712     603   65411  1768046  26.91
  1947          46     0.00921  0.00917  0.50   65109     597   64811  1702636  26.15
  1947          47     0.00903  0.00899  0.50   64512     580   64222  1637825  25.39
  1947          48     0.00882  0.00878  0.50   63932     561   63651  1573603  24.61
  1947          49     0.00888  0.00884  0.50   63371     560   63091  1509952  23.83
  1947          50     0.00958  0.00954  0.50   62811     599   62511  1446861  23.04
  1947          51     0.01116  0.01109  0.50   62212     690   61867  1384350  22.25
  1947          52     0.01304  0.01296  0.50   61522     797   61123  1322483  21.50
  1947          53     0.01460  0.01449  0.50   60724     880   60284  1261360  20.77
  1947          54     0.01559  0.01547  0.50   59844     926   59381  1201076  20.07
  1947          55     0.01578  0.01566  0.50   58918     923   58457  1141694  19.38
  1947          56     0.01517  0.01506  0.50   57996     873   57559  1083237  18.68
  1947          57     0.01474  0.01463  0.50   57122     836   56704  1025678  17.96
  1947          58     0.01548  0.01536  0.50   56286     864   55854   968974  17.22
  1947          59     0.01738  0.01723  0.50   55422     955   54944   913120  16.48
  1947          60     0.02016  0.01996  0.50   54467    1087   53923   858176  15.76
  1947          61     0.02345  0.02317  0.50   53380    1237   52761   804253  15.07
  1947          62     0.02664  0.02629  0.50   52143    1371   51457   751492  14.41
  1947          63     0.02924  0.02882  0.50   50772    1463   50040   700034  13.79
  1947          64     0.03131  0.03082  0.50   49308    1520   48548   649994  13.18
  1947          65     0.03322  0.03267  0.50   47789    1561   47008   601446  12.59
  1947          66     0.03582  0.03519  0.50   46227    1627   45414   554438  11.99
  1947          67     0.03898  0.03824  0.50   44601    1705   43748   509024  11.41
  1947          68     0.04235  0.04147  0.50   42895    1779   42006   465276  10.85
  1947          69     0.04578  0.04475  0.50   41116    1840   40196   423271  10.29
  1947          70     0.04956  0.04836  0.50   39276    1899   38326   383075   9.75
  1947          71     0.05488  0.05341  0.50   37377    1996   36378   344748   9.22
  1947          72     0.06051  0.05874  0.50   35380    2078   34341   308370   8.72
  1947          73     0.06510  0.06305  0.50   33302    2100   32252   274029   8.23
  1947          74     0.06946  0.06713  0.50   31203    2094   30155   241776   7.75
  1947          75     0.07507  0.07236  0.50   29108    2106   28055   211621   7.27
  1947          76     0.08359  0.08024  0.50   27002    2167   25919   183566   6.80
  1947          77     0.09585  0.09147  0.50   24835    2272   23700   157647   6.35
  1947          78     0.11168  0.10577  0.50   22564    2387   21370   133948   5.94
  1947          79     0.12792  0.12023  0.50   20177    2426   18964   112577   5.58
  1947          80     0.14157  0.13221  0.50   17751    2347   16578    93613   5.27
  1947          81     0.15319  0.14229  0.50   15404    2192   14308    77035   5.00
  1947          82     0.16418  0.15173  0.50   13213    2005   12210    62727   4.75
  1947          83     0.17553  0.16137  0.50   11208    1809   10304    50517   4.51
  1947          84     0.18760  0.17151  0.50    9399    1612    8593    40213   4.28
  1947          85     0.20054  0.18227  0.50    7787    1419    7078    31620   4.06
  1947          86     0.21434  0.19359  0.50    6368    1233    5751    24542   3.85
  1947          87     0.22889  0.20538  0.50    5135    1055    4608    18791   3.66
  1947          88     0.24415  0.21759  0.50    4080     888    3637    14183   3.48
  1947          89     0.26009  0.23016  0.50    3193     735    2825    10547   3.30
  1947          90     0.27668  0.24305  0.50    2458     597    2159     7721   3.14
  1947          91     0.29389  0.25624  0.50    1860     477    1622     5562   2.99
  1947          92     0.31171  0.26968  0.50    1384     373    1197     3940   2.85
  1947          93     0.33011  0.28334  0.50    1011     286     867     2743   2.71
  1947          94     0.34903  0.29717  0.50     724     215     617     1876   2.59
  1947          95     0.36845  0.31113  0.50     509     158     430     1259   2.47
  1947          96     0.38830  0.32517  0.50     351     114     294      829   2.37
  1947          97     0.40853  0.33924  0.50     237      80     196      536   2.26
  1947          98     0.42908  0.35328  0.50     156      55     129      339   2.17
  1947          99     0.44987  0.36726  0.50     101      37      83      211   2.08
  1947         100     0.47084  0.38112  0.50      64      24      52      128   2.00
  1947         101     0.49191  0.39481  0.50      40      16      32       76   1.93
  1947         102     0.51302  0.40829  0.50      24      10      19       44   1.85
  1947         103     0.53407  0.42151  0.50      14       6      11       25   1.79
  1947         104     0.55499  0.43444  0.50       8       4       6       14   1.73
  1947         105     0.57570  0.44703  0.50       5       2       4        8   1.67
  1947         106     0.59613  0.45924  0.50       3       1       2        4   1.62
  1947         107     0.61620  0.47107  0.50       1       1       1        2   1.57
  1947         108     0.63594  0.48251  0.50       1       0       1        1   1.53
  1947         109     0.65537  0.49362  0.50       0       0       0        1   1.49
  1947         110+    0.69034  1.00000  1.45       0       0       0        0   1.45
  1948           0     0.06910  0.06568  0.25  100000    6568   95051  5765176  57.65
  1948           1     0.02354  0.02327  0.50   93432    2174   92345  5670125  60.69
  1948           2     0.01240  0.01232  0.50   91258    1125   90696  5577780  61.12
  1948           3     0.00670  0.00668  0.50   90134     602   89833  5487083  60.88
  1948           4     0.00467  0.00466  0.50   89532     417   89323  5397251  60.28
  1948           5     0.00349  0.00349  0.50   89115     311   88960  5307927  59.56
  1948           6     0.00265  0.00265  0.50   88804     235   88687  5218968  58.77
  1948           7     0.00209  0.00208  0.50   88569     185   88477  5130281  57.92
  1948           8     0.00147  0.00146  0.50   88385     129   88320  5041804  57.04
  1948           9     0.00106  0.00106  0.50   88255      94   88208  4953484  56.13
  1948          10     0.00117  0.00117  0.50   88161     103   88110  4865275  55.19
  1948          11     0.00141  0.00140  0.50   88058     124   87996  4777166  54.25
  1948          12     0.00145  0.00145  0.50   87934     127   87871  4689169  53.33
  1948          13     0.00175  0.00175  0.50   87807     154   87730  4601299  52.40
  1948          14     0.00229  0.00229  0.50   87653     201   87553  4513568  51.49
  1948          15     0.00288  0.00288  0.50   87453     251   87327  4426015  50.61
  1948          16     0.00346  0.00345  0.50   87201     301   87051  4338688  49.75
  1948          17     0.00402  0.00401  0.50   86900     348   86726  4251638  48.93
  1948          18     0.00460  0.00459  0.50   86552     397   86353  4164912  48.12
  1948          19     0.00532  0.00531  0.50   86154     457   85926  4078559  47.34
  1948          20     0.00629  0.00627  0.50   85697     538   85428  3992633  46.59
  1948          21     0.00710  0.00707  0.50   85160     602   84859  3907205  45.88
  1948          22     0.00737  0.00734  0.50   84557     621   84247  3822346  45.20
  1948          23     0.00757  0.00754  0.50   83937     633   83620  3738099  44.53
  1948          24     0.00790  0.00787  0.50   83304     656   82976  3654479  43.87
  1948          25     0.00739  0.00736  0.50   82648     609   82344  3571503  43.21
  1948          26     0.00690  0.00687  0.50   82040     564   81758  3489159  42.53
  1948          27     0.00741  0.00738  0.50   81476     601   81175  3407401  41.82
  1948          28     0.00813  0.00810  0.50   80875     655   80547  3326225  41.13
  1948          29     0.00804  0.00800  0.50   80220     642   79899  3245678  40.46
  1948          30     0.00714  0.00711  0.50   79578     566   79295  3165779  39.78
  1948          31     0.00644  0.00642  0.50   79012     507   78758  3086484  39.06
  1948          32     0.00674  0.00672  0.50   78505     527   78241  3007726  38.31
  1948          33     0.00716  0.00714  0.50   77977     557   77699  2929485  37.57
  1948          34     0.00690  0.00688  0.50   77421     532   77155  2851786  36.83
