32.Shimane.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08719  0.08215  0.30  100000    8215   94226  5244809  52.45
  1947           1     0.02716  0.02679  0.50   91785    2459   90555  5150583  56.12
  1947           2     0.02012  0.01992  0.50   89326    1779   88436  5060028  56.65
  1947           3     0.01399  0.01389  0.50   87547    1216   86938  4971592  56.79
  1947           4     0.00915  0.00911  0.50   86330     787   85937  4884653  56.58
  1947           5     0.00576  0.00574  0.50   85544     491   85298  4798716  56.10
  1947           6     0.00361  0.00360  0.50   85053     306   84899  4713418  55.42
  1947           7     0.00240  0.00239  0.50   84746     203   84645  4628519  54.62
  1947           8     0.00182  0.00182  0.50   84544     154   84466  4543874  53.75
  1947           9     0.00165  0.00165  0.50   84389     139   84320  4459407  52.84
  1947          10     0.00169  0.00169  0.50   84250     142   84179  4375087  51.93
  1947          11     0.00190  0.00189  0.50   84108     159   84028  4290908  51.02
  1947          12     0.00226  0.00226  0.50   83949     190   83854  4206880  50.11
  1947          13     0.00280  0.00280  0.50   83759     234   83642  4123026  49.22
  1947          14     0.00352  0.00352  0.50   83525     294   83378  4039384  48.36
  1947          15     0.00441  0.00440  0.50   83231     366   83048  3956007  47.53
  1947          16     0.00539  0.00537  0.50   82865     445   82642  3872959  46.74
  1947          17     0.00640  0.00638  0.50   82420     526   82157  3790317  45.99
  1947          18     0.00737  0.00734  0.50   81894     602   81593  3708160  45.28
  1947          19     0.00823  0.00819  0.50   81292     666   80959  3626567  44.61
  1947          20     0.00889  0.00885  0.50   80626     714   80269  3545608  43.98
  1947          21     0.00934  0.00930  0.50   79912     743   79541  3465339  43.36
  1947          22     0.00955  0.00951  0.50   79169     753   78793  3385798  42.77
  1947          23     0.00955  0.00950  0.50   78417     745   78044  3307006  42.17
  1947          24     0.00936  0.00932  0.50   77671     724   77310  3228962  41.57
  1947          25     0.00904  0.00900  0.50   76948     692   76602  3151652  40.96
