33.Okayama.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08928  0.08405  0.30  100000    8405   94142  5354508  53.55
  1947           1     0.02913  0.02871  0.50   91595    2630   90280  5260367  57.43
  1947           2     0.02029  0.02009  0.50   88965    1787   88071  5170087  58.11
  1947           3     0.01306  0.01297  0.50   87178    1131   86612  5082015  58.29
  1947           4     0.00786  0.00783  0.50   86047     674   85710  4995403  58.05
  1947           5     0.00473  0.00472  0.50   85373     403   85171  4909693  57.51
  1947           6     0.00314  0.00313  0.50   84970     266   84837  4824522  56.78
  1947           7     0.00243  0.00243  0.50   84704     206   84601  4739685  55.96
  1947           8     0.00207  0.00206  0.50   84498     174   84411  4655084  55.09
  1947           9     0.00183  0.00183  0.50   84324     154   84246  4570673  54.20
  1947          10     0.00164  0.00164  0.50   84169     138   84100  4486427  53.30
  1947          11     0.00152  0.00152  0.50   84032     128   83968  4402327  52.39
  1947          12     0.00155  0.00155  0.50   83904     130   83839  4318359  51.47
  1947          13     0.00177  0.00177  0.50   83774     148   83700  4234520  50.55
  1947          14     0.00213  0.00212  0.50   83626     178   83537  4150820  49.64
  1947          15     0.00258  0.00257  0.50   83448     215   83341  4067283  48.74
  1947          16     0.00317  0.00316  0.50   83234     263   83102  3983942  47.86
  1947          17     0.00397  0.00396  0.50   82970     329   82806  3900840  47.01
  1947          18     0.00501  0.00500  0.50   82642     413   82435  3818034  46.20
  1947          19     0.00621  0.00619  0.50   82229     509   81974  3735599  45.43
  1947          20     0.00710  0.00707  0.50   81720     578   81431  3653624  44.71
  1947          21     0.00767  0.00764  0.50   81142     620   80832  3572193  44.02
  1947          22     0.00803  0.00799  0.50   80522     644   80200  3491361  43.36
  1947          23     0.00821  0.00818  0.50   79879     653   79552  3411161  42.70
  1947          24     0.00827  0.00823  0.50   79225     652   78899  3331609  42.05
  1947          25     0.00827  0.00824  0.50   78573     647   78249  3252710  41.40
  1947          26     0.00830  0.00827  0.50   77926     644   77603  3174461  40.74
  1947          27     0.00842  0.00838  0.50   77281     648   76957  3096857  40.07
  1947          28     0.00857  0.00853  0.50   76634     654   76307  3019900  39.41
  1947          29     0.00863  0.00859  0.50   75980     653   75654  2943593  38.74
  1947          30     0.00836  0.00833  0.50   75327     627   75014  2867939  38.07
  1947          31     0.00789  0.00786  0.50   74700     587   74407  2792926  37.39
  1947          32     0.00743  0.00740  0.50   74113     549   73839  2718519  36.68
  1947          33     0.00716  0.00714  0.50   73565     525   73302  2644680  35.95
  1947          34     0.00718  0.00715  0.50   73040     523   72778  2571378  35.21
  1947          35     0.00726  0.00724  0.50   72517     525   72255  2498600  34.46
  1947          36     0.00721  0.00719  0.50   71992     517   71733  2426345  33.70
  1947          37     0.00718  0.00716  0.50   71475     511   71219  2354611  32.94
  1947          38     0.00724  0.00721  0.50   70963     512   70707  2283392  32.18
  1947          39     0.00741  0.00739  0.50   70451     520   70191  2212685  31.41
  1947          40     0.00773  0.00770  0.50   69931     539   69662  2142494  30.64
