35.Yamaguchi.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07609  0.07207  0.27  100000    7207   94711  5238088  52.38
  1947           1     0.02697  0.02661  0.50   92793    2469   91559  5143377  55.43
  1947           2     0.02023  0.02003  0.50   90324    1809   89419  5051819  55.93
  1947           3     0.01429  0.01419  0.50   88515    1256   87887  4962399  56.06
  1947           4     0.00953  0.00949  0.50   87259     828   86845  4874512  55.86
  1947           5     0.00615  0.00614  0.50   86431     530   86166  4787667  55.39
  1947           6     0.00395  0.00394  0.50   85901     339   85731  4701502  54.73
  1947           7     0.00263  0.00263  0.50   85562     225   85449  4615770  53.95
  1947           8     0.00193  0.00193  0.50   85337     165   85255  4530321  53.09
  1947           9     0.00164  0.00164  0.50   85172     140   85103  4445066  52.19
  1947          10     0.00160  0.00160  0.50   85033     136   84965  4359964  51.27
  1947          11     0.00175  0.00175  0.50   84897     148   84822  4274999  50.36
  1947          12     0.00206  0.00206  0.50   84748     174   84661  4190177  49.44
  1947          13     0.00254  0.00254  0.50   84574     215   84467  4105515  48.54
  1947          14     0.00320  0.00319  0.50   84359     269   84224  4021049  47.67
  1947          15     0.00400  0.00399  0.50   84090     335   83922  3936824  46.82
  1947          16     0.00492  0.00490  0.50   83754     411   83549  3852902  46.00
  1947          17     0.00592  0.00591  0.50   83344     492   83098  3769353  45.23
  1947          18     0.00698  0.00696  0.50   82851     576   82563  3686256  44.49
  1947          19     0.00803  0.00800  0.50   82275     658   81946  3603693  43.80
  1947          20     0.00896  0.00892  0.50   81617     728   81253  3521747  43.15
  1947          21     0.00967  0.00963  0.50   80889     779   80500  3440493  42.53
  1947          22     0.01011  0.01006  0.50   80111     806   79708  3359993  41.94
  1947          23     0.01026  0.01021  0.50   79305     809   78900  3280286  41.36
  1947          24     0.01015  0.01010  0.50   78495     793   78099  3201385  40.78
  1947          25     0.00988  0.00983  0.50   77703     764   77321  3123286  40.20
  1947          26     0.00954  0.00949  0.50   76939     730   76574  3045965  39.59
  1947          27     0.00919  0.00915  0.50   76208     697   75860  2969392  38.96
  1947          28     0.00885  0.00881  0.50   75511     666   75178  2893532  38.32
  1947          29     0.00852  0.00849  0.50   74846     635   74528  2818354  37.66
  1947          30     0.00820  0.00817  0.50   74210     606   73907  2743826  36.97
  1947          31     0.00793  0.00790  0.50   73604     581   73313  2669919  36.27
  1947          32     0.00772  0.00769  0.50   73023     562   72742  2596605  35.56
  1947          33     0.00756  0.00753  0.50   72461     546   72188  2523863  34.83
  1947          34     0.00743  0.00741  0.50   71915     533   71649  2451675  34.09
  1947          35     0.00738  0.00735  0.50   71382     525   71120  2380026  33.34
