36.Tokushima.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09931  0.09312  0.33  100000    9312   93771  5082229  50.82
  1947           1     0.02975  0.02932  0.50   90688    2659   89359  4988459  55.01
  1947           2     0.02250  0.02225  0.50   88029    1958   87050  4899100  55.65
  1947           3     0.01605  0.01592  0.50   86071    1370   85386  4812050  55.91
  1947           4     0.01078  0.01072  0.50   84701     908   84246  4726664  55.80
  1947           5     0.00690  0.00687  0.50   83792     576   83504  4642418  55.40
  1947           6     0.00427  0.00426  0.50   83216     354   83039  4558914  54.78
  1947           7     0.00267  0.00267  0.50   82862     221   82752  4475874  54.02
  1947           8     0.00181  0.00181  0.50   82641     149   82567  4393123  53.16
  1947           9     0.00147  0.00147  0.50   82492     121   82431  4310556  52.25
  1947          10     0.00147  0.00147  0.50   82371     121   82310  4228125  51.33
  1947          11     0.00172  0.00172  0.50   82250     142   82179  4145814  50.41
  1947          12     0.00216  0.00216  0.50   82108     177   82019  4063635  49.49
  1947          13     0.00274  0.00274  0.50   81931     224   81819  3981616  48.60
  1947          14     0.00344  0.00344  0.50   81706     281   81566  3899797  47.73
  1947          15     0.00424  0.00424  0.50   81426     345   81253  3818231  46.89
  1947          16     0.00511  0.00510  0.50   81081     413   80874  3736978  46.09
  1947          17     0.00600  0.00598  0.50   80667     483   80426  3656104  45.32
  1947          18     0.00688  0.00686  0.50   80185     550   79910  3575678  44.59
  1947          19     0.00772  0.00769  0.50   79635     613   79329  3495768  43.90
  1947          20     0.00843  0.00839  0.50   79022     663   78691  3416439  43.23
  1947          21     0.00897  0.00893  0.50   78359     700   78009  3337749  42.60
  1947          22     0.00933  0.00928  0.50   77659     721   77299  3259740  41.97
  1947          23     0.00951  0.00946  0.50   76938     728   76574  3182441  41.36
  1947          24     0.00955  0.00950  0.50   76210     724   75848  3105866  40.75
  1947          25     0.00952  0.00947  0.50   75486     715   75129  3030018  40.14
  1947          26     0.00945  0.00940  0.50   74771     703   74420  2954890  39.52
  1947          27     0.00934  0.00929  0.50   74068     688   73724  2880470  38.89
  1947          28     0.00920  0.00916  0.50   73380     672   73044  2806746  38.25
  1947          29     0.00906  0.00901  0.50   72708     655   72380  2733702  37.60
  1947          30     0.00893  0.00889  0.50   72052     640   71732  2661322  36.94
  1947          31     0.00883  0.00879  0.50   71412     628   71098  2589590  36.26
