37.Kagawa.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09052  0.08517  0.31  100000    8517   94093  5418338  54.18
  1947           1     0.02223  0.02199  0.50   91483    2011   90477  5324245  58.20
  1947           2     0.01591  0.01578  0.50   89472    1412   88765  5233768  58.50
  1947           3     0.01060  0.01055  0.50   88059     929   87595  5145003  58.43
  1947           4     0.00660  0.00658  0.50   87131     573   86844  5057408  58.04
  1947           5     0.00394  0.00393  0.50   86557     340   86387  4970564  57.43
  1947           6     0.00238  0.00238  0.50   86217     205   86114  4884176  56.65
  1947           7     0.00163  0.00163  0.50   86012     140   85942  4798062  55.78
  1947           8     0.00136  0.00136  0.50   85872     116   85814  4712120  54.87
  1947           9     0.00136  0.00136  0.50   85755     116   85697  4626306  53.95
  1947          10     0.00148  0.00148  0.50   85639     127   85576  4540609  53.02
  1947          11     0.00168  0.00167  0.50   85512     143   85441  4455033  52.10
  1947          12     0.00195  0.00194  0.50   85369     166   85286  4369593  51.18
  1947          13     0.00231  0.00231  0.50   85203     197   85105  4284306  50.28
  1947          14     0.00275  0.00275  0.50   85007     234   84890  4199202  49.40
  1947          15     0.00326  0.00325  0.50   84773     276   84635  4114312  48.53
  1947          16     0.00385  0.00384  0.50   84497     325   84335  4029677  47.69
  1947          17     0.00456  0.00455  0.50   84172     383   83981  3945342  46.87
  1947          18     0.00537  0.00536  0.50   83789     449   83565  3861361  46.08
  1947          19     0.00625  0.00623  0.50   83340     519   83080  3777797  45.33
  1947          20     0.00716  0.00714  0.50   82821     591   82525  3694716  44.61
  1947          21     0.00792  0.00789  0.50   82230     649   81905  3612191  43.93
  1947          22     0.00835  0.00832  0.50   81581     679   81242  3530286  43.27
  1947          23     0.00851  0.00847  0.50   80902     685   80560  3449044  42.63
  1947          24     0.00849  0.00845  0.50   80217     678   79878  3368484  41.99
  1947          25     0.00844  0.00840  0.50   79539     668   79205  3288606  41.35
  1947          26     0.00836  0.00833  0.50   78871     657   78542  3209401  40.69
  1947          27     0.00825  0.00821  0.50   78214     642   77893  3130858  40.03
  1947          28     0.00812  0.00808  0.50   77572     627   77258  3052965  39.36
  1947          29     0.00799  0.00796  0.50   76945     612   76639  2975707  38.67
  1947          30     0.00779  0.00776  0.50   76332     593   76036  2899069  37.98
  1947          31     0.00759  0.00756  0.50   75740     573   75453  2823032  37.27
  1947          32     0.00748  0.00745  0.50   75167     560   74887  2747579  36.55
  1947          33     0.00745  0.00742  0.50   74607     554   74330  2672692  35.82
  1947          34     0.00750  0.00747  0.50   74053     553   73777  2598362  35.09
  1947          35     0.00764  0.00761  0.50   73500     559   73220  2524585  34.35
  1947          36     0.00781  0.00778  0.50   72941     568   72657  2451365  33.61
  1947          37     0.00787  0.00784  0.50   72373     567   72089  2378708  32.87
  1947          38     0.00786  0.00783  0.50   71806     562   71525  2306618  32.12
  1947          39     0.00787  0.00783  0.50   71244     558   70965  2235094  31.37
  1947          40     0.00798  0.00794  0.50   70686     562   70405  2164129  30.62
  1947          41     0.00822  0.00819  0.50   70124     574   69837  2093724  29.86
  1947          42     0.00849  0.00845  0.50   69550     588   69256  2023887  29.10
  1947          43     0.00866  0.00862  0.50   68962     594   68665  1954631  28.34
  1947          44     0.00869  0.00866  0.50   68368     592   68072  1885967  27.59
  1947          45     0.00877  0.00873  0.50   67776     592   67480  1817895  26.82
  1947          46     0.00913  0.00908  0.50   67184     610   66879  1750415  26.05
  1947          47     0.01000  0.00995  0.50   66574     663   66243  1683536  25.29
  1947          48     0.01105  0.01098  0.50   65911     724   65549  1617293  24.54
  1947          49     0.01184  0.01177  0.50   65188     767   64804  1551743  23.80
  1947          50     0.01229  0.01222  0.50   64420     787   64027  1486939  23.08
  1947          51     0.01246  0.01239  0.50   63633     788   63239  1422912  22.36
