38.Ehime.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08337  0.07869  0.29  100000    7869   94385  5384874  53.85
  1947           1     0.03342  0.03287  0.50   92131    3028   90617  5290489  57.42
  1947           2     0.02110  0.02088  0.50   89103    1860   88172  5199872  58.36
  1947           3     0.01223  0.01215  0.50   87242    1060   86712  5111699  58.59
  1947           4     0.00687  0.00685  0.50   86182     590   85887  5024987  58.31
  1947           5     0.00416  0.00416  0.50   85592     356   85414  4939100  57.71
  1947           6     0.00307  0.00306  0.50   85236     261   85106  4853686  56.94
  1947           7     0.00263  0.00263  0.50   84975     223   84864  4768580  56.12
  1947           8     0.00242  0.00242  0.50   84752     205   84649  4683717  55.26
  1947           9     0.00231  0.00230  0.50   84547     195   84449  4599067  54.40
  1947          10     0.00218  0.00218  0.50   84352     184   84260  4514618  53.52
  1947          11     0.00202  0.00202  0.50   84168     170   84083  4430358  52.64
  1947          12     0.00186  0.00186  0.50   83998     156   83920  4346274  51.74
  1947          13     0.00188  0.00188  0.50   83842     157   83763  4262354  50.84
  1947          14     0.00216  0.00215  0.50   83685     180   83595  4178591  49.93
  1947          15     0.00271  0.00270  0.50   83505     226   83392  4094996  49.04
  1947          16     0.00344  0.00344  0.50   83279     286   83136  4011605  48.17
  1947          17     0.00424  0.00423  0.50   82993     351   82817  3928469  47.34
  1947          18     0.00503  0.00502  0.50   82641     415   82434  3845652  46.53
  1947          19     0.00578  0.00576  0.50   82227     474   81990  3763218  45.77
  1947          20     0.00648  0.00646  0.50   81753     528   81489  3681228  45.03
  1947          21     0.00709  0.00707  0.50   81225     574   80938  3599739  44.32
  1947          22     0.00758  0.00755  0.50   80651     609   80346  3518801  43.63
  1947          23     0.00809  0.00806  0.50   80042     645   79719  3438454  42.96
  1947          24     0.00864  0.00860  0.50   79397     683   79055  3358735  42.30
  1947          25     0.00865  0.00861  0.50   78714     678   78375  3279680  41.67
  1947          26     0.00825  0.00821  0.50   78036     641   77716  3201305  41.02
  1947          27     0.00775  0.00772  0.50   77395     597   77097  3123589  40.36
  1947          28     0.00740  0.00737  0.50   76798     566   76515  3046492  39.67
  1947          29     0.00732  0.00729  0.50   76232     556   75954  2969977  38.96
  1947          30     0.00732  0.00730  0.50   75676     552   75400  2894023  38.24
  1947          31     0.00730  0.00727  0.50   75124     546   74851  2818622  37.52
  1947          32     0.00720  0.00718  0.50   74578     535   74310  2743771  36.79
  1947          33     0.00720  0.00718  0.50   74043     531   73777  2669461  36.05
  1947          34     0.00743  0.00740  0.50   73511     544   73239  2595684  35.31
  1947          35     0.00774  0.00771  0.50   72967     563   72686  2522445  34.57
  1947          36     0.00795  0.00792  0.50   72404     573   72118  2449759  33.83
  1947          37     0.00802  0.00798  0.50   71831     573   71544  2377641  33.10
  1947          38     0.00798  0.00795  0.50   71257     566   70974  2306097  32.36
  1947          39     0.00791  0.00788  0.50   70691     557   70412  2235123  31.62
  1947          40     0.00790  0.00787  0.50   70134     552   69858  2164711  30.87
  1947          41     0.00803  0.00800  0.50   69582     556   69304  2094853  30.11
  1947          42     0.00827  0.00824  0.50   69025     569   68741  2025549  29.34
  1947          43     0.00832  0.00829  0.50   68457     567   68173  1956808  28.58
  1947          44     0.00798  0.00795  0.50   67890     539   67620  1888635  27.82
  1947          45     0.00769  0.00767  0.50   67350     516   67092  1821015  27.04
  1947          46     0.00794  0.00791  0.50   66834     529   66569  1753923  26.24
  1947          47     0.00856  0.00852  0.50   66305     565   66023  1687354  25.45
  1947          48     0.00918  0.00914  0.50   65740     601   65440  1621331  24.66
  1947          49     0.00953  0.00949  0.50   65139     618   64830  1555892  23.89
  1947          50     0.00988  0.00983  0.50   64521     634   64204  1491061  23.11
  1947          51     0.01054  0.01049  0.50   63887     670   63552  1426857  22.33
  1947          52     0.01164  0.01157  0.50   63217     731   62851  1363305  21.57
  1947          53     0.01303  0.01294  0.50   62486     809   62081  1300454  20.81
  1947          54     0.01408  0.01398  0.50   61677     862   61246  1238372  20.08
  1947          55     0.01476  0.01465  0.50   60815     891   60369  1177127  19.36
  1947          56     0.01535  0.01523  0.50   59923     913   59467  1116758  18.64
  1947          57     0.01651  0.01638  0.50   59011     967   58527  1057291  17.92
  1947          58     0.01859  0.01842  0.50   58044    1069   57510   998763  17.21
  1947          59     0.02040  0.02020  0.50   56975    1151   56400   941254  16.52
  1947          60     0.02156  0.02133  0.50   55824    1191   55229   884854  15.85
  1947          61     0.02217  0.02192  0.50   54634    1198   54035   829625  15.19
  1947          62     0.02324  0.02297  0.50   53436    1227   52822   775590  14.51
  1947          63     0.02560  0.02528  0.50   52209    1320   51549   722768  13.84
  1947          64     0.02857  0.02816  0.50   50889    1433   50172   671219  13.19
