39.Kochi.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08729  0.08224  0.30  100000    8224   94222  5532343  55.32
  1947           1     0.02099  0.02078  0.50   91776    1907   90822  5438121  59.25
  1947           2     0.01681  0.01667  0.50   89869    1498   89120  5347299  59.50
  1947           3     0.01291  0.01282  0.50   88371    1133   87804  5258179  59.50
  1947           4     0.00949  0.00945  0.50   87238     824   86825  5170374  59.27
  1947           5     0.00673  0.00671  0.50   86413     580   86123  5083549  58.83
  1947           6     0.00464  0.00463  0.50   85833     397   85635  4997426  58.22
  1947           7     0.00318  0.00318  0.50   85436     271   85300  4911791  57.49
  1947           8     0.00224  0.00224  0.50   85165     191   85070  4826490  56.67
  1947           9     0.00170  0.00170  0.50   84974     144   84902  4741421  55.80
  1947          10     0.00145  0.00145  0.50   84830     123   84768  4656519  54.89
  1947          11     0.00144  0.00144  0.50   84707     122   84646  4571751  53.97
  1947          12     0.00162  0.00161  0.50   84585     137   84516  4487105  53.05
  1947          13     0.00196  0.00195  0.50   84448     165   84366  4402589  52.13
  1947          14     0.00243  0.00243  0.50   84283     204   84181  4318223  51.23
  1947          15     0.00300  0.00300  0.50   84079     252   83953  4234042  50.36
  1947          16     0.00363  0.00363  0.50   83827     304   83675  4150090  49.51
  1947          17     0.00429  0.00428  0.50   83523     357   83344  4066415  48.69
  1947          18     0.00492  0.00490  0.50   83165     408   82961  3983071  47.89
  1947          19     0.00548  0.00547  0.50   82758     452   82531  3900109  47.13
  1947          20     0.00593  0.00591  0.50   82305     486   82062  3817578  46.38
  1947          21     0.00626  0.00624  0.50   81819     510   81564  3735516  45.66
  1947          22     0.00650  0.00648  0.50   81309     527   81045  3653952  44.94
  1947          23     0.00670  0.00667  0.50   80782     539   80512  3572907  44.23
  1947          24     0.00688  0.00686  0.50   80243     550   79967  3492395  43.52
  1947          25     0.00705  0.00703  0.50   79692     560   79412  3412427  42.82
  1947          26     0.00717  0.00715  0.50   79132     566   78849  3333015  42.12
  1947          27     0.00721  0.00718  0.50   78567     564   78284  3254166  41.42
  1947          28     0.00717  0.00715  0.50   78002     558   77724  3175881  40.72
  1947          29     0.00712  0.00709  0.50   77445     549   77170  3098158  40.00
  1947          30     0.00708  0.00705  0.50   76896     542   76624  3020987  39.29
  1947          31     0.00705  0.00703  0.50   76353     537   76085  2944363  38.56
  1947          32     0.00705  0.00702  0.50   75817     533   75551  2868278  37.83
  1947          33     0.00707  0.00704  0.50   75284     530   75019  2792727  37.10
  1947          34     0.00710  0.00707  0.50   74754     529   74490  2717708  36.36
  1947          35     0.00714  0.00711  0.50   74225     528   73961  2643218  35.61
  1947          36     0.00718  0.00716  0.50   73697     528   73434  2569257  34.86
  1947          37     0.00723  0.00721  0.50   73170     527   72906  2495823  34.11
  1947          38     0.00728  0.00725  0.50   72642     527   72379  2422917  33.35
  1947          39     0.00731  0.00728  0.50   72115     525   71853  2350538  32.59
  1947          40     0.00733  0.00730  0.50   71590     523   71329  2278685  31.83
  1947          41     0.00734  0.00731  0.50   71067     519   70808  2207357  31.06
  1947          42     0.00734  0.00731  0.50   70548     516   70290  2136549  30.29
  1947          43     0.00732  0.00729  0.50   70032     510   69777  2066259  29.50
  1947          44     0.00728  0.00725  0.50   69522     504   69270  1996482  28.72
  1947          45     0.00729  0.00727  0.50   69017     502   68767  1927212  27.92
  1947          46     0.00742  0.00739  0.50   68516     506   68263  1858446  27.12
  1947          47     0.00765  0.00762  0.50   68009     518   67750  1790183  26.32
  1947          48     0.00796  0.00792  0.50   67491     535   67224  1722433  25.52
  1947          49     0.00833  0.00829  0.50   66957     555   66679  1655208  24.72
  1947          50     0.00877  0.00873  0.50   66401     580   66111  1588529  23.92
  1947          51     0.00931  0.00927  0.50   65821     610   65516  1522418  23.13
  1947          52     0.00996  0.00992  0.50   65211     647   64888  1456902  22.34
  1947          53     0.01074  0.01068  0.50   64565     690   64220  1392014  21.56
  1947          54     0.01162  0.01155  0.50   63875     738   63506  1327794  20.79
