04.Miyagi.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08402  0.07928  0.29  100000    7928   94357  5425801  54.26
  1947           1     0.02774  0.02736  0.50   92072    2519   90812  5331444  57.91
  1947           2     0.02083  0.02062  0.50   89553    1847   88629  5240632  58.52
  1947           3     0.01469  0.01458  0.50   87706    1279   87066  5152002  58.74
  1947           4     0.00970  0.00966  0.50   86427     835   86010  5064936  58.60
  1947           5     0.00607  0.00605  0.50   85592     518   85333  4978926  58.17
  1947           6     0.00366  0.00365  0.50   85074     311   84919  4893593  57.52
  1947           7     0.00222  0.00221  0.50   84764     188   84670  4808674  56.73
  1947           8     0.00144  0.00144  0.50   84576     122   84515  4724004  55.86
  1947           9     0.00111  0.00111  0.50   84454      94   84407  4639489  54.93
  1947          10     0.00106  0.00106  0.50   84360      89   84316  4555082  54.00
  1947          11     0.00120  0.00120  0.50   84271     101   84221  4470766  53.05
  1947          12     0.00150  0.00150  0.50   84170     126   84107  4386546  52.12
  1947          13     0.00193  0.00193  0.50   84044     162   83962  4302439  51.19
  1947          14     0.00244  0.00244  0.50   83881     204   83779  4218476  50.29
  1947          15     0.00296  0.00296  0.50   83677     248   83553  4134697  49.41
  1947          16     0.00348  0.00348  0.50   83429     290   83284  4051145  48.56
  1947          17     0.00399  0.00398  0.50   83139     331   82973  3967861  47.73
  1947          18     0.00449  0.00448  0.50   82808     371   82623  3884887  46.91
  1947          19     0.00499  0.00497  0.50   82437     410   82232  3802264  46.12
  1947          20     0.00548  0.00546  0.50   82027     448   81803  3720032  45.35
  1947          21     0.00595  0.00593  0.50   81579     484   81337  3638229  44.60
  1947          22     0.00639  0.00637  0.50   81096     517   80837  3556891  43.86
  1947          23     0.00678  0.00676  0.50   80579     544   80307  3476054  43.14
  1947          24     0.00706  0.00703  0.50   80034     563   79753  3395748  42.43
  1947          25     0.00722  0.00719  0.50   79471     571   79186  3315995  41.73
  1947          26     0.00724  0.00722  0.50   78900     569   78615  3236809  41.02
  1947          27     0.00713  0.00710  0.50   78331     557   78053  3158193  40.32
