40.Fukuoka.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08156  0.07704  0.28  100000    7704   94463  5304479  53.04
  1947           1     0.03875  0.03801  0.50   92296    3508   90541  5210016  56.45
  1947           2     0.02234  0.02209  0.50   88787    1962   87806  5119474  57.66
  1947           3     0.01182  0.01175  0.50   86826    1020   86315  5031668  57.95
  1947           4     0.00661  0.00659  0.50   85805     565   85523  4945352  57.63
  1947           5     0.00451  0.00450  0.50   85240     384   85048  4859829  57.01
  1947           6     0.00371  0.00370  0.50   84856     314   84699  4774781  56.27
  1947           7     0.00292  0.00291  0.50   84542     246   84419  4690082  55.48
  1947           8     0.00244  0.00244  0.50   84296     206   84193  4605663  54.64
  1947           9     0.00221  0.00220  0.50   84090     185   83997  4521470  53.77
  1947          10     0.00199  0.00199  0.50   83905     167   83821  4437473  52.89
  1947          11     0.00186  0.00186  0.50   83738     156   83660  4353652  51.99
  1947          12     0.00189  0.00188  0.50   83582     157   83503  4269992  51.09
  1947          13     0.00204  0.00204  0.50   83424     170   83339  4186489  50.18
  1947          14     0.00253  0.00253  0.50   83254     210   83149  4103149  49.28
  1947          15     0.00349  0.00348  0.50   83044     289   82899  4020000  48.41
  1947          16     0.00452  0.00451  0.50   82755     374   82568  3937101  47.58
  1947          17     0.00528  0.00527  0.50   82381     434   82164  3854533  46.79
  1947          18     0.00599  0.00597  0.50   81947     489   81702  3772369  46.03
  1947          19     0.00687  0.00685  0.50   81458     558   81179  3690666  45.31
  1947          20     0.00764  0.00761  0.50   80900     616   80592  3609487  44.62
  1947          21     0.00815  0.00812  0.50   80284     652   79958  3528895  43.95
  1947          22     0.00837  0.00833  0.50   79633     664   79301  3448937  43.31
  1947          23     0.00845  0.00842  0.50   78969     665   78637  3369636  42.67
  1947          24     0.00847  0.00844  0.50   78304     661   77974  3290999  42.03
  1947          25     0.00818  0.00814  0.50   77644     632   77328  3213025  41.38
  1947          26     0.00781  0.00778  0.50   77011     599   76712  3135698  40.72
  1947          27     0.00770  0.00767  0.50   76412     586   76119  3058986  40.03
  1947          28     0.00772  0.00769  0.50   75826     583   75535  2982867  39.34
  1947          29     0.00770  0.00767  0.50   75243     577   74955  2907332  38.64
  1947          30     0.00763  0.00760  0.50   74667     567   74383  2832377  37.93
  1947          31     0.00755  0.00752  0.50   74099     557   73820  2757994  37.22
  1947          32     0.00749  0.00746  0.50   73542     549   73267  2684174  36.50
  1947          33     0.00738  0.00735  0.50   72993     536   72724  2610907  35.77
  1947          34     0.00717  0.00715  0.50   72456     518   72197  2538182  35.03
  1947          35     0.00706  0.00704  0.50   71938     506   71685  2465985  34.28
  1947          36     0.00715  0.00713  0.50   71432     509   71177  2394300  33.52
  1947          37     0.00715  0.00713  0.50   70923     505   70670  2323122  32.76
  1947          38     0.00725  0.00722  0.50   70417     508   70163  2252452  31.99
  1947          39     0.00766  0.00763  0.50   69909     534   69642  2182289  31.22
  1947          40     0.00814  0.00810  0.50   69375     562   69094  2112647  30.45
  1947          41     0.00835  0.00831  0.50   68813     572   68527  2043553  29.70
  1947          42     0.00832  0.00828  0.50   68241     565   67958  1975026  28.94
  1947          43     0.00830  0.00826  0.50   67676     559   67396  1907067  28.18
  1947          44     0.00854  0.00850  0.50   67117     571   66831  1839671  27.41
  1947          45     0.00912  0.00908  0.50   66546     604   66244  1772840  26.64
  1947          46     0.00977  0.00973  0.50   65942     641   65621  1706596  25.88
  1947          47     0.00952  0.00948  0.50   65300     619   64991  1640975  25.13
  1947          48     0.00916  0.00912  0.50   64682     590   64387  1575984  24.37
  1947          49     0.00967  0.00962  0.50   64092     617   63784  1511597  23.58
  1947          50     0.01062  0.01056  0.50   63475     670   63140  1447813  22.81
  1947          51     0.01143  0.01136  0.50   62805     714   62448  1384673  22.05
  1947          52     0.01221  0.01214  0.50   62091     754   61715  1322225  21.29
  1947          53     0.01309  0.01300  0.50   61338     798   60939  1260510  20.55
  1947          54     0.01369  0.01360  0.50   60540     823   60129  1199571  19.81
  1947          55     0.01429  0.01419  0.50   59717     847   59294  1139442  19.08
  1947          56     0.01532  0.01520  0.50   58870     895   58423  1080149  18.35
  1947          57     0.01705  0.01690  0.50   57975     980   57485  1021726  17.62
  1947          58     0.01930  0.01911  0.50   56995    1089   56450   964241  16.92
  1947          59     0.02077  0.02056  0.50   55906    1149   55331   907791  16.24
  1947          60     0.02172  0.02149  0.50   54756    1177   54168   852459  15.57
  1947          61     0.02284  0.02258  0.50   53580    1210   52975   798291  14.90
  1947          62     0.02458  0.02428  0.50   52370    1271   51734   745316  14.23
  1947          63     0.02711  0.02675  0.50   51098    1367   50415   693582  13.57
  1947          64     0.02986  0.02943  0.50   49731    1463   49000   643168  12.93
  1947          65     0.03227  0.03175  0.50   48268    1533   47502   594168  12.31
  1947          66     0.03468  0.03409  0.50   46735    1593   45939   546666  11.70
  1947          67     0.03785  0.03715  0.50   45142    1677   44304   500727  11.09
  1947          68     0.04229  0.04142  0.50   43465    1800   42565   456424  10.50
  1947          69     0.04744  0.04634  0.50   41665    1931   40699   413859   9.93
  1947          70     0.05268  0.05133  0.50   39734    2040   38714   373159   9.39
  1947          71     0.05802  0.05638  0.50   37694    2125   36632   334445   8.87
  1947          72     0.06282  0.06091  0.50   35569    2166   34486   297813   8.37
  1947          73     0.06717  0.06499  0.50   33403    2171   32317   263327   7.88
  1947          74     0.07492  0.07221  0.50   31232    2255   30104   231010   7.40
  1947          75     0.08777  0.08408  0.50   28976    2436   27758   200906   6.93
  1947          76     0.09771  0.09316  0.50   26540    2473   25304   173147   6.52
  1947          77     0.10401  0.09887  0.50   24068    2380   22878   147843   6.14
  1947          78     0.10913  0.10349  0.50   21688    2244   20566   124965   5.76
  1947          79     0.11814  0.11155  0.50   19444    2169   18359   104399   5.37
  1947          80     0.13494  0.12641  0.50   17275    2184   16183    86040   4.98
  1947          81     0.15642  0.14507  0.50   15091    2189   13996    69857   4.63
  1947          82     0.17710  0.16269  0.50   12902    2099   11852    55861   4.33
  1947          83     0.19182  0.17503  0.50   10803    1891    9857    44008   4.07
  1947          84     0.20510  0.18602  0.50    8912    1658    8083    34151   3.83
  1947          85     0.22238  0.20012  0.50    7254    1452    6528    26068   3.59
  1947          86     0.24258  0.21634  0.50    5802    1255    5175    19540   3.37
  1947          87     0.26364  0.23293  0.50    4547    1059    4018    14365   3.16
  1947          88     0.28576  0.25004  0.50    3488     872    3052    10348   2.97
  1947          89     0.30899  0.26764  0.50    2616     700    2266     7296   2.79
  1947          90     0.33318  0.28560  0.50    1916     547    1642     5030   2.63
  1947          91     0.35826  0.30384  0.50    1369     416    1161     3388   2.48
  1947          92     0.38417  0.32226  0.50     953     307     799     2227   2.34
  1947          93     0.41074  0.34076  0.50     646     220     536     1428   2.21
  1947          94     0.43785  0.35921  0.50     426     153     349      892   2.10
  1947          95     0.46533  0.37750  0.50     273     103     221      543   1.99
  1947          96     0.49302  0.39552  0.50     170      67     136      322   1.89
  1947          97     0.52076  0.41318  0.50     103      42      81      186   1.81
  1947          98     0.54837  0.43037  0.50      60      26      47      104   1.73
  1947          99     0.57569  0.44702  0.50      34      15      27       57   1.66
  1947         100     0.60255  0.46304  0.50      19       9      15       30   1.59
  1947         101     0.62880  0.47840  0.50      10       5       8       16   1.53
  1947         102     0.65432  0.49302  0.50       5       3       4        8   1.48
  1947         103     0.67898  0.50689  0.50       3       1       2        4   1.43
  1947         104     0.70268  0.51999  0.50       1       1       1        2   1.39
  1947         105     0.72534  0.53229  0.50       1       0       0        1   1.35
  1947         106     0.74689  0.54381  0.50       0       0       0        0   1.31
  1947         107     0.76726  0.55453  0.50       0       0       0        0   1.28
  1947         108     0.78641  0.56446  0.50       0       0       0        0   1.25
  1947         109     0.80442  0.57368  0.50       0       0       0        0   1.23
  1947         110+    0.83167  1.00000  1.20       0       0       0        0   1.20
  1948           0     0.04696  0.04526  0.20  100000    4526   96379  5978141  59.78
  1948           1     0.01165  0.01159  0.50   95474    1106   94921  5881762  61.61
  1948           2     0.00957  0.00953  0.50   94367     899   93918  5786841  61.32
