41.Saga.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10622  0.09936  0.35  100000    9936   93546  5008838  50.09
  1947           1     0.04001  0.03922  0.50   90064    3532   88298  4915293  54.58
  1947           2     0.02781  0.02743  0.50   86532    2374   85345  4826995  55.78
  1947           3     0.01777  0.01761  0.50   84158    1482   83417  4741651  56.34
  1947           4     0.01051  0.01045  0.50   82675     864   82243  4658234  56.34
  1947           5     0.00605  0.00603  0.50   81811     493   81565  4575991  55.93
  1947           6     0.00361  0.00360  0.50   81318     293   81172  4494426  55.27
  1947           7     0.00230  0.00229  0.50   81025     186   80932  4413254  54.47
  1947           8     0.00164  0.00164  0.50   80839     133   80773  4332322  53.59
  1947           9     0.00141  0.00141  0.50   80706     114   80650  4251549  52.68
  1947          10     0.00141  0.00141  0.50   80593     114   80536  4170900  51.75
  1947          11     0.00159  0.00158  0.50   80479     127   80415  4090364  50.83
  1947          12     0.00190  0.00190  0.50   80352     153   80275  4009948  49.90
  1947          13     0.00234  0.00234  0.50   80199     188   80105  3929673  49.00
  1947          14     0.00290  0.00289  0.50   80011     231   79895  3849568  48.11
  1947          15     0.00356  0.00356  0.50   79780     284   79638  3769673  47.25
  1947          16     0.00434  0.00433  0.50   79496     344   79324  3690035  46.42
  1947          17     0.00522  0.00521  0.50   79152     412   78946  3610711  45.62
  1947          18     0.00614  0.00613  0.50   78740     482   78499  3531765  44.85
  1947          19     0.00703  0.00701  0.50   78257     549   77983  3453267  44.13
  1947          20     0.00774  0.00771  0.50   77709     599   77409  3375283  43.44
  1947          21     0.00824  0.00820  0.50   77110     633   76793  3297874  42.77
  1947          22     0.00856  0.00852  0.50   76477     651   76151  3221081  42.12
  1947          23     0.00883  0.00879  0.50   75825     666   75492  3144930  41.48
  1947          24     0.00912  0.00908  0.50   75159     682   74818  3069438  40.84
  1947          25     0.00922  0.00918  0.50   74477     684   74135  2994620  40.21
  1947          26     0.00920  0.00915  0.50   73793     675   73455  2920485  39.58
  1947          27     0.00917  0.00913  0.50   73117     667   72784  2847030  38.94
  1947          28     0.00918  0.00913  0.50   72450     662   72119  2774246  38.29
  1947          29     0.00917  0.00913  0.50   71788     656   71461  2702127  37.64
  1947          30     0.00898  0.00894  0.50   71133     636   70815  2630666  36.98
  1947          31     0.00872  0.00869  0.50   70497     612   70191  2559852  36.31
  1947          32     0.00859  0.00856  0.50   69884     598   69585  2489661  35.63
  1947          33     0.00863  0.00860  0.50   69286     596   68988  2420076  34.93
  1947          34     0.00881  0.00877  0.50   68691     603   68389  2351087  34.23
  1947          35     0.00897  0.00893  0.50   68088     608   67784  2282698  33.53
  1947          36     0.00892  0.00888  0.50   67480     599   67180  2214914  32.82
  1947          37     0.00864  0.00860  0.50   66881     575   66593  2147734  32.11
  1947          38     0.00828  0.00825  0.50   66305     547   66032  2081141  31.39
  1947          39     0.00804  0.00800  0.50   65758     526   65495  2015109  30.64
  1947          40     0.00806  0.00803  0.50   65232     524   64970  1949614  29.89
  1947          41     0.00841  0.00838  0.50   64708     542   64437  1884644  29.13
  1947          42     0.00887  0.00884  0.50   64166     567   63883  1820206  28.37
  1947          43     0.00931  0.00927  0.50   63599     590   63305  1756323  27.62
  1947          44     0.00966  0.00961  0.50   63010     606   62707  1693019  26.87
  1947          45     0.00998  0.00993  0.50   62404     620   62094  1630312  26.13
  1947          46     0.01032  0.01026  0.50   61784     634   61467  1568217  25.38
  1947          47     0.01055  0.01050  0.50   61150     642   60829  1506750  24.64
  1947          48     0.01069  0.01063  0.50   60508     643   60187  1445921  23.90
  1947          49     0.01078  0.01072  0.50   59865     642   59544  1385735  23.15
  1947          50     0.01090  0.01084  0.50   59223     642   58902  1326191  22.39
  1947          51     0.01113  0.01106  0.50   58581     648   58257  1267289  21.63
  1947          52     0.01153  0.01147  0.50   57933     664   57601  1209032  20.87
  1947          53     0.01221  0.01213  0.50   57269     695   56921  1151431  20.11
  1947          54     0.01329  0.01321  0.50   56574     747   56200  1094509  19.35
  1947          55     0.01476  0.01465  0.50   55827     818   55418  1038309  18.60
  1947          56     0.01649  0.01636  0.50   55009     900   54559   982891  17.87
  1947          57     0.01825  0.01808  0.50   54109     978   53620   928332  17.16
  1947          58     0.01980  0.01960  0.50   53130    1042   52610   874713  16.46
  1947          59     0.02124  0.02102  0.50   52089    1095   51541   822103  15.78
  1947          60     0.02304  0.02277  0.50   50994    1161   50413   770562  15.11
  1947          61     0.02552  0.02519  0.50   49833    1255   49205   720148  14.45
  1947          62     0.02830  0.02790  0.50   48577    1355   47899   670943  13.81
  1947          63     0.03098  0.03050  0.50   47222    1440   46502   623044  13.19
  1947          64     0.03381  0.03325  0.50   45781    1522   45020   576542  12.59
  1947          65     0.03701  0.03634  0.50   44259    1608   43455   531522  12.01
  1947          66     0.04020  0.03941  0.50   42651    1681   41811   488067  11.44
  1947          67     0.04349  0.04256  0.50   40970    1744   40098   446256  10.89
  1947          68     0.04711  0.04603  0.50   39226    1806   38324   406158  10.35
  1947          69     0.05113  0.04986  0.50   37421    1866   36488   367834   9.83
  1947          70     0.05554  0.05404  0.50   35555    1921   34594   331346   9.32
  1947          71     0.06026  0.05850  0.50   33634    1967   32650   296752   8.82
  1947          72     0.06539  0.06332  0.50   31666    2005   30664   264102   8.34
  1947          73     0.07106  0.06862  0.50   29661    2035   28644   233439   7.87
