42.Nagasaki.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08357  0.07887  0.29  100000    7887   94376  5268047  52.68
  1947           1     0.03132  0.03084  0.50   92113    2841   90692  5173670  56.17
  1947           2     0.02373  0.02346  0.50   89272    2094   88225  5082978  56.94
  1947           3     0.01693  0.01679  0.50   87178    1464   86446  4994753  57.29
  1947           4     0.01136  0.01130  0.50   85714     969   85230  4908306  57.26
  1947           5     0.00727  0.00725  0.50   84746     614   84439  4823076  56.91
  1947           6     0.00451  0.00450  0.50   84132     379   83942  4738638  56.32
  1947           7     0.00281  0.00280  0.50   83753     235   83636  4654695  55.58
  1947           8     0.00187  0.00186  0.50   83518     156   83440  4571060  54.73
  1947           9     0.00146  0.00145  0.50   83363     121   83302  4487619  53.83
  1947          10     0.00139  0.00139  0.50   83241     116   83183  4404317  52.91
  1947          11     0.00158  0.00158  0.50   83126     131   83060  4321134  51.98
  1947          12     0.00196  0.00195  0.50   82994     162   82913  4238074  51.06
  1947          13     0.00248  0.00248  0.50   82832     205   82730  4155161  50.16
  1947          14     0.00308  0.00307  0.50   82627     254   82500  4072431  49.29
  1947          15     0.00368  0.00368  0.50   82373     303   82222  3989931  48.44
  1947          16     0.00428  0.00427  0.50   82071     351   81895  3907709  47.61
  1947          17     0.00486  0.00485  0.50   81720     396   81522  3825814  46.82
  1947          18     0.00543  0.00541  0.50   81323     440   81103  3744292  46.04
  1947          19     0.00598  0.00596  0.50   80883     482   80642  3663189  45.29
  1947          20     0.00650  0.00648  0.50   80401     521   80141  3582546  44.56
  1947          21     0.00697  0.00694  0.50   79880     555   79603  3502405  43.85
  1947          22     0.00734  0.00731  0.50   79326     580   79036  3422802  43.15
  1947          23     0.00762  0.00759  0.50   78746     598   78447  3343767  42.46
  1947          24     0.00782  0.00779  0.50   78148     609   77844  3265320  41.78
  1947          25     0.00787  0.00784  0.50   77539     608   77235  3187476  41.11
  1947          26     0.00781  0.00778  0.50   76931     599   76632  3110241  40.43
  1947          27     0.00770  0.00767  0.50   76332     585   76040  3033609  39.74
  1947          28     0.00756  0.00753  0.50   75747     571   75462  2957570  39.05
  1947          29     0.00743  0.00740  0.50   75177     557   74898  2882108  38.34
  1947          30     0.00732  0.00729  0.50   74620     544   74348  2807210  37.62
  1947          31     0.00724  0.00722  0.50   74076     534   73809  2732862  36.89
  1947          32     0.00721  0.00719  0.50   73541     529   73277  2659053  36.16
  1947          33     0.00725  0.00722  0.50   73013     527   72749  2585776  35.42
  1947          34     0.00735  0.00733  0.50   72486     531   72220  2513027  34.67
  1947          35     0.00759  0.00756  0.50   71954     544   71682  2440806  33.92
  1947          36     0.00797  0.00794  0.50   71410     567   71127  2369124  33.18
  1947          37     0.00836  0.00832  0.50   70844     590   70549  2297997  32.44
  1947          38     0.00868  0.00864  0.50   70254     607   69951  2227448  31.71
  1947          39     0.00886  0.00882  0.50   69647     615   69340  2157497  30.98
  1947          40     0.00890  0.00886  0.50   69033     612   68727  2088157  30.25
  1947          41     0.00882  0.00878  0.50   68421     601   68120  2019431  29.51
  1947          42     0.00872  0.00868  0.50   67820     589   67526  1951310  28.77
  1947          43     0.00867  0.00863  0.50   67231     580   66941  1883785  28.02
  1947          44     0.00869  0.00865  0.50   66651     577   66363  1816844  27.26
