43.Kumamoto.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07703  0.07292  0.27  100000    7292   94667  5386677  53.87
  1947           1     0.03445  0.03387  0.50   92708    3140   91138  5292010  57.08
  1947           2     0.02069  0.02048  0.50   89568    1835   88650  5200873  58.07
  1947           3     0.01203  0.01195  0.50   87733    1049   87209  5112222  58.27
  1947           4     0.00761  0.00758  0.50   86684     657   86356  5025014  57.97
  1947           5     0.00537  0.00535  0.50   86027     461   85796  4938658  57.41
  1947           6     0.00408  0.00407  0.50   85566     348   85392  4852862  56.71
  1947           7     0.00302  0.00302  0.50   85218     257   85089  4767470  55.94
  1947           8     0.00240  0.00240  0.50   84961     204   84859  4682380  55.11
  1947           9     0.00209  0.00209  0.50   84757     177   84669  4597521  54.24
  1947          10     0.00189  0.00189  0.50   84580     160   84500  4512852  53.36
  1947          11     0.00178  0.00178  0.50   84421     150   84345  4428352  52.46
  1947          12     0.00181  0.00181  0.50   84270     152   84194  4344007  51.55
  1947          13     0.00191  0.00191  0.50   84118     161   84038  4259813  50.64
  1947          14     0.00212  0.00212  0.50   83957     178   83868  4175775  49.74
  1947          15     0.00249  0.00249  0.50   83779     208   83675  4091907  48.84
  1947          16     0.00314  0.00313  0.50   83571     262   83440  4008232  47.96
  1947          17     0.00411  0.00410  0.50   83309     342   83138  3924792  47.11
  1947          18     0.00504  0.00503  0.50   82968     417   82759  3841654  46.30
  1947          19     0.00566  0.00564  0.50   82551     466   82318  3758895  45.53
  1947          20     0.00634  0.00632  0.50   82085     519   81825  3676577  44.79
  1947          21     0.00709  0.00707  0.50   81566     577   81278  3594751  44.07
  1947          22     0.00779  0.00776  0.50   80989     628   80675  3513474  43.38
  1947          23     0.00840  0.00836  0.50   80361     672   80025  3432798  42.72
  1947          24     0.00887  0.00883  0.50   79689     703   79337  3352773  42.07
  1947          25     0.00896  0.00892  0.50   78986     705   78633  3273436  41.44
  1947          26     0.00890  0.00886  0.50   78281     694   77934  3194803  40.81
  1947          27     0.00888  0.00884  0.50   77587     686   77244  3116869  40.17
