44.Oita.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09771  0.09168  0.33  100000    9168   93826  5032609  50.33
  1947           1     0.03692  0.03625  0.50   90832    3293   89186  4938783  54.37
  1947           2     0.02279  0.02254  0.50   87539    1973   86553  4849597  55.40
  1947           3     0.01340  0.01332  0.50   85567    1139   84997  4763044  55.66
  1947           4     0.00825  0.00822  0.50   84427     694   84080  4678047  55.41
  1947           5     0.00569  0.00568  0.50   83733     475   83496  4593967  54.86
  1947           6     0.00443  0.00442  0.50   83258     368   83074  4510471  54.17
  1947           7     0.00352  0.00352  0.50   82890     292   82744  4427397  53.41
  1947           8     0.00294  0.00294  0.50   82598     243   82477  4344653  52.60
  1947           9     0.00260  0.00259  0.50   82355     214   82249  4262176  51.75
  1947          10     0.00235  0.00234  0.50   82142     193   82046  4179927  50.89
  1947          11     0.00225  0.00225  0.50   81949     184   81857  4097882  50.01
  1947          12     0.00238  0.00237  0.50   81765     194   81668  4016025  49.12
  1947          13     0.00263  0.00263  0.50   81571     214   81464  3934357  48.23
  1947          14     0.00301  0.00300  0.50   81357     244   81235  3852893  47.36
  1947          15     0.00356  0.00356  0.50   81113     289   80968  3771658  46.50
  1947          16     0.00447  0.00446  0.50   80824     360   80644  3690690  45.66
  1947          17     0.00580  0.00578  0.50   80464     465   80231  3610046  44.87
  1947          18     0.00722  0.00719  0.50   79998     575   79711  3529815  44.12
  1947          19     0.00827  0.00824  0.50   79423     654   79096  3450104  43.44
  1947          20     0.00873  0.00869  0.50   78769     684   78427  3371008  42.80
  1947          21     0.00897  0.00893  0.50   78084     697   77736  3292581  42.17
  1947          22     0.00942  0.00938  0.50   77387     726   77024  3214846  41.54
  1947          23     0.00989  0.00984  0.50   76661     755   76284  3137822  40.93
  1947          24     0.01013  0.01008  0.50   75906     765   75524  3061538  40.33
  1947          25     0.01021  0.01016  0.50   75141     764   74759  2986014  39.74
  1947          26     0.01025  0.01019  0.50   74377     758   73998  2911255  39.14
  1947          27     0.01022  0.01017  0.50   73619     749   73245  2837257  38.54
  1947          28     0.00970  0.00965  0.50   72870     703   72519  2764012  37.93
  1947          29     0.00853  0.00849  0.50   72167     613   71861  2691493  37.30
  1947          30     0.00789  0.00786  0.50   71554     562   71273  2619632  36.61
  1947          31     0.00773  0.00770  0.50   70992     547   70718  2548359  35.90
  1947          32     0.00772  0.00769  0.50   70445     542   70174  2477641  35.17
  1947          33     0.00796  0.00793  0.50   69903     554   69626  2407467  34.44
  1947          34     0.00853  0.00849  0.50   69349     589   69054  2337841  33.71
  1947          35     0.00899  0.00895  0.50   68760     615   68452  2268787  33.00
  1947          36     0.00904  0.00900  0.50   68145     613   67838  2200334  32.29
  1947          37     0.00918  0.00913  0.50   67532     617   67223  2132496  31.58
  1947          38     0.00930  0.00926  0.50   66915     619   66605  2065273  30.86
  1947          39     0.00923  0.00919  0.50   66295     609   65991  1998667  30.15
  1947          40     0.00939  0.00934  0.50   65686     614   65379  1932677  29.42
  1947          41     0.00989  0.00984  0.50   65072     640   64752  1867298  28.70
  1947          42     0.00966  0.00962  0.50   64432     620   64122  1802546  27.98
  1947          43     0.00920  0.00916  0.50   63812     584   63520  1738423  27.24
  1947          44     0.00930  0.00926  0.50   63228     585   62935  1674903  26.49
  1947          45     0.01004  0.00999  0.50   62643     626   62330  1611968  25.73
  1947          46     0.01111  0.01105  0.50   62017     685   61674  1549638  24.99
  1947          47     0.01162  0.01155  0.50   61332     708   60978  1487964  24.26
  1947          48     0.01158  0.01151  0.50   60623     698   60274  1426986  23.54
  1947          49     0.01134  0.01128  0.50   59926     676   59588  1366712  22.81
  1947          50     0.01154  0.01148  0.50   59250     680   58910  1307124  22.06
  1947          51     0.01260  0.01252  0.50   58570     733   58203  1248215  21.31
  1947          52     0.01393  0.01383  0.50   57836     800   57436  1190012  20.58
  1947          53     0.01485  0.01474  0.50   57037     841   56616  1132575  19.86
  1947          54     0.01543  0.01531  0.50   56196     860   55766  1075959  19.15
  1947          55     0.01599  0.01587  0.50   55336     878   54897  1020193  18.44
  1947          56     0.01687  0.01673  0.50   54458     911   54002   965297  17.73
  1947          57     0.01817  0.01800  0.50   53546     964   53064   911295  17.02
  1947          58     0.01970  0.01950  0.50   52583    1026   52070   858230  16.32
  1947          59     0.02077  0.02056  0.50   51557    1060   51027   806160  15.64
  1947          60     0.02208  0.02184  0.50   50497    1103   49946   755133  14.95
  1947          61     0.02429  0.02400  0.50   49394    1185   48802   705188  14.28
  1947          62     0.02636  0.02602  0.50   48209    1254   47582   656386  13.62
  1947          63     0.02760  0.02722  0.50   46954    1278   46315   608804  12.97
  1947          64     0.03035  0.02990  0.50   45676    1366   44993   562489  12.31
  1947          65     0.03614  0.03550  0.50   44311    1573   43524   517496  11.68
  1947          66     0.04111  0.04029  0.50   42738    1722   41877   473972  11.09
  1947          67     0.04466  0.04369  0.50   41016    1792   40120   432095  10.53
  1947          68     0.04748  0.04638  0.50   39224    1819   38314   391975   9.99
  1947          69     0.05062  0.04937  0.50   37405    1847   36481   353661   9.45
  1947          70     0.05543  0.05393  0.50   35558    1918   34599   317179   8.92
  1947          71     0.06319  0.06126  0.50   33640    2061   32610   282580   8.40
  1947          72     0.07137  0.06891  0.50   31580    2176   30491   249970   7.92
  1947          73     0.07752  0.07463  0.50   29403    2194   28306   219479   7.46
  1947          74     0.08367  0.08031  0.50   27209    2185   26116   191173   7.03
  1947          75     0.09060  0.08667  0.50   25024    2169   23939   165056   6.60
  1947          76     0.09347  0.08929  0.50   22855    2041   21835   141117   6.17
  1947          77     0.10027  0.09548  0.50   20814    1987   19821   119282   5.73
  1947          78     0.11901  0.11233  0.50   18827    2115   17769    99462   5.28
  1947          79     0.14248  0.13300  0.50   16712    2223   15601    81692   4.89
  1947          80     0.16198  0.14984  0.50   14489    2171   13404    66091   4.56
  1947          81     0.17820  0.16362  0.50   12318    2016   11310    52688   4.28
  1947          82     0.19395  0.17680  0.50   10303    1822    9392    41377   4.02
  1947          83     0.21081  0.19071  0.50    8481    1617    7672    31985   3.77
  1947          84     0.22896  0.20544  0.50    6864    1410    6159    24313   3.54
  1947          85     0.24827  0.22085  0.50    5454    1204    4851    18154   3.33
  1947          86     0.26866  0.23685  0.50    4249    1006    3746    13303   3.13
  1947          87     0.29006  0.25332  0.50    3243     821    2832     9557   2.95
  1947          88     0.31243  0.27022  0.50    2421     654    2094     6725   2.78
  1947          89     0.33571  0.28746  0.50    1767     508    1513     4631   2.62
  1947          90     0.35982  0.30496  0.50    1259     384    1067     3118   2.48
  1947          91     0.38466  0.32261  0.50     875     282     734     2051   2.34
  1947          92     0.41011  0.34033  0.50     593     202     492     1317   2.22
  1947          93     0.43606  0.35800  0.50     391     140     321      825   2.11
  1947          94     0.46236  0.37554  0.50     251      94     204      504   2.01
  1947          95     0.48887  0.39284  0.50     157      62     126      300   1.91
  1947          96     0.51544  0.40982  0.50      95      39      76      174   1.83
  1947          97     0.54192  0.42639  0.50      56      24      44       98   1.75
  1947          98     0.56817  0.44247  0.50      32      14      25       54   1.68
  1947          99     0.59405  0.45801  0.50      18       8      14       29   1.61
  1947         100     0.61941  0.47294  0.50      10       5       7       15   1.55
  1947         101     0.64414  0.48722  0.50       5       3       4        8   1.50
  1947         102     0.66812  0.50081  0.50       3       1       2        4   1.45
  1947         103     0.69126  0.51371  0.50       1       1       1        2   1.41
  1947         104     0.71348  0.52588  0.50       1       0       0        1   1.37
  1947         105     0.73471  0.53732  0.50       0       0       0        0   1.33
  1947         106     0.75491  0.54805  0.50       0       0       0        0   1.30
  1947         107     0.77403  0.55806  0.50       0       0       0        0   1.27
  1947         108     0.79202  0.56735  0.50       0       0       0        0   1.24
  1947         109     0.80893  0.57597  0.50       0       0       0        0   1.22
  1947         110+    0.83459  1.00000  1.20       0       0       0        0   1.20
  1948           0     0.06397  0.06098  0.23  100000    6098   95318  5645786  56.46
  1948           1     0.01552  0.01540  0.50   93902    1446   93179  5550468  59.11
  1948           2     0.01250  0.01242  0.50   92456    1148   91882  5457289  59.03
  1948           3     0.00964  0.00959  0.50   91308     876   90870  5365407  58.76
  1948           4     0.00710  0.00707  0.50   90432     639   90112  5274537  58.33
  1948           5     0.00501  0.00500  0.50   89793     449   89568  5184424  57.74
  1948           6     0.00344  0.00343  0.50   89344     306   89190  5094856  57.03
  1948           7     0.00236  0.00236  0.50   89037     210   88932  5005666  56.22
  1948           8     0.00171  0.00170  0.50   88827     151   88752  4916733  55.35
  1948           9     0.00137  0.00137  0.50   88676     122   88615  4827982  54.45
  1948          10     0.00127  0.00127  0.50   88554     113   88498  4739366  53.52
  1948          11     0.00134  0.00134  0.50   88442     119   88382  4650868  52.59
  1948          12     0.00155  0.00155  0.50   88323     137   88254  4562486  51.66
  1948          13     0.00189  0.00189  0.50   88186     167   88102  4474232  50.74
  1948          14     0.00237  0.00237  0.50   88019     208   87915  4386130  49.83
  1948          15     0.00298  0.00297  0.50   87811     261   87680  4298215  48.95
  1948          16     0.00370  0.00369  0.50   87550     323   87388  4210535  48.09
  1948          17     0.00451  0.00450  0.50   87226     393   87030  4123147  47.27
  1948          18     0.00537  0.00535  0.50   86834     465   86601  4036117  46.48
  1948          19     0.00622  0.00621  0.50   86369     536   86101  3949515  45.73
  1948          20     0.00704  0.00702  0.50   85833     602   85532  3863414  45.01
  1948          21     0.00778  0.00775  0.50   85231     660   84900  3777883  44.33
  1948          22     0.00840  0.00836  0.50   84570     707   84217  3692982  43.67
  1948          23     0.00885  0.00882  0.50   83863     739   83493  3608766  43.03
  1948          24     0.00911  0.00906  0.50   83124     754   82747  3525272  42.41
  1948          25     0.00918  0.00913  0.50   82370     752   81994  3442525  41.79
  1948          26     0.00912  0.00908  0.50   81618     741   81247  3360531  41.17
  1948          27     0.00900  0.00896  0.50   80877     724   80514  3279284  40.55
  1948          28     0.00878  0.00874  0.50   80152     701   79802  3198770  39.91
  1948          29     0.00845  0.00842  0.50   79452     669   79117  3118968  39.26
  1948          30     0.00807  0.00804  0.50   78783     633   78466  3039851  38.59
  1948          31     0.00772  0.00769  0.50   78149     601   77849  2961385  37.89
  1948          32     0.00749  0.00746  0.50   77548     579   77259  2883536  37.18
  1948          33     0.00734  0.00732  0.50   76969     563   76688  2806277  36.46
  1948          34     0.00724  0.00721  0.50   76406     551   76131  2729589  35.72
  1948          35     0.00718  0.00715  0.50   75855     542   75584  2653458  34.98
  1948          36     0.00718  0.00715  0.50   75313     539   75044  2577874  34.23
  1948          37     0.00723  0.00721  0.50   74774     539   74505  2502830  33.47
  1948          38     0.00731  0.00729  0.50   74235     541   73965  2428326  32.71
  1948          39     0.00740  0.00737  0.50   73694     543   73423  2354361  31.95
  1948          40     0.00747  0.00744  0.50   73151     544   72879  2280938  31.18
  1948          41     0.00752  0.00749  0.50   72607     544   72335  2208059  30.41
  1948          42     0.00756  0.00754  0.50   72063     543   71791  2135724  29.64
  1948          43     0.00765  0.00762  0.50   71520     545   71247  2063933  28.86
  1948          44     0.00783  0.00780  0.50   70975     553   70698  1992685  28.08
  1948          45     0.00813  0.00809  0.50   70421     570   70136  1921987  27.29
  1948          46     0.00854  0.00850  0.50   69851     594   69555  1851851  26.51
  1948          47     0.00903  0.00899  0.50   69258     623   68946  1782296  25.73
  1948          48     0.00956  0.00951  0.50   68635     653   68308  1713350  24.96
  1948          49     0.01008  0.01003  0.50   67982     682   67641  1645042  24.20
  1948          50     0.01064  0.01058  0.50   67300     712   66944  1577401  23.44
  1948          51     0.01127  0.01120  0.50   66588     746   66215  1510457  22.68
  1948          52     0.01201  0.01193  0.50   65842     786   65449  1444242  21.94
  1948          53     0.01290  0.01282  0.50   65056     834   64639  1378793  21.19
  1948          54     0.01398  0.01389  0.50   64222     892   63776  1314154  20.46
  1948          55     0.01521  0.01510  0.50   63330     956   62852  1250378  19.74
  1948          56     0.01652  0.01639  0.50   62374    1022   61863  1187525  19.04
  1948          57     0.01780  0.01765  0.50   61352    1083   60811  1125662  18.35
  1948          58     0.01899  0.01881  0.50   60269    1134   59703  1064851  17.67
  1948          59     0.02016  0.01996  0.50   59136    1180   58545  1005149  17.00
  1948          60     0.02149  0.02126  0.50   57955    1232   57339   946604  16.33
  1948          61     0.02313  0.02287  0.50   56723    1297   56074   889265  15.68
  1948          62     0.02507  0.02476  0.50   55426    1372   54740   833190  15.03
  1948          63     0.02724  0.02688  0.50   54053    1453   53327   778451  14.40
  1948          64     0.02947  0.02904  0.50   52600    1528   51837   725124  13.79
  1948          65     0.03165  0.03116  0.50   51073    1591   50277   673287  13.18
  1948          66     0.03406  0.03349  0.50   49482    1657   48653   623010  12.59
  1948          67     0.03686  0.03620  0.50   47825    1731   46959   574357  12.01
  1948          68     0.04015  0.03936  0.50   46093    1814   45186   527398  11.44
  1948          69     0.04385  0.04291  0.50   44279    1900   43329   482212  10.89
  1948          70     0.04788  0.04676  0.50   42379    1982   41388   438883  10.36
  1948          71     0.05218  0.05085  0.50   40397    2054   39370   397495   9.84
  1948          72     0.05667  0.05511  0.50   38343    2113   37286   358124   9.34
  1948          73     0.06137  0.05954  0.50   36230    2157   35151   320838   8.86
  1948          74     0.06658  0.06443  0.50   34073    2195   32975   285687   8.38
  1948          75     0.07259  0.07005  0.50   31877    2233   30761   252712   7.93
  1948          76     0.07937  0.07634  0.50   29644    2263   28513   221951   7.49
  1948          77     0.08692  0.08330  0.50   27381    2281   26241   193439   7.06
  1948          78     0.09521  0.09088  0.50   25100    2281   23960   167198   6.66
  1948          79     0.10407  0.09892  0.50   22819    2257   21691   143238   6.28
  1948          80     0.11334  0.10727  0.50   20562    2206   19459   121548   5.91
  1948          81     0.12334  0.11618  0.50   18356    2133   17290   102089   5.56
  1948          82     0.13441  0.12594  0.50   16224    2043   15202    84799   5.23
  1948          83     0.14666  0.13664  0.50   14180    1938   13212    69596   4.91
  1948          84     0.16015  0.14828  0.50   12243    1815   11335    56385   4.61
  1948          85     0.17488  0.16082  0.50   10427    1677    9589    45050   4.32
  1948          86     0.19084  0.17421  0.50    8750    1524    7988    35461   4.05
  1948          87     0.20797  0.18838  0.50    7226    1361    6545    27472   3.80
  1948          88     0.22626  0.20326  0.50    5865    1192    5269    20927   3.57
  1948          89     0.24567  0.21879  0.50    4673    1022    4162    15658   3.35
  1948          90     0.26616  0.23490  0.50    3650     857    3222    11497   3.15
  1948          91     0.28769  0.25151  0.50    2793     702    2442     8275   2.96
  1948          92     0.31021  0.26855  0.50    2090     561    1810     5833   2.79
  1948          93     0.33365  0.28595  0.50    1529     437    1310     4024   2.63
  1948          94     0.35793  0.30359  0.50    1092     331     926     2713   2.49
  1948          95     0.38295  0.32141  0.50     760     244     638     1787   2.35
  1948          96     0.40859  0.33928  0.50     516     175     428     1149   2.23
  1948          97     0.43474  0.35711  0.50     341     122     280      721   2.11
  1948          98     0.46124  0.37480  0.50     219      82     178      441   2.01
  1948          99     0.48795  0.39225  0.50     137      54     110      263   1.92
  1948         100     0.51470  0.40935  0.50      83      34      66      152   1.83
  1948         101     0.54133  0.42602  0.50      49      21      39       86   1.75
  1948         102     0.56769  0.44218  0.50      28      12      22       47   1.68
  1948         103     0.59362  0.45776  0.50      16       7      12       25   1.61
  1948         104     0.61900  0.47270  0.50       9       4       7       13   1.56
  1948         105     0.64374  0.48699  0.50       5       2       3        7   1.50
  1948         106     0.66782  0.50065  0.50       2       1       2        3   1.45
  1948         107     0.69124  0.51369  0.50       1       1       1        2   1.41
  1948         108     0.71412  0.52623  0.50       1       0       0        1   1.37
  1948         109     0.73663  0.53835  0.50       0       0       0        0   1.33
  1948         110+    0.77009  1.00000  1.30       0       0       0        0   1.30
  1949           0     0.06863  0.06525  0.25  100000    6525   95075  5676291  56.76
  1949           1     0.01943  0.01924  0.50   93475    1799   92576  5581216  59.71
  1949           2     0.01397  0.01387  0.50   91676    1272   91040  5488641  59.87
  1949           3     0.00936  0.00931  0.50   90404     842   89983  5397600  59.71
  1949           4     0.00611  0.00609  0.50   89562     545   89290  5307617  59.26
  1949           5     0.00431  0.00430  0.50   89017     383   88826  5218327  58.62
  1949           6     0.00332  0.00332  0.50   88634     294   88487  5129501  57.87
  1949           7     0.00257  0.00257  0.50   88340     227   88227  5041014  57.06
  1949           8     0.00234  0.00234  0.50   88113     206   88010  4952787  56.21
  1949           9     0.00217  0.00216  0.50   87907     190   87812  4864777  55.34
  1949          10     0.00157  0.00157  0.50   87717     138   87648  4776965  54.46
  1949          11     0.00104  0.00104  0.50   87579      91   87533  4689318  53.54
  1949          12     0.00106  0.00106  0.50   87488      93   87441  4601784  52.60
  1949          13     0.00131  0.00131  0.50   87395     115   87337  4514343  51.65
  1949          14     0.00184  0.00184  0.50   87280     161   87200  4427006  50.72
  1949          15     0.00269  0.00269  0.50   87119     234   87002  4339806  49.81
  1949          16     0.00332  0.00331  0.50   86885     288   86741  4252804  48.95
  1949          17     0.00329  0.00329  0.50   86597     285   86455  4166063  48.11
  1949          18     0.00339  0.00338  0.50   86313     292   86167  4079608  47.27
  1949          19     0.00424  0.00423  0.50   86021     364   85839  3993441  46.42
  1949          20     0.00513  0.00512  0.50   85657     439   85438  3907602  45.62
  1949          21     0.00591  0.00590  0.50   85219     502   84967  3822164  44.85
  1949          22     0.00668  0.00666  0.50   84716     564   84434  3737197  44.11
  1949          23     0.00760  0.00757  0.50   84152     637   83833  3652763  43.41
  1949          24     0.00856  0.00853  0.50   83515     712   83158  3568930  42.73
  1949          25     0.00861  0.00857  0.50   82802     710   82448  3485771  42.10
  1949          26     0.00775  0.00772  0.50   82093     634   81776  3403324  41.46
  1949          27     0.00655  0.00653  0.50   81459     532   81193  3321548  40.78
  1949          28     0.00648  0.00646  0.50   80927     523   80666  3240355  40.04
  1949          29     0.00813  0.00810  0.50   80404     651   80079  3159689  39.30
  1949          30     0.00869  0.00865  0.50   79753     690   79408  3079611  38.61
  1949          31     0.00848  0.00844  0.50   79063     667   78729  3000202  37.95
  1949          32     0.00849  0.00845  0.50   78396     663   78065  2921473  37.27
  1949          33     0.00820  0.00817  0.50   77733     635   77416  2843408  36.58
  1949          34     0.00717  0.00715  0.50   77098     551   76823  2765993  35.88
  1949          35     0.00674  0.00672  0.50   76547     514   76290  2689170  35.13
  1949          36     0.00770  0.00767  0.50   76033     583   75742  2612880  34.36
  1949          37     0.00786  0.00783  0.50   75450     591   75155  2537138  33.63
  1949          38     0.00765  0.00762  0.50   74859     570   74574  2461983  32.89
  1949          39     0.00799  0.00796  0.50   74289     591   73994  2387409  32.14
  1949          40     0.00819  0.00816  0.50   73698     601   73397  2313416  31.39
  1949          41     0.00775  0.00772  0.50   73097     564   72815  2240018  30.64
  1949          42     0.00794  0.00790  0.50   72533     573   72246  2167204  29.88
  1949          43     0.00832  0.00828  0.50   71959     596   71661  2094957  29.11
  1949          44     0.00819  0.00815  0.50   71363     582   71072  2023296  28.35
  1949          45     0.00811  0.00808  0.50   70781     572   70496  1952224  27.58
  1949          46     0.00863  0.00859  0.50   70210     603   69908  1881728  26.80
  1949          47     0.00912  0.00908  0.50   69607     632   69291  1811820  26.03
  1949          48     0.00952  0.00947  0.50   68974     653   68648  1742529  25.26
  1949          49     0.00993  0.00989  0.50   68321     675   67983  1673881  24.50
  1949          50     0.01048  0.01043  0.50   67646     705   67293  1605898  23.74
  1949          51     0.01116  0.01110  0.50   66940     743   66569  1538605  22.98
  1949          52     0.01154  0.01147  0.50   66197     760   65818  1472036  22.24
  1949          53     0.01129  0.01122  0.50   65438     735   65071  1406219  21.49
  1949          54     0.01099  0.01093  0.50   64703     707   64350  1341148  20.73
  1949          55     0.01188  0.01181  0.50   63996     756   63618  1276798  19.95
  1949          56     0.01455  0.01444  0.50   63240     913   62783  1213180  19.18
  1949          57     0.01653  0.01640  0.50   62327    1022   61816  1150397  18.46
  1949          58     0.01621  0.01608  0.50   61305     986   60812  1088581  17.76
  1949          59     0.01701  0.01687  0.50   60319    1017   59810  1027769  17.04
  1949          60     0.01883  0.01865  0.50   59301    1106   58748   967959  16.32
  1949          61     0.02056  0.02035  0.50   58195    1184   57603   909211  15.62
  1949          62     0.02218  0.02193  0.50   57011    1251   56386   851608  14.94
  1949          63     0.02404  0.02375  0.50   55761    1324   55098   795222  14.26
  1949          64     0.02688  0.02652  0.50   54436    1444   53714   740123  13.60
  1949          65     0.03053  0.03007  0.50   52993    1594   52196   686409  12.95
  1949          66     0.03221  0.03170  0.50   51399    1629   50584   634213  12.34
  1949          67     0.03346  0.03291  0.50   49770    1638   48951   583629  11.73
  1949          68     0.03662  0.03596  0.50   48132    1731   47266   534678  11.11
  1949          69     0.04168  0.04083  0.50   46401    1895   45453   487412  10.50
  1949          70     0.04858  0.04743  0.50   44506    2111   43451   441959   9.93
  1949          71     0.05756  0.05595  0.50   42395    2372   41209   398508   9.40
  1949          72     0.06226  0.06038  0.50   40023    2417   38815   357299   8.93
  1949          73     0.05910  0.05740  0.50   37607    2159   36527   318484   8.47
  1949          74     0.06277  0.06086  0.50   35448    2158   34369   281956   7.95
  1949          75     0.08262  0.07934  0.50   33291    2641   31970   247587   7.44
  1949          76     0.09602  0.09163  0.50   30649    2808   29245   215617   7.04
  1949          77     0.10185  0.09691  0.50   27841    2698   26492   186372   6.69
  1949          78     0.10601  0.10067  0.50   25143    2531   23877   159880   6.36
  1949          79     0.11131  0.10544  0.50   22612    2384   21420   136003   6.01
  1949          80     0.11935  0.11263  0.50   20227    2278   19088   114584   5.66
  1949          81     0.13013  0.12218  0.50   17949    2193   16853    95495   5.32
  1949          82     0.14299  0.13345  0.50   15756    2103   14705    78642   4.99
  1949          83     0.15666  0.14528  0.50   13654    1984   12662    63937   4.68
  1949          84     0.17116  0.15767  0.50   11670    1840   10750    51276   4.39
  1949          85     0.18682  0.17086  0.50    9830    1680    8990    40525   4.12
  1949          86     0.20359  0.18478  0.50    8151    1506    7398    31535   3.87
  1949          87     0.22139  0.19933  0.50    6645    1324    5982    24138   3.63
  1949          88     0.24030  0.21453  0.50    5320    1141    4749    18155   3.41
  1949          89     0.26030  0.23032  0.50    4179     962    3698    13406   3.21
  1949          90     0.28134  0.24664  0.50    3216     793    2820     9708   3.02
  1949          91     0.30337  0.26342  0.50    2423     638    2104     6889   2.84
  1949          92     0.32636  0.28057  0.50    1785     501    1534     4785   2.68
  1949          93     0.35021  0.29802  0.50    1284     383    1093     3250   2.53
  1949          94     0.37483  0.31567  0.50     901     285     759     2158   2.39
  1949          95     0.40011  0.33341  0.50     617     206     514     1399   2.27
  1949          96     0.42594  0.35116  0.50     411     144     339      885   2.15
  1949          97     0.45218  0.36880  0.50     267      98     218      546   2.05
  1949          98     0.47869  0.38625  0.50     168      65     136      328   1.95
  1949          99     0.50532  0.40340  0.50     103      42      83      192   1.86
  1949         100     0.53192  0.42017  0.50      62      26      49      110   1.78
  1949         101     0.55834  0.43649  0.50      36      16      28       61   1.70
  1949         102     0.58443  0.45227  0.50      20       9      16       33   1.64
  1949         103     0.61006  0.46747  0.50      11       5       8       17   1.58
  1949         104     0.63510  0.48203  0.50       6       3       4        9   1.52
  1949         105     0.65941  0.49591  0.50       3       2       2        4   1.47
  1949         106     0.68293  0.50909  0.50       2       1       1        2   1.42
  1949         107     0.70556  0.52157  0.50       1       0       1        1   1.38
  1949         108     0.72719  0.53329  0.50       0       0       0        0   1.35
  1949         109     0.74774  0.54426  0.50       0       0       0        0   1.31
  1949         110+    0.78071  1.00000  1.28       0       0       0        0   1.28
  1950           0     0.06364  0.06067  0.23  100000    6067   95336  5888080  58.88
  1950           1     0.01302  0.01293  0.50   93933    1215   93326  5792745  61.67
  1950           2     0.01057  0.01051  0.50   92718     975   92231  5699419  61.47
  1950           3     0.00827  0.00824  0.50   91744     756   91366  5607188  61.12
  1950           4     0.00625  0.00623  0.50   90988     567   90705  5515822  60.62
  1950           5     0.00459  0.00458  0.50   90421     414   90214  5425117  60.00
  1950           6     0.00330  0.00329  0.50   90007     296   89859  5334903  59.27
  1950           7     0.00236  0.00235  0.50   89711     211   89605  5245044  58.47
  1950           8     0.00173  0.00173  0.50   89500     155   89422  5155439  57.60
  1950           9     0.00135  0.00135  0.50   89345     121   89284  5066017  56.70
  1950          10     0.00117  0.00117  0.50   89224     104   89172  4976732  55.78
  1950          11     0.00113  0.00112  0.50   89120     100   89070  4887560  54.84
  1950          12     0.00119  0.00119  0.50   89020     106   88967  4798491  53.90
  1950          13     0.00135  0.00134  0.50   88914     120   88854  4709524  52.97
  1950          14     0.00159  0.00159  0.50   88794     141   88724  4620670  52.04
  1950          15     0.00193  0.00192  0.50   88653     171   88568  4531946  51.12
  1950          16     0.00232  0.00232  0.50   88482     205   88380  4443379  50.22
  1950          17     0.00276  0.00276  0.50   88277     243   88155  4354999  49.33
  1950          18     0.00321  0.00321  0.50   88034     283   87892  4266844  48.47
  1950          19     0.00366  0.00365  0.50   87751     321   87591  4178951  47.62
  1950          20     0.00410  0.00409  0.50   87430     358   87252  4091361  46.80
  1950          21     0.00451  0.00450  0.50   87073     392   86877  4004109  45.99
  1950          22     0.00488  0.00487  0.50   86681     422   86470  3917232  45.19
  1950          23     0.00521  0.00519  0.50   86259     448   86035  3830763  44.41
  1950          24     0.00550  0.00548  0.50   85811     471   85576  3744728  43.64
  1950          25     0.00578  0.00576  0.50   85340     492   85094  3659152  42.88
  1950          26     0.00604  0.00602  0.50   84848     511   84593  3574058  42.12
  1950          27     0.00626  0.00624  0.50   84337     526   84074  3489465  41.38
  1950          28     0.00639  0.00637  0.50   83811     533   83544  3405391  40.63
  1950          29     0.00639  0.00637  0.50   83278     530   83012  3321847  39.89
  1950          30     0.00631  0.00630  0.50   82747     521   82487  3238834  39.14
  1950          31     0.00620  0.00618  0.50   82226     508   81972  3156348  38.39
  1950          32     0.00607  0.00606  0.50   81718     495   81471  3074375  37.62
  1950          33     0.00596  0.00594  0.50   81223     483   80982  2992905  36.85
  1950          34     0.00588  0.00586  0.50   80741     473   80504  2911923  36.07
  1950          35     0.00584  0.00582  0.50   80267     467   80034  2831419  35.27
  1950          36     0.00584  0.00582  0.50   79800     465   79568  2751385  34.48
  1950          37     0.00591  0.00589  0.50   79335     468   79102  2671818  33.68
  1950          38     0.00608  0.00606  0.50   78868     478   78629  2592716  32.87
  1950          39     0.00636  0.00634  0.50   78390     497   78141  2514087  32.07
  1950          40     0.00674  0.00672  0.50   77892     524   77631  2435946  31.27
  1950          41     0.00717  0.00715  0.50   77369     553   77092  2358316  30.48
  1950          42     0.00754  0.00751  0.50   76816     577   76527  2281223  29.70
  1950          43     0.00784  0.00781  0.50   76239     595   75941  2204696  28.92
