45.Miyazaki.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08570  0.08080  0.29  100000    8080   94287  5301126  53.01
  1947           1     0.03237  0.03186  0.50   91920    2928   90456  5206839  56.65
  1947           2     0.02380  0.02352  0.50   88992    2093   87945  5116383  57.49
  1947           3     0.01637  0.01624  0.50   86898    1411   86193  5028438  57.87
  1947           4     0.01059  0.01054  0.50   85487     901   85037  4942245  57.81
  1947           5     0.00665  0.00663  0.50   84586     561   84306  4857209  57.42
  1947           6     0.00423  0.00422  0.50   84025     355   83848  4772903  56.80
  1947           7     0.00288  0.00288  0.50   83670     241   83550  4689055  56.04
  1947           8     0.00220  0.00220  0.50   83429     184   83338  4605506  55.20
  1947           9     0.00191  0.00191  0.50   83246     159   83166  4522168  54.32
  1947          10     0.00178  0.00178  0.50   83087     148   83013  4439002  53.43
  1947          11     0.00176  0.00176  0.50   82939     146   82867  4355988  52.52
  1947          12     0.00182  0.00182  0.50   82794     151   82718  4273122  51.61
  1947          13     0.00202  0.00202  0.50   82643     167   82560  4190404  50.70
  1947          14     0.00233  0.00233  0.50   82476     192   82380  4107844  49.81
  1947          15     0.00274  0.00274  0.50   82284     225   82172  4025464  48.92
  1947          16     0.00318  0.00317  0.50   82059     261   81929  3943292  48.05
  1947          17     0.00362  0.00361  0.50   81799     295   81651  3861363  47.21
  1947          18     0.00412  0.00411  0.50   81503     335   81336  3779712  46.37
  1947          19     0.00475  0.00474  0.50   81168     385   80976  3698376  45.56
  1947          20     0.00540  0.00539  0.50   80783     435   80566  3617400  44.78
  1947          21     0.00599  0.00598  0.50   80348     480   80108  3536834  44.02
  1947          22     0.00646  0.00644  0.50   79868     515   79611  3456726  43.28
  1947          23     0.00681  0.00679  0.50   79353     539   79084  3377116  42.56
  1947          24     0.00706  0.00703  0.50   78815     554   78537  3298032  41.85
  1947          25     0.00723  0.00721  0.50   78260     564   77978  3219494  41.14
  1947          26     0.00734  0.00732  0.50   77696     568   77412  3141516  40.43
  1947          27     0.00738  0.00735  0.50   77128     567   76844  3064104  39.73
  1947          28     0.00734  0.00731  0.50   76561     560   76281  2987260  39.02
  1947          29     0.00723  0.00721  0.50   76001     548   75727  2910979  38.30
  1947          30     0.00716  0.00713  0.50   75453     538   75184  2835252  37.58
  1947          31     0.00717  0.00715  0.50   74915     535   74647  2760068  36.84
  1947          32     0.00730  0.00727  0.50   74380     541   74109  2685421  36.10
  1947          33     0.00749  0.00746  0.50   73839     551   73563  2611311  35.36
  1947          34     0.00771  0.00768  0.50   73288     563   73007  2537748  34.63
  1947          35     0.00793  0.00789  0.50   72725     574   72438  2464741  33.89
  1947          36     0.00816  0.00813  0.50   72151     587   71858  2392303  33.16
  1947          37     0.00847  0.00843  0.50   71565     603   71263  2320445  32.42
  1947          38     0.00873  0.00869  0.50   70961     617   70653  2249182  31.70
  1947          39     0.00883  0.00879  0.50   70344     618   70035  2178530  30.97
  1947          40     0.00885  0.00881  0.50   69726     614   69419  2108494  30.24
  1947          41     0.00887  0.00883  0.50   69112     610   68807  2039076  29.50
  1947          42     0.00882  0.00878  0.50   68502     602   68201  1970269  28.76
  1947          43     0.00873  0.00869  0.50   67900     590   67605  1902068  28.01
  1947          44     0.00862  0.00858  0.50   67310     578   67021  1834463  27.25
  1947          45     0.00853  0.00850  0.50   66732     567   66449  1767442  26.49
  1947          46     0.00857  0.00853  0.50   66165     565   65883  1700993  25.71
  1947          47     0.00895  0.00891  0.50   65601     584   65308  1635110  24.93
  1947          48     0.00952  0.00947  0.50   65016     616   64708  1569802  24.14
  1947          49     0.01008  0.01003  0.50   64400     646   64078  1505093  23.37
  1947          50     0.01065  0.01059  0.50   63755     675   63417  1441016  22.60
  1947          51     0.01132  0.01125  0.50   63080     710   62725  1377598  21.84
  1947          52     0.01220  0.01213  0.50   62370     756   61992  1314874  21.08
  1947          53     0.01334  0.01325  0.50   61613     817   61205  1252882  20.33
  1947          54     0.01450  0.01440  0.50   60797     875   60359  1191677  19.60
  1947          55     0.01566  0.01553  0.50   59921     931   59456  1131318  18.88
  1947          56     0.01685  0.01671  0.50   58990     986   58497  1071863  18.17
  1947          57     0.01822  0.01806  0.50   58004    1047   57481  1013365  17.47
  1947          58     0.01985  0.01966  0.50   56957    1120   56397   955885  16.78
  1947          59     0.02165  0.02142  0.50   55837    1196   55239   899487  16.11
  1947          60     0.02334  0.02307  0.50   54641    1261   54011   844248  15.45
  1947          61     0.02467  0.02437  0.50   53381    1301   52730   790237  14.80
  1947          62     0.02567  0.02534  0.50   52080    1320   51420   737506  14.16
  1947          63     0.02654  0.02619  0.50   50760    1330   50095   686086  13.52
  1947          64     0.02803  0.02765  0.50   49431    1367   48747   635991  12.87
  1947          65     0.03080  0.03034  0.50   48064    1458   47335   587244  12.22
  1947          66     0.03466  0.03407  0.50   46606    1588   45812   539908  11.58
  1947          67     0.03928  0.03852  0.50   45018    1734   44151   494096  10.98
  1947          68     0.04436  0.04340  0.50   43284    1878   42345   449945  10.40
  1947          69     0.04982  0.04861  0.50   41405    2013   40399   407601   9.84
  1947          70     0.05561  0.05410  0.50   39393    2131   38327   367201   9.32
  1947          71     0.06172  0.05987  0.50   37262    2231   36146   328874   8.83
  1947          72     0.06797  0.06574  0.50   35031    2303   33879   292728   8.36
  1947          73     0.07408  0.07144  0.50   32728    2338   31559   258849   7.91
  1947          74     0.07963  0.07658  0.50   30390    2327   29226   227290   7.48
  1947          75     0.08443  0.08101  0.50   28063    2273   26926   198064   7.06
  1947          76     0.08949  0.08566  0.50   25789    2209   24685   171138   6.64
  1947          77     0.09620  0.09178  0.50   23580    2164   22498   146453   6.21
  1947          78     0.10565  0.10035  0.50   21416    2149   20341   123955   5.79
  1947          79     0.11783  0.11127  0.50   19267    2144   18195   103614   5.38
  1947          80     0.13237  0.12415  0.50   17123    2126   16060    85419   4.99
  1947          81     0.14879  0.13849  0.50   14997    2077   13959    69359   4.62
  1947          82     0.16668  0.15386  0.50   12920    1988   11926    55400   4.29
  1947          83     0.18602  0.17019  0.50   10932    1861   10002    43474   3.98
  1947          84     0.20687  0.18748  0.50    9072    1701    8221    33472   3.69
  1947          85     0.22926  0.20568  0.50    7371    1516    6613    25250   3.43
  1947          86     0.25322  0.22477  0.50    5855    1316    5197    18637   3.18
  1947          87     0.27876  0.24466  0.50    4539    1110    3984    13441   2.96
  1947          88     0.30582  0.26526  0.50    3428     909    2974     9457   2.76
  1947          89     0.33428  0.28641  0.50    2519     721    2158     6483   2.57
  1947          90     0.36400  0.30795  0.50    1798     554    1521     4325   2.41
  1947          91     0.39480  0.32971  0.50    1244     410    1039     2804   2.25
  1947          92     0.42645  0.35150  0.50     834     293     687     1765   2.12
  1947          93     0.45872  0.37314  0.50     541     202     440     1078   1.99
  1947          94     0.49133  0.39443  0.50     339     134     272      638   1.88
  1947          95     0.52402  0.41523  0.50     205      85     163      366   1.78
