46.Kagoshima.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08252  0.07792  0.28  100000    7792   94422  5268784  52.69
  1947           1     0.03918  0.03842  0.50   92208    3543   90437  5174362  56.12
  1947           2     0.02302  0.02276  0.50   88665    2018   87657  5083926  57.34
  1947           3     0.01335  0.01326  0.50   86648    1149   86073  4996269  57.66
  1947           4     0.00870  0.00867  0.50   85499     741   85129  4910196  57.43
  1947           5     0.00617  0.00615  0.50   84758     521   84498  4825067  56.93
  1947           6     0.00463  0.00462  0.50   84237     389   84042  4740570  56.28
  1947           7     0.00355  0.00354  0.50   83848     297   83699  4656527  55.54
  1947           8     0.00271  0.00271  0.50   83551     226   83438  4572828  54.73
  1947           9     0.00216  0.00216  0.50   83325     180   83235  4489390  53.88
  1947          10     0.00193  0.00193  0.50   83145     160   83065  4406155  52.99
  1947          11     0.00200  0.00200  0.50   82985     166   82902  4323090  52.10
  1947          12     0.00227  0.00226  0.50   82819     187   82725  4240189  51.20
  1947          13     0.00250  0.00249  0.50   82631     206   82528  4157464  50.31
  1947          14     0.00289  0.00288  0.50   82425     237   82307  4074935  49.44
  1947          15     0.00361  0.00360  0.50   82188     296   82040  3992629  48.58
  1947          16     0.00426  0.00425  0.50   81892     348   81718  3910589  47.75
  1947          17     0.00454  0.00453  0.50   81544     369   81359  3828871  46.95
  1947          18     0.00514  0.00512  0.50   81175     416   80967  3747511  46.17
  1947          19     0.00643  0.00641  0.50   80759     517   80500  3666544  45.40
  1947          20     0.00706  0.00703  0.50   80241     564   79959  3586044  44.69
  1947          21     0.00718  0.00715  0.50   79677     570   79392  3506085  44.00
  1947          22     0.00735  0.00733  0.50   79107     580   78817  3426693  43.32
  1947          23     0.00773  0.00770  0.50   78528     604   78225  3347875  42.63
  1947          24     0.00813  0.00810  0.50   77923     631   77608  3269650  41.96
  1947          25     0.00795  0.00792  0.50   77292     612   76986  3192042  41.30
  1947          26     0.00771  0.00768  0.50   76680     589   76385  3115056  40.62
  1947          27     0.00801  0.00798  0.50   76091     607   75787  3038671  39.93
  1947          28     0.00834  0.00830  0.50   75484     627   75170  2962884  39.25
  1947          29     0.00816  0.00813  0.50   74857     609   74553  2887714  38.58
  1947          30     0.00782  0.00779  0.50   74248     578   73959  2813161  37.89
  1947          31     0.00752  0.00749  0.50   73670     552   73394  2739202  37.18
  1947          32     0.00737  0.00734  0.50   73118     537   72850  2665808  36.46
  1947          33     0.00750  0.00748  0.50   72581     543   72310  2592958  35.72
  1947          34     0.00794  0.00791  0.50   72039     570   71754  2520648  34.99
  1947          35     0.00831  0.00828  0.50   71469     591   71173  2448894  34.27
  1947          36     0.00826  0.00822  0.50   70877     583   70586  2377721  33.55
  1947          37     0.00797  0.00793  0.50   70294     558   70016  2307135  32.82
  1947          38     0.00771  0.00768  0.50   69737     535   69469  2237120  32.08
  1947          39     0.00766  0.00763  0.50   69201     528   68937  2167651  31.32
  1947          40     0.00757  0.00754  0.50   68673     518   68414  2098713  30.56
  1947          41     0.00748  0.00745  0.50   68155     508   67901  2030299  29.79
  1947          42     0.00826  0.00823  0.50   67647     557   67369  1962398  29.01
  1947          43     0.00891  0.00887  0.50   67090     595   66793  1895029  28.25
  1947          44     0.00841  0.00838  0.50   66496     557   66217  1828236  27.49
  1947          45     0.00810  0.00807  0.50   65938     532   65672  1762019  26.72
  1947          46     0.00909  0.00904  0.50   65406     592   65111  1696346  25.94
  1947          47     0.00988  0.00983  0.50   64815     637   64496  1631236  25.17
  1947          48     0.01060  0.01054  0.50   64177     676   63839  1566740  24.41
  1947          49     0.01174  0.01167  0.50   63501     741   63131  1502900  23.67
  1947          50     0.01303  0.01295  0.50   62760     812   62354  1439770  22.94
  1947          51     0.01403  0.01393  0.50   61948     863   61516  1377416  22.24
  1947          52     0.01437  0.01427  0.50   61085     871   60649  1315900  21.54
  1947          53     0.01399  0.01390  0.50   60213     837   59795  1255251  20.85
  1947          54     0.01384  0.01374  0.50   59376     816   58968  1195456  20.13
  1947          55     0.01436  0.01426  0.50   58560     835   58143  1136488  19.41
  1947          56     0.01564  0.01552  0.50   57725     896   57277  1078346  18.68
  1947          57     0.01702  0.01688  0.50   56829     959   56350  1021068  17.97
  1947          58     0.01811  0.01794  0.50   55870    1002   55369   964719  17.27
  1947          59     0.01991  0.01971  0.50   54868    1082   54327   909350  16.57
  1947          60     0.02224  0.02200  0.50   53786    1183   53194   855023  15.90
  1947          61     0.02458  0.02428  0.50   52603    1277   51964   801829  15.24
  1947          62     0.02667  0.02632  0.50   51326    1351   50650   749864  14.61
  1947          63     0.02838  0.02798  0.50   49975    1398   49276   699214  13.99
  1947          64     0.02961  0.02918  0.50   48576    1417   47868   649939  13.38
  1947          65     0.03068  0.03021  0.50   47159    1425   46447   602071  12.77
  1947          66     0.03295  0.03242  0.50   45734    1483   44993   555624  12.15
  1947          67     0.03586  0.03523  0.50   44252    1559   43472   510631  11.54
  1947          68     0.03897  0.03823  0.50   42693    1632   41877   467159  10.94
  1947          69     0.04471  0.04373  0.50   41061    1796   40163   425282  10.36
  1947          70     0.05330  0.05191  0.50   39265    2038   38246   385119   9.81
  1947          71     0.05674  0.05518  0.50   37227    2054   36200   346873   9.32
  1947          72     0.05752  0.05591  0.50   35173    1966   34190   310673   8.83
  1947          73     0.06083  0.05903  0.50   33206    1960   32226   276484   8.33
  1947          74     0.06942  0.06709  0.50   31246    2096   30198   244258   7.82
  1947          75     0.08184  0.07863  0.50   29150    2292   28004   214059   7.34
  1947          76     0.08742  0.08376  0.50   26858    2250   25733   186056   6.93
  1947          77     0.09196  0.08791  0.50   24608    2163   23527   160322   6.51
  1947          78     0.10342  0.09833  0.50   22445    2207   21341   136796   6.09
  1947          79     0.11824  0.11164  0.50   20238    2259   19108   115454   5.70
