47.Okinawa.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1973           0     0.01306  0.01292  0.17  100000    1292   98922  7746725  77.47
  1973           1     0.00147  0.00147  0.50   98708     145   98636  7647803  77.48
  1973           2     0.00117  0.00117  0.50   98563     116   98505  7549167  76.59
  1973           3     0.00091  0.00091  0.50   98447      90   98403  7450662  75.68
  1973           4     0.00069  0.00069  0.50   98358      68   98324  7352259  74.75
  1973           5     0.00052  0.00052  0.50   98290      52   98264  7253935  73.80
  1973           6     0.00040  0.00040  0.50   98238      39   98219  7155671  72.84
  1973           7     0.00030  0.00030  0.50   98199      30   98184  7057452  71.87
  1973           8     0.00025  0.00025  0.50   98169      25   98157  6959268  70.89
  1973           9     0.00024  0.00024  0.50   98145      24   98133  6861111  69.91
  1973          10     0.00025  0.00025  0.50   98121      25   98108  6762978  68.92
  1973          11     0.00029  0.00029  0.50   98096      28   98082  6664870  67.94
  1973          12     0.00035  0.00035  0.50   98068      34   98051  6566788  66.96
  1973          13     0.00042  0.00042  0.50   98034      41   98013  6468737  65.98
  1973          14     0.00052  0.00052  0.50   97992      51   97967  6370725  65.01
  1973          15     0.00064  0.00064  0.50   97941      62   97910  6272758  64.05
  1973          16     0.00076  0.00076  0.50   97879      75   97842  6174847  63.09
  1973          17     0.00088  0.00088  0.50   97804      86   97761  6077006  62.13
  1973          18     0.00096  0.00096  0.50   97718      94   97671  5979244  61.19
  1973          19     0.00101  0.00101  0.50   97624      99   97575  5881573  60.25
  1973          20     0.00105  0.00105  0.50   97525     103   97474  5783998  59.31
  1973          21     0.00107  0.00107  0.50   97422     104   97370  5686524  58.37
  1973          22     0.00105  0.00105  0.50   97318     102   97267  5589154  57.43
  1973          23     0.00100  0.00100  0.50   97216      97   97168  5491887  56.49
  1973          24     0.00094  0.00093  0.50   97119      91   97074  5394719  55.55
  1973          25     0.00088  0.00088  0.50   97028      86   96986  5297645  54.60
  1973          26     0.00085  0.00085  0.50   96943      82   96902  5200660  53.65
  1973          27     0.00083  0.00083  0.50   96860      80   96820  5103758  52.69
  1973          28     0.00082  0.00082  0.50   96780      80   96740  5006938  51.74
  1973          29     0.00084  0.00084  0.50   96701      81   96660  4910197  50.78
  1973          30     0.00088  0.00088  0.50   96619      85   96577  4813538  49.82
  1973          31     0.00092  0.00092  0.50   96535      89   96490  4716961  48.86
  1973          32     0.00095  0.00095  0.50   96446      92   96400  4620470  47.91
  1973          33     0.00098  0.00098  0.50   96354      94   96307  4524070  46.95
  1973          34     0.00101  0.00101  0.50   96260      97   96211  4427763  46.00
  1973          35     0.00105  0.00105  0.50   96163     101   96112  4331552  45.04
  1973          36     0.00113  0.00113  0.50   96062     109   96007  4235440  44.09
  1973          37     0.00123  0.00123  0.50   95953     118   95894  4139433  43.14
  1973          38     0.00136  0.00135  0.50   95835     130   95770  4043538  42.19
  1973          39     0.00151  0.00151  0.50   95705     144   95633  3947768  41.25
  1973          40     0.00168  0.00168  0.50   95561     161   95481  3852135  40.31
  1973          41     0.00189  0.00189  0.50   95400     180   95310  3756654  39.38
  1973          42     0.00211  0.00211  0.50   95220     201   95120  3661344  38.45
  1973          43     0.00236  0.00236  0.50   95019     224   94907  3566224  37.53
  1973          44     0.00265  0.00264  0.50   94795     251   94670  3471317  36.62
  1973          45     0.00295  0.00294  0.50   94545     278   94406  3376647  35.71
  1973          46     0.00323  0.00322  0.50   94266     304   94114  3282241  34.82
  1973          47     0.00348  0.00348  0.50   93962     327   93799  3188127  33.93
  1973          48     0.00370  0.00369  0.50   93636     346   93463  3094328  33.05
  1973          49     0.00389  0.00388  0.50   93290     362   93109  3000865  32.17
  1973          50     0.00407  0.00406  0.50   92928     377   92739  2907756  31.29
  1973          51     0.00426  0.00425  0.50   92551     393   92354  2815017  30.42
  1973          52     0.00445  0.00444  0.50   92157     409   91953  2722662  29.54
  1973          53     0.00462  0.00461  0.50   91748     423   91537  2630709  28.67
  1973          54     0.00479  0.00477  0.50   91325     436   91107  2539173  27.80
  1973          55     0.00498  0.00496  0.50   90889     451   90664  2448065  26.93
  1973          56     0.00524  0.00522  0.50   90438     472   90202  2357401  26.07
  1973          57     0.00561  0.00560  0.50   89966     503   89714  2267199  25.20
  1973          58     0.00613  0.00612  0.50   89463     547   89189  2177485  24.34
  1973          59     0.00681  0.00678  0.50   88915     603   88614  2088296  23.49
  1973          60     0.00761  0.00758  0.50   88312     669   87978  1999682  22.64
  1973          61     0.00849  0.00845  0.50   87643     741   87273  1911705  21.81
  1973          62     0.00939  0.00935  0.50   86902     812   86496  1824432  20.99
  1973          63     0.01025  0.01020  0.50   86090     878   85651  1737936  20.19
  1973          64     0.01110  0.01103  0.50   85212     940   84742  1652285  19.39
  1973          65     0.01199  0.01192  0.50   84271    1004   83769  1567544  18.60
  1973          66     0.01306  0.01298  0.50   83267    1081   82727  1483774  17.82
  1973          67     0.01433  0.01423  0.50   82187    1169   81602  1401047  17.05
  1973          68     0.01577  0.01564  0.50   81017    1267   80384  1319445  16.29
  1973          69     0.01738  0.01723  0.50   79750    1374   79063  1239062  15.54
  1973          70     0.01919  0.01901  0.50   78376    1490   77631  1159999  14.80
  1973          71     0.02134  0.02111  0.50   76886    1623   76074  1082367  14.08
  1973          72     0.02383  0.02355  0.50   75263    1772   74377  1006293  13.37
  1973          73     0.02668  0.02633  0.50   73490    1935   72523   931916  12.68
  1973          74     0.02995  0.02951  0.50   71555    2111   70500   859393  12.01
  1973          75     0.03367  0.03311  0.50   69444    2299   68295   788893  11.36
  1973          76     0.03781  0.03711  0.50   67145    2492   65899   720599  10.73
  1973          77     0.04241  0.04152  0.50   64653    2685   63311   654700  10.13
  1973          78     0.04751  0.04640  0.50   61969    2876   60531   591389   9.54
  1973          79     0.05325  0.05187  0.50   59093    3065   57560   530858   8.98
  1973          80     0.05977  0.05804  0.50   56028    3252   54402   473298   8.45
  1973          81     0.06699  0.06482  0.50   52776    3421   51065   418896   7.94
  1973          82     0.07485  0.07215  0.50   49355    3561   47574   367831   7.45
  1973          83     0.08336  0.08003  0.50   45794    3665   43962   320256   6.99
  1973          84     0.09260  0.08850  0.50   42129    3729   40265   276295   6.56
  1973          85     0.10263  0.09762  0.50   38401    3749   36526   236030   6.15
  1973          86     0.11354  0.10744  0.50   34652    3723   32790   199503   5.76
  1973          87     0.12541  0.11801  0.50   30929    3650   29104   166713   5.39
  1973          88     0.13831  0.12936  0.50   27279    3529   25514   137609   5.04
  1973          89     0.15229  0.14152  0.50   23750    3361   22069   112094   4.72
  1973          90     0.16742  0.15449  0.50   20389    3150   18814    90025   4.42
  1973          91     0.18373  0.16827  0.50   17239    2901   15789    71211   4.13
  1973          92     0.20125  0.18285  0.50   14338    2622   13027    55422   3.87
  1973          93     0.21999  0.19819  0.50   11716    2322   10555    42395   3.62
  1973          94     0.23995  0.21424  0.50    9394    2013    8388    31840   3.39
  1973          95     0.26111  0.23096  0.50    7382    1705    6529    23452   3.18
  1973          96     0.28343  0.24825  0.50    5677    1409    4972    16922   2.98
  1973          97     0.30687  0.26605  0.50    4268    1135    3700    11950   2.80
  1973          98     0.33133  0.28424  0.50    3132     890    2687     8250   2.63
  1973          99     0.35672  0.30273  0.50    2242     679    1903     5563   2.48
  1973         100     0.38292  0.32139  0.50    1563     502    1312     3661   2.34
  1973         101     0.40979  0.34010  0.50    1061     361     880     2349   2.21
  1973         102     0.43716  0.35875  0.50     700     251     574     1468   2.10
  1973         103     0.46488  0.37721  0.50     449     169     364      894   1.99
  1973         104     0.49279  0.39537  0.50     280     111     224      530   1.89
  1973         105     0.52071  0.41315  0.50     169      70     134      305   1.81
  1973         106     0.54854  0.43047  0.50      99      43      78      171   1.73
  1973         107     0.57618  0.44732  0.50      56      25      44       93   1.65
  1973         108     0.60363  0.46368  0.50      31      14      24       50   1.59
  1973         109     0.63090  0.47961  0.50      17       8      13       26   1.53
  1973         110+    0.67850  1.00000  1.47       9       9      13       13   1.47
  1974           0     0.01057  0.01048  0.16  100000    1048   99123  7799075  77.99
  1974           1     0.00091  0.00091  0.50   98952      90   98908  7699952  77.81
  1974           2     0.00071  0.00071  0.50   98863      70   98828  7601044  76.88
  1974           3     0.00054  0.00054  0.50   98793      53   98766  7502216  75.94
  1974           4     0.00040  0.00040  0.50   98739      39   98720  7403450  74.98
  1974           5     0.00030  0.00030  0.50   98700      29   98685  7304731  74.01
  1974           6     0.00023  0.00023  0.50   98671      23   98659  7206045  73.03
  1974           7     0.00020  0.00020  0.50   98648      20   98638  7107386  72.05
  1974           8     0.00020  0.00020  0.50   98628      20   98618  7008748  71.06
  1974           9     0.00022  0.00022  0.50   98608      21   98597  6910131  70.08
  1974          10     0.00023  0.00023  0.50   98586      23   98575  6811534  69.09
  1974          11     0.00026  0.00026  0.50   98563      25   98551  6712959  68.11
  1974          12     0.00028  0.00028  0.50   98538      28   98524  6614408  67.13
  1974          13     0.00032  0.00032  0.50   98510      31   98495  6515884  66.14
  1974          14     0.00037  0.00037  0.50   98479      37   98460  6417390  65.17
  1974          15     0.00044  0.00044  0.50   98442      43   98420  6318929  64.19
  1974          16     0.00052  0.00052  0.50   98399      51   98373  6220509  63.22
  1974          17     0.00059  0.00059  0.50   98348      58   98319  6122136  62.25
  1974          18     0.00066  0.00066  0.50   98290      65   98257  6023817  61.29
  1974          19     0.00074  0.00074  0.50   98225      72   98188  5925560  60.33
  1974          20     0.00080  0.00080  0.50   98152      78   98113  5827372  59.37
  1974          21     0.00083  0.00083  0.50   98074      82   98033  5729258  58.42
  1974          22     0.00084  0.00084  0.50   97992      83   97951  5631225  57.47
  1974          23     0.00085  0.00085  0.50   97910      83   97868  5533274  56.51
  1974          24     0.00086  0.00086  0.50   97827      84   97785  5435406  55.56
  1974          25     0.00089  0.00089  0.50   97743      87   97699  5337621  54.61
  1974          26     0.00095  0.00095  0.50   97656      93   97609  5239922  53.66
  1974          27     0.00101  0.00101  0.50   97563      98   97514  5142313  52.71
  1974          28     0.00106  0.00106  0.50   97464     103   97413  5044800  51.76
  1974          29     0.00109  0.00109  0.50   97361     106   97308  4947387  50.81
  1974          30     0.00110  0.00110  0.50   97255     107   97202  4850079  49.87
  1974          31     0.00110  0.00110  0.50   97148     107   97095  4752877  48.92
  1974          32     0.00113  0.00113  0.50   97041     109   96987  4655783  47.98
  1974          33     0.00117  0.00117  0.50   96932     113   96875  4558796  47.03
  1974          34     0.00122  0.00121  0.50   96819     118   96760  4461921  46.09
  1974          35     0.00126  0.00126  0.50   96701     122   96640  4365161  45.14
  1974          36     0.00131  0.00131  0.50   96579     127   96515  4268521  44.20
  1974          37     0.00136  0.00136  0.50   96452     131   96387  4172006  43.25
  1974          38     0.00142  0.00142  0.50   96321     137   96253  4075619  42.31
  1974          39     0.00152  0.00152  0.50   96185     146   96112  3979366  41.37
  1974          40     0.00169  0.00169  0.50   96038     162   95957  3883254  40.43
  1974          41     0.00193  0.00193  0.50   95876     185   95784  3787297  39.50
  1974          42     0.00224  0.00224  0.50   95691     214   95584  3691513  38.58
  1974          43     0.00258  0.00258  0.50   95477     246   95353  3595930  37.66
  1974          44     0.00292  0.00292  0.50   95230     278   95091  3500576  36.76
  1974          45     0.00324  0.00323  0.50   94953     307   94799  3405485  35.87
  1974          46     0.00350  0.00350  0.50   94646     331   94480  3310685  34.98
  1974          47     0.00371  0.00370  0.50   94315     349   94140  3216205  34.10
  1974          48     0.00387  0.00387  0.50   93966     363   93784  3122065  33.23
  1974          49     0.00402  0.00401  0.50   93602     376   93415  3028281  32.35
  1974          50     0.00415  0.00414  0.50   93227     386   93034  2934866  31.48
  1974          51     0.00427  0.00426  0.50   92841     395   92643  2841832  30.61
  1974          52     0.00437  0.00436  0.50   92445     403   92244  2749189  29.74
  1974          53     0.00445  0.00444  0.50   92043     409   91838  2656945  28.87
  1974          54     0.00455  0.00454  0.50   91634     416   91426  2565107  27.99
  1974          55     0.00472  0.00471  0.50   91218     430   91003  2473681  27.12
  1974          56     0.00503  0.00502  0.50   90788     456   90560  2382678  26.24
  1974          57     0.00547  0.00545  0.50   90332     493   90086  2292118  25.37
  1974          58     0.00600  0.00598  0.50   89840     537   89571  2202032  24.51
  1974          59     0.00658  0.00656  0.50   89303     586   89010  2112461  23.66
  1974          60     0.00721  0.00719  0.50   88716     638   88398  2023451  22.81
  1974          61     0.00786  0.00783  0.50   88079     689   87734  1935053  21.97
  1974          62     0.00852  0.00849  0.50   87390     742   87019  1847319  21.14
  1974          63     0.00922  0.00917  0.50   86648     795   86250  1760300  20.32
  1974          64     0.00996  0.00991  0.50   85853     850   85428  1674050  19.50
