05.Akita.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11341  0.10563  0.35  100000   10563   93134  4915322  49.15
  1947           1     0.03826  0.03754  0.50   89437    3358   87758  4822188  53.92
  1947           2     0.02415  0.02386  0.50   86080    2054   85052  4734429  55.00
  1947           3     0.01364  0.01354  0.50   84025    1138   83456  4649377  55.33
  1947           4     0.00712  0.00709  0.50   82887     588   82593  4565920  55.09
  1947           5     0.00398  0.00398  0.50   82300     327   82136  4483327  54.48
  1947           6     0.00289  0.00289  0.50   81972     237   81854  4401191  53.69
  1947           7     0.00251  0.00251  0.50   81736     205   81633  4319337  52.85
  1947           8     0.00234  0.00233  0.50   81531     190   81436  4237704  51.98
  1947           9     0.00225  0.00224  0.50   81340     183   81249  4156268  51.10
  1947          10     0.00218  0.00218  0.50   81158     177   81069  4075019  50.21
  1947          11     0.00218  0.00218  0.50   80981     177   80892  3993950  49.32
  1947          12     0.00228  0.00228  0.50   80804     184   80712  3913057  48.43
  1947          13     0.00239  0.00239  0.50   80620     192   80524  3832345  47.54
  1947          14     0.00255  0.00254  0.50   80427     204   80325  3751822  46.65
  1947          15     0.00283  0.00282  0.50   80223     227   80110  3671497  45.77
  1947          16     0.00326  0.00326  0.50   79996     261   79866  3591387  44.89
  1947          17     0.00389  0.00388  0.50   79736     310   79581  3511521  44.04
  1947          18     0.00486  0.00484  0.50   79426     385   79234  3431940  43.21
  1947          19     0.00617  0.00615  0.50   79041     486   78798  3352706  42.42
  1947          20     0.00734  0.00732  0.50   78555     575   78267  3273908  41.68
  1947          21     0.00818  0.00815  0.50   77980     635   77662  3195641  40.98
  1947          22     0.00864  0.00861  0.50   77345     666   77012  3117979  40.31
  1947          23     0.00882  0.00878  0.50   76679     673   76342  3040967  39.66
  1947          24     0.00878  0.00875  0.50   76006     665   75673  2964624  39.01
  1947          25     0.00844  0.00841  0.50   75341     634   75024  2888951  38.35
  1947          26     0.00798  0.00795  0.50   74707     594   74410  2813927  37.67
  1947          27     0.00762  0.00759  0.50   74113     563   73832  2739517  36.96
  1947          28     0.00743  0.00740  0.50   73551     544   73278  2665685  36.24
  1947          29     0.00740  0.00737  0.50   73006     538   72737  2592406  35.51
