06.Yamagata.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10237  0.09588  0.34  100000    9588   93668  5024361  50.24
  1947           1     0.03126  0.03077  0.50   90412    2782   89020  4930693  54.54
  1947           2     0.02322  0.02295  0.50   87629    2011   86623  4841673  55.25
  1947           3     0.01613  0.01600  0.50   85618    1370   84933  4755049  55.54
  1947           4     0.01044  0.01038  0.50   84248     875   83810  4670116  55.43
  1947           5     0.00637  0.00635  0.50   83373     529   83108  4586306  55.01
  1947           6     0.00373  0.00373  0.50   82844     309   82689  4503198  54.36
  1947           7     0.00221  0.00221  0.50   82535     182   82444  4420508  53.56
  1947           8     0.00143  0.00143  0.50   82352     118   82293  4338065  52.68
  1947           9     0.00115  0.00114  0.50   82234      94   82187  4255771  51.75
  1947          10     0.00115  0.00115  0.50   82140      94   82093  4173584  50.81
  1947          11     0.00134  0.00134  0.50   82046     110   81991  4091491  49.87
  1947          12     0.00163  0.00163  0.50   81936     134   81869  4009500  48.93
  1947          13     0.00200  0.00200  0.50   81802     164   81720  3927631  48.01
  1947          14     0.00243  0.00243  0.50   81639     198   81540  3845911  47.11
  1947          15     0.00291  0.00291  0.50   81441     237   81322  3764371  46.22
  1947          16     0.00344  0.00344  0.50   81204     279   81064  3683049  45.36
  1947          17     0.00401  0.00400  0.50   80925     324   80763  3601984  44.51
  1947          18     0.00464  0.00463  0.50   80601     373   80414  3521222  43.69
  1947          19     0.00534  0.00532  0.50   80228     427   80014  3440807  42.89
  1947          20     0.00607  0.00605  0.50   79801     483   79559  3360793  42.11
  1947          21     0.00675  0.00673  0.50   79318     534   79051  3281234  41.37
  1947          22     0.00731  0.00728  0.50   78784     574   78497  3202183  40.64
  1947          23     0.00770  0.00767  0.50   78210     600   77910  3123685  39.94
  1947          24     0.00791  0.00788  0.50   77610     611   77305  3045775  39.24
  1947          25     0.00802  0.00799  0.50   76999     615   76691  2968470  38.55
  1947          26     0.00812  0.00809  0.50   76384     618   76075  2891779  37.86
  1947          27     0.00824  0.00821  0.50   75766     622   75455  2815704  37.16
  1947          28     0.00834  0.00830  0.50   75144     624   74832  2740249  36.47
  1947          29     0.00838  0.00835  0.50   74520     622   74209  2665416  35.77
  1947          30     0.00843  0.00840  0.50   73898     621   73588  2591207  35.06
  1947          31     0.00851  0.00848  0.50   73277     621   72967  2517620  34.36
