07.Fukushima.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08683  0.08182  0.30  100000    8182   94240  5261869  52.62
  1947           1     0.03072  0.03025  0.50   91818    2778   90429  5167629  56.28
  1947           2     0.02213  0.02189  0.50   89040    1949   88065  5077200  57.02
  1947           3     0.01480  0.01469  0.50   87091    1279   86451  4989135  57.29
  1947           4     0.00924  0.00920  0.50   85811     789   85417  4902684  57.13
  1947           5     0.00564  0.00562  0.50   85022     478   84783  4817267  56.66
  1947           6     0.00359  0.00359  0.50   84544     303   84393  4732484  55.98
  1947           7     0.00256  0.00256  0.50   84241     215   84133  4648091  55.18
  1947           8     0.00212  0.00211  0.50   84026     178   83937  4563958  54.32
  1947           9     0.00199  0.00199  0.50   83848     167   83765  4480021  53.43
  1947          10     0.00199  0.00199  0.50   83681     166   83598  4396256  52.54
  1947          11     0.00206  0.00205  0.50   83515     171   83429  4312658  51.64
  1947          12     0.00220  0.00220  0.50   83343     183   83252  4229229  50.74
  1947          13     0.00249  0.00249  0.50   83160     207   83057  4145977  49.86
  1947          14     0.00293  0.00293  0.50   82953     243   82832  4062921  48.98
  1947          15     0.00347  0.00347  0.50   82710     287   82567  3980089  48.12
  1947          16     0.00407  0.00406  0.50   82424     335   82256  3897522  47.29
  1947          17     0.00470  0.00469  0.50   82089     385   81896  3815266  46.48
  1947          18     0.00535  0.00533  0.50   81704     436   81486  3733370  45.69
  1947          19     0.00598  0.00596  0.50   81268     485   81026  3651884  44.94
  1947          20     0.00644  0.00642  0.50   80783     519   80524  3570858  44.20
  1947          21     0.00676  0.00674  0.50   80265     541   79994  3490334  43.49
  1947          22     0.00703  0.00700  0.50   79724     558   79445  3410340  42.78
  1947          23     0.00731  0.00728  0.50   79165     577   78877  3330895  42.08
  1947          24     0.00761  0.00758  0.50   78589     596   78291  3252018  41.38
  1947          25     0.00775  0.00772  0.50   77993     602   77692  3173727  40.69
  1947          26     0.00770  0.00767  0.50   77391     593   77095  3096035  40.00
  1947          27     0.00750  0.00747  0.50   76798     574   76511  3018940  39.31
  1947          28     0.00734  0.00732  0.50   76224     558   75945  2942429  38.60
  1947          29     0.00733  0.00731  0.50   75667     553   75390  2866484  37.88
  1947          30     0.00728  0.00726  0.50   75114     545   74841  2791093  37.16
  1947          31     0.00720  0.00718  0.50   74569     535   74301  2716252  36.43
  1947          32     0.00717  0.00714  0.50   74034     529   73769  2641951  35.69
  1947          33     0.00722  0.00719  0.50   73505     529   73241  2568182  34.94
  1947          34     0.00738  0.00736  0.50   72976     537   72708  2494941  34.19
  1947          35     0.00756  0.00754  0.50   72439     546   72166  2422233  33.44
  1947          36     0.00766  0.00764  0.50   71894     549   71619  2350067  32.69
  1947          37     0.00767  0.00764  0.50   71345     545   71072  2278448  31.94
  1947          38     0.00764  0.00762  0.50   70799     539   70530  2207376  31.18
  1947          39     0.00766  0.00763  0.50   70260     536   69992  2136846  30.41
  1947          40     0.00774  0.00771  0.50   69724     537   69456  2066853  29.64
  1947          41     0.00789  0.00786  0.50   69187     544   68915  1997398  28.87
  1947          42     0.00806  0.00803  0.50   68643     551   68367  1928483  28.09
  1947          43     0.00817  0.00814  0.50   68092     554   67815  1860115  27.32
  1947          44     0.00817  0.00814  0.50   67538     550   67263  1792301  26.54
  1947          45     0.00822  0.00819  0.50   66988     548   66714  1725038  25.75
  1947          46     0.00848  0.00844  0.50   66439     561   66159  1658325  24.96
  1947          47     0.00896  0.00892  0.50   65878     588   65585  1592166  24.17
  1947          48     0.00962  0.00958  0.50   65291     625   64978  1526581  23.38
  1947          49     0.01043  0.01038  0.50   64665     671   64330  1461603  22.60
  1947          50     0.01129  0.01122  0.50   63994     718   63635  1397273  21.83
  1947          51     0.01211  0.01203  0.50   63276     761   62895  1333638  21.08
  1947          52     0.01290  0.01282  0.50   62515     801   62114  1270743  20.33
  1947          53     0.01368  0.01359  0.50   61713     838   61294  1208628  19.58
  1947          54     0.01438  0.01427  0.50   60875     869   60441  1147334  18.85
  1947          55     0.01513  0.01501  0.50   60006     901   59556  1086894  18.11
  1947          56     0.01611  0.01598  0.50   59105     945   58633  1027338  17.38
  1947          57     0.01750  0.01735  0.50   58161    1009   57656   968705  16.66
  1947          58     0.01943  0.01924  0.50   57152    1100   56602   911049  15.94
  1947          59     0.02192  0.02168  0.50   56052    1215   55444   854447  15.24
