08.Ibaraki.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08988  0.08460  0.30  100000    8460   94118  5462635  54.63
  1947           1     0.02388  0.02360  0.50   91540    2160   90460  5368517  58.65
  1947           2     0.01851  0.01834  0.50   89380    1639   88561  5278057  59.05
  1947           3     0.01362  0.01353  0.50   87741    1187   87148  5189496  59.15
  1947           4     0.00953  0.00948  0.50   86554     821   86144  5102348  58.95
  1947           5     0.00645  0.00643  0.50   85734     551   85458  5016204  58.51
  1947           6     0.00432  0.00431  0.50   85183     367   84999  4930746  57.88
  1947           7     0.00301  0.00301  0.50   84815     255   84688  4845747  57.13
  1947           8     0.00226  0.00226  0.50   84560     191   84465  4761060  56.30
  1947           9     0.00187  0.00187  0.50   84369     158   84290  4676595  55.43
  1947          10     0.00170  0.00170  0.50   84211     143   84140  4592305  54.53
  1947          11     0.00170  0.00170  0.50   84068     143   83997  4508165  53.63
  1947          12     0.00188  0.00188  0.50   83925     158   83846  4424169  52.72
  1947          13     0.00221  0.00220  0.50   83767     185   83675  4340323  51.81
  1947          14     0.00262  0.00262  0.50   83583     219   83473  4256648  50.93
  1947          15     0.00309  0.00308  0.50   83364     257   83235  4173174  50.06
  1947          16     0.00357  0.00356  0.50   83107     296   82959  4089939  49.21
  1947          17     0.00404  0.00403  0.50   82811     334   82644  4006980  48.39
  1947          18     0.00451  0.00450  0.50   82477     371   82292  3924336  47.58
  1947          19     0.00498  0.00497  0.50   82106     408   81902  3842045  46.79
  1947          20     0.00546  0.00544  0.50   81698     445   81476  3760143  46.02
  1947          21     0.00593  0.00592  0.50   81253     481   81013  3678667  45.27
  1947          22     0.00640  0.00638  0.50   80773     515   80515  3597654  44.54
  1947          23     0.00679  0.00676  0.50   80257     543   79986  3517139  43.82
  1947          24     0.00702  0.00699  0.50   79715     558   79436  3437153  43.12
  1947          25     0.00707  0.00704  0.50   79157     558   78878  3357717  42.42
  1947          26     0.00698  0.00696  0.50   78599     547   78326  3278839  41.72
  1947          27     0.00682  0.00680  0.50   78053     531   77787  3200513  41.00
  1947          28     0.00665  0.00663  0.50   77522     514   77265  3122726  40.28
  1947          29     0.00652  0.00650  0.50   77008     501   76758  3045461  39.55
