09.Tochigi.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07697  0.07287  0.27  100000    7287   94670  5354231  53.54
  1947           1     0.03330  0.03275  0.50   92713    3036   91195  5259561  56.73
  1947           2     0.02176  0.02152  0.50   89676    1930   88711  5168367  57.63
  1947           3     0.01344  0.01335  0.50   87746    1171   87161  5079655  57.89
  1947           4     0.00834  0.00831  0.50   86575     719   86215  4992495  57.67
  1947           5     0.00557  0.00555  0.50   85856     477   85617  4906280  57.15
  1947           6     0.00406  0.00405  0.50   85379     346   85206  4820662  56.46
  1947           7     0.00300  0.00299  0.50   85033     254   84905  4735457  55.69
  1947           8     0.00243  0.00242  0.50   84778     206   84675  4650551  54.86
  1947           9     0.00214  0.00214  0.50   84573     181   84482  4565876  53.99
  1947          10     0.00187  0.00186  0.50   84392     157   84313  4481394  53.10
  1947          11     0.00165  0.00165  0.50   84234     139   84165  4397080  52.20
  1947          12     0.00161  0.00160  0.50   84096     135   84028  4312915  51.29
  1947          13     0.00183  0.00183  0.50   83961     154   83884  4228887  50.37
  1947          14     0.00222  0.00221  0.50   83807     186   83714  4145003  49.46
  1947          15     0.00266  0.00266  0.50   83621     222   83510  4061289  48.57
  1947          16     0.00337  0.00336  0.50   83399     280   83259  3977779  47.70
  1947          17     0.00447  0.00446  0.50   83119     371   82933  3894520  46.85
  1947          18     0.00559  0.00557  0.50   82748     461   82518  3811586  46.06
  1947          19     0.00629  0.00627  0.50   82287     516   82029  3729069  45.32
  1947          20     0.00664  0.00662  0.50   81771     541   81500  3647040  44.60
  1947          21     0.00708  0.00705  0.50   81230     573   80943  3565539  43.89
  1947          22     0.00794  0.00790  0.50   80657     638   80338  3484596  43.20
  1947          23     0.00873  0.00869  0.50   80020     696   79672  3404257  42.54
  1947          24     0.00894  0.00890  0.50   79324     706   78971  3324586  41.91
  1947          25     0.00867  0.00863  0.50   78618     678   78279  3245615  41.28
  1947          26     0.00816  0.00813  0.50   77940     634   77623  3167336  40.64
  1947          27     0.00767  0.00764  0.50   77306     591   77011  3089713  39.97
  1947          28     0.00747  0.00744  0.50   76715     571   76430  3012702  39.27
  1947          29     0.00766  0.00763  0.50   76144     581   75854  2936273  38.56
  1947          30     0.00776  0.00773  0.50   75563     584   75271  2860419  37.85
  1947          31     0.00763  0.00761  0.50   74979     570   74694  2785148  37.15
  1947          32     0.00735  0.00732  0.50   74409     545   74137  2710453  36.43
  1947          33     0.00725  0.00723  0.50   73865     534   73598  2636316  35.69
  1947          34     0.00759  0.00756  0.50   73331     554   73054  2562719  34.95
  1947          35     0.00778  0.00775  0.50   72776     564   72494  2489665  34.21
  1947          36     0.00747  0.00744  0.50   72212     538   71944  2417171  33.47
  1947          37     0.00759  0.00756  0.50   71675     542   71404  2345227  32.72
  1947          38     0.00797  0.00794  0.50   71133     565   70850  2273823  31.97
  1947          39     0.00814  0.00811  0.50   70568     572   70282  2202973  31.22
  1947          40     0.00798  0.00795  0.50   69996     556   69718  2132691  30.47
  1947          41     0.00766  0.00763  0.50   69440     530   69175  2062973  29.71
  1947          42     0.00794  0.00791  0.50   68910     545   68637  1993798  28.93
  1947          43     0.00855  0.00851  0.50   68365     582   68074  1925161  28.16
  1947          44     0.00896  0.00892  0.50   67783     605   67480  1857088  27.40
  1947          45     0.00885  0.00881  0.50   67178     592   66882  1789607  26.64
  1947          46     0.00836  0.00833  0.50   66586     555   66309  1722725  25.87
  1947          47     0.00872  0.00869  0.50   66031     574   65745  1656417  25.09
  1947          48     0.00954  0.00949  0.50   65458     621   65147  1590672  24.30
  1947          49     0.01010  0.01005  0.50   64837     652   64511  1525525  23.53
  1947          50     0.01055  0.01049  0.50   64185     673   63848  1461014  22.76
  1947          51     0.01116  0.01110  0.50   63512     705   63159  1397166  22.00
  1947          52     0.01196  0.01189  0.50   62807     747   62433  1334007  21.24
  1947          53     0.01283  0.01275  0.50   62060     791   61664  1271573  20.49
  1947          54     0.01346  0.01337  0.50   61269     819   60859  1209909  19.75
  1947          55     0.01416  0.01406  0.50   60449     850   60024  1149050  19.01
  1947          56     0.01530  0.01518  0.50   59599     905   59147  1089026  18.27
  1947          57     0.01678  0.01664  0.50   58694     977   58206  1029879  17.55
  1947          58     0.01843  0.01826  0.50   57717    1054   57190   971673  16.84
  1947          59     0.02021  0.02000  0.50   56663    1133   56097   914483  16.14
  1947          60     0.02220  0.02196  0.50   55530    1219   54920   858386  15.46
  1947          61     0.02439  0.02410  0.50   54311    1309   53656   803466  14.79
  1947          62     0.02623  0.02589  0.50   53002    1372   52316   749809  14.15
  1947          63     0.02752  0.02715  0.50   51630    1402   50929   697493  13.51
  1947          64     0.02993  0.02949  0.50   50228    1481   49488   646564  12.87
  1947          65     0.03441  0.03382  0.50   48747    1649   47923   597077  12.25
  1947          66     0.03797  0.03726  0.50   47098    1755   46221   549154  11.66
  1947          67     0.03963  0.03886  0.50   45344    1762   44462   502933  11.09
  1947          68     0.03998  0.03920  0.50   43581    1708   42727   458471  10.52
  1947          69     0.04266  0.04177  0.50   41873    1749   40999   415743   9.93
  1947          70     0.05054  0.04929  0.50   40124    1978   39135   374745   9.34
  1947          71     0.06074  0.05895  0.50   38146    2249   37022   335609   8.80
  1947          72     0.06992  0.06756  0.50   35898    2425   34685   298587   8.32
  1947          73     0.07587  0.07310  0.50   33473    2447   32249   263902   7.88
  1947          74     0.07992  0.07685  0.50   31026    2384   29833   231653   7.47
  1947          75     0.08431  0.08090  0.50   28641    2317   27483   201820   7.05
  1947          76     0.09072  0.08679  0.50   26324    2285   25182   174337   6.62
  1947          77     0.09762  0.09307  0.50   24040    2237   22921   149155   6.20
  1947          78     0.10430  0.09913  0.50   21802    2161   20722   126234   5.79
  1947          79     0.11677  0.11033  0.50   19641    2167   18558   105512   5.37
  1947          80     0.13932  0.13025  0.50   17474    2276   16336    86955   4.98
  1947          81     0.16255  0.15033  0.50   15198    2285   14056    70618   4.65
  1947          82     0.17788  0.16336  0.50   12913    2109   11859    56563   4.38
  1947          83     0.19162  0.17486  0.50   10804    1889    9859    44704   4.14
  1947          84     0.20617  0.18690  0.50    8915    1666    8082    34845   3.91
  1947          85     0.22184  0.19969  0.50    7249    1447    6525    26763   3.69
  1947          86     0.23857  0.21314  0.50    5801    1236    5183    20238   3.49
  1947          87     0.25620  0.22710  0.50    4565    1037    4046    15056   3.30
  1947          88     0.27465  0.24148  0.50    3528     852    3102    11009   3.12
  1947          89     0.29388  0.25623  0.50    2676     686    2333     7907   2.95
  1947          90     0.31388  0.27130  0.50    1990     540    1720     5574   2.80
  1947          91     0.33460  0.28664  0.50    1450     416    1242     3854   2.66
  1947          92     0.35597  0.30218  0.50    1035     313     878     2611   2.52
  1947          93     0.37793  0.31786  0.50     722     229     607     1733   2.40
  1947          94     0.40040  0.33361  0.50     492     164     410     1126   2.29
  1947          95     0.42330  0.34936  0.50     328     115     271      716   2.18
  1947          96     0.44654  0.36504  0.50     214      78     175      445   2.08
  1947          97     0.47001  0.38057  0.50     136      52     110      270   1.99
  1947          98     0.49361  0.39590  0.50      84      33      67      160   1.91
  1947          99     0.51725  0.41096  0.50      51      21      40       93   1.83
  1947         100     0.54080  0.42569  0.50      30      13      24       53   1.76
  1947         101     0.56418  0.44005  0.50      17       8      13       29   1.70
  1947         102     0.58727  0.45397  0.50      10       4       7       16   1.64
  1947         103     0.60999  0.46743  0.50       5       2       4        8   1.58
  1947         104     0.63224  0.48038  0.50       3       1       2        4   1.53
  1947         105     0.65394  0.49281  0.50       1       1       1        2   1.49
  1947         106     0.67501  0.50468  0.50       1       0       1        1   1.44
  1947         107     0.69538  0.51598  0.50       0       0       0        1   1.40
  1947         108     0.71497  0.52669  0.50       0       0       0        0   1.37
  1947         109     0.73381  0.53684  0.50       0       0       0        0   1.34
  1947         110+    0.76491  1.00000  1.31       0       0       0        0   1.31
  1948           0     0.04829  0.04649  0.20  100000    4649   96287  5946087  59.46
  1948           1     0.01340  0.01331  0.50   95351    1269   94716  5849799  61.35
  1948           2     0.01046  0.01040  0.50   94081     979   93592  5755083  61.17
  1948           3     0.00778  0.00775  0.50   93102     721   92742  5661492  60.81
  1948           4     0.00554  0.00552  0.50   92381     510   92126  5568750  60.28
  1948           5     0.00386  0.00386  0.50   91871     354   91694  5476624  59.61
  1948           6     0.00271  0.00271  0.50   91516     248   91393  5384930  58.84
  1948           7     0.00198  0.00198  0.50   91269     181   91178  5293538  58.00
  1948           8     0.00151  0.00151  0.50   91088     138   91019  5202360  57.11
  1948           9     0.00123  0.00123  0.50   90950     112   90894  5111341  56.20
  1948          10     0.00111  0.00111  0.50   90838     101   90788  5020446  55.27
  1948          11     0.00110  0.00110  0.50   90738     100   90688  4929659  54.33
  1948          12     0.00116  0.00116  0.50   90638     105   90585  4838971  53.39
  1948          13     0.00125  0.00125  0.50   90532     113   90476  4748386  52.45
  1948          14     0.00140  0.00140  0.50   90420     126   90356  4657910  51.51
  1948          15     0.00167  0.00167  0.50   90293     150   90218  4567553  50.59
  1948          16     0.00207  0.00207  0.50   90143     186   90050  4477335  49.67
  1948          17     0.00262  0.00261  0.50   89956     235   89839  4387286  48.77
  1948          18     0.00332  0.00332  0.50   89721     298   89572  4297447  47.90
  1948          19     0.00416  0.00416  0.50   89424     372   89238  4207875  47.06
  1948          20     0.00504  0.00502  0.50   89052     447   88828  4118637  46.25
  1948          21     0.00586  0.00584  0.50   88605     518   88346  4029809  45.48
  1948          22     0.00656  0.00654  0.50   88087     576   87799  3941463  44.75
  1948          23     0.00704  0.00701  0.50   87511     614   87204  3853664  44.04
  1948          24     0.00719  0.00717  0.50   86897     623   86586  3766461  43.34
  1948          25     0.00707  0.00704  0.50   86274     608   85970  3679875  42.65
  1948          26     0.00678  0.00675  0.50   85667     578   85377  3593905  41.95
  1948          27     0.00643  0.00641  0.50   85088     545   84815  3508527  41.23
  1948          28     0.00615  0.00613  0.50   84543     518   84284  3423712  40.50
  1948          29     0.00599  0.00598  0.50   84025     502   83774  3339428  39.74
  1948          30     0.00589  0.00587  0.50   83523     490   83277  3255655  38.98
  1948          31     0.00586  0.00584  0.50   83032     485   82790  3172377  38.21
  1948          32     0.00595  0.00593  0.50   82547     489   82302  3089588  37.43
  1948          33     0.00611  0.00609  0.50   82058     500   81808  3007285  36.65
  1948          34     0.00629  0.00627  0.50   81558     511   81302  2925477  35.87
  1948          35     0.00649  0.00647  0.50   81047     524   80785  2844175  35.09
  1948          36     0.00672  0.00670  0.50   80523     539   80253  2763390  34.32
  1948          37     0.00695  0.00693  0.50   79983     554   79706  2683137  33.55
  1948          38     0.00710  0.00708  0.50   79429     562   79148  2603430  32.78
  1948          39     0.00713  0.00710  0.50   78867     560   78587  2524282  32.01
  1948          40     0.00713  0.00711  0.50   78307     557   78029  2445695  31.23
  1948          41     0.00720  0.00717  0.50   77751     558   77472  2367666  30.45
  1948          42     0.00720  0.00718  0.50   77193     554   76916  2290194  29.67
  1948          43     0.00718  0.00715  0.50   76639     548   76365  2213278  28.88
  1948          44     0.00721  0.00718  0.50   76091     546   75817  2136914  28.08
  1948          45     0.00730  0.00727  0.50   75544     550   75269  2061096  27.28
  1948          46     0.00743  0.00740  0.50   74995     555   74717  1985827  26.48
  1948          47     0.00754  0.00751  0.50   74439     559   74160  1911110  25.67
  1948          48     0.00786  0.00783  0.50   73880     578   73591  1836950  24.86
  1948          49     0.00861  0.00858  0.50   73302     629   72987  1763359  24.06
  1948          50     0.00973  0.00968  0.50   72673     704   72321  1690372  23.26
  1948          51     0.01102  0.01096  0.50   71969     789   71575  1618051  22.48
  1948          52     0.01214  0.01207  0.50   71181     859   70751  1546476  21.73
  1948          53     0.01285  0.01277  0.50   70321     898   69872  1475725  20.99
  1948          54     0.01340  0.01331  0.50   69423     924   68961  1405852  20.25
  1948          55     0.01404  0.01394  0.50   68499     955   68022  1336891  19.52
  1948          56     0.01496  0.01485  0.50   67545    1003   67043  1268869  18.79
  1948          57     0.01613  0.01600  0.50   66542    1064   66009  1201826  18.06
  1948          58     0.01742  0.01727  0.50   65477    1131   64912  1135816  17.35
  1948          59     0.01871  0.01854  0.50   64346    1193   63750  1070904  16.64
  1948          60     0.01997  0.01977  0.50   63154    1249   62529  1007154  15.95
  1948          61     0.02124  0.02101  0.50   61905    1301   61254   944625  15.26
  1948          62     0.02259  0.02234  0.50   60604    1354   59927   883371  14.58
  1948          63     0.02419  0.02390  0.50   59250    1416   58542   823444  13.90
  1948          64     0.02642  0.02608  0.50   57834    1508   57080   764902  13.23
  1948          65     0.02966  0.02923  0.50   56326    1646   55503   707822  12.57
  1948          66     0.03395  0.03339  0.50   54680    1826   53767   652319  11.93
  1948          67     0.03872  0.03798  0.50   52854    2007   51850   598552  11.32
  1948          68     0.04335  0.04243  0.50   50847    2157   49768   546702  10.75
  1948          69     0.04776  0.04665  0.50   48689    2271   47554   496934  10.21
  1948          70     0.05209  0.05077  0.50   46418    2357   45240   449380   9.68
  1948          71     0.05667  0.05511  0.50   44062    2428   42848   404140   9.17
  1948          72     0.06147  0.05963  0.50   41633    2483   40392   361293   8.68
  1948          73     0.06645  0.06431  0.50   39151    2518   37892   320900   8.20
  1948          74     0.07184  0.06935  0.50   36633    2541   35363   283009   7.73
  1948          75     0.07783  0.07492  0.50   34092    2554   32815   247646   7.26
  1948          76     0.08429  0.08088  0.50   31538    2551   30263   214831   6.81
  1948          77     0.09158  0.08757  0.50   28987    2539   27718   184568   6.37
  1948          78     0.10038  0.09558  0.50   26449    2528   25185   156850   5.93
  1948          79     0.11195  0.10602  0.50   23921    2536   22653   131665   5.50
  1948          80     0.12717  0.11957  0.50   21385    2557   20106   109013   5.10
  1948          81     0.14471  0.13495  0.50   18828    2541   17557    88906   4.72
  1948          82     0.16306  0.15077  0.50   16287    2456   15059    71349   4.38
  1948          83     0.18209  0.16689  0.50   13832    2308   12677    56290   4.07
  1948          84     0.20202  0.18349  0.50   11523    2114   10466    43612   3.78
  1948          85     0.22307  0.20069  0.50    9409    1888    8465    33146   3.52
  1948          86     0.24543  0.21860  0.50    7521    1644    6699    24682   3.28
  1948          87     0.26922  0.23728  0.50    5877    1394    5179    17983   3.06
  1948          88     0.29445  0.25666  0.50    4482    1150    3907    12804   2.86
  1948          89     0.32103  0.27663  0.50    3332     922    2871     8897   2.67
  1948          90     0.34886  0.29705  0.50    2410     716    2052     6026   2.50
  1948          91     0.37777  0.31775  0.50    1694     538    1425     3974   2.35
  1948          92     0.40759  0.33859  0.50    1156     391     960     2548   2.20
  1948          93     0.43810  0.35938  0.50     765     275     627     1588   2.08
  1948          94     0.46909  0.37997  0.50     490     186     397      961   1.96
  1948          95     0.50031  0.40020  0.50     304     122     243      564   1.86
  1948          96     0.53153  0.41993  0.50     182      76     144      322   1.77
