01.Hokkaido, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09036  0.08490  0.29  100000    8490   93951  5134225  51.34
  1947           1     0.03003  0.02958  0.50   91510    2707   90157  5040273  55.08
  1947           2     0.02246  0.02221  0.50   88803    1973   87817  4950116  55.74
  1947           3     0.01575  0.01563  0.50   86831    1357   86152  4862299  56.00
  1947           4     0.01032  0.01026  0.50   85473     877   85035  4776147  55.88
  1947           5     0.00636  0.00634  0.50   84596     537   84328  4691112  55.45
  1947           6     0.00373  0.00372  0.50   84060     313   83903  4606785  54.80
  1947           7     0.00214  0.00214  0.50   83747     179   83657  4522881  54.01
  1947           8     0.00131  0.00131  0.50   83568     109   83513  4439224  53.12
  1947           9     0.00100  0.00100  0.50   83459      83   83417  4355710  52.19
  1947          10     0.00100  0.00100  0.50   83376      83   83334  4272293  51.24
  1947          11     0.00120  0.00120  0.50   83292     100   83243  4188959  50.29
  1947          12     0.00151  0.00151  0.50   83193     126   83130  4105716  49.35
  1947          13     0.00191  0.00191  0.50   83067     159   82988  4022587  48.43
  1947          14     0.00239  0.00238  0.50   82908     198   82809  3939599  47.52
  1947          15     0.00293  0.00293  0.50   82711     242   82590  3856790  46.63
  1947          16     0.00354  0.00353  0.50   82469     291   82323  3774200  45.77
  1947          17     0.00420  0.00419  0.50   82177     344   82005  3691877  44.93
  1947          18     0.00486  0.00485  0.50   81833     397   81635  3609872  44.11
  1947          19     0.00549  0.00548  0.50   81436     446   81213  3528237  43.33
  1947          20     0.00606  0.00604  0.50   80990     489   80746  3447023  42.56
  1947          21     0.00654  0.00652  0.50   80501     525   80239  3366278  41.82
  1947          22     0.00691  0.00689  0.50   79976     551   79701  3286039  41.09
  1947          23     0.00721  0.00719  0.50   79426     571   79140  3206338  40.37
  1947          24     0.00747  0.00744  0.50   78855     587   78561  3127198  39.66
  1947          25     0.00767  0.00764  0.50   78268     598   77969  3048637  38.95
  1947          26     0.00782  0.00779  0.50   77670     605   77367  2970668  38.25
  1947          27     0.00793  0.00790  0.50   77064     609   76760  2893301  37.54
  1947          28     0.00800  0.00797  0.50   76456     609   76151  2816541  36.84
  1947          29     0.00805  0.00802  0.50   75846     608   75542  2740390  36.13
  1947          30     0.00808  0.00805  0.50   75238     605   74936  2664848  35.42
  1947          31     0.00809  0.00806  0.50   74633     602   74332  2589912  34.70
  1947          32     0.00808  0.00805  0.50   74031     596   73734  2515580  33.98
  1947          33     0.00805  0.00802  0.50   73436     589   73141  2441847  33.25
  1947          34     0.00800  0.00797  0.50   72847     581   72557  2368705  32.52
  1947          35     0.00799  0.00796  0.50   72266     575   71979  2296149  31.77
  1947          36     0.00805  0.00801  0.50   71691     574   71404  2224170  31.02
  1947          37     0.00819  0.00816  0.50   71117     580   70827  2152766  30.27
  1947          38     0.00842  0.00838  0.50   70537     591   70241  2081939  29.52
  1947          39     0.00872  0.00868  0.50   69945     607   69642  2011698  28.76
  1947          40     0.00906  0.00902  0.50   69338     625   69025  1942057  28.01
  1947          41     0.00940  0.00936  0.50   68713     643   68391  1873031  27.26
  1947          42     0.00972  0.00967  0.50   68070     658   67740  1804640  26.51
  1947          43     0.01002  0.00997  0.50   67411     672   67075  1736900  25.77
  1947          44     0.01034  0.01029  0.50   66739     687   66396  1669824  25.02
  1947          45     0.01073  0.01067  0.50   66053     705   65700  1603428  24.28
  1947          46     0.01120  0.01114  0.50   65348     728   64984  1537728  23.53
  1947          47     0.01177  0.01170  0.50   64620     756   64241  1472745  22.79
  1947          48     0.01244  0.01237  0.50   63863     790   63469  1408503  22.05
  1947          49     0.01324  0.01315  0.50   63074     830   62659  1345035  21.32
  1947          50     0.01412  0.01402  0.50   62244     873   61808  1282376  20.60
  1947          51     0.01505  0.01494  0.50   61371     917   60913  1220568  19.89
  1947          52     0.01601  0.01588  0.50   60454     960   59974  1159656  19.18
  1947          53     0.01700  0.01686  0.50   59494    1003   58993  1099681  18.48
  1947          54     0.01810  0.01793  0.50   58491    1049   57967  1040688  17.79
  1947          55     0.01933  0.01914  0.50   57442    1100   56892   982722  17.11
  1947          56     0.02075  0.02054  0.50   56343    1157   55764   925829  16.43
  1947          57     0.02241  0.02216  0.50   55185    1223   54574   870065  15.77
  1947          58     0.02436  0.02407  0.50   53962    1299   53313   815492  15.11
  1947          59     0.02660  0.02625  0.50   52663    1382   51972   762179  14.47
  1947          60     0.02908  0.02866  0.50   51281    1470   50546   710207  13.85
  1947          61     0.03177  0.03127  0.50   49811    1558   49032   659661  13.24
  1947          62     0.03469  0.03410  0.50   48253    1645   47431   610629  12.65
  1947          63     0.03786  0.03716  0.50   46608    1732   45742   563198  12.08
  1947          64     0.04130  0.04047  0.50   44876    1816   43968   517456  11.53
  1947          65     0.04500  0.04401  0.50   43060    1895   42112   473489  11.00
  1947          66     0.04897  0.04780  0.50   41165    1968   40181   431376  10.48
  1947          67     0.05329  0.05190  0.50   39197    2034   38180   391195   9.98
  1947          68     0.05800  0.05636  0.50   37163    2095   36115   353016   9.50
  1947          69     0.06305  0.06113  0.50   35068    2144   33996   316900   9.04
  1947          70     0.06835  0.06609  0.50   32924    2176   31836   282904   8.59
  1947          71     0.07374  0.07112  0.50   30748    2187   29655   251068   8.17
  1947          72     0.07942  0.07639  0.50   28562    2182   27471   221413   7.75
  1947          73     0.08561  0.08210  0.50   26380    2166   25297   193942   7.35
  1947          74     0.09249  0.08840  0.50   24214    2141   23144   168645   6.96
