10.Gumma.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08197  0.07731  0.27  100000    7731   94318  5072995  50.73
  1947           1     0.03063  0.03017  0.50   92269    2784   90877  4978677  53.96
  1947           2     0.02308  0.02281  0.50   89485    2041   88464  4887801  54.62
  1947           3     0.01640  0.01626  0.50   87443    1422   86732  4799337  54.89
  1947           4     0.01102  0.01096  0.50   86021     943   85550  4712604  54.78
  1947           5     0.00714  0.00712  0.50   85078     605   84776  4627055  54.39
  1947           6     0.00458  0.00457  0.50   84473     386   84280  4542279  53.77
  1947           7     0.00304  0.00304  0.50   84087     256   83959  4457999  53.02
  1947           8     0.00215  0.00215  0.50   83831     180   83741  4374040  52.18
  1947           9     0.00169  0.00168  0.50   83651     141   83580  4290299  51.29
  1947          10     0.00147  0.00147  0.50   83510     123   83449  4206719  50.37
  1947          11     0.00141  0.00141  0.50   83387     118   83328  4123270  49.45
  1947          12     0.00146  0.00146  0.50   83270     122   83209  4039941  48.52
  1947          13     0.00162  0.00162  0.50   83148     135   83081  3956733  47.59
  1947          14     0.00192  0.00192  0.50   83013     159   82934  3873652  46.66
  1947          15     0.00240  0.00239  0.50   82854     198   82755  3790718  45.75
  1947          16     0.00303  0.00303  0.50   82656     250   82530  3707963  44.86
  1947          17     0.00381  0.00380  0.50   82405     313   82249  3625433  44.00
  1947          18     0.00468  0.00467  0.50   82092     384   81900  3543184  43.16
  1947          19     0.00560  0.00558  0.50   81708     456   81480  3461284  42.36
  1947          20     0.00647  0.00644  0.50   81252     524   80990  3379804  41.60
  1947          21     0.00722  0.00719  0.50   80729     581   80438  3298813  40.86
  1947          22     0.00779  0.00776  0.50   80148     622   79837  3218375  40.16
  1947          23     0.00811  0.00808  0.50   79526     643   79205  3138538  39.47
  1947          24     0.00816  0.00813  0.50   78883     641   78563  3059333  38.78
  1947          25     0.00806  0.00803  0.50   78243     628   77928  2980770  38.10
  1947          26     0.00787  0.00784  0.50   77614     609   77310  2902842  37.40
  1947          27     0.00763  0.00760  0.50   77006     585   76713  2825532  36.69
  1947          28     0.00739  0.00736  0.50   76421     562   76139  2748819  35.97
  1947          29     0.00723  0.00720  0.50   75858     546   75585  2672679  35.23
  1947          30     0.00720  0.00718  0.50   75312     541   75042  2597094  34.48
  1947          31     0.00724  0.00721  0.50   74771     539   74502  2522052  33.73
  1947          32     0.00724  0.00721  0.50   74232     535   73965  2447550  32.97
  1947          33     0.00720  0.00718  0.50   73697     529   73433  2373586  32.21
  1947          34     0.00716  0.00714  0.50   73168     522   72907  2300153  31.44
  1947          35     0.00721  0.00718  0.50   72646     522   72385  2227246  30.66
  1947          36     0.00741  0.00738  0.50   72124     533   71858  2154861  29.88
  1947          37     0.00770  0.00767  0.50   71591     549   71317  2083004  29.10
  1947          38     0.00800  0.00797  0.50   71043     566   70759  2011687  28.32
  1947          39     0.00828  0.00824  0.50   70476     581   70186  1940927  27.54
  1947          40     0.00852  0.00848  0.50   69895     593   69599  1870741  26.76
  1947          41     0.00873  0.00869  0.50   69303     602   69001  1801142  25.99
  1947          42     0.00895  0.00891  0.50   68700     612   68394  1732141  25.21
  1947          43     0.00923  0.00918  0.50   68088     625   67775  1663747  24.44
  1947          44     0.00959  0.00954  0.50   67463     644   67141  1595972  23.66
  1947          45     0.01010  0.01005  0.50   66819     671   66483  1528831  22.88
  1947          46     0.01080  0.01074  0.50   66148     711   65792  1462348  22.11
  1947          47     0.01169  0.01162  0.50   65437     760   65057  1396555  21.34
  1947          48     0.01269  0.01261  0.50   64677     816   64269  1331499  20.59
  1947          49     0.01375  0.01366  0.50   63861     872   63425  1267230  19.84
  1947          50     0.01481  0.01470  0.50   62989     926   62526  1203805  19.11
  1947          51     0.01585  0.01572  0.50   62063     976   61575  1141280  18.39
  1947          52     0.01698  0.01684  0.50   61087    1028   60573  1079705  17.67
  1947          53     0.01830  0.01814  0.50   60058    1089   59514  1019132  16.97
  1947          54     0.01979  0.01960  0.50   58969    1156   58391   959619  16.27
  1947          55     0.02144  0.02122  0.50   57813    1227   57200   901227  15.59
  1947          56     0.02328  0.02301  0.50   56587    1302   55935   844027  14.92
  1947          57     0.02544  0.02512  0.50   55284    1389   54590   788092  14.26
  1947          58     0.02803  0.02764  0.50   53896    1490   53151   733502  13.61
  1947          59     0.03102  0.03054  0.50   52406    1601   51606   680351  12.98
  1947          60     0.03426  0.03368  0.50   50805    1711   49950   628745  12.38
  1947          61     0.03759  0.03689  0.50   49094    1811   48189   578795  11.79
  1947          62     0.04098  0.04015  0.50   47283    1899   46334   530606  11.22
  1947          63     0.04448  0.04351  0.50   45385    1975   44397   484272  10.67
  1947          64     0.04843  0.04728  0.50   43410    2053   42384   439875  10.13
  1947          65     0.05320  0.05182  0.50   41357    2143   40286   397491   9.61
  1947          66     0.05892  0.05723  0.50   39214    2244   38092   357206   9.11
  1947          67     0.06544  0.06337  0.50   36970    2343   35798   319114   8.63
  1947          68     0.07248  0.06995  0.50   34627    2422   33416   283316   8.18
  1947          69     0.07940  0.07636  0.50   32205    2459   30975   249900   7.76
  1947          70     0.08570  0.08218  0.50   29746    2444   28523   218924   7.36
  1947          71     0.09179  0.08776  0.50   27301    2396   26103   190401   6.97
  1947          72     0.09821  0.09361  0.50   24905    2331   23739   164298   6.60
  1947          73     0.10542  0.10014  0.50   22574    2260   21443   140558   6.23
  1947          74     0.11362  0.10751  0.50   20313    2184   19221   119115   5.86
  1947          75     0.12292  0.11580  0.50   18129    2099   17080    99894   5.51
  1947          76     0.13331  0.12498  0.50   16030    2003   15028    82814   5.17
  1947          77     0.14539  0.13553  0.50   14026    1901   13076    67786   4.83
  1947          78     0.15978  0.14796  0.50   12125    1794   11228    54710   4.51
  1947          79     0.17684  0.16247  0.50   10331    1679    9492    43482   4.21
  1947          80     0.19650  0.17892  0.50    8653    1548    7879    33989   3.93
  1947          81     0.21742  0.19610  0.50    7105    1393    6408    26111   3.68
  1947          82     0.23823  0.21287  0.50    5711    1216    5103    19703   3.45
  1947          83     0.25875  0.22911  0.50    4496    1030    3981    14599   3.25
  1947          84     0.27922  0.24501  0.50    3466     849    3041    10619   3.06
  1947          85     0.29986  0.26076  0.50    2616     682    2275     7578   2.90
  1947          86     0.32090  0.27653  0.50    1934     535    1667     5302   2.74
  1947          87     0.34255  0.29246  0.50    1399     409    1195     3636   2.60
  1947          88     0.36485  0.30856  0.50     990     306     837     2441   2.47
  1947          89     0.38778  0.32481  0.50     685     222     573     1603   2.34
  1947          90     0.41128  0.34113  0.50     462     158     383     1030   2.23
  1947          91     0.43524  0.35745  0.50     305     109     250      647   2.12
  1947          92     0.45954  0.37368  0.50     196      73     159      397   2.03
