11.Saitama.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09483  0.08892  0.30  100000    8892   93771  5035036  50.35
  1947           1     0.03035  0.02990  0.50   91108    2724   89746  4941265  54.24
  1947           2     0.02244  0.02220  0.50   88384    1962   87403  4851519  54.89
  1947           3     0.01561  0.01549  0.50   86422    1339   85753  4764116  55.13
  1947           4     0.01027  0.01022  0.50   85083     869   84649  4678363  54.99
  1947           5     0.00656  0.00654  0.50   84214     550   83939  4593714  54.55
  1947           6     0.00423  0.00422  0.50   83664     353   83487  4509775  53.90
  1947           7     0.00291  0.00291  0.50   83311     242   83190  4426288  53.13
  1947           8     0.00221  0.00221  0.50   83069     184   82977  4343098  52.28
  1947           9     0.00185  0.00185  0.50   82885     153   82808  4260121  51.40
  1947          10     0.00163  0.00163  0.50   82732     135   82664  4177313  50.49
  1947          11     0.00154  0.00154  0.50   82596     127   82533  4094649  49.57
  1947          12     0.00159  0.00159  0.50   82470     131   82404  4012116  48.65
  1947          13     0.00183  0.00183  0.50   82338     151   82263  3929712  47.73
  1947          14     0.00225  0.00224  0.50   82188     184   82095  3847449  46.81
  1947          15     0.00281  0.00280  0.50   82003     230   81888  3765353  45.92
  1947          16     0.00350  0.00349  0.50   81773     285   81631  3683465  45.04
  1947          17     0.00431  0.00430  0.50   81488     350   81313  3601834  44.20
  1947          18     0.00526  0.00524  0.50   81138     425   80925  3520522  43.39
  1947          19     0.00631  0.00629  0.50   80712     508   80458  3439597  42.62
  1947          20     0.00732  0.00729  0.50   80204     585   79912  3359138  41.88
  1947          21     0.00808  0.00804  0.50   79619     641   79299  3279226  41.19
  1947          22     0.00845  0.00842  0.50   78979     665   78646  3199927  40.52
  1947          23     0.00852  0.00849  0.50   78314     665   77982  3121281  39.86
  1947          24     0.00845  0.00841  0.50   77650     653   77323  3043299  39.19
  1947          25     0.00843  0.00839  0.50   76997     646   76674  2965976  38.52
  1947          26     0.00847  0.00843  0.50   76351     644   76029  2889302  37.84
  1947          27     0.00852  0.00848  0.50   75707     642   75386  2813274  37.16
  1947          28     0.00841  0.00837  0.50   75065     629   74750  2737888  36.47
  1947          29     0.00802  0.00799  0.50   74436     595   74139  2663138  35.78
  1947          30     0.00746  0.00744  0.50   73841     549   73567  2588999  35.06
  1947          31     0.00701  0.00698  0.50   73292     512   73036  2515433  34.32
  1947          32     0.00686  0.00683  0.50   72780     497   72532  2442396  33.56
  1947          33     0.00689  0.00686  0.50   72283     496   72035  2369865  32.79
  1947          34     0.00692  0.00689  0.50   71787     495   71539  2297830  32.01
  1947          35     0.00689  0.00686  0.50   71292     489   71047  2226291  31.23
  1947          36     0.00680  0.00678  0.50   70803     480   70563  2155243  30.44
  1947          37     0.00673  0.00671  0.50   70323     472   70087  2084681  29.64
  1947          38     0.00680  0.00678  0.50   69851     473   69614  2014594  28.84
  1947          39     0.00709  0.00707  0.50   69378     490   69133  1944979  28.03
  1947          40     0.00747  0.00744  0.50   68887     513   68631  1875847  27.23
  1947          41     0.00781  0.00778  0.50   68375     532   68109  1807216  26.43
  1947          42     0.00822  0.00819  0.50   67843     556   67565  1739107  25.63
  1947          43     0.00865  0.00861  0.50   67287     579   66997  1671542  24.84
  1947          44     0.00902  0.00898  0.50   66708     599   66408  1604545  24.05
  1947          45     0.00944  0.00939  0.50   66109     621   65798  1538137  23.27
  1947          46     0.01003  0.00998  0.50   65487     654   65161  1472339  22.48
  1947          47     0.01086  0.01080  0.50   64834     700   64484  1407178  21.70
  1947          48     0.01179  0.01172  0.50   64134     752   63758  1342694  20.94
  1947          49     0.01269  0.01261  0.50   63382     799   62982  1278936  20.18
  1947          50     0.01359  0.01350  0.50   62583     845   62161  1215954  19.43
  1947          51     0.01456  0.01446  0.50   61738     893   61292  1153793  18.69
  1947          52     0.01564  0.01551  0.50   60846     944   60374  1092501  17.96
  1947          53     0.01680  0.01666  0.50   59902     998   59403  1032127  17.23
  1947          54     0.01799  0.01783  0.50   58904    1050   58379   972724  16.51
  1947          55     0.01933  0.01915  0.50   57854    1108   57300   914345  15.80
  1947          56     0.02103  0.02082  0.50   56746    1181   56156   857045  15.10
