12.Chiba.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.10214  0.09550  0.32  100000    9550   93498  4963550  49.64
  1947           1     0.02849  0.02809  0.50   90450    2541   89180  4870052  53.84
  1947           2     0.01832  0.01816  0.50   87909    1596   87111  4780872  54.38
  1947           3     0.01179  0.01172  0.50   86313    1011   85807  4693761  54.38
  1947           4     0.00808  0.00804  0.50   85302     686   84959  4607954  54.02
  1947           5     0.00554  0.00552  0.50   84616     467   84382  4522995  53.45
  1947           6     0.00386  0.00385  0.50   84148     324   83986  4438613  52.75
  1947           7     0.00301  0.00301  0.50   83824     252   83698  4354627  51.95
  1947           8     0.00275  0.00275  0.50   83572     230   83457  4270929  51.10
  1947           9     0.00259  0.00259  0.50   83342     216   83234  4187471  50.24
  1947          10     0.00216  0.00216  0.50   83127     179   83037  4104237  49.37
  1947          11     0.00175  0.00175  0.50   82947     145   82875  4021200  48.48
  1947          12     0.00168  0.00167  0.50   82802     139   82733  3938325  47.56
  1947          13     0.00183  0.00183  0.50   82664     151   82588  3855592  46.64
  1947          14     0.00231  0.00231  0.50   82512     190   82417  3773004  45.73
  1947          15     0.00318  0.00318  0.50   82322     262   82191  3690587  44.83
  1947          16     0.00412  0.00411  0.50   82061     337   81892  3608396  43.97
  1947          17     0.00484  0.00483  0.50   81723     395   81526  3526504  43.15
  1947          18     0.00563  0.00561  0.50   81329     457   81100  3444978  42.36
  1947          19     0.00672  0.00670  0.50   80872     542   80601  3363877  41.60
  1947          20     0.00772  0.00769  0.50   80330     618   80021  3283276  40.87
  1947          21     0.00882  0.00878  0.50   79712     700   79362  3203255  40.19
  1947          22     0.01014  0.01008  0.50   79012     797   78614  3123893  39.54
  1947          23     0.01059  0.01054  0.50   78215     824   77803  3045279  38.93
  1947          24     0.00970  0.00966  0.50   77391     747   77018  2967476  38.34
  1947          25     0.00961  0.00956  0.50   76644     733   76278  2890458  37.71
  1947          26     0.01007  0.01002  0.50   75911     760   75531  2814180  37.07
  1947          27     0.01016  0.01011  0.50   75151     760   74771  2738649  36.44
  1947          28     0.00947  0.00943  0.50   74391     702   74040  2663878  35.81
  1947          29     0.00812  0.00809  0.50   73690     596   73392  2589838  35.15
  1947          30     0.00744  0.00741  0.50   73094     542   72823  2516446  34.43
  1947          31     0.00761  0.00758  0.50   72552     550   72277  2443624  33.68
  1947          32     0.00827  0.00823  0.50   72002     593   71706  2371347  32.93
  1947          33     0.00863  0.00859  0.50   71409     613   71103  2299641  32.20
  1947          34     0.00810  0.00807  0.50   70796     571   70510  2228538  31.48
  1947          35     0.00747  0.00744  0.50   70224     522   69963  2158028  30.73
