13.Tokyo.to, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.06453  0.06143  0.22  100000    6143   95197  5447158  54.47
  1947           1     0.02679  0.02643  0.50   93857    2481   92616  5351961  57.02
  1947           2     0.01794  0.01778  0.50   91376    1625   90563  5259345  57.56
  1947           3     0.01119  0.01112  0.50   89751     998   89251  5168782  57.59
  1947           4     0.00674  0.00671  0.50   88752     596   88454  5079530  57.23
  1947           5     0.00424  0.00423  0.50   88156     373   87970  4991076  56.62
  1947           6     0.00300  0.00300  0.50   87784     263   87652  4903106  55.85
  1947           7     0.00236  0.00236  0.50   87520     206   87417  4815454  55.02
  1947           8     0.00198  0.00197  0.50   87314     172   87228  4728037  54.15
  1947           9     0.00171  0.00171  0.50   87142     149   87067  4640809  53.26
  1947          10     0.00147  0.00147  0.50   86993     128   86929  4553742  52.35
  1947          11     0.00129  0.00129  0.50   86865     112   86809  4466813  51.42
  1947          12     0.00123  0.00123  0.50   86753     107   86700  4380004  50.49
  1947          13     0.00134  0.00134  0.50   86646     116   86588  4293304  49.55
  1947          14     0.00165  0.00165  0.50   86530     143   86459  4206716  48.62
  1947          15     0.00219  0.00219  0.50   86388     189   86293  4120257  47.69
  1947          16     0.00287  0.00287  0.50   86199     247   86075  4033964  46.80
  1947          17     0.00362  0.00361  0.50   85951     311   85796  3947888  45.93
  1947          18     0.00441  0.00440  0.50   85641     377   85452  3862092  45.10
  1947          19     0.00520  0.00518  0.50   85264     442   85043  3776640  44.29
  1947          20     0.00585  0.00583  0.50   84822     494   84575  3691597  43.52
  1947          21     0.00629  0.00627  0.50   84328     529   84063  3607022  42.77
  1947          22     0.00652  0.00650  0.50   83799     545   83526  3522958  42.04
  1947          23     0.00658  0.00656  0.50   83254     546   82981  3439432  41.31
  1947          24     0.00652  0.00650  0.50   82708     537   82439  3356451  40.58
  1947          25     0.00634  0.00632  0.50   82170     519   81911  3274012  39.84
  1947          26     0.00613  0.00611  0.50   81651     499   81401  3192102  39.09
  1947          27     0.00596  0.00595  0.50   81152     483   80911  3110700  38.33
  1947          28     0.00588  0.00586  0.50   80669     473   80433  3029790  37.56
  1947          29     0.00588  0.00586  0.50   80197     470   79962  2949356  36.78
  1947          30     0.00597  0.00595  0.50   79727     474   79490  2869395  35.99
  1947          31     0.00607  0.00606  0.50   79252     480   79013  2789905  35.20
  1947          32     0.00613  0.00611  0.50   78773     481   78532  2710892  34.41
  1947          33     0.00616  0.00615  0.50   78291     481   78051  2632361  33.62
  1947          34     0.00623  0.00621  0.50   77810     483   77568  2554310  32.83
  1947          35     0.00634  0.00632  0.50   77327     489   77082  2476742  32.03
  1947          36     0.00651  0.00649  0.50   76838     499   76589  2399659  31.23
  1947          37     0.00666  0.00664  0.50   76339     507   76086  2323071  30.43
  1947          38     0.00679  0.00676  0.50   75832     513   75576  2246985  29.63
  1947          39     0.00693  0.00691  0.50   75320     520   75060  2171409  28.83
  1947          40     0.00724  0.00722  0.50   74799     540   74530  2096349  28.03
  1947          41     0.00779  0.00776  0.50   74260     576   73972  2021820  27.23
  1947          42     0.00833  0.00829  0.50   73684     611   73378  1947848  26.44
  1947          43     0.00881  0.00877  0.50   73073     641   72752  1874470  25.65
  1947          44     0.00926  0.00921  0.50   72432     667   72098  1801718  24.87
  1947          45     0.00970  0.00965  0.50   71764     693   71418  1729620  24.10
  1947          46     0.01016  0.01011  0.50   71072     719   70712  1658202  23.33
  1947          47     0.01070  0.01064  0.50   70353     749   69979  1587490  22.56
  1947          48     0.01137  0.01130  0.50   69604     787   69211  1517511  21.80
  1947          49     0.01222  0.01214  0.50   68817     836   68400  1448301  21.05
  1947          50     0.01323  0.01314  0.50   67982     894   67535  1379901  20.30
