14.Kanagawa.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07071  0.06708  0.23  100000    6708   94867  5302857  53.03
  1947           1     0.02659  0.02624  0.50   93292    2448   92068  5207990  55.82
  1947           2     0.01844  0.01827  0.50   90844    1660   90014  5115923  56.32
  1947           3     0.01178  0.01171  0.50   89184    1045   88662  5025908  56.35
  1947           4     0.00705  0.00702  0.50   88140     619   87830  4937246  56.02
  1947           5     0.00423  0.00422  0.50   87521     369   87336  4849416  55.41
  1947           6     0.00278  0.00277  0.50   87151     242   87030  4762080  54.64
  1947           7     0.00206  0.00206  0.50   86910     179   86820  4675050  53.79
  1947           8     0.00171  0.00170  0.50   86730     148   86656  4588230  52.90
  1947           9     0.00152  0.00152  0.50   86582     132   86517  4501573  51.99
  1947          10     0.00140  0.00140  0.50   86451     121   86390  4415057  51.07
  1947          11     0.00134  0.00134  0.50   86329     116   86271  4328667  50.14
  1947          12     0.00136  0.00136  0.50   86214     118   86155  4242395  49.21
  1947          13     0.00153  0.00153  0.50   86096     132   86030  4156241  48.27
  1947          14     0.00189  0.00189  0.50   85964     162   85883  4070211  47.35
  1947          15     0.00245  0.00244  0.50   85802     210   85697  3984328  46.44
  1947          16     0.00320  0.00319  0.50   85592     273   85455  3898631  45.55
  1947          17     0.00411  0.00411  0.50   85319     350   85143  3813176  44.69
  1947          18     0.00513  0.00512  0.50   84968     435   84751  3728032  43.88
  1947          19     0.00614  0.00612  0.50   84534     517   84275  3643281  43.10
  1947          20     0.00697  0.00695  0.50   84016     584   83724  3559006  42.36
  1947          21     0.00761  0.00758  0.50   83433     632   83116  3475282  41.65
  1947          22     0.00806  0.00803  0.50   82800     665   82468  3392165  40.97
  1947          23     0.00830  0.00826  0.50   82135     679   81796  3309698  40.30
  1947          24     0.00828  0.00824  0.50   81457     671   81121  3227902  39.63
  1947          25     0.00802  0.00799  0.50   80785     645   80463  3146781  38.95
  1947          26     0.00765  0.00762  0.50   80140     611   79835  3066318  38.26
  1947          27     0.00729  0.00726  0.50   79529     578   79240  2986484  37.55
  1947          28     0.00699  0.00697  0.50   78952     550   78676  2907243  36.82
  1947          29     0.00680  0.00678  0.50   78401     531   78136  2828567  36.08
  1947          30     0.00674  0.00671  0.50   77870     523   77609  2750431  35.32
  1947          31     0.00676  0.00674  0.50   77347     521   77087  2672822  34.56
  1947          32     0.00683  0.00681  0.50   76826     523   76564  2595736  33.79
  1947          33     0.00690  0.00688  0.50   76303     525   76040  2519171  33.02
  1947          34     0.00694  0.00691  0.50   75778     524   75516  2443131  32.24
  1947          35     0.00697  0.00694  0.50   75254     522   74993  2367615  31.46
  1947          36     0.00703  0.00700  0.50   74732     523   74470  2292621  30.68
  1947          37     0.00715  0.00713  0.50   74208     529   73944  2218151  29.89
  1947          38     0.00736  0.00733  0.50   73680     540   73410  2144207  29.10
  1947          39     0.00767  0.00764  0.50   73139     559   72860  2070798  28.31
  1947          40     0.00801  0.00798  0.50   72581     579   72291  1997937  27.53
  1947          41     0.00836  0.00832  0.50   72002     599   71702  1925646  26.74
  1947          42     0.00873  0.00869  0.50   71402     621   71092  1853944  25.96
