15.Niigata.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09513  0.08919  0.30  100000    8919   93759  4917198  49.17
  1947           1     0.02540  0.02508  0.50   91081    2284   89939  4823438  52.96
  1947           2     0.01986  0.01966  0.50   88797    1746   87924  4733499  53.31
  1947           3     0.01479  0.01468  0.50   87051    1278   86412  4645576  53.37
  1947           4     0.01048  0.01043  0.50   85772     894   85325  4559164  53.15
  1947           5     0.00711  0.00708  0.50   84878     601   84577  4473839  52.71
  1947           6     0.00463  0.00462  0.50   84277     390   84082  4389261  52.08
  1947           7     0.00295  0.00295  0.50   83887     247   83764  4305179  51.32
  1947           8     0.00190  0.00190  0.50   83640     159   83561  4221415  50.47
  1947           9     0.00135  0.00135  0.50   83481     113   83425  4137855  49.57
  1947          10     0.00115  0.00115  0.50   83369      96   83320  4054430  48.63
  1947          11     0.00123  0.00123  0.50   83272     102   83221  3971109  47.69
  1947          12     0.00150  0.00150  0.50   83170     125   83108  3887888  46.75
  1947          13     0.00196  0.00195  0.50   83045     162   82964  3804780  45.82
  1947          14     0.00256  0.00256  0.50   82883     212   82777  3721816  44.90
  1947          15     0.00331  0.00330  0.50   82671     273   82534  3639039  44.02
  1947          16     0.00414  0.00413  0.50   82398     341   82228  3556505  43.16
  1947          17     0.00503  0.00502  0.50   82057     412   81851  3474277  42.34
  1947          18     0.00592  0.00590  0.50   81645     482   81404  3392426  41.55
  1947          19     0.00673  0.00670  0.50   81163     544   80891  3311021  40.79
  1947          20     0.00741  0.00738  0.50   80619     595   80322  3230130  40.07
  1947          21     0.00797  0.00794  0.50   80024     635   79706  3149809  39.36
  1947          22     0.00841  0.00838  0.50   79389     665   79056  3070102  38.67
  1947          23     0.00872  0.00868  0.50   78724     684   78382  2991046  37.99
  1947          24     0.00889  0.00885  0.50   78040     691   77695  2912665  37.32
  1947          25     0.00893  0.00889  0.50   77349     688   77005  2834970  36.65
  1947          26     0.00886  0.00882  0.50   76662     676   76323  2757965  35.98
  1947          27     0.00873  0.00869  0.50   75985     660   75655  2681641  35.29
  1947          28     0.00855  0.00851  0.50   75325     641   75004  2605987  34.60
  1947          29     0.00836  0.00832  0.50   74684     621   74373  2530982  33.89
  1947          30     0.00819  0.00816  0.50   74062     604   73760  2456610  33.17
  1947          31     0.00808  0.00805  0.50   73458     591   73162  2382850  32.44
  1947          32     0.00802  0.00798  0.50   72867     582   72576  2309687  31.70
  1947          33     0.00801  0.00797  0.50   72285     576   71997  2237112  30.95
  1947          34     0.00805  0.00802  0.50   71708     575   71421  2165115  30.19
  1947          35     0.00817  0.00813  0.50   71133     579   70844  2093694  29.43
  1947          36     0.00835  0.00832  0.50   70555     587   70261  2022850  28.67
  1947          37     0.00855  0.00851  0.50   69968     596   69670  1952589  27.91
  1947          38     0.00875  0.00871  0.50   69372     604   69070  1882918  27.14
  1947          39     0.00896  0.00892  0.50   68768     613   68461  1813848  26.38
  1947          40     0.00919  0.00915  0.50   68155     623   67843  1745387  25.61
  1947          41     0.00946  0.00942  0.50   67531     636   67213  1677544  24.84
  1947          42     0.00977  0.00973  0.50   66896     651   66570  1610331  24.07
  1947          43     0.01015  0.01010  0.50   66245     669   65910  1543760  23.30
  1947          44     0.01063  0.01057  0.50   65576     693   65229  1477850  22.54
  1947          45     0.01123  0.01117  0.50   64882     725   64520  1412621  21.77
  1947          46     0.01199  0.01192  0.50   64158     765   63775  1348101  21.01
  1947          47     0.01293  0.01285  0.50   63393     815   62986  1284326  20.26
  1947          48     0.01404  0.01395  0.50   62578     873   62142  1221340  19.52
  1947          49     0.01531  0.01519  0.50   61706     937   61237  1159198  18.79
  1947          50     0.01671  0.01657  0.50   60768    1007   60265  1097961  18.07
  1947          51     0.01824  0.01808  0.50   59761    1080   59221  1037696  17.36
  1947          52     0.01987  0.01968  0.50   58681    1155   58104   978475  16.67
  1947          53     0.02155  0.02132  0.50   57526    1227   56913   920371  16.00
  1947          54     0.02329  0.02302  0.50   56300    1296   55652   863458  15.34
  1947          55     0.02514  0.02483  0.50   55004    1366   54321   807806  14.69
  1947          56     0.02722  0.02685  0.50   53638    1440   52918   753485  14.05
  1947          57     0.02957  0.02914  0.50   52198    1521   51437   700567  13.42
  1947          58     0.03225  0.03174  0.50   50677    1609   49873   649130  12.81
  1947          59     0.03532  0.03471  0.50   49068    1703   48217   599257  12.21
  1947          60     0.03881  0.03807  0.50   47365    1803   46464   551041  11.63
  1947          61     0.04273  0.04184  0.50   45562    1906   44609   504577  11.07
  1947          62     0.04708  0.04599  0.50   43656    2008   42652   459968  10.54
  1947          63     0.05183  0.05052  0.50   41648    2104   40596   417316  10.02
  1947          64     0.05699  0.05541  0.50   39544    2191   38448   376720   9.53
  1947          65     0.06258  0.06068  0.50   37353    2266   36220   338271   9.06
  1947          66     0.06853  0.06626  0.50   35086    2325   33924   302052   8.61
  1947          67     0.07475  0.07205  0.50   32761    2361   31581   268128   8.18
  1947          68     0.08112  0.07796  0.50   30401    2370   29216   236547   7.78
  1947          69     0.08767  0.08398  0.50   28031    2354   26854   207331   7.40
  1947          70     0.09446  0.09020  0.50   25677    2316   24519   180477   7.03
  1947          71     0.10166  0.09674  0.50   23361    2260   22231   155958   6.68
  1947          72     0.10930  0.10364  0.50   21101    2187   20007   133728   6.34
  1947          73     0.11743  0.11091  0.50   18914    2098   17865   113720   6.01
  1947          74     0.12623  0.11874  0.50   16816    1997   15818    95855   5.70
  1947          75     0.13588  0.12724  0.50   14819    1886   13877    80037   5.40
  1947          76     0.14631  0.13634  0.50   12934    1763   12052    66160   5.12
  1947          77     0.15747  0.14598  0.50   11171    1631   10355    54108   4.84
  1947          78     0.16933  0.15612  0.50    9540    1489    8795    43753   4.59
  1947          79     0.18184  0.16669  0.50    8051    1342    7380    34958   4.34
  1947          80     0.19498  0.17766  0.50    6709    1192    6113    27578   4.11
  1947          81     0.20894  0.18918  0.50    5517    1044    4995    21465   3.89
  1947          82     0.22393  0.20138  0.50    4473     901    4023    16471   3.68
  1947          83     0.23996  0.21425  0.50    3572     765    3190    12448   3.48
  1947          84     0.25699  0.22773  0.50    2807     639    2487     9258   3.30
  1947          85     0.27497  0.24174  0.50    2168     524    1906     6771   3.12
  1947          86     0.29384  0.25620  0.50    1644     421    1433     4865   2.96
  1947          87     0.31352  0.27104  0.50    1223     331    1057     3432   2.81
  1947          88     0.33394  0.28616  0.50     891     255     764     2375   2.66
  1947          89     0.35500  0.30149  0.50     636     192     540     1611   2.53
  1947          90     0.37665  0.31696  0.50     444     141     374     1071   2.41
  1947          91     0.39879  0.33249  0.50     304     101     253      697   2.30
  1947          92     0.42134  0.34802  0.50     203      71     167      444   2.19
  1947          93     0.44421  0.36348  0.50     132      48     108      277   2.09
  1947          94     0.46731  0.37880  0.50      84      32      68      168   2.00
  1947          95     0.49054  0.39392  0.50      52      21      42      100   1.92
  1947          96     0.51380  0.40879  0.50      32      13      25       58   1.84
  1947          97     0.53700  0.42333  0.50      19       8      15       33   1.77
  1947          98     0.56002  0.43751  0.50      11       5       8       18   1.71
  1947          99     0.58277  0.45127  0.50       6       3       5       10   1.65
  1947         100     0.60514  0.46457  0.50       3       2       3        5   1.59
  1947         101     0.62704  0.47738  0.50       2       1       1        3   1.54
  1947         102     0.64840  0.48966  0.50       1       0       1        1   1.50
  1947         103     0.66915  0.50140  0.50       0       0       0        1   1.46
  1947         104     0.68925  0.51260  0.50       0       0       0        0   1.42
  1947         105     0.70870  0.52327  0.50       0       0       0        0   1.38
  1947         106     0.72751  0.53346  0.50       0       0       0        0   1.35
  1947         107     0.74578  0.54322  0.50       0       0       0        0   1.32
  1947         108     0.76361  0.55262  0.50       0       0       0        0   1.29
  1947         109     0.78116  0.56175  0.50       0       0       0        0   1.26
  1947         110+    0.80578  1.00000  1.24       0       0       0        0   1.24
  1948           0     0.07393  0.07001  0.24  100000    7001   94703  5284560  52.85
  1948           1     0.02025  0.02005  0.50   92999    1865   92066  5189857  55.81
  1948           2     0.01433  0.01423  0.50   91134    1297   90486  5097791  55.94
  1948           3     0.00951  0.00946  0.50   89837     850   89412  5007305  55.74
  1948           4     0.00604  0.00603  0.50   88987     536   88719  4917893  55.27
  1948           5     0.00391  0.00391  0.50   88451     346   88278  4829174  54.60
  1948           6     0.00277  0.00277  0.50   88105     244   87983  4740896  53.81
  1948           7     0.00220  0.00220  0.50   87862     193   87765  4652913  52.96
  1948           8     0.00190  0.00190  0.50   87669     166   87585  4565147  52.07
  1948           9     0.00174  0.00174  0.50   87502     152   87426  4477562  51.17
  1948          10     0.00164  0.00164  0.50   87350     143   87278  4390136  50.26
  1948          11     0.00157  0.00157  0.50   87206     137   87138  4302858  49.34
  1948          12     0.00153  0.00153  0.50   87069     133   87003  4215720  48.42
  1948          13     0.00158  0.00158  0.50   86936     137   86867  4128717  47.49
  1948          14     0.00179  0.00179  0.50   86799     155   86721  4041850  46.57
  1948          15     0.00220  0.00220  0.50   86644     191   86548  3955129  45.65
  1948          16     0.00286  0.00286  0.50   86453     247   86330  3868581  44.75
  1948          17     0.00377  0.00376  0.50   86206     324   86044  3782251  43.87
  1948          18     0.00487  0.00486  0.50   85882     417   85673  3696207  43.04
  1948          19     0.00603  0.00601  0.50   85465     514   85208  3610534  42.25
  1948          20     0.00699  0.00697  0.50   84951     592   84655  3525326  41.50
  1948          21     0.00768  0.00765  0.50   84359     645   84036  3440671  40.79
  1948          22     0.00809  0.00806  0.50   83713     675   83376  3356635  40.10
  1948          23     0.00826  0.00823  0.50   83039     683   82697  3273259  39.42
  1948          24     0.00825  0.00822  0.50   82356     677   82017  3190562  38.74
  1948          25     0.00815  0.00812  0.50   81679     663   81348  3108545  38.06
  1948          26     0.00801  0.00798  0.50   81016     646   80693  3027197  37.37
  1948          27     0.00787  0.00784  0.50   80370     630   80055  2946504  36.66
  1948          28     0.00779  0.00776  0.50   79740     619   79431  2866449  35.95
  1948          29     0.00784  0.00781  0.50   79121     618   78812  2787018  35.22
  1948          30     0.00793  0.00790  0.50   78503     620   78193  2708206  34.50
  1948          31     0.00792  0.00789  0.50   77883     614   77576  2630013  33.77
  1948          32     0.00770  0.00767  0.50   77269     593   76972  2552437  33.03
  1948          33     0.00746  0.00743  0.50   76676     570   76391  2475464  32.28
  1948          34     0.00742  0.00739  0.50   76106     562   75825  2399073  31.52
  1948          35     0.00758  0.00755  0.50   75544     570   75259  2323248  30.75
  1948          36     0.00788  0.00785  0.50   74974     588   74679  2247989  29.98
  1948          37     0.00820  0.00817  0.50   74385     607   74082  2173310  29.22
  1948          38     0.00852  0.00848  0.50   73778     626   73465  2099228  28.45
  1948          39     0.00883  0.00880  0.50   73152     643   72830  2025763  27.69
  1948          40     0.00907  0.00903  0.50   72509     654   72181  1952933  26.93
  1948          41     0.00913  0.00909  0.50   71854     653   71528  1880752  26.17
  1948          42     0.00903  0.00899  0.50   71201     640   70881  1809224  25.41
  1948          43     0.00900  0.00896  0.50   70561     632   70245  1738343  24.64
  1948          44     0.00926  0.00921  0.50   69929     644   69607  1668098  23.85
  1948          45     0.00980  0.00975  0.50   69285     676   68947  1598492  23.07
  1948          46     0.01056  0.01050  0.50   68609     721   68248  1529545  22.29
  1948          47     0.01139  0.01133  0.50   67888     769   67504  1461297  21.53
  1948          48     0.01220  0.01213  0.50   67119     814   66712  1393793  20.77
  1948          49     0.01298  0.01289  0.50   66305     855   65878  1327081  20.01
  1948          50     0.01393  0.01383  0.50   65450     905   64997  1261203  19.27
  1948          51     0.01526  0.01514  0.50   64545     977   64056  1196206  18.53
  1948          52     0.01689  0.01675  0.50   63567    1065   63035  1132150  17.81
  1948          53     0.01864  0.01847  0.50   62502    1154   61925  1069115  17.11
  1948          54     0.02023  0.02003  0.50   61348    1229   60734  1007190  16.42
  1948          55     0.02173  0.02150  0.50   60119    1293   59473   946456  15.74
  1948          56     0.02334  0.02307  0.50   58827    1357   58148   886983  15.08
  1948          57     0.02536  0.02504  0.50   57470    1439   56750   828835  14.42
  1948          58     0.02808  0.02769  0.50   56031    1551   55255   772085  13.78
  1948          59     0.03149  0.03100  0.50   54479    1689   53635   716830  13.16
  1948          60     0.03540  0.03478  0.50   52790    1836   51872   663195  12.56
  1948          61     0.03956  0.03879  0.50   50954    1976   49966   611323  12.00
  1948          62     0.04359  0.04266  0.50   48978    2089   47933   561357  11.46
  1948          63     0.04717  0.04609  0.50   46888    2161   45808   513424  10.95
  1948          64     0.05029  0.04906  0.50   44727    2194   43630   467616  10.45
  1948          65     0.05328  0.05190  0.50   42533    2207   41429   423986   9.97
  1948          66     0.05726  0.05567  0.50   40326    2245   39203   382556   9.49
  1948          67     0.06239  0.06051  0.50   38081    2304   36929   343353   9.02
  1948          68     0.06848  0.06621  0.50   35777    2369   34592   306424   8.56
  1948          69     0.07517  0.07245  0.50   33408    2420   32198   271832   8.14
  1948          70     0.08206  0.07883  0.50   30988    2443   29766   239634   7.73
  1948          71     0.08883  0.08505  0.50   28545    2428   27331   209867   7.35
  1948          72     0.09557  0.09122  0.50   26117    2382   24926   182536   6.99
  1948          73     0.10252  0.09752  0.50   23735    2315   22578   157610   6.64
  1948          74     0.10994  0.10421  0.50   21420    2232   20304   135033   6.30
  1948          75     0.11798  0.11141  0.50   19188    2138   18119   114729   5.98
  1948          76     0.12637  0.11886  0.50   17050    2027   16037    96609   5.67
  1948          77     0.13510  0.12655  0.50   15024    1901   14073    80572   5.36
  1948          78     0.14442  0.13469  0.50   13123    1768   12239    66499   5.07
  1948          79     0.15507  0.14391  0.50   11355    1634   10538    54260   4.78
  1948          80     0.16770  0.15473  0.50    9721    1504    8969    43722   4.50
  1948          81     0.18207  0.16688  0.50    8217    1371    7531    34754   4.23
  1948          82     0.19778  0.17998  0.50    6846    1232    6230    27222   3.98
  1948          83     0.21464  0.19384  0.50    5614    1088    5069    20993   3.74
  1948          84     0.23254  0.20832  0.50    4525     943    4054    15923   3.52
  1948          85     0.25142  0.22334  0.50    3583     800    3183    11869   3.31
  1948          86     0.27122  0.23883  0.50    2783     665    2450     8687   3.12
  1948          87     0.29195  0.25476  0.50    2118     540    1848     6237   2.94
  1948          88     0.31357  0.27107  0.50    1578     428    1364     4388   2.78
  1948          89     0.33602  0.28768  0.50    1151     331     985     3024   2.63
  1948          90     0.35923  0.30453  0.50     820     250     695     2039   2.49
  1948          91     0.38312  0.32153  0.50     570     183     478     1344   2.36
  1948          92     0.40759  0.33859  0.50     387     131     321      866   2.24
  1948          93     0.43253  0.35562  0.50     256      91     210      545   2.13
  1948          94     0.45782  0.37254  0.50     165      61     134      334   2.03
  1948          95     0.48332  0.38925  0.50     103      40      83      200   1.94
