16.Toyama.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.12899  0.11873  0.33  100000   11873   92045  4727953  47.28
  1947           1     0.05192  0.05061  0.50   88127    4460   85897  4635908  52.61
  1947           2     0.02352  0.02325  0.50   83667    1945   82694  4550011  54.38
  1947           3     0.01051  0.01045  0.50   81722     854   81295  4467317  54.67
  1947           4     0.00717  0.00714  0.50   80867     578   80579  4386023  54.24
  1947           5     0.00500  0.00499  0.50   80290     400   80090  4305444  53.62
  1947           6     0.00316  0.00315  0.50   79889     252   79763  4225355  52.89
  1947           7     0.00242  0.00242  0.50   79638     193   79541  4145591  52.06
  1947           8     0.00237  0.00237  0.50   79445     188   79351  4066050  51.18
  1947           9     0.00236  0.00236  0.50   79257     187   79163  3986699  50.30
  1947          10     0.00199  0.00199  0.50   79070     157   78991  3907536  49.42
  1947          11     0.00172  0.00172  0.50   78912     136   78844  3828545  48.52
  1947          12     0.00198  0.00198  0.50   78777     156   78698  3749701  47.60
  1947          13     0.00233  0.00233  0.50   78620     183   78529  3671002  46.69
  1947          14     0.00267  0.00267  0.50   78437     209   78333  3592474  45.80
  1947          15     0.00305  0.00304  0.50   78228     238   78109  3514141  44.92
  1947          16     0.00355  0.00355  0.50   77990     277   77852  3436032  44.06
  1947          17     0.00435  0.00434  0.50   77713     337   77545  3358180  43.21
  1947          18     0.00588  0.00586  0.50   77376     454   77150  3280636  42.40
  1947          19     0.00792  0.00789  0.50   76923     607   76619  3203486  41.65
  1947          20     0.00826  0.00822  0.50   76316     628   76002  3126867  40.97
  1947          21     0.00801  0.00798  0.50   75688     604   75386  3050865  40.31
  1947          22     0.00865  0.00862  0.50   75084     647   74761  2975479  39.63
  1947          23     0.00887  0.00883  0.50   74437     657   74109  2900718  38.97
  1947          24     0.00750  0.00747  0.50   73780     551   73504  2826610  38.31
  1947          25     0.00635  0.00633  0.50   73228     464   72997  2753105  37.60
  1947          26     0.00625  0.00623  0.50   72765     453   72538  2680109  36.83
  1947          27     0.00723  0.00721  0.50   72311     521   72051  2607571  36.06
  1947          28     0.00812  0.00808  0.50   71790     580   71500  2535520  35.32
  1947          29     0.00777  0.00774  0.50   71210     551   70934  2464020  34.60
  1947          30     0.00671  0.00669  0.50   70658     472   70422  2393086  33.87
  1947          31     0.00613  0.00611  0.50   70186     429   69971  2322664  33.09
  1947          32     0.00685  0.00683  0.50   69757     476   69519  2252692  32.29
  1947          33     0.00773  0.00770  0.50   69281     534   69014  2183173  31.51
  1947          34     0.00772  0.00769  0.50   68747     529   68483  2114159  30.75
  1947          35     0.00803  0.00800  0.50   68218     546   67945  2045677  29.99
  1947          36     0.00950  0.00945  0.50   67673     640   67353  1977731  29.22
  1947          37     0.01001  0.00996  0.50   67033     668   66699  1910379  28.50
  1947          38     0.00959  0.00955  0.50   66365     633   66048  1843680  27.78
  1947          39     0.00895  0.00891  0.50   65732     586   65439  1777632  27.04
  1947          40     0.00851  0.00847  0.50   65146     552   64870  1712193  26.28
  1947          41     0.00873  0.00869  0.50   64594     562   64313  1647323  25.50
  1947          42     0.01014  0.01009  0.50   64032     646   63709  1583010  24.72
  1947          43     0.01152  0.01146  0.50   63386     726   63023  1519301  23.97
  1947          44     0.01173  0.01166  0.50   62660     730   62295  1456277  23.24
  1947          45     0.01164  0.01157  0.50   61930     717   61571  1393982  22.51
  1947          46     0.01226  0.01219  0.50   61213     746   60840  1332411  21.77
  1947          47     0.01317  0.01308  0.50   60467     791   60071  1271571  21.03
  1947          48     0.01440  0.01430  0.50   59676     853   59249  1211499  20.30
  1947          49     0.01603  0.01590  0.50   58823     935   58355  1152250  19.59
  1947          50     0.01734  0.01720  0.50   57887     995   57389  1093895  18.90
  1947          51     0.01786  0.01770  0.50   56892    1007   56388  1036506  18.22
  1947          52     0.01875  0.01857  0.50   55885    1038   55366   980118  17.54
  1947          53     0.02071  0.02050  0.50   54847    1124   54284   924752  16.86
  1947          54     0.02176  0.02153  0.50   53722    1157   53144   870468  16.20
  1947          55     0.02204  0.02180  0.50   52566    1146   51993   817324  15.55
  1947          56     0.02275  0.02250  0.50   51420    1157   50841   765331  14.88
  1947          57     0.02636  0.02602  0.50   50263    1308   49609   714490  14.22
  1947          58     0.03294  0.03240  0.50   48955    1586   48162   664881  13.58
  1947          59     0.03505  0.03445  0.50   47369    1632   46553   616719  13.02
  1947          60     0.03573  0.03510  0.50   45737    1605   44934   570166  12.47
  1947          61     0.03954  0.03877  0.50   44132    1711   43276   525231  11.90
  1947          62     0.04399  0.04304  0.50   42421    1826   41508   481955  11.36
  1947          63     0.04631  0.04527  0.50   40595    1838   39676   440447  10.85
  1947          64     0.04956  0.04836  0.50   38757    1874   37820   400771  10.34
  1947          65     0.05620  0.05467  0.50   36883    2016   35875   362951   9.84
  1947          66     0.06237  0.06049  0.50   34867    2109   33812   327076   9.38
  1947          67     0.06915  0.06684  0.50   32758    2190   31663   293264   8.95
  1947          68     0.07779  0.07488  0.50   30568    2289   29424   261601   8.56
  1947          69     0.08317  0.07985  0.50   28279    2258   27150   232177   8.21
  1947          70     0.08222  0.07897  0.50   26021    2055   24994   205027   7.88
  1947          71     0.08319  0.07986  0.50   23966    1914   23009   180033   7.51
  1947          72     0.08503  0.08156  0.50   22052    1799   21153   157024   7.12
  1947          73     0.08677  0.08316  0.50   20254    1684   19412   135871   6.71
  1947          74     0.10066  0.09584  0.50   18569    1780   17680   116459   6.27
  1947          75     0.12834  0.12060  0.50   16790    2025   15777    98780   5.88
  1947          76     0.13190  0.12374  0.50   14765    1827   13851    83003   5.62
  1947          77     0.12393  0.11670  0.50   12938    1510   12183    69151   5.34
  1947          78     0.12787  0.12018  0.50   11428    1373   10741    56969   4.99
  1947          79     0.14621  0.13625  0.50   10055    1370    9370    46227   4.60
  1947          80     0.17431  0.16033  0.50    8685    1392    7988    36858   4.24
  1947          81     0.19988  0.18172  0.50    7292    1325    6630    28869   3.96
  1947          82     0.21500  0.19413  0.50    5967    1158    5388    22240   3.73
  1947          83     0.23216  0.20802  0.50    4809    1000    4309    16852   3.50
  1947          84     0.25230  0.22404  0.50    3808     853    3382    12543   3.29
  1947          85     0.27266  0.23995  0.50    2955     709    2601     9161   3.10
  1947          86     0.29367  0.25607  0.50    2246     575    1958     6561   2.92
  1947          87     0.31611  0.27297  0.50    1671     456    1443     4602   2.75
  1947          88     0.33934  0.29011  0.50    1215     352    1039     3160   2.60
  1947          89     0.36324  0.30741  0.50     862     265     730     2121   2.46
  1947          90     0.38791  0.32489  0.50     597     194     500     1391   2.33
  1947          91     0.41318  0.34244  0.50     403     138     334      891   2.21
  1947          92     0.43889  0.35991  0.50     265      95     217      557   2.10
  1947          93     0.46494  0.37724  0.50     170      64     138      339   2.00
  1947          94     0.49119  0.39434  0.50     106      42      85      202   1.91
  1947          95     0.51748  0.41111  0.50      64      26      51      117   1.82
  1947          96     0.54368  0.42747  0.50      38      16      30       66   1.75
  1947          97     0.56963  0.44336  0.50      22      10      17       36   1.68
  1947          98     0.59521  0.45870  0.50      12       6       9       19   1.61
  1947          99     0.62029  0.47345  0.50       7       3       5       10   1.55
  1947         100     0.64473  0.48756  0.50       3       2       3        5   1.50
  1947         101     0.66845  0.50100  0.50       2       1       1        3   1.45
  1947         102     0.69133  0.51375  0.50       1       0       1        1   1.41
  1947         103     0.71332  0.52579  0.50       0       0       0        1   1.37
  1947         104     0.73435  0.53713  0.50       0       0       0        0   1.33
  1947         105     0.75435  0.54775  0.50       0       0       0        0   1.30
  1947         106     0.77332  0.55769  0.50       0       0       0        0   1.27
  1947         107     0.79125  0.56695  0.50       0       0       0        0   1.25
  1947         108     0.80808  0.57554  0.50       0       0       0        0   1.22
  1947         109     0.82379  0.58347  0.50       0       0       0        0   1.20
  1947         110+    0.84734  1.00000  1.18       0       0       0        0   1.18
  1948           0     0.09300  0.08727  0.29  100000    8727   93844  5188730  51.89
  1948           1     0.02381  0.02353  0.50   91273    2147   90199  5094886  55.82
  1948           2     0.01714  0.01699  0.50   89125    1514   88368  5004687  56.15
  1948           3     0.01150  0.01143  0.50   87611    1002   87110  4916319  56.12
  1948           4     0.00730  0.00727  0.50   86609     630   86294  4829209  55.76
  1948           5     0.00462  0.00461  0.50   85980     397   85781  4742915  55.16
  1948           6     0.00310  0.00309  0.50   85583     265   85451  4657134  54.42
  1948           7     0.00226  0.00225  0.50   85318     192   85222  4571683  53.58
  1948           8     0.00180  0.00180  0.50   85126     153   85050  4486461  52.70
  1948           9     0.00156  0.00155  0.50   84973     132   84907  4401411  51.80
  1948          10     0.00141  0.00140  0.50   84841     119   84782  4316504  50.88
  1948          11     0.00134  0.00133  0.50   84722     113   84665  4231722  49.95
  1948          12     0.00137  0.00137  0.50   84609     116   84551  4147057  49.01
  1948          13     0.00157  0.00157  0.50   84493     132   84427  4062506  48.08
  1948          14     0.00198  0.00198  0.50   84361     167   84277  3978079  47.16
  1948          15     0.00264  0.00263  0.50   84194     222   84083  3893801  46.25
  1948          16     0.00352  0.00352  0.50   83972     295   83825  3809718  45.37
  1948          17     0.00457  0.00456  0.50   83677     382   83486  3725894  44.53
  1948          18     0.00563  0.00561  0.50   83295     467   83062  3642407  43.73
  1948          19     0.00652  0.00650  0.50   82828     538   82559  3559346  42.97
  1948          20     0.00717  0.00714  0.50   82290     588   81996  3476787  42.25
  1948          21     0.00759  0.00756  0.50   81702     618   81393  3394791  41.55
  1948          22     0.00785  0.00782  0.50   81084     634   80767  3313397  40.86
  1948          23     0.00799  0.00796  0.50   80451     640   80130  3232630  40.18
  1948          24     0.00808  0.00805  0.50   79810     642   79489  3152500  39.50
  1948          25     0.00813  0.00809  0.50   79168     641   78847  3073011  38.82
  1948          26     0.00804  0.00801  0.50   78527     629   78212  2994163  38.13
  1948          27     0.00775  0.00772  0.50   77898     602   77597  2915951  37.43
  1948          28     0.00735  0.00733  0.50   77296     566   77013  2838354  36.72
  1948          29     0.00695  0.00693  0.50   76730     532   76464  2761341  35.99
  1948          30     0.00665  0.00663  0.50   76198     505   75946  2684876  35.24
  1948          31     0.00648  0.00646  0.50   75693     489   75449  2608931  34.47
  1948          32     0.00648  0.00646  0.50   75204     486   74961  2533482  33.69
  1948          33     0.00664  0.00662  0.50   74718     495   74471  2458521  32.90
  1948          34     0.00694  0.00692  0.50   74224     513   73967  2384050  32.12
  1948          35     0.00733  0.00730  0.50   73710     538   73441  2310083  31.34
  1948          36     0.00772  0.00769  0.50   73172     563   72891  2236642  30.57
  1948          37     0.00803  0.00800  0.50   72609     581   72319  2163752  29.80
  1948          38     0.00822  0.00819  0.50   72028     590   71733  2091433  29.04
  1948          39     0.00828  0.00825  0.50   71438     589   71144  2019700  28.27
  1948          40     0.00834  0.00830  0.50   70849     588   70555  1948556  27.50
  1948          41     0.00852  0.00848  0.50   70261     596   69963  1878001  26.73
  1948          42     0.00884  0.00880  0.50   69665     613   69358  1808038  25.95
  1948          43     0.00931  0.00927  0.50   69052     640   68732  1738679  25.18
  1948          44     0.00995  0.00990  0.50   68412     677   68074  1669947  24.41
  1948          45     0.01059  0.01054  0.50   67735     714   67378  1601874  23.65
  1948          46     0.01110  0.01103  0.50   67021     740   66652  1534496  22.90
  1948          47     0.01151  0.01145  0.50   66282     759   65902  1467844  22.15
  1948          48     0.01198  0.01191  0.50   65523     780   65133  1401942  21.40
  1948          49     0.01264  0.01256  0.50   64743     813   64336  1336809  20.65
  1948          50     0.01358  0.01348  0.50   63930     862   63499  1272473  19.90
  1948          51     0.01483  0.01472  0.50   63068     928   62603  1208974  19.17
  1948          52     0.01630  0.01617  0.50   62139    1005   61637  1146371  18.45
  1948          53     0.01789  0.01774  0.50   61135    1084   60592  1084734  17.74
  1948          54     0.01970  0.01950  0.50   60050    1171   59465  1024142  17.05
  1948          55     0.02176  0.02152  0.50   58879    1267   58245   964677  16.38
  1948          56     0.02404  0.02376  0.50   57612    1369   56928   906431  15.73
  1948          57     0.02622  0.02588  0.50   56243    1456   55515   849504  15.10
  1948          58     0.02806  0.02767  0.50   54787    1516   54029   793988  14.49
  1948          59     0.02986  0.02942  0.50   53271    1567   52488   739959  13.89
  1948          60     0.03187  0.03137  0.50   51704    1622   50893   687471  13.30
  1948          61     0.03428  0.03370  0.50   50082    1688   49238   636578  12.71
  1948          62     0.03724  0.03656  0.50   48394    1769   47510   587340  12.14
  1948          63     0.04085  0.04003  0.50   46625    1866   45692   539830  11.58
  1948          64     0.04487  0.04388  0.50   44759    1964   43777   494139  11.04
  1948          65     0.04895  0.04778  0.50   42795    2045   41772   450362  10.52
  1948          66     0.05278  0.05143  0.50   40750    2096   39702   408590  10.03
  1948          67     0.05682  0.05525  0.50   38654    2136   37586   368888   9.54
  1948          68     0.06164  0.05979  0.50   36518    2184   35427   331302   9.07
  1948          69     0.06751  0.06531  0.50   34335    2242   33214   295875   8.62
  1948          70     0.07457  0.07189  0.50   32093    2307   30939   262661   8.18
  1948          71     0.08245  0.07919  0.50   29786    2359   28606   231722   7.78
  1948          72     0.09041  0.08650  0.50   27427    2372   26241   203116   7.41
  1948          73     0.09782  0.09326  0.50   25055    2337   23886   176875   7.06
  1948          74     0.10492  0.09969  0.50   22718    2265   21586   152989   6.73
  1948          75     0.11192  0.10599  0.50   20453    2168   19369   131403   6.42
  1948          76     0.11840  0.11178  0.50   18285    2044   17263   112034   6.13
  1948          77     0.12497  0.11762  0.50   16241    1910   15286    94771   5.84
  1948          78     0.13244  0.12422  0.50   14331    1780   13441    79485   5.55
  1948          79     0.14138  0.13205  0.50   12551    1657   11722    66044   5.26
  1948          80     0.15206  0.14132  0.50   10894    1539   10124    54321   4.99
  1948          81     0.16389  0.15148  0.50    9354    1417    8646    44197   4.72
  1948          82     0.17626  0.16198  0.50    7937    1286    7294    35552   4.48
  1948          83     0.18914  0.17280  0.50    6651    1149    6077    28257   4.25
  1948          84     0.20258  0.18394  0.50    5502    1012    4996    22181   4.03
  1948          85     0.21656  0.19540  0.50    4490     877    4051    17185   3.83
  1948          86     0.23114  0.20719  0.50    3613     749    3238    13133   3.64
  1948          87     0.24635  0.21934  0.50    2864     628    2550     9895   3.45
  1948          88     0.26222  0.23183  0.50    2236     518    1977     7345   3.28
  1948          89     0.27873  0.24464  0.50    1718     420    1507     5368   3.13
  1948          90     0.29587  0.25774  0.50    1297     334    1130     3861   2.98
  1948          91     0.31362  0.27110  0.50     963     261     832     2730   2.84
  1948          92     0.33193  0.28468  0.50     702     200     602     1898   2.70
  1948          93     0.35076  0.29842  0.50     502     150     427     1296   2.58
  1948          94     0.37008  0.31229  0.50     352     110     297      869   2.47
  1948          95     0.38982  0.32623  0.50     242      79     203      571   2.36
  1948          96     0.40992  0.34020  0.50     163      56     135      369   2.26
  1948          97     0.43034  0.35414  0.50     108      38      89      233   2.17
  1948          98     0.45099  0.36801  0.50      70      26      57      145   2.08
  1948          99     0.47181  0.38175  0.50      44      17      36       88   2.00
  1948         100     0.49273  0.39534  0.50      27      11      22       52   1.92
  1948         101     0.51367  0.40870  0.50      16       7      13       30   1.85
  1948         102     0.53456  0.42181  0.50      10       4       8       17   1.79
  1948         103     0.55530  0.43463  0.50       6       2       4       10   1.73
  1948         104     0.57583  0.44710  0.50       3       1       2        5   1.67
  1948         105     0.59607  0.45921  0.50       2       1       1        3   1.62
  1948         106     0.61599  0.47094  0.50       1       0       1        1   1.57
  1948         107     0.63554  0.48229  0.50       1       0       0        1   1.53
  1948         108     0.65479  0.49329  0.50       0       0       0        0   1.49
  1948         109     0.67378  0.50399  0.50       0       0       0        0   1.45
  1948         110+    0.70683  1.00000  1.41       0       0       0        0   1.41
  1949           0     0.10257  0.09589  0.32  100000    9589   93483  5235862  52.36
  1949           1     0.02528  0.02496  0.50   90411    2257   89283  5142379  56.88
  1949           2     0.01803  0.01787  0.50   88154    1575   87366  5053097  57.32
  1949           3     0.01199  0.01192  0.50   86579    1032   86063  4965730  57.36
  1949           4     0.00752  0.00749  0.50   85547     641   85227  4879667  57.04
  1949           5     0.00464  0.00463  0.50   84906     393   84710  4794441  56.47
  1949           6     0.00297  0.00297  0.50   84513     251   84388  4709731  55.73
  1949           7     0.00203  0.00203  0.50   84262     171   84177  4625343  54.89
  1949           8     0.00148  0.00148  0.50   84091     124   84029  4541167  54.00
  1949           9     0.00118  0.00118  0.50   83967      99   83918  4457137  53.08
  1949          10     0.00105  0.00105  0.50   83868      88   83824  4373220  52.14
  1949          11     0.00103  0.00103  0.50   83780      86   83737  4289395  51.20
  1949          12     0.00108  0.00108  0.50   83694      91   83649  4205658  50.25
  1949          13     0.00121  0.00121  0.50   83603     101   83553  4122009  49.30
  1949          14     0.00148  0.00148  0.50   83502     123   83441  4038456  48.36
  1949          15     0.00195  0.00195  0.50   83379     163   83298  3955016  47.43
  1949          16     0.00259  0.00259  0.50   83216     216   83109  3871718  46.53
  1949          17     0.00336  0.00336  0.50   83001     279   82862  3788609  45.65
  1949          18     0.00428  0.00428  0.50   82722     354   82545  3705748  44.80
  1949          19     0.00534  0.00533  0.50   82369     439   82149  3623202  43.99
  1949          20     0.00631  0.00629  0.50   81930     515   81672  3541053  43.22
  1949          21     0.00694  0.00691  0.50   81415     563   81133  3459381  42.49
  1949          22     0.00707  0.00704  0.50   80852     570   80567  3378247  41.78
  1949          23     0.00681  0.00678  0.50   80283     545   80010  3297680  41.08
  1949          24     0.00637  0.00635  0.50   79738     506   79485  3217670  40.35
  1949          25     0.00612  0.00610  0.50   79232     483   78990  3138185  39.61
  1949          26     0.00610  0.00608  0.50   78748     479   78509  3059195  38.85
  1949          27     0.00624  0.00622  0.50   78270     487   78026  2980686  38.08
  1949          28     0.00641  0.00639  0.50   77783     497   77534  2902660  37.32
