17.Ishikawa.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11760  0.10901  0.33  100000   10901   92697  4771172  47.71
  1947           1     0.03221  0.03170  0.50   89099    2824   87687  4678475  52.51
  1947           2     0.02401  0.02372  0.50   86275    2047   85252  4590788  53.21
  1947           3     0.01682  0.01668  0.50   84229    1405   83526  4505536  53.49
  1947           4     0.01111  0.01105  0.50   82824     915   82366  4422010  53.39
  1947           5     0.00706  0.00704  0.50   81908     576   81620  4339644  52.98
  1947           6     0.00442  0.00441  0.50   81332     358   81153  4258023  52.35
  1947           7     0.00281  0.00281  0.50   80974     228   80860  4176871  51.58
  1947           8     0.00191  0.00191  0.50   80746     154   80669  4096011  50.73
  1947           9     0.00149  0.00149  0.50   80592     120   80532  4015342  49.82
  1947          10     0.00140  0.00140  0.50   80472     112   80416  3934810  48.90
  1947          11     0.00151  0.00151  0.50   80360     121   80299  3854394  47.96
  1947          12     0.00174  0.00174  0.50   80239     139   80169  3774095  47.04
  1947          13     0.00209  0.00209  0.50   80099     167   80015  3693926  46.12
  1947          14     0.00259  0.00258  0.50   79932     207   79829  3613911  45.21
  1947          15     0.00324  0.00324  0.50   79725     258   79596  3534082  44.33
  1947          16     0.00401  0.00401  0.50   79467     318   79308  3454486  43.47
  1947          17     0.00486  0.00485  0.50   79149     384   78957  3375178  42.64
  1947          18     0.00573  0.00572  0.50   78765     450   78540  3296221  41.85
  1947          19     0.00660  0.00658  0.50   78315     515   78057  3217681  41.09
  1947          20     0.00737  0.00734  0.50   77800     571   77515  3139623  40.36
  1947          21     0.00799  0.00796  0.50   77229     615   76922  3062109  39.65
  1947          22     0.00845  0.00842  0.50   76614     645   76292  2985187  38.96
  1947          23     0.00881  0.00877  0.50   75970     667   75636  2908895  38.29
  1947          24     0.00912  0.00908  0.50   75303     684   74961  2833259  37.62
  1947          25     0.00936  0.00931  0.50   74619     695   74272  2758298  36.97
  1947          26     0.00951  0.00947  0.50   73924     700   73574  2684026  36.31
  1947          27     0.00960  0.00955  0.50   73224     699   72874  2610452  35.65
  1947          28     0.00965  0.00960  0.50   72525     696   72176  2537578  34.99
  1947          29     0.00968  0.00963  0.50   71828     692   71482  2465401  34.32
  1947          30     0.00963  0.00958  0.50   71136     682   70796  2393919  33.65
  1947          31     0.00950  0.00946  0.50   70455     666   70122  2323123  32.97
  1947          32     0.00934  0.00929  0.50   69788     649   69464  2253002  32.28
  1947          33     0.00919  0.00915  0.50   69140     632   68823  2183538  31.58
  1947          34     0.00910  0.00906  0.50   68507     621   68197  2114714  30.87
  1947          35     0.00909  0.00905  0.50   67886     614   67579  2046518  30.15
  1947          36     0.00913  0.00909  0.50   67272     612   66966  1978938  29.42
  1947          37     0.00922  0.00918  0.50   66661     612   66355  1911972  28.68
  1947          38     0.00934  0.00930  0.50   66049     614   65742  1845617  27.94
  1947          39     0.00950  0.00946  0.50   65435     619   65125  1779875  27.20
  1947          40     0.00969  0.00964  0.50   64816     625   64503  1714750  26.46
  1947          41     0.00989  0.00985  0.50   64191     632   63875  1650246  25.71
  1947          42     0.01014  0.01009  0.50   63559     641   63238  1586372  24.96
  1947          43     0.01046  0.01041  0.50   62918     655   62590  1523133  24.21
  1947          44     0.01092  0.01086  0.50   62263     676   61925  1460543  23.46
  1947          45     0.01154  0.01147  0.50   61587     706   61234  1398618  22.71
  1947          46     0.01236  0.01228  0.50   60880     748   60507  1337384  21.97
  1947          47     0.01338  0.01329  0.50   60133     799   59733  1276878  21.23
  1947          48     0.01460  0.01449  0.50   59334     860   58904  1217145  20.51
  1947          49     0.01597  0.01584  0.50   58474     926   58010  1158241  19.81
  1947          50     0.01731  0.01716  0.50   57547     987   57054  1100231  19.12
  1947          51     0.01843  0.01826  0.50   56560    1033   56043  1043177  18.44
  1947          52     0.01938  0.01919  0.50   55527    1066   54994   987134  17.78
  1947          53     0.02026  0.02005  0.50   54461    1092   53915   932140  17.12
  1947          54     0.02132  0.02110  0.50   53369    1126   52806   878225  16.46
  1947          55     0.02273  0.02248  0.50   52243    1174   51656   825418  15.80
  1947          56     0.02459  0.02429  0.50   51069    1240   50449   773762  15.15
  1947          57     0.02687  0.02651  0.50   49829    1321   49168   723313  14.52
  1947          58     0.02952  0.02909  0.50   48508    1411   47802   674145  13.90
  1947          59     0.03251  0.03199  0.50   47097    1507   46343   626343  13.30
  1947          60     0.03577  0.03514  0.50   45590    1602   44789   579999  12.72
  1947          61     0.03922  0.03846  0.50   43988    1692   43142   535210  12.17
  1947          62     0.04283  0.04193  0.50   42296    1774   41409   492068  11.63
  1947          63     0.04662  0.04556  0.50   40522    1846   39599   450659  11.12
  1947          64     0.05069  0.04943  0.50   38676    1912   37720   411059  10.63
  1947          65     0.05511  0.05363  0.50   36764    1972   35779   373339  10.15
  1947          66     0.05967  0.05794  0.50   34793    2016   33785   337560   9.70
  1947          67     0.06392  0.06194  0.50   32777    2030   31762   303776   9.27
  1947          68     0.06760  0.06539  0.50   30746    2011   29741   272014   8.85
  1947          69     0.07121  0.06876  0.50   28736    1976   27748   242273   8.43
  1947          70     0.07532  0.07258  0.50   26760    1942   25789   214525   8.02
  1947          71     0.08009  0.07701  0.50   24818    1911   23862   188736   7.60
  1947          72     0.08536  0.08187  0.50   22906    1875   21969   164874   7.20
  1947          73     0.09103  0.08707  0.50   21031    1831   20116   142906   6.79
  1947          74     0.09753  0.09300  0.50   19200    1786   18307   122790   6.40
  1947          75     0.10531  0.10004  0.50   17414    1742   16543   104483   6.00
  1947          76     0.11451  0.10831  0.50   15672    1698   14824    87939   5.61
  1947          77     0.12574  0.11831  0.50   13975    1653   13148    73116   5.23
  1947          78     0.13949  0.13040  0.50   12322    1607   11518    59968   4.87
  1947          79     0.15532  0.14413  0.50   10715    1544    9943    48449   4.52
  1947          80     0.17271  0.15898  0.50    9171    1458    8442    38507   4.20
  1947          81     0.19169  0.17493  0.50    7713    1349    7038    30065   3.90
  1947          82     0.21242  0.19203  0.50    6363    1222    5752    23027   3.62
  1947          83     0.23500  0.21029  0.50    5141    1081    4601    17275   3.36
  1947          84     0.25941  0.22962  0.50    4060     932    3594    12674   3.12
  1947          85     0.28555  0.24988  0.50    3128     782    2737     9080   2.90
