18.Fukui.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11620  0.10781  0.33  100000   10781   92777  4725898  47.26
  1947           1     0.04820  0.04707  0.50   89219    4199   87120  4633121  51.93
  1947           2     0.03224  0.03173  0.50   85020    2698   83671  4546002  53.47
  1947           3     0.01920  0.01901  0.50   82322    1565   81540  4462331  54.21
  1947           4     0.01001  0.00996  0.50   80757     805   80355  4380791  54.25
  1947           5     0.00481  0.00480  0.50   79952     383   79761  4300437  53.79
  1947           6     0.00255  0.00255  0.50   79569     203   79468  4220676  53.04
  1947           7     0.00195  0.00195  0.50   79366     155   79289  4141208  52.18
  1947           8     0.00196  0.00196  0.50   79212     155   79134  4061919  51.28
  1947           9     0.00202  0.00202  0.50   79056     160   78976  3982786  50.38
  1947          10     0.00182  0.00182  0.50   78897     144   78825  3903809  49.48
  1947          11     0.00154  0.00154  0.50   78753     122   78692  3824984  48.57
  1947          12     0.00145  0.00145  0.50   78631     114   78575  3746292  47.64
  1947          13     0.00160  0.00160  0.50   78518     126   78455  3667718  46.71
  1947          14     0.00205  0.00204  0.50   78392     160   78312  3589263  45.79
  1947          15     0.00279  0.00278  0.50   78232     218   78123  3510951  44.88
  1947          16     0.00375  0.00375  0.50   78014     292   77868  3432829  44.00
  1947          17     0.00486  0.00484  0.50   77722     376   77533  3354961  43.17
  1947          18     0.00598  0.00596  0.50   77345     461   77114  3277428  42.37
  1947          19     0.00702  0.00700  0.50   76884     538   76615  3200313  41.63
  1947          20     0.00792  0.00789  0.50   76346     602   76045  3123698  40.92
  1947          21     0.00872  0.00868  0.50   75744     657   75415  3047653  40.24
  1947          22     0.00946  0.00942  0.50   75086     707   74733  2972238  39.58
  1947          23     0.01013  0.01007  0.50   74379     749   74005  2897505  38.96
  1947          24     0.01060  0.01054  0.50   73630     776   73242  2823501  38.35
  1947          25     0.01061  0.01056  0.50   72854     769   72469  2750258  37.75
  1947          26     0.01040  0.01035  0.50   72085     746   71712  2677789  37.15
  1947          27     0.01021  0.01016  0.50   71339     725   70976  2606077  36.53
  1947          28     0.00984  0.00980  0.50   70614     692   70268  2535101  35.90
  1947          29     0.00911  0.00906  0.50   69922     634   69605  2464833  35.25
  1947          30     0.00830  0.00827  0.50   69288     573   69002  2395228  34.57
  1947          31     0.00785  0.00782  0.50   68716     537   68447  2326226  33.85
  1947          32     0.00800  0.00797  0.50   68179     544   67907  2257779  33.12
  1947          33     0.00838  0.00834  0.50   67635     564   67353  2189872  32.38
  1947          34     0.00853  0.00849  0.50   67071     569   66786  2122519  31.65
  1947          35     0.00847  0.00843  0.50   66501     561   66221  2055733  30.91
  1947          36     0.00840  0.00837  0.50   65941     552   65665  1989512  30.17
  1947          37     0.00869  0.00865  0.50   65389     566   65106  1923848  29.42
  1947          38     0.00923  0.00919  0.50   64823     596   64525  1858742  28.67
  1947          39     0.00981  0.00976  0.50   64227     627   63914  1794217  27.94
  1947          40     0.01012  0.01007  0.50   63600     640   63280  1730303  27.21
  1947          41     0.01001  0.00996  0.50   62960     627   62647  1667023  26.48
  1947          42     0.00986  0.00981  0.50   62333     611   62027  1604376  25.74
  1947          43     0.00974  0.00970  0.50   61722     598   61422  1542349  24.99
  1947          44     0.00970  0.00965  0.50   61123     590   60828  1480926  24.23
  1947          45     0.00991  0.00986  0.50   60533     597   60235  1420098  23.46
  1947          46     0.01054  0.01048  0.50   59937     628   59622  1359863  22.69
  1947          47     0.01145  0.01138  0.50   59308     675   58971  1300241  21.92
  1947          48     0.01257  0.01249  0.50   58633     733   58267  1241270  21.17
  1947          49     0.01384  0.01374  0.50   57901     796   57503  1183003  20.43
  1947          50     0.01511  0.01500  0.50   57105     856   56677  1125500  19.71
  1947          51     0.01622  0.01609  0.50   56248     905   55796  1068824  19.00
  1947          52     0.01696  0.01682  0.50   55344     931   54878  1013028  18.30
  1947          53     0.01727  0.01712  0.50   54413     932   53947   958149  17.61
  1947          54     0.01764  0.01748  0.50   53481     935   53014   904202  16.91
  1947          55     0.01877  0.01860  0.50   52546     977   52057   851189  16.20
  1947          56     0.02120  0.02098  0.50   51569    1082   51028   799131  15.50
  1947          57     0.02464  0.02434  0.50   50487    1229   49872   748104  14.82
  1947          58     0.02859  0.02819  0.50   49258    1389   48564   698231  14.18
  1947          59     0.03247  0.03196  0.50   47869    1530   47104   649668  13.57
  1947          60     0.03593  0.03530  0.50   46340    1636   45522   602563  13.00
  1947          61     0.03888  0.03814  0.50   44704    1705   43851   557042  12.46
  1947          62     0.04201  0.04114  0.50   42999    1769   42114   513190  11.94
  1947          63     0.04584  0.04481  0.50   41230    1847   40306   471076  11.43
  1947          64     0.04947  0.04828  0.50   39382    1901   38431   430770  10.94
  1947          65     0.05201  0.05070  0.50   37481    1900   36531   392339  10.47
  1947          66     0.05402  0.05260  0.50   35581    1872   34645   355808  10.00
  1947          67     0.05677  0.05520  0.50   33709    1861   32779   321163   9.53
  1947          68     0.06130  0.05948  0.50   31848    1894   30901   288385   9.05
  1947          69     0.06736  0.06517  0.50   29954    1952   28978   257483   8.60
  1947          70     0.07405  0.07141  0.50   28002    2000   27002   228505   8.16
  1947          71     0.07979  0.07673  0.50   26003    1995   25005   201503   7.75
