19.Yamanashi.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08408  0.07922  0.27  100000    7922   94222  5140918  51.41
  1947           1     0.02068  0.02047  0.50   92078    1885   91136  5046696  54.81
  1947           2     0.01706  0.01692  0.50   90193    1526   89430  4955560  54.94
  1947           3     0.01362  0.01353  0.50   88667    1200   88067  4866130  54.88
  1947           4     0.01051  0.01046  0.50   87467     915   87010  4778062  54.63
  1947           5     0.00785  0.00782  0.50   86553     677   86214  4691052  54.20
  1947           6     0.00567  0.00565  0.50   85876     485   85633  4604838  53.62
  1947           7     0.00397  0.00396  0.50   85390     338   85221  4519205  52.92
  1947           8     0.00272  0.00272  0.50   85052     231   84937  4433984  52.13
  1947           9     0.00188  0.00188  0.50   84821     159   84742  4349047  51.27
  1947          10     0.00140  0.00140  0.50   84662     118   84603  4264306  50.37
  1947          11     0.00122  0.00122  0.50   84543     103   84492  4179703  49.44
  1947          12     0.00130  0.00130  0.50   84440     109   84385  4095211  48.50
  1947          13     0.00158  0.00158  0.50   84331     133   84264  4010826  47.56
  1947          14     0.00204  0.00204  0.50   84197     172   84112  3926562  46.64
  1947          15     0.00265  0.00265  0.50   84026     222   83915  3842451  45.73
  1947          16     0.00337  0.00336  0.50   83803     282   83663  3758536  44.85
  1947          17     0.00414  0.00413  0.50   83522     345   83349  3674873  44.00
  1947          18     0.00494  0.00493  0.50   83177     410   82972  3591524  43.18
  1947          19     0.00572  0.00570  0.50   82767     472   82531  3508552  42.39
  1947          20     0.00645  0.00643  0.50   82295     529   82030  3426021  41.63
  1947          21     0.00708  0.00706  0.50   81766     577   81477  3343991  40.90
  1947          22     0.00756  0.00753  0.50   81189     612   80883  3262514  40.18
  1947          23     0.00789  0.00786  0.50   80577     634   80260  3181630  39.49
  1947          24     0.00808  0.00805  0.50   79944     643   79622  3101370  38.79
  1947          25     0.00813  0.00810  0.50   79300     642   78979  3021748  38.11
  1947          26     0.00808  0.00805  0.50   78658     633   78341  2942769  37.41
  1947          27     0.00797  0.00794  0.50   78025     620   77715  2864427  36.71
  1947          28     0.00783  0.00780  0.50   77405     604   77103  2786712  36.00
  1947          29     0.00769  0.00766  0.50   76801     588   76507  2709609  35.28
  1947          30     0.00755  0.00752  0.50   76213     573   75926  2633102  34.55
  1947          31     0.00741  0.00739  0.50   75640     559   75360  2557176  33.81
  1947          32     0.00731  0.00728  0.50   75081     547   74808  2481816  33.06
  1947          33     0.00724  0.00721  0.50   74534     537   74266  2407008  32.29
  1947          34     0.00721  0.00718  0.50   73997     531   73731  2332742  31.52
  1947          35     0.00723  0.00720  0.50   73465     529   73201  2259011  30.75
  1947          36     0.00731  0.00728  0.50   72936     531   72671  2185810  29.97
  1947          37     0.00745  0.00742  0.50   72405     537   72136  2113140  29.18
  1947          38     0.00765  0.00762  0.50   71868     548   71594  2041003  28.40
  1947          39     0.00792  0.00789  0.50   71320     562   71039  1969409  27.61
  1947          40     0.00826  0.00823  0.50   70758     582   70467  1898370  26.83
  1947          41     0.00869  0.00865  0.50   70176     607   69872  1827903  26.05
  1947          42     0.00919  0.00915  0.50   69568     636   69250  1758031  25.27
  1947          43     0.00974  0.00969  0.50   68932     668   68598  1688781  24.50
  1947          44     0.01032  0.01027  0.50   68264     701   67914  1620183  23.73
  1947          45     0.01095  0.01089  0.50   67563     736   67195  1552269  22.98
  1947          46     0.01161  0.01154  0.50   66828     771   66442  1485074  22.22
  1947          47     0.01230  0.01223  0.50   66056     808   65652  1418632  21.48
  1947          48     0.01304  0.01296  0.50   65249     846   64826  1352980  20.74
  1947          49     0.01385  0.01375  0.50   64403     886   63960  1288154  20.00
  1947          50     0.01471  0.01460  0.50   63517     928   63054  1224194  19.27
  1947          51     0.01563  0.01551  0.50   62590     971   62105  1161140  18.55
  1947          52     0.01661  0.01648  0.50   61619    1015   61112  1099036  17.84
  1947          53     0.01770  0.01755  0.50   60604    1063   60073  1037924  17.13
  1947          54     0.01897  0.01879  0.50   59541    1119   58982   977851  16.42
  1947          55     0.02044  0.02024  0.50   58422    1182   57831   918870  15.73
  1947          56     0.02215  0.02191  0.50   57240    1254   56613   861039  15.04
  1947          57     0.02411  0.02382  0.50   55986    1334   55319   804426  14.37
  1947          58     0.02637  0.02603  0.50   54652    1422   53941   749107  13.71
  1947          59     0.02895  0.02854  0.50   53230    1519   52470   695166  13.06
  1947          60     0.03189  0.03139  0.50   51711    1623   50899   642695  12.43
  1947          61     0.03524  0.03463  0.50   50088    1734   49220   591796  11.82
  1947          62     0.03902  0.03827  0.50   48353    1851   47428   542576  11.22
  1947          63     0.04325  0.04233  0.50   46503    1968   45518   495148  10.65
  1947          64     0.04787  0.04675  0.50   44534    2082   43493   449629  10.10
  1947          65     0.05285  0.05149  0.50   42452    2186   41359   406136   9.57
  1947          66     0.05818  0.05653  0.50   40266    2276   39128   364777   9.06
  1947          67     0.06392  0.06194  0.50   37990    2353   36813   325649   8.57
  1947          68     0.07015  0.06777  0.50   35637    2415   34429   288835   8.10
  1947          69     0.07696  0.07411  0.50   33222    2462   31991   254406   7.66
  1947          70     0.08445  0.08103  0.50   30760    2492   29514   222415   7.23
  1947          71     0.09262  0.08852  0.50   28267    2502   27016   192902   6.82
  1947          72     0.10150  0.09660  0.50   25765    2489   24521   165885   6.44
  1947          73     0.11112  0.10527  0.50   23276    2450   22051   141365   6.07
  1947          74     0.12138  0.11444  0.50   20826    2383   19634   119314   5.73
  1947          75     0.13212  0.12394  0.50   18443    2286   17300    99679   5.40
  1947          76     0.14317  0.13361  0.50   16157    2159   15078    82380   5.10
  1947          77     0.15483  0.14371  0.50   13998    2012   12992    67302   4.81
  1947          78     0.16747  0.15453  0.50   11987    1852   11060    54310   4.53
  1947          79     0.18109  0.16605  0.50   10134    1683    9293    43249   4.27
  1947          80     0.19568  0.17824  0.50    8452    1506    7698    33956   4.02
  1947          81     0.21140  0.19119  0.50    6945    1328    6281    26258   3.78
  1947          82     0.22842  0.20501  0.50    5617    1152    5041    19977   3.56
  1947          83     0.24685  0.21973  0.50    4466     981    3975    14935   3.34
  1947          84     0.26667  0.23529  0.50    3484     820    3075    10960   3.15
  1947          85     0.28784  0.25163  0.50    2665     670    2329     7886   2.96
  1947          86     0.31028  0.26861  0.50    1994     536    1726     5556   2.79
  1947          87     0.33386  0.28610  0.50    1458     417    1250     3830   2.63
  1947          88     0.35845  0.30397  0.50    1041     316     883     2580   2.48
