02.Aomori.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.12196  0.11275  0.33  100000   11275   92446  4814179  48.14
  1947           1     0.05457  0.05312  0.50   88725    4713   86369  4721733  53.22
  1947           2     0.02185  0.02161  0.50   84012    1816   83105  4635364  55.17
  1947           3     0.00779  0.00776  0.50   82197     638   81878  4552259  55.38
  1947           4     0.00544  0.00543  0.50   81559     443   81337  4470382  54.81
  1947           5     0.00418  0.00417  0.50   81116     338   80947  4389044  54.11
  1947           6     0.00324  0.00323  0.50   80778     261   80647  4308097  53.33
  1947           7     0.00347  0.00346  0.50   80517     279   80377  4227450  52.50
  1947           8     0.00313  0.00312  0.50   80238     251   80113  4147073  51.68
  1947           9     0.00234  0.00234  0.50   79987     187   79894  4066960  50.85
  1947          10     0.00179  0.00179  0.50   79800     143   79729  3987067  49.96
  1947          11     0.00161  0.00161  0.50   79657     128   79593  3907338  49.05
  1947          12     0.00168  0.00168  0.50   79529     133   79462  3827745  48.13
  1947          13     0.00160  0.00160  0.50   79396     127   79332  3748282  47.21
  1947          14     0.00177  0.00177  0.50   79269     141   79199  3668950  46.28
  1947          15     0.00262  0.00261  0.50   79128     207   79025  3589751  45.37
  1947          16     0.00371  0.00370  0.50   78922     292   78776  3510726  44.48
  1947          17     0.00457  0.00456  0.50   78629     359   78450  3431951  43.65
  1947          18     0.00533  0.00532  0.50   78271     416   78063  3353501  42.84
  1947          19     0.00620  0.00618  0.50   77854     481   77614  3275438  42.07
  1947          20     0.00711  0.00708  0.50   77373     548   77099  3197825  41.33
  1947          21     0.00767  0.00764  0.50   76825     587   76531  3120726  40.62
  1947          22     0.00765  0.00762  0.50   76238     581   75947  3044194  39.93
  1947          23     0.00763  0.00760  0.50   75657     575   75370  2968247  39.23
  1947          24     0.00809  0.00806  0.50   75082     605   74780  2892877  38.53
  1947          25     0.00850  0.00847  0.50   74477     630   74162  2818097  37.84
  1947          26     0.00867  0.00864  0.50   73847     638   73528  2743935  37.16
  1947          27     0.00859  0.00855  0.50   73209     626   72896  2670407  36.48
  1947          28     0.00827  0.00824  0.50   72583     598   72284  2597511  35.79
  1947          29     0.00793  0.00790  0.50   71985     569   71701  2525227  35.08
  1947          30     0.00815  0.00812  0.50   71416     580   71126  2453527  34.36
  1947          31     0.00859  0.00855  0.50   70836     606   70533  2382401  33.63
  1947          32     0.00870  0.00866  0.50   70231     608   69926  2311867  32.92
  1947          33     0.00835  0.00832  0.50   69622     579   69333  2241941  32.20
  1947          34     0.00760  0.00757  0.50   69043     523   68782  2172608  31.47
  1947          35     0.00697  0.00694  0.50   68520     476   68282  2103827  30.70
  1947          36     0.00705  0.00703  0.50   68045     478   67805  2035544  29.91
  1947          37     0.00806  0.00802  0.50   67566     542   67295  1967739  29.12
  1947          38     0.00905  0.00901  0.50   67024     604   66722  1900443  28.35
  1947          39     0.00922  0.00918  0.50   66420     610   66115  1833721  27.61
  1947          40     0.00927  0.00923  0.50   65811     607   65507  1767606  26.86
  1947          41     0.00987  0.00982  0.50   65203     641   64883  1702099  26.10
  1947          42     0.01032  0.01027  0.50   64563     663   64232  1637215  25.36
  1947          43     0.01028  0.01023  0.50   63900     654   63573  1572984  24.62
  1947          44     0.00978  0.00973  0.50   63246     615   62939  1509411  23.87
  1947          45     0.00943  0.00939  0.50   62631     588   62337  1446472  23.10
  1947          46     0.00988  0.00983  0.50   62043     610   61738  1384135  22.31
  1947          47     0.01110  0.01104  0.50   61433     678   61094  1322397  21.53
  1947          48     0.01272  0.01264  0.50   60755     768   60371  1261303  20.76
  1947          49     0.01439  0.01429  0.50   59987     857   59558  1200932  20.02
  1947          50     0.01604  0.01591  0.50   59130     941   58659  1141374  19.30
  1947          51     0.01748  0.01733  0.50   58189    1008   57685  1082715  18.61
  1947          52     0.01784  0.01768  0.50   57181    1011   56675  1025030  17.93
  1947          53     0.01735  0.01720  0.50   56169     966   55686   968355  17.24
  1947          54     0.01960  0.01941  0.50   55203    1071   54668   912668  16.53
  1947          55     0.02273  0.02248  0.50   54132    1217   53524   858001  15.85
  1947          56     0.02409  0.02381  0.50   52915    1260   52285   804477  15.20
  1947          57     0.02454  0.02424  0.50   51656    1252   51030   752191  14.56
  1947          58     0.02597  0.02564  0.50   50403    1292   49757   701162  13.91
  1947          59     0.02991  0.02947  0.50   49111    1447   48388   651405  13.26
  1947          60     0.03395  0.03338  0.50   47664    1591   46868   603017  12.65
  1947          61     0.03597  0.03534  0.50   46073    1628   45259   556149  12.07
  1947          62     0.03907  0.03832  0.50   44445    1703   43593   510890  11.49
  1947          63     0.04589  0.04486  0.50   42742    1917   41783   467297  10.93
  1947          64     0.05204  0.05072  0.50   40824    2070   39789   425514  10.42
  1947          65     0.05353  0.05214  0.50   38754    2021   37744   385725   9.95
  1947          66     0.05437  0.05293  0.50   36733    1944   35761   347981   9.47
  1947          67     0.05798  0.05634  0.50   34789    1960   33809   312220   8.97
  1947          68     0.06549  0.06342  0.50   32829    2082   31788   278411   8.48
  1947          69     0.07174  0.06926  0.50   30747    2129   29682   246624   8.02
  1947          70     0.07411  0.07146  0.50   28617    2045   27595   216942   7.58
  1947          71     0.08216  0.07892  0.50   26572    2097   25524   189347   7.13
  1947          72     0.09200  0.08796  0.50   24475    2153   23399   163823   6.69
  1947          73     0.09911  0.09443  0.50   22322    2108   21268   140424   6.29
  1947          74     0.11391  0.10777  0.50   20214    2178   19125   119156   5.89
  1947          75     0.13858  0.12960  0.50   18036    2337   16867   100031   5.55
  1947          76     0.14282  0.13330  0.50   15699    2093   14652    83164   5.30
  1947          77     0.14628  0.13631  0.50   13606    1855   12679    68511   5.04
  1947          78     0.17107  0.15759  0.50   11751    1852   10825    55833   4.75
  1947          79     0.18750  0.17143  0.50    9899    1697    9051    45008   4.55
  1947          80     0.16967  0.15640  0.50    8202    1283    7561    35957   4.38
  1947          81     0.15894  0.14724  0.50    6919    1019    6410    28396   4.10
  1947          82     0.19018  0.17366  0.50    5901    1025    5388    21986   3.73
  1947          83     0.22071  0.19877  0.50    4876     969    4391    16598   3.40
  1947          84     0.24710  0.21993  0.50    3907     859    3477    12206   3.12
  1947          85     0.27875  0.24465  0.50    3048     746    2675     8729   2.86
  1947          86     0.31399  0.27138  0.50    2302     625    1990     6054   2.63
  1947          87     0.34973  0.29768  0.50    1677     499    1428     4065   2.42
  1947          88     0.38761  0.32468  0.50    1178     382     987     2637   2.24
  1947          89     0.42727  0.35206  0.50     795     280     655     1651   2.07
  1947          90     0.46770  0.37905  0.50     515     195     418      995   1.93
  1947          91     0.50847  0.40540  0.50     320     130     255      577   1.80
  1947          92     0.54924  0.43090  0.50     190      82     149      322   1.69
  1947          93     0.58934  0.45520  0.50     108      49      84      173   1.60
  1947          94     0.62826  0.47808  0.50      59      28      45       89   1.51
  1947          95     0.66560  0.49940  0.50      31      15      23       44   1.44
  1947          96     0.70098  0.51906  0.50      15       8      11       21   1.38
  1947          97     0.73410  0.53700  0.50       7       4       5       10   1.32
  1947          98     0.76480  0.55324  0.50       3       2       2        4   1.28
  1947          99     0.79294  0.56782  0.50       2       1       1        2   1.23
  1947         100     0.81852  0.58081  0.50       1       0       0        1   1.20
  1947         101     0.84157  0.59233  0.50       0       0       0        0   1.17
  1947         102     0.86218  0.60246  0.50       0       0       0        0   1.15
  1947         103     0.88050  0.61135  0.50       0       0       0        0   1.12
  1947         104     0.89667  0.61911  0.50       0       0       0        0   1.11
  1947         105     0.91087  0.62584  0.50       0       0       0        0   1.09
  1947         106     0.92329  0.63168  0.50       0       0       0        0   1.08
  1947         107     0.93412  0.63673  0.50       0       0       0        0   1.06
  1947         108     0.94348  0.64107  0.50       0       0       0        0   1.06
  1947         109     0.95153  0.64477  0.50       0       0       0        0   1.05
  1947         110+    0.96164  1.00000  1.04       0       0       0        0   1.04
  1948           0     0.10464  0.09774  0.33  100000    9774   93411  5039374  50.39
  1948           1     0.03764  0.03694  0.50   90226    3333   88559  4945964  54.82
  1948           2     0.01606  0.01593  0.50   86893    1385   86201  4857404  55.90
  1948           3     0.00691  0.00689  0.50   85508     589   85214  4771204  55.80
  1948           4     0.00525  0.00524  0.50   84919     445   84697  4685990  55.18
  1948           5     0.00375  0.00374  0.50   84474     316   84316  4601293  54.47
  1948           6     0.00249  0.00248  0.50   84159     209   84054  4516977  53.67
  1948           7     0.00270  0.00270  0.50   83950     226   83837  4432922  52.80
  1948           8     0.00305  0.00305  0.50   83723     255   83596  4349086  51.95
  1948           9     0.00284  0.00284  0.50   83468     237   83350  4265490  51.10
  1948          10     0.00196  0.00196  0.50   83231     163   83150  4182140  50.25
  1948          11     0.00127  0.00127  0.50   83068     106   83015  4098991  49.35
  1948          12     0.00143  0.00143  0.50   82962     118   82903  4015976  48.41
  1948          13     0.00160  0.00160  0.50   82844     132   82777  3933073  47.48
  1948          14     0.00182  0.00182  0.50   82711     150   82636  3850296  46.55
  1948          15     0.00237  0.00237  0.50   82561     195   82463  3767660  45.63
  1948          16     0.00324  0.00324  0.50   82366     267   82232  3685196  44.74
  1948          17     0.00431  0.00430  0.50   82099     353   81922  3602964  43.89
  1948          18     0.00523  0.00521  0.50   81746     426   81533  3521042  43.07
  1948          19     0.00584  0.00582  0.50   81320     474   81083  3439509  42.30
  1948          20     0.00670  0.00668  0.50   80846     540   80576  3358426  41.54
  1948          21     0.00769  0.00766  0.50   80306     615   79999  3277850  40.82
  1948          22     0.00850  0.00847  0.50   79691     675   79354  3197851  40.13
  1948          23     0.00887  0.00883  0.50   79016     698   78668  3118497  39.47
  1948          24     0.00867  0.00863  0.50   78319     676   77981  3039830  38.81
  1948          25     0.00829  0.00825  0.50   77643     641   77322  2961849  38.15
  1948          26     0.00808  0.00804  0.50   77002     619   76692  2884527  37.46
  1948          27     0.00825  0.00821  0.50   76382     627   76069  2807835  36.76
  1948          28     0.00856  0.00852  0.50   75755     646   75432  2731766  36.06
  1948          29     0.00862  0.00858  0.50   75109     645   74787  2656334  35.37
  1948          30     0.00811  0.00808  0.50   74465     601   74164  2581547  34.67
  1948          31     0.00755  0.00752  0.50   73863     556   73585  2507383  33.95
  1948          32     0.00745  0.00742  0.50   73308     544   73036  2433797  33.20
  1948          33     0.00732  0.00730  0.50   72764     531   72498  2360761  32.44
  1948          34     0.00674  0.00671  0.50   72233     485   71990  2288263  31.68
