21.Gifu.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.09749  0.09132  0.31  100000    9132   93669  5043691  50.44
  1947           1     0.02704  0.02668  0.50   90868    2424   89656  4950022  54.47
  1947           2     0.02063  0.02042  0.50   88444    1806   87541  4860367  54.95
  1947           3     0.01491  0.01480  0.50   86638    1282   85997  4772826  55.09
  1947           4     0.01022  0.01017  0.50   85355     868   84921  4686830  54.91
  1947           5     0.00676  0.00673  0.50   84487     569   84203  4601908  54.47
  1947           6     0.00437  0.00436  0.50   83918     366   83735  4517705  53.83
  1947           7     0.00286  0.00285  0.50   83552     239   83433  4433970  53.07
  1947           8     0.00196  0.00195  0.50   83314     163   83232  4350537  52.22
  1947           9     0.00147  0.00147  0.50   83151     122   83090  4267305  51.32
  1947          10     0.00124  0.00124  0.50   83029     103   82978  4184215  50.39
  1947          11     0.00120  0.00120  0.50   82926     100   82877  4101237  49.46
  1947          12     0.00132  0.00132  0.50   82827     109   82772  4018361  48.52
  1947          13     0.00158  0.00158  0.50   82717     131   82652  3935588  47.58
  1947          14     0.00200  0.00200  0.50   82587     165   82504  3852936  46.65
  1947          15     0.00259  0.00259  0.50   82422     213   82315  3770432  45.75
  1947          16     0.00335  0.00335  0.50   82208     275   82071  3688117  44.86
  1947          17     0.00429  0.00428  0.50   81933     351   81758  3606046  44.01
  1947          18     0.00537  0.00535  0.50   81582     437   81364  3524289  43.20
  1947          19     0.00656  0.00653  0.50   81146     530   80880  3442925  42.43
  1947          20     0.00779  0.00776  0.50   80615     626   80303  3362044  41.70
  1947          21     0.00891  0.00887  0.50   79990     709   79635  3281741  41.03
  1947          22     0.00973  0.00968  0.50   79280     768   78897  3202106  40.39
  1947          23     0.01012  0.01006  0.50   78513     790   78118  3123210  39.78
  1947          24     0.00999  0.00994  0.50   77723     773   77336  3045092  39.18
  1947          25     0.00954  0.00950  0.50   76950     731   76584  2967756  38.57
  1947          26     0.00899  0.00895  0.50   76219     682   75878  2891171  37.93
  1947          27     0.00854  0.00850  0.50   75537     642   75216  2815294  37.27
  1947          28     0.00822  0.00818  0.50   74894     613   74588  2740078  36.59
  1947          29     0.00803  0.00800  0.50   74282     594   73984  2665490  35.88
