22.Shizuoka.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08261  0.07789  0.27  100000    7789   94289  5205120  52.05
  1947           1     0.02874  0.02833  0.50   92211    2613   90905  5110831  55.43
  1947           2     0.01836  0.01819  0.50   89598    1630   88783  5019926  56.03
  1947           3     0.01119  0.01113  0.50   87968     979   87479  4931143  56.06
  1947           4     0.00700  0.00697  0.50   86989     606   86686  4843664  55.68
  1947           5     0.00474  0.00473  0.50   86383     408   86179  4756978  55.07
  1947           6     0.00362  0.00361  0.50   85975     310   85819  4670799  54.33
  1947           7     0.00298  0.00297  0.50   85664     255   85537  4584980  53.52
  1947           8     0.00251  0.00250  0.50   85409     214   85302  4499443  52.68
  1947           9     0.00213  0.00212  0.50   85196     181   85105  4414141  51.81
  1947          10     0.00182  0.00181  0.50   85015     154   84937  4329036  50.92
  1947          11     0.00160  0.00160  0.50   84860     135   84793  4244098  50.01
  1947          12     0.00151  0.00151  0.50   84725     128   84661  4159306  49.09
  1947          13     0.00157  0.00157  0.50   84597     133   84531  4074645  48.17
  1947          14     0.00177  0.00177  0.50   84464     149   84390  3990114  47.24
  1947          15     0.00211  0.00211  0.50   84315     178   84226  3905724  46.32
  1947          16     0.00274  0.00274  0.50   84137     230   84022  3821498  45.42
  1947          17     0.00378  0.00378  0.50   83907     317   83749  3737476  44.54
  1947          18     0.00512  0.00510  0.50   83590     427   83377  3653727  43.71
  1947          19     0.00643  0.00641  0.50   83163     533   82897  3570350  42.93
  1947          20     0.00712  0.00709  0.50   82630     586   82337  3487454  42.21
  1947          21     0.00753  0.00751  0.50   82044     616   81736  3405117  41.50
  1947          22     0.00817  0.00814  0.50   81428     663   81097  3323380  40.81
  1947          23     0.00890  0.00886  0.50   80766     715   80408  3242284  40.14
  1947          24     0.00938  0.00934  0.50   80050     747   79676  3161876  39.50
  1947          25     0.00922  0.00918  0.50   79303     728   78939  3082199  38.87
  1947          26     0.00866  0.00863  0.50   78575     678   78236  3003261  38.22
  1947          27     0.00809  0.00806  0.50   77897     628   77583  2925025  37.55
  1947          28     0.00785  0.00782  0.50   77269     604   76967  2847442  36.85
  1947          29     0.00803  0.00800  0.50   76665     613   76358  2770475  36.14
  1947          30     0.00797  0.00794  0.50   76052     604   75750  2694117  35.42
  1947          31     0.00755  0.00753  0.50   75448     568   75164  2618367  34.70
  1947          32     0.00693  0.00691  0.50   74880     517   74621  2543203  33.96
