23.Aichi.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08764  0.08244  0.28  100000    8244   94066  5148462  51.48
  1947           1     0.02394  0.02365  0.50   91756    2170   90671  5054395  55.08
  1947           2     0.01847  0.01830  0.50   89586    1639   88766  4963724  55.41
  1947           3     0.01356  0.01347  0.50   87947    1185   87354  4874958  55.43
  1947           4     0.00949  0.00945  0.50   86762     820   86352  4787604  55.18
  1947           5     0.00640  0.00638  0.50   85942     548   85668  4701251  54.70
  1947           6     0.00419  0.00418  0.50   85394     357   85216  4615583  54.05
  1947           7     0.00272  0.00272  0.50   85037     231   84922  4530368  53.28
  1947           8     0.00180  0.00180  0.50   84806     152   84730  4445446  52.42
  1947           9     0.00129  0.00129  0.50   84654     109   84599  4360716  51.51
  1947          10     0.00106  0.00106  0.50   84545      90   84500  4276117  50.58
  1947          11     0.00105  0.00105  0.50   84455      89   84411  4191617  49.63
  1947          12     0.00122  0.00121  0.50   84366     102   84315  4107206  48.68
  1947          13     0.00154  0.00154  0.50   84264     130   84199  4022891  47.74
  1947          14     0.00205  0.00205  0.50   84134     172   84048  3938692  46.81
  1947          15     0.00274  0.00274  0.50   83961     230   83847  3854644  45.91
  1947          16     0.00359  0.00358  0.50   83732     300   83582  3770798  45.03
  1947          17     0.00457  0.00455  0.50   83432     380   83242  3687216  44.19
  1947          18     0.00559  0.00557  0.50   83052     463   82820  3603974  43.39
  1947          19     0.00657  0.00655  0.50   82589     541   82318  3521154  42.63
  1947          20     0.00742  0.00739  0.50   82048     607   81744  3438836  41.91
  1947          21     0.00807  0.00804  0.50   81441     655   81114  3357091  41.22
  1947          22     0.00850  0.00846  0.50   80786     684   80444  3275978  40.55
  1947          23     0.00870  0.00866  0.50   80102     694   79756  3195534  39.89
  1947          24     0.00868  0.00864  0.50   79409     686   79066  3115778  39.24
  1947          25     0.00848  0.00845  0.50   78723     665   78390  3036712  38.57
  1947          26     0.00819  0.00816  0.50   78058     637   77739  2958322  37.90
  1947          27     0.00789  0.00786  0.50   77421     609   77117  2880583  37.21
  1947          28     0.00765  0.00762  0.50   76812     586   76519  2803466  36.50
  1947          29     0.00752  0.00750  0.50   76227     571   75941  2726947  35.77
  1947          30     0.00749  0.00747  0.50   75655     565   75373  2651006  35.04
  1947          31     0.00754  0.00751  0.50   75091     564   74809  2575633  34.30
  1947          32     0.00763  0.00760  0.50   74527     566   74244  2500824  33.56
  1947          33     0.00772  0.00769  0.50   73960     569   73676  2426580  32.81
  1947          34     0.00777  0.00774  0.50   73392     568   73108  2352904  32.06
  1947          35     0.00780  0.00777  0.50   72824     566   72541  2279796  31.31
  1947          36     0.00782  0.00779  0.50   72258     563   71977  2207256  30.55
  1947          37     0.00788  0.00784  0.50   71695     562   71414  2135279  29.78
  1947          38     0.00799  0.00796  0.50   71133     566   70850  2063865  29.01
  1947          39     0.00817  0.00813  0.50   70567     574   70280  1993015  28.24
  1947          40     0.00838  0.00835  0.50   69993     584   69701  1922735  27.47
  1947          41     0.00864  0.00860  0.50   69408     597   69110  1853034  26.70
  1947          42     0.00896  0.00892  0.50   68812     614   68505  1783924  25.92
  1947          43     0.00937  0.00933  0.50   68198     636   67880  1715420  25.15
  1947          44     0.00985  0.00981  0.50   67561     662   67230  1647540  24.39
  1947          45     0.01042  0.01036  0.50   66899     693   66552  1580310  23.62
  1947          46     0.01105  0.01099  0.50   66206     728   65842  1513757  22.86
  1947          47     0.01171  0.01164  0.50   65478     762   65097  1447916  22.11
  1947          48     0.01237  0.01229  0.50   64715     796   64318  1382819  21.37
  1947          49     0.01303  0.01295  0.50   63920     828   63506  1318501  20.63
  1947          50     0.01376  0.01366  0.50   63092     862   62661  1254995  19.89
  1947          51     0.01460  0.01450  0.50   62230     902   61779  1192334  19.16
  1947          52     0.01556  0.01544  0.50   61328     947   60854  1130556  18.43
  1947          53     0.01666  0.01652  0.50   60381     998   59882  1069701  17.72
  1947          54     0.01800  0.01784  0.50   59383    1059   58853  1009819  17.01
  1947          55     0.01962  0.01943  0.50   58324    1133   57757   950966  16.30
  1947          56     0.02153  0.02130  0.50   57191    1218   56582   893209  15.62
  1947          57     0.02372  0.02344  0.50   55973    1312   55317   836627  14.95
  1947          58     0.02615  0.02582  0.50   54661    1411   53955   781311  14.29
  1947          59     0.02876  0.02835  0.50   53249    1510   52495   727356  13.66
  1947          60     0.03149  0.03100  0.50   51740    1604   50938   674861  13.04
  1947          61     0.03432  0.03374  0.50   50136    1692   49290   623923  12.44
  1947          62     0.03738  0.03670  0.50   48444    1778   47555   574634  11.86
  1947          63     0.04079  0.03997  0.50   46666    1865   45733   527078  11.29
  1947          64     0.04457  0.04360  0.50   44801    1953   43824   481345  10.74
  1947          65     0.04873  0.04757  0.50   42847    2038   41828   437521  10.21
  1947          66     0.05318  0.05180  0.50   40809    2114   39752   395693   9.70
  1947          67     0.05788  0.05626  0.50   38695    2177   37607   355940   9.20
  1947          68     0.06284  0.06093  0.50   36519    2225   35406   318333   8.72
  1947          69     0.06812  0.06588  0.50   34294    2259   33164   282927   8.25
  1947          70     0.07380  0.07118  0.50   32034    2280   30894   249763   7.80
  1947          71     0.07992  0.07685  0.50   29754    2287   28611   218869   7.36
  1947          72     0.08683  0.08322  0.50   27468    2286   26325   190258   6.93
  1947          73     0.09494  0.09064  0.50   25182    2282   24041   163933   6.51
  1947          74     0.10435  0.09917  0.50   22900    2271   21764   139892   6.11
  1947          75     0.11502  0.10876  0.50   20629    2244   19507   118128   5.73
  1947          76     0.12672  0.11917  0.50   18385    2191   17289    98621   5.36
  1947          77     0.13966  0.13054  0.50   16194    2114   15137    81332   5.02
  1947          78     0.15411  0.14309  0.50   14080    2015   13073    66195   4.70
  1947          79     0.17021  0.15686  0.50   12065    1893   11119    53122   4.40
  1947          80     0.18785  0.17172  0.50   10173    1747    9299    42003   4.13
  1947          81     0.20629  0.18700  0.50    8426    1576    7638    32704   3.88
  1947          82     0.22465  0.20196  0.50    6850    1383    6159    25066   3.66
  1947          83     0.24244  0.21623  0.50    5467    1182    4876    18907   3.46
  1947          84     0.26006  0.23013  0.50    4285     986    3792    14032   3.27
  1947          85     0.27804  0.24410  0.50    3299     805    2896    10240   3.10
  1947          86     0.29658  0.25828  0.50    2493     644    2171     7344   2.95
  1947          87     0.31578  0.27272  0.50    1849     504    1597     5172   2.80
  1947          88     0.33570  0.28745  0.50    1345     387    1152     3575   2.66
  1947          89     0.35630  0.30242  0.50     958     290     813     2423   2.53
