24.Mie.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11679  0.10832  0.33  100000   10832   92743  4861723  48.62
  1947           1     0.02255  0.02230  0.50   89168    1988   88174  4768980  53.48
  1947           2     0.01879  0.01862  0.50   87180    1623   86368  4680806  53.69
  1947           3     0.01521  0.01510  0.50   85557    1292   84911  4594438  53.70
  1947           4     0.01193  0.01186  0.50   84265    1000   83765  4509527  53.52
  1947           5     0.00907  0.00903  0.50   83265     752   82889  4425762  53.15
  1947           6     0.00667  0.00665  0.50   82513     549   82239  4342872  52.63
  1947           7     0.00476  0.00475  0.50   81965     389   81770  4260633  51.98
  1947           8     0.00332  0.00332  0.50   81575     271   81440  4178863  51.23
  1947           9     0.00233  0.00232  0.50   81305     189   81210  4097423  50.40
  1947          10     0.00172  0.00172  0.50   81116     140   81046  4016213  49.51
  1947          11     0.00147  0.00147  0.50   80976     119   80917  3935167  48.60
  1947          12     0.00152  0.00152  0.50   80857     123   80796  3854250  47.67
  1947          13     0.00183  0.00183  0.50   80735     148   80661  3773454  46.74
  1947          14     0.00236  0.00236  0.50   80587     190   80492  3692794  45.82
  1947          15     0.00307  0.00306  0.50   80396     246   80273  3612302  44.93
  1947          16     0.00390  0.00389  0.50   80150     312   79994  3532029  44.07
  1947          17     0.00481  0.00480  0.50   79838     383   79647  3452035  43.24
  1947          18     0.00576  0.00574  0.50   79455     456   79227  3372388  42.44
  1947          19     0.00668  0.00666  0.50   78999     526   78736  3293161  41.69
  1947          20     0.00754  0.00752  0.50   78473     590   78178  3214425  40.96
  1947          21     0.00830  0.00827  0.50   77883     644   77561  3136247  40.27
  1947          22     0.00892  0.00888  0.50   77239     686   76896  3058686  39.60
  1947          23     0.00938  0.00934  0.50   76554     715   76196  2981789  38.95
  1947          24     0.00969  0.00964  0.50   75838     731   75473  2905593  38.31
  1947          25     0.00983  0.00978  0.50   75107     735   74740  2830120  37.68
  1947          26     0.00982  0.00977  0.50   74373     727   74009  2755381  37.05
  1947          27     0.00969  0.00964  0.50   73646     710   73291  2681371  36.41
  1947          28     0.00948  0.00943  0.50   72936     688   72592  2608080  35.76
  1947          29     0.00923  0.00919  0.50   72248     664   71916  2535488  35.09
  1947          30     0.00899  0.00895  0.50   71584     641   71263  2463573  34.42
  1947          31     0.00877  0.00873  0.50   70943     619   70633  2392309  33.72
  1947          32     0.00860  0.00856  0.50   70324     602   70023  2321676  33.01
  1947          33     0.00847  0.00843  0.50   69722     588   69428  2251653  32.29
  1947          34     0.00838  0.00834  0.50   69134     577   68846  2182225  31.57
  1947          35     0.00833  0.00830  0.50   68557     569   68273  2113379  30.83
  1947          36     0.00833  0.00829  0.50   67988     564   67706  2045107  30.08
  1947          37     0.00837  0.00833  0.50   67424     562   67144  1977400  29.33
  1947          38     0.00845  0.00841  0.50   66863     562   66582  1910257  28.57
  1947          39     0.00857  0.00853  0.50   66301     566   66018  1843675  27.81
  1947          40     0.00874  0.00870  0.50   65735     572   65449  1777657  27.04
  1947          41     0.00896  0.00892  0.50   65163     581   64872  1712208  26.28
