25.Shiga.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.11060  0.10297  0.33  100000   10297   93101  4631948  46.32
  1947           1     0.04697  0.04589  0.50   89703    4117   87644  4538847  50.60
  1947           2     0.02938  0.02895  0.50   85586    2478   84347  4451203  52.01
  1947           3     0.01620  0.01607  0.50   83108    1335   82440  4366856  52.54
  1947           4     0.00801  0.00798  0.50   81772     653   81446  4284416  52.39
  1947           5     0.00414  0.00413  0.50   81120     335   80952  4202970  51.81
  1947           6     0.00290  0.00290  0.50   80784     234   80667  4122018  51.03
  1947           7     0.00254  0.00254  0.50   80550     205   80448  4041351  50.17
  1947           8     0.00226  0.00226  0.50   80346     182   80255  3960903  49.30
  1947           9     0.00200  0.00199  0.50   80164     160   80084  3880648  48.41
  1947          10     0.00181  0.00181  0.50   80004     144   79932  3800563  47.50
  1947          11     0.00173  0.00173  0.50   79860     138   79791  3720631  46.59
  1947          12     0.00179  0.00179  0.50   79722     143   79650  3640840  45.67
  1947          13     0.00201  0.00201  0.50   79579     160   79499  3561190  44.75
  1947          14     0.00240  0.00240  0.50   79419     190   79324  3481691  43.84
  1947          15     0.00298  0.00298  0.50   79229     236   79111  3402367  42.94
  1947          16     0.00376  0.00375  0.50   78993     297   78845  3323256  42.07
  1947          17     0.00473  0.00471  0.50   78696     371   78511  3244411  41.23
  1947          18     0.00585  0.00583  0.50   78325     457   78097  3165900  40.42
  1947          19     0.00704  0.00701  0.50   77869     546   77596  3087803  39.65
  1947          20     0.00808  0.00805  0.50   77323     622   77011  3010208  38.93
  1947          21     0.00896  0.00892  0.50   76700     684   76358  2933196  38.24
  1947          22     0.00973  0.00968  0.50   76016     736   75648  2856838  37.58
  1947          23     0.01032  0.01027  0.50   75280     773   74893  2781190  36.94
  1947          24     0.01068  0.01062  0.50   74507     791   74111  2706297  36.32
  1947          25     0.01069  0.01063  0.50   73715     784   73324  2632186  35.71
  1947          26     0.01045  0.01039  0.50   72932     758   72553  2558862  35.09
  1947          27     0.01010  0.01004  0.50   72174     725   71811  2486309  34.45
  1947          28     0.00980  0.00975  0.50   71449     697   71101  2414498  33.79
  1947          29     0.00965  0.00961  0.50   70752     680   70412  2343397  33.12
  1947          30     0.00957  0.00952  0.50   70073     667   69739  2272985  32.44
  1947          31     0.00944  0.00939  0.50   69405     652   69080  2203246  31.74
  1947          32     0.00925  0.00920  0.50   68754     633   68437  2134166  31.04
  1947          33     0.00927  0.00922  0.50   68121     628   67807  2065729  30.32
  1947          34     0.00972  0.00967  0.50   67493     653   67166  1997922  29.60
  1947          35     0.01037  0.01031  0.50   66840     689   66495  1930756  28.89
  1947          36     0.01088  0.01082  0.50   66151     716   65793  1864261  28.18
  1947          37     0.01107  0.01101  0.50   65435     720   65075  1798468  27.48
  1947          38     0.01094  0.01088  0.50   64714     704   64362  1733394  26.79
  1947          39     0.01059  0.01053  0.50   64010     674   63673  1669031  26.07
  1947          40     0.01021  0.01016  0.50   63336     644   63014  1605358  25.35
  1947          41     0.01013  0.01007  0.50   62692     632   62377  1542344  24.60
  1947          42     0.01068  0.01062  0.50   62061     659   61731  1479967  23.85
  1947          43     0.01150  0.01144  0.50   61401     702   61050  1418236  23.10
  1947          44     0.01212  0.01204  0.50   60699     731   60334  1357186  22.36
  1947          45     0.01244  0.01236  0.50   59968     741   59598  1296852  21.63
