26.Kyoto.fu, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08605  0.08100  0.28  100000    8100   94135  4851582  48.52
  1947           1     0.03605  0.03541  0.50   91900    3254   90273  4757447  51.77
  1947           2     0.02216  0.02191  0.50   88646    1943   87675  4667174  52.65
  1947           3     0.01254  0.01247  0.50   86703    1081   86163  4579499  52.82
  1947           4     0.00702  0.00700  0.50   85622     599   85323  4493337  52.48
  1947           5     0.00428  0.00428  0.50   85023     364   84841  4408014  51.84
  1947           6     0.00315  0.00315  0.50   84660     266   84526  4323173  51.07
  1947           7     0.00263  0.00263  0.50   84393     222   84282  4238646  50.23
  1947           8     0.00234  0.00234  0.50   84171     197   84073  4154364  49.36
  1947           9     0.00217  0.00217  0.50   83974     182   83883  4070292  48.47
  1947          10     0.00206  0.00206  0.50   83792     172   83706  3986408  47.57
  1947          11     0.00196  0.00196  0.50   83620     164   83538  3902702  46.67
  1947          12     0.00188  0.00187  0.50   83456     156   83378  3819164  45.76
  1947          13     0.00189  0.00189  0.50   83300     157   83221  3735786  44.85
  1947          14     0.00201  0.00201  0.50   83142     167   83059  3652565  43.93
  1947          15     0.00224  0.00224  0.50   82976     186   82883  3569506  43.02
  1947          16     0.00277  0.00277  0.50   82790     229   82675  3486623  42.11
  1947          17     0.00375  0.00375  0.50   82561     309   82406  3403948  41.23
  1947          18     0.00514  0.00513  0.50   82251     422   82040  3321542  40.38
  1947          19     0.00676  0.00673  0.50   81829     551   81554  3239502  39.59
  1947          20     0.00820  0.00817  0.50   81278     664   80946  3157948  38.85
  1947          21     0.00950  0.00945  0.50   80615     762   80233  3077002  38.17
  1947          22     0.01074  0.01068  0.50   79852     853   79426  2996768  37.53
  1947          23     0.01175  0.01168  0.50   78999     923   78538  2917343  36.93
  1947          24     0.01226  0.01219  0.50   78077     952   77601  2838805  36.36
  1947          25     0.01215  0.01208  0.50   77125     931   76659  2761204  35.80
  1947          26     0.01159  0.01152  0.50   76193     878   75755  2684545  35.23
  1947          27     0.01086  0.01080  0.50   75316     813   74909  2608790  34.64
  1947          28     0.01036  0.01030  0.50   74502     768   74118  2533881  34.01
  1947          29     0.01032  0.01027  0.50   73735     757   73356  2459763  33.36
  1947          30     0.01041  0.01035  0.50   72978     756   72600  2386407  32.70
  1947          31     0.01047  0.01042  0.50   72222     753   71846  2313807  32.04
  1947          32     0.01049  0.01043  0.50   71469     746   71097  2241961  31.37
  1947          33     0.01048  0.01043  0.50   70724     737   70355  2170865  30.69
  1947          34     0.01051  0.01045  0.50   69986     732   69621  2100509  30.01
